params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 1000, 'learning_rate': 0.2617540970863046}",0.3043478260869565,0.6578947368421053,0.5,0.6428571428571429,0.5757575757575758,0.5,0.6,0.68,0.6538461538461539,0.7272727272727273,0.5841976162662662,0.11669920325149283,14,0.0813953488372093,0.2906976744186046,0.1744186046511628,0.4186046511627907,0.2183908045977011,0.0689655172413793,0.1724137931034483,0.1954022988505747,0.1954022988505747,0.1839080459770115,0.1999599037690457,0.09450185263571202,1,0.128440366972477,0.4032258064516129,0.2586206896551724,0.5070422535211269,0.3166666666666667,0.1212121212121212,0.2678571428571428,0.3035714285714286,0.3008849557522124,0.2935779816513761,0.2901099413311337,0.10817564951413768,1,0.8728752766922635,0.8621013581832591,0.8793314295083758,0.8666719044626021,0.8994573847702839,0.8689141613790401,0.8415671646833843,0.9269462858224032,0.9248684006027555,0.876516180475312,0.881924954657968,0.025922936307547058,14,741.9325649738312,1,1000,0.2617540970863046
"{'n_estimators': 100, 'learning_rate': 0.03652442228307228}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.7827624135763671,0.8623165632771296,0.865517312054218,0.8781973328232175,0.8493212241615817,0.701592031732517,0.881786913715394,0.8846959530229007,0.8847500118253631,0.8791583044456608,0.8470098060634349,0.05649462591665743,15,69.49499225616455,1,100,0.03652442228307228
"{'n_estimators': 1000, 'learning_rate': 0.032417576962813305}",0.6,0.8571428571428571,0.7777777777777778,0.8387096774193549,0.9,1.0,0.6363636363636364,0.8333333333333334,0.875,0.8333333333333334,0.8151660615370293,0.11295200746766663,2,0.0348837209302325,0.2093023255813953,0.0813953488372093,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0804597701149425,0.057471264367816,0.0804597701149425,0.057471264367816,0.11566426089280937,0.08587292667106311,12,0.0659340659340659,0.3364485981308411,0.1473684210526316,0.4444444444444443,0.3364485981308411,0.0879120879120879,0.1428571428571428,0.1075268817204301,0.1473684210526315,0.1075268817204301,0.19238355429555462,0.12363447176299076,12,0.8705387642445276,0.8700127073484,0.9047939496625036,0.8937501707976936,0.8959874853872299,0.8158622041125233,0.8990654584524317,0.9237433017765074,0.9153304006432998,0.9035726111077323,0.8892657053532849,0.029299599121998053,1,738.5965802669525,1,1000,0.032417576962813305
"{'n_estimators': 100, 'learning_rate': 0.2738840086172671}",0.6,0.8571428571428571,0.7777777777777778,0.8666666666666667,0.9,1.0,0.6363636363636364,0.8333333333333334,0.8888888888888888,0.6666666666666666,0.8026839826839826,0.1231659543290395,3,0.0348837209302325,0.2093023255813953,0.0813953488372093,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0804597701149425,0.057471264367816,0.0919540229885057,0.0229885057471264,0.11336541031809673,0.08843864436359465,13,0.0659340659340659,0.3364485981308411,0.1473684210526316,0.4482758620689654,0.3364485981308411,0.0879120879120879,0.1428571428571428,0.1075268817204301,0.1666666666666666,0.0444444444444444,0.18838827689181165,0.12960004086890406,13,0.8709350148935588,0.869005000956467,0.9037828273167,0.89786981116607,0.8875745842540224,0.8097907248609675,0.8953421584328353,0.9239629156615108,0.9107962185867676,0.8982275470142649,0.8867286803143164,0.030117690097219874,2,74.4388039112091,1,100,0.2738840086172671
"{'n_estimators': 500, 'learning_rate': 0.08913167098986098}",0.5,0.875,0.75,0.8125,0.75,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.9,0.8333333333333334,0.7837500000000001,0.11905953809380881,4,0.0581395348837209,0.2441860465116279,0.1046511627906976,0.3023255813953488,0.2068965517241379,0.057471264367816,0.0919540229885057,0.1264367816091954,0.1034482758620689,0.1149425287356321,0.14104517508687514,0.07802980317538619,11,0.1041666666666666,0.3818181818181818,0.1836734693877551,0.4406779661016948,0.3243243243243243,0.1075268817204301,0.1616161616161616,0.2222222222222222,0.1855670103092783,0.202020202020202,0.2313613086186917,0.10806773572329186,11,0.8759428032683846,0.8682944825513077,0.8988536058809061,0.8742211625174214,0.894051504524046,0.8284004676086413,0.8902065721989093,0.9257569921682312,0.9150398345800644,0.8961327684188477,0.8866900193716759,0.025769476138398688,3,377.9446849822998,1,500,0.08913167098986098
"{'n_estimators': 500, 'learning_rate': 0.24829762694191382}",0.2727272727272727,0.7666666666666667,0.6521739130434783,0.723404255319149,0.6206896551724138,0.5,0.5454545454545454,0.75,0.7272727272727273,0.7777777777777778,0.6336166813434032,0.150080539845703,9,0.0697674418604651,0.2674418604651162,0.1744186046511628,0.3953488372093023,0.2068965517241379,0.057471264367816,0.1379310344827586,0.1724137931034483,0.1839080459770115,0.160919540229885,0.18265169740711037,0.09169332321334692,6,0.111111111111111,0.396551724137931,0.2752293577981651,0.5112781954887218,0.3103448275862069,0.1030927835051546,0.220183486238532,0.2803738317757009,0.2935779816513761,0.2666666666666666,0.27684099659595657,0.11475085931773393,6,0.8697086874538846,0.8612951930697128,0.8843528816986855,0.8678469925942119,0.8970078452837074,0.8575347834607094,0.8403069188509802,0.9247940697493698,0.9239426436105872,0.8967882313987039,0.8823578247170554,0.026750015855125778,12,365.5739517211914,1,500,0.24829762694191382
"{'n_estimators': 1000, 'learning_rate': 0.22102921759085925}",0.2727272727272727,0.6756756756756757,0.5172413793103449,0.6666666666666666,0.5757575757575758,0.5454545454545454,0.5833333333333334,0.7083333333333334,0.6538461538461539,0.7142857142857143,0.5913321650390617,0.12446436816483882,13,0.0697674418604651,0.2906976744186046,0.1744186046511628,0.4186046511627907,0.2183908045977011,0.0689655172413793,0.160919540229885,0.1954022988505747,0.1954022988505747,0.1724137931034483,0.19649826249665864,0.09661531100770636,2,0.111111111111111,0.4065040650406504,0.2608695652173913,0.5142857142857143,0.3166666666666667,0.1224489795918367,0.2522522522522522,0.3063063063063063,0.3008849557522124,0.2777777777777778,0.28691073940019185,0.11286043102244762,2,0.8727318066296832,0.8637341841335775,0.8800624436367612,0.8676352034542125,0.8996263185279789,0.8666436916756202,0.8426888848344787,0.9263651536959328,0.9252062681181455,0.8768135038888552,0.8821507458595246,0.02565780386893703,13,746.1145412921906,1,1000,0.22102921759085925
"{'n_estimators': 1000, 'learning_rate': 0.116157583268286}",0.3,0.7777777777777778,0.75,0.723404255319149,0.6428571428571429,0.5,0.5454545454545454,0.75,0.7619047619047619,0.7777777777777778,0.6529176261091154,0.15048615500328513,8,0.0697674418604651,0.2441860465116279,0.1744186046511628,0.3953488372093023,0.2068965517241379,0.057471264367816,0.1379310344827586,0.1724137931034483,0.1839080459770115,0.160919540229885,0.18032611601176154,0.089788460449616,7,0.1132075471698113,0.3716814159292035,0.2830188679245283,0.5112781954887218,0.3130434782608696,0.1030927835051546,0.220183486238532,0.2803738317757009,0.2962962962962963,0.2666666666666666,0.27588425692554847,0.11223371375503353,7,0.8707334736151722,0.8705455961522696,0.8983992840160686,0.8683388899516301,0.8967780953732423,0.8565482103157711,0.8573354416266294,0.9252738416212236,0.9231351402488056,0.895119165872678,0.886220713879349,0.023972734424036284,5,735.2530522346497,1,1000,0.116157583268286
"{'n_estimators': 1000, 'learning_rate': 0.16722079998031275}",0.2727272727272727,0.7058823529411765,0.5769230769230769,0.6862745098039216,0.5806451612903226,0.5,0.5833333333333334,0.6666666666666666,0.7391304347826086,0.7368421052631579,0.6048424913731536,0.1338804393979397,12,0.0697674418604651,0.2790697674418604,0.1744186046511628,0.4069767441860465,0.2068965517241379,0.057471264367816,0.160919540229885,0.1839080459770115,0.1954022988505747,0.160919540229885,0.1895749799518845,0.09450723503156148,3,0.111111111111111,0.4,0.2678571428571428,0.510948905109489,0.3050847457627119,0.1030927835051546,0.2522522522522522,0.2882882882882883,0.3090909090909091,0.2641509433962264,0.2811877081373285,0.11412962392276332,3,0.8718709862542016,0.8673550952367939,0.8896271144754461,0.8691928784193699,0.8957408421009954,0.8627176711467899,0.8481116584564861,0.9246183786413672,0.9246318933419828,0.8945785778480542,0.8848445095921488,0.024411916831803014,8,710.7406973838806,1,1000,0.16722079998031275
"{'n_estimators': 1000, 'learning_rate': 0.13778891937290086}",0.2727272727272727,0.7666666666666667,0.6521739130434783,0.7291666666666666,0.6206896551724138,0.5,0.5217391304347826,0.6818181818181818,0.7391304347826086,0.7777777777777778,0.6261889699089849,0.1488764574713238,10,0.0697674418604651,0.2674418604651162,0.1744186046511628,0.4069767441860465,0.2068965517241379,0.057471264367816,0.1379310344827586,0.1724137931034483,0.1954022988505747,0.160919540229885,0.1849639133921411,0.094480603591022,4,0.111111111111111,0.396551724137931,0.2752293577981651,0.5223880597014925,0.3103448275862069,0.1030927835051546,0.2181818181818182,0.2752293577981651,0.3090909090909091,0.2666666666666666,0.278788661557762,0.11745343566849434,4,0.8715088951438801,0.868933265925177,0.8943411308173694,0.8725678408438772,0.8967443086217034,0.8601971794819815,0.8520444363356241,0.9252434335448384,0.9239020995087408,0.8943488279375891,0.8859831418160781,0.023941147053880063,6,733.7367148399353,1,1000,0.13778891937290086
