params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 25, 'min_samples_split': 29, 'min_samples_leaf': 12}",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,9,0.0,0.0,0.0116279069767441,0.0,0.0,0.0114942528735632,0.0344827586206896,0.0229885057471264,0.057471264367816,0.0,0.01380646885859393,0.01838917755899321,9,0.0,0.0,0.0229885057471264,0.0,0.0,0.0227272727272727,0.0666666666666666,0.0449438202247191,0.108695652173913,0.0,0.026602191753969783,0.03499624334597115,9,0.927479299319542,0.9159265433279588,0.9396400951001558,0.9219352061869756,0.941525269111476,0.887787440788718,0.9518167136302512,0.9592971004209828,0.9693892031056782,0.9509179860393142,0.9365714857031053,0.022734635988171336,8,116.64487624168396,1,500,25,29,12
"{'n_estimators': 100, 'max_depth': 48, 'min_samples_split': 14, 'min_samples_leaf': 23}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9166165660098926,0.901702511409286,0.9357322438717788,0.90909121963217,0.9347611614533708,0.8616567671484658,0.947890693101421,0.9576415495955726,0.9623007426327987,0.9471000831154088,0.9274493537970165,0.02915165696408853,13,19.139363288879395,1,100,48,14,23
"{'n_estimators': 1000, 'max_depth': 15, 'min_samples_split': 28, 'min_samples_leaf': 10}",0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,9,0.0,0.0,0.0116279069767441,0.0,0.0114942528735632,0.0114942528735632,0.0344827586206896,0.0,0.0229885057471264,0.0,0.009208767709168649,0.011264821038377752,10,0.0,0.0,0.0229885057471264,0.0,0.0227272727272727,0.0227272727272727,0.0666666666666666,0.0,0.0449438202247191,0.0,0.01800535380930575,0.021872341005431548,10,0.9195132948924656,0.9096070286666847,0.9355136228240374,0.9176516000327932,0.9406806003230012,0.8728874833600249,0.9474514653314142,0.9584524316325084,0.9673484833127234,0.9518437430314824,0.9320949753407135,0.02650831127974988,12,229.6650576591492,1,1000,15,28,10
"{'n_estimators': 1000, 'max_depth': 16, 'min_samples_split': 7, 'min_samples_leaf': 6}",1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8833333333333332,0.18333333333333335,7,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0229885057471264,0.057471264367816,0.1034482758620689,0.057471264367816,0.0804597701149425,0.0229885057471264,0.04262229350441052,0.0290331938781159,7,0.0454545454545454,0.0449438202247191,0.0454545454545454,0.0227272727272727,0.0444444444444444,0.108695652173913,0.1875,0.108695652173913,0.1489361702127659,0.0449438202247191,0.0801795923090838,0.05229150513945757,7,0.9274314759653486,0.9196465170934331,0.9414095592053124,0.924893422239226,0.9450661206727616,0.8854764269834513,0.9523437869542596,0.961060768851318,0.969365552379601,0.9563103515849364,0.9383003981929647,0.023444221117653617,7,236.51468062400815,1,1000,16,7,6
"{'n_estimators': 500, 'max_depth': 11, 'min_samples_split': 15, 'min_samples_leaf': 19}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9057128412537916,0.894296723417047,0.9253819036427732,0.9003771213073539,0.93092974382885,0.8314176245210728,0.9408495340806964,0.9542763891422896,0.9572327299019509,0.947059539013562,0.9187534150109388,0.03599670699250673,18,103.8904869556427,1,500,11,15,19
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 18}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9026248189544448,0.8939414642144673,0.9242751345885826,0.8996939305331622,0.928328163960348,0.8227682161270922,0.939525093420368,0.952728955921804,0.9567124139282503,0.9476879725921872,0.9168286164240707,0.03794891012968118,19,93.39105415344238,1,500,10,11,18
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 4, 'min_samples_leaf': 16}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9227037958079414,0.9085617467821714,0.9366818790479056,0.9184475172847264,0.938923689242974,0.8790569441910437,0.9504111847662297,0.956857696959868,0.9675714758728806,0.9498435673403746,0.9329059497296116,0.024949263919599902,10,119.66757106781006,1,500,43,4,16
"{'n_estimators': 500, 'max_depth': 33, 'min_samples_split': 6, 'min_samples_leaf': 16}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9226423086382642,0.9080766813324952,0.9368936681879048,0.9183655343918236,0.9389372039435896,0.8792731794008933,0.9505463317723856,0.9570333880678707,0.9674768729685717,0.9498097805888356,0.9329054949292634,0.024972415068305085,11,109.40103268623352,1,500,33,6,16
"{'n_estimators': 500, 'max_depth': 14, 'min_samples_split': 27, 'min_samples_leaf': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.905678681715082,0.8965922444183314,0.9267414532834148,0.9035539584073456,0.9290309283923588,0.8413847162250738,0.942322636447796,0.953127639589964,0.9587666484218208,0.9452350544304567,0.9202433961331644,0.033265105371612355,17,105.7379469871521,1,500,14,27,25
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 23, 'min_samples_leaf': 7}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9095045500505562,0.9009475856038038,0.9286680512666357,0.9034822233760555,0.936186962368316,0.8394318419861204,0.943126761134424,0.9567495793549434,0.959026806408671,0.9519113165345604,0.9229035678084087,0.034520808510767054,15,98.21417593955994,1,500,10,23,7
"{'n_estimators': 100, 'max_depth': 11, 'min_samples_split': 23, 'min_samples_leaf': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.8994787254392916,0.8902761457109284,0.923639767168584,0.8993352553767113,0.9218715157412476,0.8106590443755196,0.9385790643772765,0.951360592484475,0.9568475609344064,0.9461743261232406,0.9138221997731681,0.0408579383710582,20,19.02321028709412,1,100,11,23,25
"{'n_estimators': 1000, 'max_depth': 29, 'min_samples_split': 13, 'min_samples_leaf': 2}",0.8888888888888888,0.875,0.8571428571428571,0.967741935483871,0.8823529411764706,0.9411764705882352,0.9642857142857144,0.8888888888888888,1.0,0.95,0.9215477696454926,0.046145560790527514,5,0.1860465116279069,0.2441860465116279,0.2093023255813953,0.3488372093023256,0.3448275862068966,0.1839080459770115,0.3103448275862069,0.2758620689655172,0.2758620689655172,0.2183908045977011,0.2597567495322107,0.058254402345816976,5,0.3076923076923077,0.3818181818181818,0.3364485981308411,0.5128205128205129,0.4958677685950413,0.3076923076923077,0.4695652173913043,0.4210526315789473,0.4324324324324324,0.3551401869158878,0.4020530145067764,0.07185716809311711,5,0.9453857295111088,0.9458195556527204,0.9527983494110894,0.9431311999562758,0.9580165825376552,0.9262975801928548,0.9616216289268652,0.9648246129727612,0.974393021008602,0.9660071492766256,0.953829540944656,0.013338946558772855,5,259.4633078575134,1,1000,29,13,2
"{'n_estimators': 500, 'max_depth': 32, 'min_samples_split': 18, 'min_samples_leaf': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9125652447189352,0.9004795999234827,0.9317492416582408,0.9123056322247424,0.9318690155216336,0.8611161791238419,0.9460459364673924,0.9553372931406136,0.9620169339198714,0.9459716056140066,0.9259456682312761,0.028732037676905065,14,110.59593176841736,1,500,32,18,25
