params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 500, 'max_depth': 42, 'min_samples_split': 14, 'min_samples_leaf': 27, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.9013779957915448,0.8915434645970541,0.926635558713415,0.8955332987183342,0.926395561772318,0.8249069174995102,0.9326224600809532,0.943089595707731,0.940859670106158,0.9349334738862198,0.9117897996873239,0.033998996492102494,16,58.69790458679199,1,500,42,14,27,entropy
"{'n_estimators': 1000, 'max_depth': 40, 'min_samples_split': 7, 'min_samples_leaf': 25, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.9043908671057306,0.8937843303364033,0.9272504304101878,0.8991200502828409,0.9277233811078,0.8277112178772459,0.9349672606377588,0.943326102968504,0.9427382134917256,0.93545378985992,0.9136465644078117,0.033341607391768356,15,123.17058968544006,1,1000,40,7,25,entropy
"{'n_estimators': 1000, 'max_depth': 8, 'min_samples_split': 27, 'min_samples_leaf': 24, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.8806909791490176,0.8725780887054901,0.9126574754734512,0.8846773973164266,0.9098028880915217,0.78223425030577,0.9264056977977796,0.939927155763682,0.932858967341726,0.934055018346206,0.897588791829107,0.044673725123457596,20,99.69622349739076,1,1000,8,27,24,entropy
"{'n_estimators': 1000, 'max_depth': 26, 'min_samples_split': 19, 'min_samples_leaf': 24, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.904356707567021,0.8940507747383378,0.9274280600114776,0.9004317765692891,0.9286761675011994,0.8304411874015962,0.9351767384973004,0.9433531323697352,0.9430625663065,0.9357038118213088,0.9142680922783766,0.032677009229885055,14,124.24904465675354,1,1000,26,19,24,entropy
"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 26, 'min_samples_leaf': 22, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.9083192140573332,0.8967425463886536,0.9286373076817972,0.9005889104473533,0.9317102177894004,0.8378877874407887,0.936460635055782,0.9443194334637502,0.9446099995269854,0.9362849439477792,0.9165560995799623,0.031020835526923047,12,125.81471395492554,1,1000,50,26,22,entropy
"{'n_estimators': 500, 'max_depth': 8, 'min_samples_split': 22, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.8830069958735276,0.874422703795808,0.9139487060366736,0.8861120979422294,0.9112016596052356,0.7830181029414746,0.9285342631447356,0.9405150452404604,0.9336630920283538,0.934055018346206,0.8988477684954704,0.04458249279758273,19,51.091124057769775,1,500,8,22,19,entropy
"{'n_estimators': 1000, 'max_depth': 20, 'min_samples_split': 18, 'min_samples_leaf': 3, 'criterion': 'entropy'}",1.0,1.0,0.8333333333333334,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222221,0.05692750425533109,1,0.0116279069767441,0.0116279069767441,0.0581395348837209,0.0930232558139534,0.057471264367816,0.0919540229885057,0.1379310344827586,0.1149425287356321,0.0919540229885057,0.0344827586206896,0.07031542368350703,0.04062167739696036,8,0.0229885057471264,0.0229885057471264,0.108695652173913,0.1684210526315789,0.108695652173913,0.1684210526315789,0.2424242424242424,0.2061855670103092,0.1684210526315789,0.0666666666666666,0.12839079498380337,0.07118136605996529,8,0.9361455742901648,0.9303828601098572,0.9460040171617522,0.928387943049217,0.9554859548473852,0.890487002236683,0.949461777047984,0.9551041645549948,0.96505774155838,0.9547831904153744,0.9411300225271793,0.020300025725417493,8,138.83941626548767,1,1000,20,18,3,entropy
"{'n_estimators': 500, 'max_depth': 47, 'min_samples_split': 18, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.9112432705708742,0.8961208427841391,0.9316911704424344,0.9047973656163748,0.9321156588078684,0.8454695344861373,0.9379472521234972,0.9461439180468554,0.9482184245913492,0.9379675241744208,0.919171496164395,0.0297222694812454,9,62.547643184661865,1,500,47,18,19,entropy
"{'n_estimators': 500, 'max_depth': 31, 'min_samples_split': 11, 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.9101501653321672,0.8974325690705872,0.9306663842811468,0.9030893886808952,0.933196834857116,0.8406109996148311,0.9380350976774986,0.944522153972984,0.9466101752180934,0.9369201348767122,0.9181233903582033,0.030608160804885518,11,62.50610971450806,1,500,31,11,20,entropy
"{'n_estimators': 500, 'max_depth': 28, 'min_samples_split': 15, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.9112022791244228,0.8962711447544611,0.9317936490585632,0.9042849725357308,0.9324197395717192,0.8445910789461237,0.9378053477670336,0.946062829843162,0.9477791968213424,0.9374404508504126,0.918965068927297,0.029880946777030615,10,63.25701284408569,1,500,28,15,19,entropy
