params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 90.91998592852106, 'kernel': 'rbf'}",0.6506024096385542,0.7215189873417721,0.6630434782608695,0.5729166666666666,0.7846153846153846,0.8260869565217391,0.6375,0.8378378378378378,0.7866666666666666,0.6625,0.7143288387549491,0.08558420136257087,19,0.627906976744186,0.6627906976744186,0.7093023255813954,0.6395348837209303,0.5862068965517241,0.6551724137931034,0.5862068965517241,0.7126436781609196,0.6781609195402298,0.6091954022988506,0.6467121090617483,0.04326435344421891,5,0.6390532544378699,0.6909090909090908,0.6853932584269663,0.6043956043956044,0.6710526315789473,0.7307692307692308,0.6107784431137724,0.7701863354037266,0.728395061728395,0.6347305389221558,0.6765663449685759,0.05234217379021642,18,0.9345332440630724,0.9463968518569126,0.938536741999836,0.9182733036373076,0.925655631913614,0.9239291289099718,0.9267030212113224,0.9480562481839622,0.948529262705508,0.9404711224634597,0.9351084556944966,0.010413646757074034,15,68.43344187736511,1,90.91998592852106,rbf
"{'C': 57.165861695301466, 'kernel': 'rbf'}",0.6666666666666666,0.7160493827160493,0.6630434782608695,0.5978260869565217,0.7777777777777778,0.8636363636363636,0.6419753086419753,0.8378378378378378,0.7894736842105263,0.6666666666666666,0.7220953253371255,0.08520620906325786,12,0.627906976744186,0.6744186046511628,0.7093023255813954,0.6395348837209303,0.5632183908045977,0.6551724137931034,0.5977011494252874,0.7126436781609196,0.6896551724137931,0.5977011494252874,0.6467254744720663,0.04809192598349175,4,0.6467065868263472,0.6946107784431137,0.6853932584269663,0.6179775280898876,0.6533333333333333,0.7450980392156864,0.6190476190476192,0.7701863354037266,0.736196319018405,0.6303030303030304,0.6798852828108115,0.05255769933308224,11,0.9292726751017956,0.9478042248517476,0.937539283469516,0.9183655343918236,0.927993675120112,0.9264631352753958,0.9241757721962064,0.9533742828761984,0.952590430240494,0.9410117104880836,0.9358590724011373,0.011810302717110316,10,72.37879467010498,1,57.165861695301466,rbf
"{'C': 91.70962969483097, 'kernel': 'rbf'}",0.6585365853658537,0.7215189873417721,0.6630434782608695,0.5729166666666666,0.7846153846153846,0.8260869565217391,0.6375,0.8378378378378378,0.7866666666666666,0.6625,0.7151222563276789,0.08502468928761207,15,0.627906976744186,0.6627906976744186,0.7093023255813954,0.6395348837209303,0.5862068965517241,0.6551724137931034,0.5862068965517241,0.7126436781609196,0.6781609195402298,0.6091954022988506,0.6467121090617483,0.04326435344421891,5,0.6428571428571429,0.6909090909090908,0.6853932584269663,0.6043956043956044,0.6710526315789473,0.7307692307692308,0.6107784431137724,0.7701863354037266,0.728395061728395,0.6347305389221558,0.6769467338105032,0.05208134307020706,14,0.9334879621785586,0.9456180143743338,0.93655548875468,0.9159504550050556,0.9279734030691884,0.9253481724746092,0.9260813449830052,0.9484481745018144,0.9494955637995228,0.9417077175697866,0.9350666296710554,0.01066925625753823,16,71.56528162956238,1,91.70962969483097,rbf
"{'C': 86.0207305277606, 'kernel': 'rbf'}",0.6506024096385542,0.7215189873417721,0.6630434782608695,0.5789473684210527,0.7846153846153846,0.8260869565217391,0.6375,0.8378378378378378,0.7866666666666666,0.6625,0.7149319089303876,0.08460121653225053,16,0.627906976744186,0.6627906976744186,0.7093023255813954,0.6395348837209303,0.5862068965517241,0.6551724137931034,0.5862068965517241,0.7126436781609196,0.6781609195402298,0.6091954022988506,0.6467121090617483,0.04326435344421891,5,0.6390532544378699,0.6909090909090908,0.6853932584269663,0.6077348066298343,0.6710526315789473,0.7307692307692308,0.6107784431137724,0.7701863354037266,0.728395061728395,0.6347305389221558,0.676900265191999,0.05188938371085417,15,0.9365623206624216,0.9458093077911076,0.9381541551662886,0.9155405405405406,0.928196395629346,0.9239426436105876,0.927757167859339,0.950191570881226,0.9478737997256516,0.9406130268199232,0.9354640928686433,0.010746091436445967,14,71.9716911315918,1,86.0207305277606,rbf
"{'C': 8.021652803781015, 'kernel': 'rbf'}",0.7285714285714285,0.7647058823529411,0.7887323943661971,0.7297297297297297,0.8,0.9464285714285714,0.6933333333333334,0.8333333333333334,0.935483870967742,0.7611940298507462,0.7981512573934023,0.08072818895296852,2,0.5930232558139535,0.6046511627906976,0.6511627906976745,0.627906976744186,0.5517241379310345,0.6091954022988506,0.5977011494252874,0.6896551724137931,0.6666666666666666,0.5862068965517241,0.6177893611333869,0.03923680436275075,19,0.6538461538461539,0.6753246753246753,0.7133757961783439,0.675,0.6530612244897959,0.7412587412587412,0.6419753086419753,0.7547169811320755,0.7785234899328858,0.6623376623376623,0.694942003314231,0.045975931897879636,4,0.9329414095592052,0.9433019976498238,0.9497683983275488,0.9205449129614954,0.936656598214708,0.9244494448836722,0.926723293262246,0.9464277267597828,0.9527120625460344,0.9560873590247791,0.9389613203189298,0.011894724535869282,1,75.46216630935669,1,8.021652803781015,rbf
"{'C': 1.6377365924104361, 'kernel': 'rbf'}",0.6428571428571429,0.68,0.851063829787234,0.8269230769230769,0.8936170212765957,0.9090909090909092,0.7719298245614035,0.8620689655172413,0.96,0.8076923076923077,0.8205243077705913,0.09443432013102927,1,0.313953488372093,0.3953488372093023,0.4651162790697674,0.5,0.4827586206896552,0.3448275862068966,0.5057471264367817,0.5747126436781609,0.5517241379310345,0.4827586206896552,0.4616947340283346,0.08066753603060497,20,0.421875,0.5,0.6015037593984962,0.6231884057971014,0.6268656716417911,0.5000000000000001,0.611111111111111,0.689655172413793,0.7007299270072993,0.60431654676259,0.5879245594132182,0.08358153997227799,20,0.9279951083540569,0.9284425983111524,0.9442482168720792,0.9221845708195556,0.9336428199774304,0.9342881469318252,0.9272909106881008,0.9343658564603649,0.9507591883070812,0.94178880577348,0.9345006222495128,0.008342420220029638,20,64.50924968719482,1,1.6377365924104361,rbf
"{'C': 93.18650144317533, 'kernel': 'rbf'}",0.6585365853658537,0.7215189873417721,0.6630434782608695,0.5670103092783505,0.7846153846153846,0.8260869565217391,0.6375,0.8378378378378378,0.7866666666666666,0.6625,0.7145316205888473,0.08602511755684891,17,0.627906976744186,0.6627906976744186,0.7093023255813954,0.6395348837209303,0.5862068965517241,0.6551724137931034,0.5862068965517241,0.7126436781609196,0.6781609195402298,0.6091954022988506,0.6467121090617483,0.04326435344421891,5,0.6428571428571429,0.6909090909090908,0.6853932584269663,0.6010928961748634,0.6710526315789473,0.7307692307692308,0.6107784431137724,0.7701863354037266,0.728395061728395,0.6347305389221558,0.6766164629884291,0.052548749249133914,16,0.9336587598721068,0.9457614844369142,0.938044844642418,0.9164628480856994,0.926452999249934,0.925523863582612,0.928196395629346,0.9487522552656652,0.9468737118800976,0.9391264097522078,0.9348853572397001,0.010132365738235605,17,74.59499835968018,1,93.18650144317533,rbf
"{'C': 91.93867572644744, 'kernel': 'rbf'}",0.6585365853658537,0.7215189873417721,0.6630434782608695,0.5670103092783505,0.7846153846153846,0.8260869565217391,0.6375,0.8378378378378378,0.7866666666666666,0.6625,0.7145316205888473,0.08602511755684891,17,0.627906976744186,0.6627906976744186,0.7093023255813954,0.6395348837209303,0.5862068965517241,0.6551724137931034,0.5862068965517241,0.7126436781609196,0.6781609195402298,0.6091954022988506,0.6467121090617483,0.04326435344421891,5,0.6428571428571429,0.6909090909090908,0.6853932584269663,0.6010928961748634,0.6710526315789473,0.7307692307692308,0.6107784431137724,0.7701863354037266,0.728395061728395,0.6347305389221558,0.6766164629884291,0.052548749249133914,16,0.9344034378159756,0.9456453420053016,0.9369175798650016,0.9176311043095676,0.9257975362700778,0.923625048146121,0.9273990282930256,0.949394203544906,0.9491306668829018,0.93792360139742,0.93478675485303,0.010515921427119487,19,73.80937910079956,1,91.93867572644744,rbf
"{'C': 53.532594270552394, 'kernel': 'rbf'}",0.6666666666666666,0.7160493827160493,0.6630434782608695,0.6021505376344086,0.7777777777777778,0.8636363636363636,0.65,0.8493150684931506,0.8108108108108109,0.6666666666666666,0.7266116752662763,0.08731469623101618,11,0.627906976744186,0.6744186046511628,0.7093023255813954,0.6511627906976745,0.5632183908045977,0.6551724137931034,0.5977011494252874,0.7126436781609196,0.6896551724137931,0.5977011494252874,0.6478882651697407,0.04804456036419339,1,0.6467065868263472,0.6946107784431137,0.6853932584269663,0.6256983240223464,0.6533333333333333,0.7450980392156864,0.6227544910179641,0.7749999999999999,0.7453416149068324,0.6303030303030304,0.682423945649562,0.053133002821158085,10,0.9323128740469488,0.9461304074549776,0.9378467193179024,0.9192878419369824,0.928223425030577,0.9260982383587748,0.9220066627474036,0.9516376438470946,0.9497320710602958,0.9424712981545676,0.9355747181955524,0.011074452022770607,11,72.77246928215027,1,53.532594270552394,rbf
"{'C': 48.20099448570174, 'kernel': 'rbf'}",0.654320987654321,0.725,0.6703296703296703,0.6043956043956044,0.7903225806451613,0.8636363636363636,0.65,0.8493150684931506,0.8108108108108109,0.6708860759493671,0.7289017161914448,0.08788383425079935,10,0.6162790697674418,0.6744186046511628,0.7093023255813954,0.6395348837209303,0.5632183908045977,0.6551724137931034,0.5977011494252874,0.7126436781609196,0.6896551724137931,0.6091954022988506,0.6467121090617483,0.04765112929974761,5,0.6347305389221557,0.6987951807228916,0.6892655367231638,0.6214689265536724,0.6577181208053691,0.7450980392156864,0.6227544910179641,0.7749999999999999,0.7453416149068324,0.6385542168674698,0.6828726665735206,0.05371718742515388,9,0.9367877736179052,0.9458776268685268,0.9392745880359632,0.9181264176208564,0.9281423368268836,0.92559143708569,0.922256684708792,0.9532188638191192,0.9514957394906308,0.9441065769290544,0.9364878045003422,0.011778285155985448,8,74.87300229072571,1,48.20099448570174,rbf
