params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 100, 'learning_rate': 0.2189966675299736, 'max_depth': 18, 'min_child_weight': 13, 'reg_alpha': 0.0966689628746539, 'reg_lambda': 0.08000286048156267, 'gamma': 16.11190820095364, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,6,3.799152612686157,1,100,0.2189966675299736,18,13,0.0966689628746539,0.08000286048156267,16.11190820095364,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.1808999020025901, 'max_depth': 30, 'min_child_weight': 8, 'reg_alpha': 0.007631439521094141, 'reg_lambda': 0.03782052417822828, 'gamma': 52.7790428039632, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.5,0.5,0.5,0.5760404630136431,0.5,0.5,0.5,0.5,0.5367523806822568,0.06397061333225362,12,28.59011673927307,1,1000,0.1808999020025901,30,8,0.007631439521094141,0.03782052417822828,52.7790428039632,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.26718757821722666, 'max_depth': 23, 'min_child_weight': 14, 'reg_alpha': 0.020814241563187025, 'reg_lambda': 0.024793868568127743, 'gamma': 54.06117297557143, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,15.162488222122192,1,500,0.26718757821722666,23,14,0.020814241563187025,0.024793868568127743,54.06117297557143,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.1752787437081419, 'max_depth': 35, 'min_child_weight': 7, 'reg_alpha': 0.042089552099377675, 'reg_lambda': 0.006264246609593315, 'gamma': 14.763541375562811, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,6,28.81855273246765,1,1000,0.1752787437081419,35,7,0.042089552099377675,0.006264246609593315,14.763541375562811,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.005197764716460759, 'max_depth': 8, 'min_child_weight': 11, 'reg_alpha': 0.07035734131010843, 'reg_lambda': 0.08844281649503062, 'gamma': 30.520402398717636, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,15.292752504348757,1,500,0.005197764716460759,8,11,0.07035734131010843,0.08844281649503062,30.520402398717636,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.22727949244860476, 'max_depth': 20, 'min_child_weight': 13, 'reg_alpha': 0.033488348299371175, 'reg_lambda': 0.0031147739059134995, 'gamma': 18.952228840524608, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,6,14.875288009643556,1,500,0.22727949244860476,20,13,0.033488348299371175,0.0031147739059134995,18.952228840524608,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.13724474378859117, 'max_depth': 13, 'min_child_weight': 23, 'reg_alpha': 0.03395941427036425, 'reg_lambda': 0.012139075404554937, 'gamma': 67.56018197766446, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,14.71953582763672,1,500,0.13724474378859117,13,23,0.03395941427036425,0.012139075404554937,67.56018197766446,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.057048167188780065, 'max_depth': 17, 'min_child_weight': 17, 'reg_alpha': 0.021635307614182947, 'reg_lambda': 0.028824496577605684, 'gamma': 0.5522443104068132, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7018623780504468,0.820191020140464,0.8603831333861668,0.8297830186101167,0.8267212660571537,0.7038489867353214,0.9006365423989944,0.9160838452026192,0.913688364518505,0.9140633974605876,0.8387261952560376,0.07685854422438475,4,30.09599566459656,1,1000,0.057048167188780065,17,17,0.021635307614182947,0.028824496577605684,0.5522443104068132,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.10508128248230203, 'max_depth': 10, 'min_child_weight': 28, 'reg_alpha': 0.004647361691935828, 'reg_lambda': 0.042488738103306334, 'gamma': 74.53891559412273, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,4.0679004192352295,1,100,0.10508128248230203,10,28,0.004647361691935828,0.042488738103306334,74.53891559412273,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.11152009577667198, 'max_depth': 47, 'min_child_weight': 19, 'reg_alpha': 0.07579507251150011, 'reg_lambda': 0.012659904883430481, 'gamma': 64.84965229395117, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,29.59820795059204,1,1000,0.11152009577667198,47,19,0.07579507251150011,0.012659904883430481,64.84965229395117,gpu_hist,0,0.04843400447427293
