params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 51},0.8,0.7894736842105263,0.9166666666666666,0.9090909090909092,0.9090909090909092,1.0,0.8571428571428571,0.9166666666666666,1.0,1.0,0.9098131692868534,0.07335575169889642,5,0.2325581395348837,0.1744186046511628,0.127906976744186,0.2325581395348837,0.1149425287356321,0.160919540229885,0.1379310344827586,0.1264367816091954,0.160919540229885,0.160919540229885,0.16295108259823574,0.039148918107003244,13,0.3603603603603603,0.2857142857142857,0.2244897959183673,0.3703703703703703,0.2040816326530612,0.2772277227722772,0.2376237623762376,0.2222222222222222,0.2772277227722772,0.2772277227722772,0.27365455979317355,0.05315698754269322,13,0.9183723662995656,0.9125789085344193,0.9058768070395976,0.9151101303527996,0.955796792961544,0.901119692946002,0.9220945083014048,0.921989769371634,0.9374742376019516,0.9510024529181618,0.9241415666327082,0.017384749200115606,7,115.02941656112672,1,51
{'n_neighbors': 4},0.8301886792452831,0.7906976744186046,0.8620689655172413,0.8823529411764706,0.9130434782608696,0.8823529411764706,0.8444444444444444,0.875,0.8571428571428571,0.9534883720930232,0.8690780353475265,0.042308194681140665,16,0.5116279069767442,0.3953488372093023,0.2906976744186046,0.5232558139534884,0.4827586206896552,0.5172413793103449,0.4367816091954023,0.4022988505747126,0.2758620689655172,0.4712643678160919,0.4307137129109863,0.08522302108358483,2,0.6330935251798562,0.5271317829457364,0.4347826086956521,0.656934306569343,0.631578947368421,0.6521739130434783,0.5757575757575758,0.5511811023622047,0.417391304347826,0.6307692307692309,0.5710794297039324,0.08340400144222625,2,0.8893572541196405,0.853954308201022,0.8724141229196841,0.866436203645506,0.9102319798360666,0.871779277909546,0.8809591383026887,0.8692824369708151,0.8522066127430111,0.8430368883753302,0.8709658223023309,0.01851317822012184,18,115.18487310409546,1,4
{'n_neighbors': 3},0.75,0.74,0.7894736842105263,0.8360655737704918,0.921875,0.8360655737704918,0.8636363636363636,0.8148148148148148,0.8648648648648649,0.8,0.8216795875067554,0.052385342640907315,20,0.5581395348837209,0.4302325581395348,0.3488372093023256,0.5930232558139535,0.6781609195402298,0.5862068965517241,0.4367816091954023,0.5057471264367817,0.367816091954023,0.4597701149425287,0.49647153167602254,0.10095557530300175,1,0.6399999999999999,0.5441176470588235,0.4838709677419355,0.6938775510204083,0.7814569536423841,0.6891891891891891,0.5801526717557253,0.6241134751773051,0.5161290322580645,0.583941605839416,0.6136849093683252,0.08619625369746686,1,0.8648512010493811,0.7824720574973356,0.7583759188915914,0.8406150083349274,0.8808442633474561,0.8451586963719787,0.7687465790914066,0.8030367532283241,0.7604113874867388,0.8067769466236899,0.8111288811922831,0.0422265512673062,20,113.94709038734436,1,3
{'n_neighbors': 97},0.5,0.9230769230769232,0.75,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.8339743589743589,0.20096843933679603,19,0.0116279069767441,0.1395348837209302,0.0348837209302325,0.0116279069767441,0.057471264367816,0.0804597701149425,0.0229885057471264,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.03930767174552254,0.04025902308870481,20,0.0227272727272727,0.2424242424242424,0.0666666666666666,0.0229885057471264,0.108695652173913,0.1489361702127659,0.0444444444444444,0.0224719101123595,0.0227272727272727,0.0227272727272727,0.07248094099633363,0.07016706552282845,20,0.9257030033066432,0.9044181947366984,0.8947203016970458,0.9093952395266852,0.9445998635015238,0.8917202186678559,0.9189726124592026,0.9125159642401022,0.9323555447437952,0.943332860318812,0.9177733803198365,0.017709630516862602,15,115.07493567466736,1,97
{'n_neighbors': 68},0.8235294117647058,0.8125,0.875,0.9,1.0,1.0,0.8333333333333334,0.6666666666666666,1.0,1.0,0.8911029411764705,0.10593692141876097,12,0.1627906976744186,0.1511627906976744,0.0813953488372093,0.2093023255813953,0.0919540229885057,0.1149425287356321,0.057471264367816,0.0229885057471264,0.0689655172413793,0.0459770114942528,0.100695001336541,0.05545963121048615,17,0.2718446601941747,0.2549019607843137,0.1489361702127659,0.339622641509434,0.1684210526315789,0.2061855670103092,0.1075268817204301,0.0444444444444444,0.1290322580645161,0.0879120879120879,0.1758827724484055,0.08708954623809148,17,0.9302803814937284,0.9127189626431286,0.9038135709015386,0.918577323531823,0.9526681397690338,0.9046909525836728,0.922918905038956,0.9212734902390076,0.9396230749998312,0.94846168920243,0.925502649040315,0.016207349187381224,1,113.9829080104828,1,68
{'n_neighbors': 50},0.8,0.7894736842105263,0.9166666666666666,0.9090909090909092,0.9090909090909092,1.0,0.8461538461538461,0.9166666666666666,1.0,1.0,0.9087142681879523,0.07421383622833173,6,0.2325581395348837,0.1744186046511628,0.127906976744186,0.2325581395348837,0.1149425287356321,0.160919540229885,0.1264367816091954,0.1264367816091954,0.160919540229885,0.160919540229885,0.16180165731087942,0.040025563673224844,14,0.3603603603603603,0.2857142857142857,0.2244897959183673,0.3703703703703703,0.2040816326530612,0.2772277227722772,0.22,0.2222222222222222,0.2772277227722772,0.2772277227722772,0.27189218355554984,0.05459504278797661,14,0.9192810100292406,0.9128658486595796,0.904606072199601,0.9165550788402153,0.95652996546994,0.9025556298864088,0.9226418536763364,0.9232263644779608,0.9381161858811922,0.9459851203146225,0.9242363129435096,0.016674369542587556,6,113.9692018032074,1,50
{'n_neighbors': 9},0.7796610169491526,0.6888888888888889,0.7419354838709677,0.8863636363636364,0.9166666666666666,0.8974358974358975,0.8367346938775511,0.8409090909090909,0.8387096774193549,0.951219512195122,0.837852456457633,0.07730140427724722,18,0.5348837209302325,0.3604651162790697,0.2674418604651162,0.4534883720930232,0.632183908045977,0.4022988505747126,0.4712643678160919,0.425287356321839,0.2988505747126437,0.4482758620689655,0.4294439989307671,0.10184020731149378,4,0.6344827586206897,0.4732824427480915,0.3931623931623931,0.6,0.7482993197278912,0.5555555555555556,0.6029411764705882,0.564885496183206,0.4406779661016949,0.609375,0.562266210857011,0.09821959275570757,4,0.91325868335474,0.8621765091684203,0.8813024348919192,0.914751455196349,0.9283720867373486,0.8831890639042619,0.9118773946360152,0.9079513741071852,0.8884395250934204,0.9242095589477454,0.9015528086037407,0.0203988441463208,17,114.22670602798462,1,9
{'n_neighbors': 4},0.8301886792452831,0.7906976744186046,0.8620689655172413,0.8823529411764706,0.9130434782608696,0.8823529411764706,0.8444444444444444,0.875,0.8571428571428571,0.9534883720930232,0.8690780353475265,0.042308194681140665,16,0.5116279069767442,0.3953488372093023,0.2906976744186046,0.5232558139534884,0.4827586206896552,0.5172413793103449,0.4367816091954023,0.4022988505747126,0.2758620689655172,0.4712643678160919,0.4307137129109863,0.08522302108358483,2,0.6330935251798562,0.5271317829457364,0.4347826086956521,0.656934306569343,0.631578947368421,0.6521739130434783,0.5757575757575758,0.5511811023622047,0.417391304347826,0.6307692307692309,0.5710794297039324,0.08340400144222625,2,0.8893572541196405,0.853954308201022,0.8724141229196841,0.866436203645506,0.9102319798360666,0.871779277909546,0.8809591383026887,0.8692824369708151,0.8522066127430111,0.8430368883753302,0.8709658223023309,0.01851317822012184,18,114.28257012367249,1,4
{'n_neighbors': 38},0.8484848484848485,0.8,0.9230769230769232,0.92,0.9166666666666666,0.8823529411764706,0.8285714285714286,0.9545454545454546,0.9444444444444444,1.0,0.9018142706966236,0.05847665514159641,7,0.3255813953488372,0.1860465116279069,0.1395348837209302,0.2674418604651162,0.1264367816091954,0.1724137931034483,0.3333333333333333,0.2413793103448276,0.1954022988505747,0.2528735632183908,0.22404437316225603,0.06846008053902874,6,0.4705882352941176,0.3018867924528302,0.2424242424242424,0.4144144144144144,0.2222222222222222,0.2884615384615384,0.4754098360655737,0.3853211009174311,0.3238095238095237,0.4036697247706423,0.3528207630832536,0.08553030274987915,6,0.9253511600579346,0.9000867652283223,0.900366873445741,0.91732025250731,0.95479670511599,0.8964300918323909,0.9189455830579714,0.9093163588693602,0.932855588666572,0.9427517281923412,0.9198221106973934,0.01839023281112775,14,113.91627931594849,1,38
{'n_neighbors': 46},0.8387096774193549,0.8,0.9230769230769232,0.9047619047619048,0.9090909090909092,1.0,0.85,0.9166666666666666,1.0,1.0,0.9142306081015759,0.06719155013405316,2,0.3023255813953488,0.1860465116279069,0.1395348837209302,0.2209302325581395,0.1149425287356321,0.160919540229885,0.1954022988505747,0.1264367816091954,0.1724137931034483,0.1839080459770115,0.18028601978080722,0.05107603225703874,10,0.4444444444444443,0.3018867924528302,0.2424242424242424,0.3551401869158878,0.2040816326530612,0.2772277227722772,0.3177570093457944,0.2222222222222222,0.2941176470588235,0.3106796116504854,0.29699815119400685,0.06585234597973678,10,0.9210778017653648,0.9047187986773426,0.8968040335583307,0.915923127374088,0.9567360646543276,0.8917067039672404,0.9140194746835872,0.918648259644428,0.9389777480454364,0.947258880847642,0.9205870893217787,0.020190958914915243,12,114.1399233341217,1,46
