params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 500, 'max_depth': 17, 'min_samples_split': 25, 'min_samples_leaf': 16, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.867338015467439,0.8429173612439538,0.8844041210067499,0.8518569125242532,0.905620088250995,0.7279254258820032,0.9088433443478144,0.9239629156615108,0.9133471183279612,0.9303486117023791,0.8756563914415061,0.0568796648493574,9,223.74774932861328,1,500,17,25,16,entropy
"{'n_estimators': 500, 'max_depth': 41, 'min_samples_split': 16, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.866678736370344,0.8421316918536332,0.8873486732435165,0.8563249801874675,0.9065999040456256,0.7100522343178793,0.9080257049605708,0.9217532621108612,0.9135633535378108,0.9310446187840824,0.874352315941179,0.06144724227691041,12,222.79157972335813,1,500,41,16,19,entropy
"{'n_estimators': 500, 'max_depth': 9, 'min_samples_split': 24, 'min_samples_leaf': 17, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8490934058426475,0.8295063263465691,0.8768821905828984,0.8353646872352636,0.8978288633461046,0.7147891368836452,0.9063228526830058,0.9178306202571848,0.9062856872563132,0.9281524728523451,0.8662056243285976,0.06029109103306062,15,164.48788714408877,1,500,9,24,17,entropy
"{'n_estimators': 500, 'max_depth': 42, 'min_samples_split': 23, 'min_samples_leaf': 18, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8665352663077638,0.8442154237149182,0.888226573388353,0.8546648266061815,0.9072925324521748,0.7182286281903142,0.9068499260070142,0.922624960300567,0.9135701108881183,0.9319028022731728,0.8754111050128579,0.05935850483526401,10,227.76562118530276,1,500,42,23,18,entropy
"{'n_estimators': 100, 'max_depth': 35, 'min_samples_split': 13, 'min_samples_leaf': 16, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8576879457819802,0.847809007187167,0.8840625256196539,0.8512488727352225,0.9067080216505504,0.730263469088501,0.8894767783656672,0.9273044253887166,0.9219492252697872,0.935061863542068,0.8751572134629315,0.05691757621120143,11,51.267892837524414,1,100,35,13,16,entropy
"{'n_estimators': 500, 'max_depth': 37, 'min_samples_split': 25, 'min_samples_leaf': 26, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8528577870084442,0.8350401716175226,0.8790581531986992,0.840737982674282,0.8960584375654619,0.6777791292478393,0.9083331643995756,0.926088102333313,0.9069377715610154,0.9246859521444452,0.8647576651750597,0.0698410369962398,17,185.872752904892,1,500,37,25,26,entropy
"{'n_estimators': 500, 'max_depth': 23, 'min_samples_split': 11, 'min_samples_leaf': 30, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8456296286174951,0.831344109529145,0.881903642773208,0.8341315278878474,0.8872941542162487,0.6740456932027813,0.9078364991519524,0.9204490935014562,0.903552339056809,0.9251082865386824,0.8611294974475625,0.07040323234345226,20,166.6122660636902,1,500,23,11,30,entropy
"{'n_estimators': 100, 'max_depth': 31, 'min_samples_split': 13, 'min_samples_leaf': 21, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8564103790342416,0.8394467521110595,0.8826961440712704,0.8519969666329625,0.8948691439112895,0.690395102272497,0.8897876164798258,0.922425618466487,0.920993060201234,0.931791305993094,0.8680812089173962,0.06633363323097473,14,43.33532428741455,1,100,31,13,21,entropy
"{'n_estimators': 1000, 'max_depth': 42, 'min_samples_split': 12, 'min_samples_leaf': 9, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8916049517667314,0.8725610089361353,0.9022080725821876,0.8744705271500014,0.9238041179292776,0.7725948900916972,0.9161987201578518,0.937258002392102,0.9351632237966848,0.936524829883706,0.8962388344686374,0.047284576572467076,6,674.6692748069763,1,1000,42,12,9,entropy
"{'n_estimators': 1000, 'max_depth': 31, 'min_samples_split': 29, 'min_samples_leaf': 14, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8744090399803242,0.8518842401552209,0.8919533790615691,0.8608306233432623,0.9139316291295858,0.7387709731260178,0.9106340421793808,0.9312067951914696,0.9241014413428208,0.9317777912924784,0.8829499954802131,0.05525262801486119,8,554.1848831176758,1,1000,31,29,14,entropy
"{'n_estimators': 500, 'max_depth': 28, 'min_samples_split': 17, 'min_samples_leaf': 29, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8495853032000656,0.8302783319214058,0.8835535484928811,0.8367276528297762,0.8876995952347166,0.6742484137120153,0.9069715583125544,0.9218174569387853,0.9029779642806464,0.9240102171136654,0.8617870042036513,0.07021348828963926,18,173.45378303527832,1,500,28,17,29,entropy
"{'n_estimators': 100, 'max_depth': 40, 'min_samples_split': 11, 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8557135244445658,0.8411888885852485,0.8824365315770776,0.86053685131036,0.9029002547521066,0.6883239744031571,0.8869089852487043,0.9226350963260288,0.9213647144681628,0.9307439166953856,0.8692752737810796,0.06689265971638184,13,44.78051209449768,1,100,40,11,20,entropy
"{'n_estimators': 100, 'max_depth': 26, 'min_samples_split': 23, 'min_samples_leaf': 25, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8456467083868499,0.8331545650807533,0.8782554040390238,0.8436654551416938,0.8905714691155304,0.6813503888855101,0.8947069675039023,0.9221080230020204,0.9081405799158032,0.920188935514606,0.8617788496585692,0.0673406490985955,19,40.205442667007446,1,100,26,23,25,entropy
"{'n_estimators': 100, 'max_depth': 42, 'min_samples_split': 26, 'min_samples_leaf': 22, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8534863225207006,0.8334551690213976,0.8821769190828848,0.8501660153581285,0.8922810787434032,0.6864724604188205,0.8875779629291761,0.9228445741855704,0.9162358855845446,0.9295275936399818,0.8654223981484608,0.06700893650088524,16,43.0147967338562,1,100,42,26,22,entropy
"{'n_estimators': 100, 'max_depth': 46, 'min_samples_split': 25, 'min_samples_leaf': 4, 'criterion': 'entropy'}",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45825756949558394,4,0.0,0.0348837209302325,0.0116279069767441,0.0,0.0114942528735632,0.0,0.0,0.0,0.0,0.0,0.0058005880780539806,0.010713224702240457,4,0.0,0.0674157303370786,0.0229885057471264,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.011313150881147769,0.02076055680946696,4,0.9138735550515126,0.9088965102615254,0.9187686169485968,0.9258328095537398,0.949056336029516,0.8303871285991337,0.9202058288903756,0.9439139924452824,0.9499584422956072,0.9458803813848512,0.9206773601460141,0.03347496348869216,4,87.03431820869446,1,100,46,25,4,entropy
"{'n_estimators': 500, 'max_depth': 12, 'min_samples_split': 6, 'min_samples_leaf': 7, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8781734211461208,0.8726224961058126,0.889381165796737,0.8615582215177766,0.9120733577949416,0.7531742653070879,0.911259097082852,0.9327339563610316,0.9298451891044484,0.9334705075445816,0.887429167776139,0.05113614250150889,7,248.20110750198364,1,500,12,6,7,entropy
"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 23, 'min_samples_leaf': 6, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.902122673735414,0.8964556062634931,0.9095557893586204,0.894467521110595,0.935588936866076,0.7996006405968092,0.9224965706447188,0.9402075858014556,0.9439004777446668,0.9412347030482408,0.908563050517009,0.04062343373765368,5,765.1319036483765,1,1000,50,23,6,entropy
"{'n_estimators': 1000, 'max_depth': 33, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6,0.4898979485566356,3,0.0,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0,0.0114942528735632,0.0114942528735632,0.0229885057471264,0.0,0.00807270783213042,0.00737262007525236,3,0.0,0.0229885057471264,0.0229885057471264,0.0,0.0227272727272727,0.0,0.0227272727272727,0.0227272727272727,0.0449438202247191,0.0,0.015910264990079,0.014474499043757479,3,0.9240770092640668,0.9232161888885853,0.9239437870630997,0.9432336785724046,0.9623683161358768,0.8516052085656173,0.9347476467527552,0.953333738774352,0.9553710798921528,0.9549994256252238,0.9326896079534134,0.030413299182419567,3,888.4919180870056,1,1000,33,2,2,entropy
"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.30000000000000004,1,0.0581395348837209,0.0348837209302325,0.0348837209302325,0.0,0.0114942528735632,0.0689655172413793,0.0344827586206896,0.0229885057471264,0.0229885057471264,0.0114942528735632,0.0300320769847634,0.020152366386760674,1,0.1098901098901098,0.0674157303370786,0.0674157303370786,0.0,0.0227272727272727,0.1290322580645161,0.0666666666666666,0.0449438202247191,0.0449438202247191,0.0227272727272727,0.05757626811994333,0.03765906399384284,1,0.9300139370917936,0.9273836526111552,0.9292487634246988,0.947681250512393,0.9672673951090298,0.8675457979417112,0.9410522545899302,0.9549082013960686,0.9574320717360308,0.9560806016744714,0.9378613926087283,0.02677068316494945,1,954.3677666187286,1,1000,50,2,2,entropy
"{'n_estimators': 1000, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.30000000000000004,1,0.0581395348837209,0.0348837209302325,0.0348837209302325,0.0,0.0114942528735632,0.0689655172413793,0.0344827586206896,0.0229885057471264,0.0229885057471264,0.0114942528735632,0.0300320769847634,0.020152366386760674,1,0.1098901098901098,0.0674157303370786,0.0674157303370786,0.0,0.0227272727272727,0.1290322580645161,0.0666666666666666,0.0449438202247191,0.0449438202247191,0.0227272727272727,0.05757626811994333,0.03765906399384284,1,0.9300139370917936,0.9273836526111552,0.9292487634246988,0.947681250512393,0.9672673951090298,0.8675457979417112,0.9410522545899302,0.9549082013960686,0.9574320717360308,0.9560806016744714,0.9378613926087283,0.02677068316494945,1,906.7403836250304,1,1000,50,2,2,entropy
