params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 10.559736917901876, 'kernel': 'rbf'}",0.7631578947368421,0.7719298245614035,0.8205128205128205,0.859375,0.9420289855072465,0.958904109589041,0.8703703703703703,0.8909090909090909,0.82,0.7285714285714285,0.8425759524758243,0.07218418526820153,3,0.6744186046511628,0.5116279069767442,0.3720930232558139,0.6395348837209303,0.7471264367816092,0.8045977011494253,0.5402298850574713,0.5632183908045977,0.4712643678160919,0.5862068965517241,0.591031809676557,0.12298086927393165,18,0.7160493827160495,0.6153846153846154,0.512,0.7333333333333334,0.8333333333333334,0.875,0.6666666666666666,0.6901408450704224,0.5985401459854015,0.6496815286624203,0.6890129851152242,0.10251948815163522,2,0.9519853523898012,0.9335084579017844,0.9355477823627468,0.9539153663268932,0.9760384358085508,0.9356700250697696,0.9445998635015238,0.9514889821403232,0.961527026022556,0.9541175914100564,0.9498398882934007,0.012507624339696115,1,977.6427931785583,1,10.559736917901876,rbf
"{'C': 4.944018320434419, 'kernel': 'rbf'}",0.8,0.8,0.8918918918918919,0.8709677419354839,0.9411764705882352,0.9701492537313432,0.8979591836734694,0.9148936170212766,0.9111111111111112,0.8166666666666667,0.8814815936619478,0.056026426992443895,1,0.6511627906976745,0.5116279069767442,0.3837209302325581,0.627906976744186,0.735632183908046,0.7471264367816092,0.5057471264367817,0.4942528735632184,0.4712643678160919,0.5632183908045977,0.5691659983961508,0.1124764078390518,20,0.7179487179487181,0.624113475177305,0.5365853658536586,0.7297297297297297,0.8258064516129032,0.8441558441558441,0.6470588235294119,0.6417910447761194,0.6212121212121212,0.6666666666666665,0.6855068240662477,0.09038056283474376,5,0.9571229470117236,0.9349978137895224,0.9348236001421036,0.9458127237449786,0.971125842134782,0.9408123686540034,0.946657476670248,0.9516376438470948,0.9594187327265232,0.9531039888638868,0.9495513137584867,0.010791480691496434,3,981.2882599830627,1,4.944018320434419,rbf
"{'C': 71.82153703107292, 'kernel': 'rbf'}",0.6976744186046512,0.8035714285714286,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9315068493150684,0.8392857142857143,0.8333333333333334,0.803921568627451,0.7027027027027027,0.8161462966399838,0.07639096225901792,11,0.6976744186046512,0.5232558139534884,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5747126436781609,0.4712643678160919,0.5977011494252874,0.596832397754611,0.11941597712669974,1,0.6976744186046512,0.6338028169014085,0.515625,0.718954248366013,0.8407643312101911,0.85,0.6573426573426573,0.6802721088435374,0.5942028985507246,0.6459627329192548,0.6834601212738438,0.09728396171729409,11,0.9499152843440002,0.9284596780805072,0.9289584073456671,0.952603640040445,0.974896443606533,0.9307743247717706,0.9408360193800808,0.945157344901917,0.9596822693885274,0.9555231202740782,0.9466806532133527,0.014228422669566719,14,948.5472042560576,1,71.82153703107292,rbf
"{'C': 88.23096752023446, 'kernel': 'rbf'}",0.6976744186046512,0.8035714285714286,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9315068493150684,0.8392857142857143,0.8333333333333334,0.7735849056603774,0.6842105263157895,0.8112634127045851,0.0801978753497196,18,0.6976744186046512,0.5232558139534884,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5747126436781609,0.4712643678160919,0.5977011494252874,0.596832397754611,0.11941597712669974,1,0.6976744186046512,0.6338028169014085,0.515625,0.718954248366013,0.8407643312101911,0.85,0.6573426573426573,0.6802721088435374,0.5857142857142857,0.638036809815951,0.6818186676798694,0.09841715705428868,18,0.9486923728581969,0.9291565326701828,0.9271616156095428,0.9535464433088296,0.974457215836526,0.9303418543520714,0.9408968355328508,0.9459682269388529,0.9592430416185204,0.9554960908728468,0.9464960229598421,0.014307034134183992,17,951.2542424201964,1,88.23096752023446,rbf
"{'C': 30.959156028762354, 'kernel': 'rbf'}",0.7058823529411765,0.8,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9444444444444444,0.8392857142857143,0.8596491228070176,0.7884615384615384,0.7162162162162162,0.8203406340115595,0.07673853436901712,7,0.6976744186046512,0.5116279069767442,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5632183908045977,0.4712643678160919,0.6091954022988506,0.5956696070569367,0.12051026253758608,12,0.7017543859649124,0.624113475177305,0.515625,0.718954248366013,0.8407643312101911,0.8553459119496855,0.6573426573426573,0.6805555555555556,0.5899280575539568,0.6583850931677019,0.6842768716287978,0.09881062524116706,8,0.9517120760801246,0.9306322247424372,0.9292077719782472,0.9541544830978602,0.9767141708393304,0.9310108320325434,0.93798441755019,0.9472149580706412,0.9577631819011128,0.9530296580105008,0.9469423774302987,0.014247595466741526,7,946.5844731330872,1,30.959156028762354,rbf
"{'C': 79.36021139929507, 'kernel': 'rbf'}",0.6976744186046512,0.8035714285714286,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9315068493150684,0.8392857142857143,0.8333333333333334,0.803921568627451,0.6933333333333334,0.8152093597030469,0.07782068336316701,15,0.6976744186046512,0.5232558139534884,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5747126436781609,0.4712643678160919,0.5977011494252874,0.596832397754611,0.11941597712669974,1,0.6976744186046512,0.6338028169014085,0.515625,0.718954248366013,0.8407643312101911,0.85,0.6573426573426573,0.6802721088435374,0.5942028985507246,0.6419753086419753,0.6830613788461158,0.09744487552691988,15,0.9493414040936792,0.928548492881152,0.9269224988385756,0.9537992238952804,0.97499780386115,0.9304026705048416,0.9403089460560724,0.9452215397298412,0.959594423834526,0.9554555467710002,0.9464592550466119,0.014593659615248698,18,951.5377159118652,1,79.36021139929507,rbf
"{'C': 28.928194828834652, 'kernel': 'rbf'}",0.7058823529411765,0.8,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9577464788732394,0.8392857142857143,0.8596491228070176,0.7884615384615384,0.7162162162162162,0.821670837454439,0.0789613466179778,6,0.6976744186046512,0.5116279069767442,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5632183908045977,0.4712643678160919,0.6091954022988506,0.5956696070569367,0.12051026253758608,12,0.7017543859649124,0.624113475177305,0.515625,0.718954248366013,0.8407643312101911,0.860759493670886,0.6573426573426573,0.6805555555555556,0.5899280575539568,0.6583850931677019,0.6848182298009179,0.09975668661565473,6,0.952005848113027,0.9308303500669528,0.9304375153717924,0.9539358620501188,0.9762208842668614,0.9308351409245406,0.9382817409637332,0.9474413293059524,0.9579794171109624,0.9530499300614242,0.9471018018235364,0.013990530189754265,6,910.1145141124724,1,28.928194828834652,rbf
"{'C': 42.83646903458358, 'kernel': 'rbf'}",0.7058823529411765,0.8035714285714286,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9444444444444444,0.8245614035087719,0.8305084745762712,0.7884615384615384,0.6973684210526315,0.8144265014515751,0.07804045046544553,17,0.6976744186046512,0.5232558139534884,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5632183908045977,0.4712643678160919,0.6091954022988506,0.596832397754611,0.11974742712307987,1,0.7017543859649124,0.6338028169014085,0.515625,0.718954248366013,0.8407643312101911,0.8553459119496855,0.6527777777777778,0.6712328767123288,0.5899280575539568,0.6503067484662576,0.6830492154902531,0.09871927108609026,17,0.9513499849698028,0.927810646845025,0.927892629737928,0.9540178449430218,0.9757816564968544,0.9308081115233094,0.938957475994513,0.945326278659612,0.9582970125754288,0.9543338266199058,0.9464575468365399,0.014621918068582665,19,903.1636950969696,1,42.83646903458358,rbf
"{'C': 68.60616017805461, 'kernel': 'rbf'}",0.6976744186046512,0.8035714285714286,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9315068493150684,0.8392857142857143,0.8333333333333334,0.803921568627451,0.7027027027027027,0.8161462966399838,0.07639096225901792,11,0.6976744186046512,0.5232558139534884,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5747126436781609,0.4712643678160919,0.5977011494252874,0.596832397754611,0.11941597712669974,1,0.6976744186046512,0.6338028169014085,0.515625,0.718954248366013,0.8407643312101911,0.85,0.6573426573426573,0.6802721088435374,0.5942028985507246,0.6459627329192548,0.6834601212738438,0.09728396171729409,11,0.9501817287459348,0.9277150001366382,0.928972071161151,0.9538607110649576,0.9753424287268476,0.9313486995479332,0.9406265415205388,0.9449005655902208,0.9598241737449912,0.9552663409623818,0.9468038261201596,0.014421519493875976,11,903.2150974273682,1,68.60616017805461,rbf
"{'C': 39.82731839410629, 'kernel': 'rbf'}",0.7058823529411765,0.8035714285714286,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9444444444444444,0.8245614035087719,0.8305084745762712,0.7884615384615384,0.7162162162162162,0.8163112809679335,0.07537258194434414,10,0.6976744186046512,0.5232558139534884,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5632183908045977,0.4712643678160919,0.6091954022988506,0.596832397754611,0.11974742712307987,1,0.7017543859649124,0.6338028169014085,0.515625,0.718954248366013,0.8407643312101911,0.8553459119496855,0.6527777777777778,0.6712328767123288,0.5899280575539568,0.6583850931677019,0.6838570499603975,0.09848079439946784,10,0.9515617741098024,0.9296825895663104,0.9285382450195392,0.954352608422376,0.9760722225600896,0.9307472953705394,0.9388696304405116,0.9457790211302344,0.9581145641171184,0.9545433044794476,0.9468261255215967,0.014396772625488054,10,906.6138498783112,1,39.82731839410629,rbf
"{'C': 74.87156186500327, 'kernel': 'rbf'}",0.6976744186046512,0.8035714285714286,0.7857142857142857,0.8208955223880597,0.9428571428571428,0.9315068493150684,0.8392857142857143,0.8333333333333334,0.803921568627451,0.6933333333333334,0.8152093597030469,0.07782068336316701,15,0.6976744186046512,0.5232558139534884,0.3837209302325581,0.6395348837209303,0.7586206896551724,0.7816091954022989,0.5402298850574713,0.5747126436781609,0.4712643678160919,0.5977011494252874,0.596832397754611,0.11941597712669974,1,0.6976744186046512,0.6338028169014085,0.515625,0.718954248366013,0.8407643312101911,0.85,0.6573426573426573,0.6802721088435374,0.5942028985507246,0.6419753086419753,0.6830613788461158,0.09744487552691988,15,0.9496215123110976,0.9288217691908288,0.9278448063837348,0.9539768534965704,0.9749167156574564,0.930659449816538,0.9407549311763872,0.9455188631433844,0.9597701149425288,0.9558339583882368,0.9467718974506762,0.014425893117778064,12,899.9742362499237,1,74.87156186500327,rbf
