params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 1000, 'learning_rate': 0.24556936079740763}",0.36,0.6571428571428571,0.6086956521739131,0.5,0.5135135135135135,0.5555555555555556,0.6,0.7222222222222222,0.875,0.7727272727272727,0.6164857073335334,0.1407395958363537,16,0.1046511627906976,0.2674418604651162,0.1627906976744186,0.3255813953488372,0.2183908045977011,0.057471264367816,0.2068965517241379,0.1494252873563218,0.2413793103448276,0.1954022988505747,0.19294306335204486,0.07435619216229025,1,0.1621621621621621,0.3801652892561983,0.2568807339449541,0.3943661971830986,0.3064516129032258,0.1041666666666666,0.3076923076923077,0.2476190476190476,0.3783783783783784,0.3119266055045872,0.28498090013106264,0.09023022079552215,2,0.8724072910119423,0.8677035225316317,0.880407454977728,0.8385278605197715,0.9075695838147946,0.8713400501395394,0.8896592268239779,0.9070695398920176,0.9279159655915724,0.8496726063775872,0.8812273101680562,0.026059013712453616,14,690.7183003425598,1,1000,0.24556936079740763
"{'n_estimators': 500, 'learning_rate': 0.14677834610573942}",0.5333333333333333,0.7241379310344828,0.6666666666666666,0.56,0.5454545454545454,0.7142857142857143,0.6190476190476191,0.75,0.8823529411764706,0.8571428571428571,0.6852421608141689,0.11746562487428788,12,0.0930232558139534,0.2441860465116279,0.1395348837209302,0.3255813953488372,0.2068965517241379,0.057471264367816,0.1494252873563218,0.1379310344827586,0.1724137931034483,0.1379310344827586,0.16643945469125898,0.07276397588811381,5,0.1584158415841584,0.3652173913043478,0.2307692307692307,0.411764705882353,0.3,0.1063829787234042,0.2407407407407407,0.233009708737864,0.2884615384615384,0.2376237623762376,0.25723858985798753,0.08532824264739057,5,0.8733466783264558,0.8667060640013117,0.8940063673380154,0.8423810564862131,0.9067688378033208,0.8591869556109658,0.8900680465175996,0.9134991587098866,0.9245474264631351,0.8706305283572207,0.8841141119614125,0.024715728556536275,10,360.0207107067108,1,500,0.14677834610573942
"{'n_estimators': 500, 'learning_rate': 0.03814785479234181}",0.75,0.9047619047619048,0.9,0.9,0.9473684210526316,1.0,0.7142857142857143,0.6666666666666666,1.0,1.0,0.8783082706766917,0.1178962985858487,4,0.0348837209302325,0.2209302325581395,0.1046511627906976,0.313953488372093,0.2068965517241379,0.0459770114942528,0.1149425287356321,0.0459770114942528,0.1264367816091954,0.0344827586206896,0.1249131248329323,0.0899632549480373,12,0.0666666666666666,0.3551401869158878,0.1875,0.4655172413793103,0.3396226415094339,0.0879120879120879,0.198019801980198,0.086021505376344,0.2244897959183673,0.0666666666666666,0.20775565943249621,0.13241266430085058,12,0.865599294947121,0.868513103599049,0.8978083239963928,0.8821974148061105,0.9005013953928385,0.8113820808584538,0.8939400082439675,0.9172325947549448,0.9152189043632212,0.8849662470352126,0.8837359367997312,0.029148023447874698,11,342.55470728874207,1,500,0.03814785479234181
"{'n_estimators': 1000, 'learning_rate': 0.12357026827116312}",0.4090909090909091,0.7,0.5833333333333334,0.5283018867924528,0.5454545454545454,0.625,0.56,0.7058823529411765,0.9047619047619048,0.8421052631578947,0.6403930195532217,0.14263757367522553,13,0.1046511627906976,0.2441860465116279,0.1627906976744186,0.3255813953488372,0.2068965517241379,0.057471264367816,0.160919540229885,0.1379310344827586,0.2183908045977011,0.1839080459770115,0.18027265437048914,0.07116625551888692,4,0.1666666666666666,0.3620689655172414,0.2545454545454546,0.4028776978417266,0.3,0.1052631578947368,0.25,0.2307692307692307,0.3518518518518519,0.3018867924528302,0.2725929817539739,0.08641547071567211,4,0.8741494274861311,0.8715088951438799,0.890467439127702,0.8405876807039597,0.9071641427963268,0.8663193388608459,0.8970010879333995,0.9099143843716004,0.927388892267564,0.8692858156459689,0.8853787104337378,0.024391351701651198,5,712.5394554138184,1,1000,0.12357026827116312
"{'n_estimators': 100, 'learning_rate': 0.09917713958567043}",1.0,0.8461538461538461,0.8571428571428571,0.8666666666666667,1.0,1.0,0.4285714285714285,1.0,1.0,1.0,0.8998534798534799,0.16973271262978823,1,0.0232558139534883,0.127906976744186,0.0697674418604651,0.1511627906976744,0.0459770114942528,0.0344827586206896,0.0344827586206896,0.0229885057471264,0.0229885057471264,0.0114942528735632,0.05445068163592618,0.045443385683496665,16,0.0454545454545454,0.2222222222222222,0.1290322580645161,0.2574257425742574,0.0879120879120879,0.0666666666666666,0.0638297872340425,0.0449438202247191,0.0449438202247191,0.0227272727272727,0.0985158223305049,0.07623394262446058,16,0.8471019047358785,0.8652030442980898,0.8913350914109256,0.8806089962561146,0.8957273274003796,0.782768080980086,0.8877266246359479,0.90558968017461,0.9100934541547568,0.8880307053997987,0.8754184909446587,0.03550524336895057,16,74.90901565551758,1,100,0.09917713958567043
"{'n_estimators': 100, 'learning_rate': 0.23864018199834233}",0.5714285714285714,0.9047619047619048,0.8181818181818182,0.875,0.9473684210526316,1.0,0.7142857142857143,0.8,1.0,1.0,0.8631026429710641,0.13357413221153372,7,0.0465116279069767,0.2209302325581395,0.1046511627906976,0.3255813953488372,0.2068965517241379,0.0459770114942528,0.1149425287356321,0.0919540229885057,0.1264367816091954,0.1034482758620689,0.13873295910184438,0.08290685865938426,8,0.086021505376344,0.3551401869158878,0.1855670103092783,0.4745762711864406,0.3396226415094339,0.0879120879120879,0.198019801980198,0.1649484536082474,0.2244897959183673,0.1875,0.2303797754716285,0.11725076605167298,8,0.8819446342196595,0.8752971879867735,0.8983309649386495,0.8791128084606346,0.8965145587112382,0.8269003358403102,0.8958320663301507,0.91758397697095,0.910454972396224,0.8686506247170359,0.8850622130571626,0.024327510584995642,6,73.45963907241821,1,100,0.23864018199834233
"{'n_estimators': 100, 'learning_rate': 0.032267313517148934}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.7726853496570383,0.8580910283387533,0.8592285409777826,0.868092941272921,0.838178353504024,0.7285808888618595,0.8795096866616662,0.888615216201423,0.8971767790414023,0.8815706785055444,0.8471729463022415,0.051809538398100846,17,73.48790836334229,1,100,0.032267313517148934
"{'n_estimators': 500, 'learning_rate': 0.04106811940581281}",0.6666666666666666,0.9047619047619048,0.9,0.9,0.9473684210526316,1.0,0.7142857142857143,0.7777777777777778,1.0,1.0,0.8810860484544696,0.1151353896015748,3,0.0465116279069767,0.2209302325581395,0.1046511627906976,0.313953488372093,0.2068965517241379,0.0459770114942528,0.1149425287356321,0.0804597701149425,0.1264367816091954,0.0919540229885057,0.1352713178294573,0.08158204089004863,10,0.0869565217391304,0.3551401869158878,0.1875,0.4655172413793103,0.3396226415094339,0.0879120879120879,0.198019801980198,0.1458333333333333,0.2244897959183673,0.1684210526315789,0.22594126633193282,0.1172034893232894,10,0.8740162052851639,0.869756510808078,0.8993215915612276,0.8839327193725575,0.9038462837951982,0.8205247758249036,0.89564961787184,0.9168913485644008,0.9163980619919316,0.8850338205382906,0.8865370935613592,0.026765980415017356,3,366.6748189926148,1,500,0.04106811940581281
"{'n_estimators': 1000, 'learning_rate': 0.1757344165259487}",0.391304347826087,0.7,0.6086956521739131,0.509090909090909,0.5135135135135135,0.625,0.6071428571428571,0.7222222222222222,0.9130434782608696,0.8095238095238095,0.6399536789754181,0.14523141470534057,14,0.1046511627906976,0.2441860465116279,0.1627906976744186,0.3255813953488372,0.2183908045977011,0.057471264367816,0.1954022988505747,0.1494252873563218,0.2413793103448276,0.1954022988505747,0.18946805666933972,0.07214901036576435,3,0.165137614678899,0.3620689655172414,0.2568807339449541,0.3971631205673759,0.3064516129032258,0.1052631578947368,0.2956521739130435,0.2476190476190476,0.3818181818181818,0.3148148148148148,0.2832869423671521,0.08842370833901762,3,0.8716352854371054,0.869268029404531,0.8815620473861121,0.840570600934605,0.9071404920702494,0.8696439552122821,0.8923283801955577,0.9069816943380162,0.9276524289295682,0.8507166170001419,0.8817499530908168,0.02561984201929341,13,691.4330604076385,1,1000,0.1757344165259487
"{'n_estimators': 100, 'learning_rate': 0.02644156674617691}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.7672608149099553,0.8548731997923099,0.8524922799442516,0.867935807394857,0.8340192043895748,0.7248136660652624,0.8763877908194638,0.8869157425990121,0.8943961293897437,0.878246062154108,0.8437340697458537,0.05249738524216499,18,73.31174039840698,1,100,0.02644156674617691
