params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 16, 'min_samples_split': 23, 'min_samples_leaf': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.905449812805728,0.8934427349493071,0.9169069220889242,0.8868157844396469,0.9202936744443768,0.8270253468210046,0.9284734469919655,0.933092095927345,0.9400386520437604,0.9287167116030464,0.9080255182115105,0.031557846443767676,18,104.56934404373168,1,500,16,23,25
"{'n_estimators': 100, 'max_depth': 42, 'min_samples_split': 10, 'min_samples_leaf': 23}",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,13,0.0116279069767441,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034883720930232397,0.007445493299340493,14,0.0229885057471264,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006844305120167179,0.01458129614672691,14,0.9145020905637692,0.903096220588637,0.9228438499166508,0.8930054928538245,0.9254461540540724,0.8452701926520573,0.9311155709623142,0.9322339124382546,0.94252535695703,0.933223864258347,0.9143262705244956,0.027019502450877152,13,22.12105417251587,1,100,42,10,23
"{'n_estimators': 1000, 'max_depth': 30, 'min_samples_split': 3, 'min_samples_leaf': 10}",1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.4031128874149275,9,0.0232558139534883,0.0348837209302325,0.0116279069767441,0.0116279069767441,0.0,0.0,0.0919540229885057,0.0229885057471264,0.0919540229885057,0.0689655172413793,0.03572574178027261,0.03385356067651967,9,0.0454545454545454,0.0674157303370786,0.0229885057471264,0.0227272727272727,0.0,0.0,0.1684210526315789,0.0449438202247191,0.1684210526315789,0.1290322580645161,0.0669404237818416,0.06184364631651255,9,0.9263212909572868,0.9117385838821632,0.9308030224359848,0.9045992402918592,0.9418293498753268,0.8683026211761844,0.941525269111476,0.938193895409732,0.9592430416185204,0.9387784062113564,0.9261334720969892,0.024335248094850968,9,246.2603604793549,1,1000,30,3,10
"{'n_estimators': 1000, 'max_depth': 43, 'min_samples_split': 28, 'min_samples_leaf': 3}",0.75,0.9523809523809524,1.0,0.8928571428571429,0.9166666666666666,0.75,1.0,0.9230769230769232,1.0,1.0,0.9184981684981686,0.09229479094678558,7,0.1395348837209302,0.2325581395348837,0.1976744186046511,0.2906976744186046,0.2528735632183908,0.0344827586206896,0.2873563218390804,0.2758620689655172,0.2873563218390804,0.2988505747126437,0.22972467254744716,0.08067979429221128,6,0.2352941176470588,0.3738317757009345,0.3300970873786408,0.4385964912280702,0.3963963963963964,0.0659340659340659,0.4464285714285714,0.4247787610619469,0.4464285714285714,0.4601769911504424,0.36179628293546984,0.11821725170760256,6,0.939957778810155,0.9267346213756732,0.9418399693930534,0.9297611565053424,0.9586348800908188,0.9017582625500888,0.9525465074634936,0.9429848567779602,0.9664261049957092,0.9524654192598,0.9413109557222095,0.01759756962868894,6,276.76692605018616,1,1000,43,28,3
"{'n_estimators': 1000, 'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 15}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.8825150985161097,0.8758847320525783,0.9017161752247698,0.872175006148717,0.912320001081176,0.7714055964375248,0.9178171055565691,0.9300985897409908,0.9296188178691372,0.9212971409650847,0.8914848263592656,0.04492424917711582,19,156.2739396095276,1,1000,6,3,15
"{'n_estimators': 100, 'max_depth': 18, 'min_samples_split': 7, 'min_samples_leaf': 24}",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.4000000000000001,13,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.004611066559743369,0.010543479096430749,13,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0089655172413793,0.020418400639803807,13,0.9107991965676496,0.899953543027355,0.9193322493373052,0.8889063482086738,0.924023731814281,0.83771547500794,0.9270003446248656,0.93286234601688,0.9390993803509768,0.9314331664267808,0.9111125781382707,0.028567106057985635,15,23.46444869041443,1,100,18,7,24
"{'n_estimators': 500, 'max_depth': 41, 'min_samples_split': 22, 'min_samples_leaf': 29}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9051355450495996,0.8967152187576859,0.9194552236766594,0.8905323422512502,0.9226790191030292,0.8363302181948414,0.9274463297451804,0.9329704636218046,0.9410319825390068,0.9291153952712062,0.9101411738210263,0.029011606575696288,17,117.59531831741332,1,500,41,22,29
"{'n_estimators': 500, 'max_depth': 42, 'min_samples_split': 6, 'min_samples_leaf': 21}",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.48989794855663565,11,0.0116279069767441,0.0232558139534883,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.008099438652766609,0.011594399083834979,11,0.0229885057471264,0.0454545454545454,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.015809822361546478,0.022512214704152378,11,0.9131425409231272,0.8997554177028393,0.9245040034979368,0.8957997431202689,0.925726584091846,0.8411279369133775,0.9320616000054058,0.9351868745227622,0.9468162744024812,0.9323791954698724,0.9146500170649917,0.028772660062210527,12,117.65723180770874,1,500,42,6,21
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 27, 'min_samples_leaf': 28}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.9076155275599158,0.8975623753176838,0.9212998387669772,0.8898696472002843,0.9224965706447188,0.8360126227303749,0.9270341313764048,0.9342205734287472,0.9409846810868524,0.9297978876522938,0.9106893855764253,0.029236357590260085,16,120.27097129821776,1,500,43,27,28
"{'n_estimators': 1000, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 21}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.881654278140628,0.873329598557101,0.8998169048725166,0.8699614680403356,0.8984404035489605,0.7716556183989134,0.9166480839533202,0.9285714285714286,0.9272132011595612,0.9207497955901532,0.8888040780832919,0.04408633151908017,20,151.77538776397705,1,1000,6,14,21
