params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_penalty,param_C,param_solver,param_max_iter
"{'penalty': None, 'C': 18.86286607970229, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.59375,0.7222222222222222,0.72,0.5147058823529411,0.6410256410256411,0.6153846153846154,0.7,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.7010732085681776,0.10682479174610267,3,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2413793103448276,0.2988505747126437,0.367816091954023,0.3563218390804598,0.278321304464047,0.08710897741328731,2,0.3220338983050848,0.4262295081967213,0.3243243243243243,0.4545454545454545,0.3968253968253968,0.16,0.358974358974359,0.4444444444444445,0.512,0.492063492063492,0.3891440877679277,0.09827430124409961,2,0.8907851228377012,0.8582925696171398,0.90909121963217,0.8466680785942666,0.9142390885685904,0.861281734206383,0.9019744977599384,0.9306932365680768,0.9255171062323042,0.8922101265651713,0.8930752780581741,0.027625140879509787,5,2.8055522441864014,1,,18.86286607970229,newton-cholesky,100000
"{'penalty': 'l2', 'C': 96.81027001966423, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.59375,0.75,0.72,0.5223880597014925,0.6410256410256411,0.6153846153846154,0.6666666666666666,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.7012858707474772,0.10697650195211739,2,0.2209302325581395,0.313953488372093,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2298850574712643,0.2988505747126437,0.367816091954023,0.3563218390804598,0.27833466987436506,0.08806505776177498,1,0.3220338983050848,0.442622950819672,0.3243243243243243,0.457516339869281,0.3968253968253968,0.16,0.3418803418803418,0.4444444444444445,0.512,0.492063492063492,0.38937111885320375,0.09989174291443795,1,0.8890703139944798,0.8559628890771459,0.9068161943541114,0.8405330254420245,0.9117996851074756,0.8615925723205418,0.902785379796874,0.9308283835742328,0.9292066195003614,0.8924331191253285,0.8921028182292575,0.029155868871932288,20,4.062325477600098,1,l2,96.81027001966423,newton-cholesky,100000
"{'penalty': None, 'C': 29.523266139216947, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.59375,0.7222222222222222,0.72,0.5147058823529411,0.6410256410256411,0.6153846153846154,0.7,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.7010732085681776,0.10682479174610267,3,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2413793103448276,0.2988505747126437,0.367816091954023,0.3563218390804598,0.278321304464047,0.08710897741328731,2,0.3220338983050848,0.4262295081967213,0.3243243243243243,0.4545454545454545,0.3968253968253968,0.16,0.358974358974359,0.4444444444444445,0.512,0.492063492063492,0.3891440877679277,0.09827430124409961,2,0.8907851228377012,0.8582925696171398,0.90909121963217,0.8466680785942666,0.9142390885685904,0.861281734206383,0.9019744977599384,0.9306932365680768,0.9255171062323042,0.8922101265651713,0.8930752780581741,0.027625140879509787,5,5.983927965164185,1,,29.523266139216947,newton-cholesky,100000
"{'penalty': None, 'C': 98.77254286703258, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.59375,0.7222222222222222,0.72,0.5147058823529411,0.6410256410256411,0.6153846153846154,0.7,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.7010732085681776,0.10682479174610267,3,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2413793103448276,0.2988505747126437,0.367816091954023,0.3563218390804598,0.278321304464047,0.08710897741328731,2,0.3220338983050848,0.4262295081967213,0.3243243243243243,0.4545454545454545,0.3968253968253968,0.16,0.358974358974359,0.4444444444444445,0.512,0.492063492063492,0.3891440877679277,0.09827430124409961,2,0.8907851228377012,0.8582925696171398,0.90909121963217,0.8466680785942666,0.9142390885685904,0.861281734206383,0.9019744977599384,0.9306932365680768,0.9255171062323042,0.8922101265651713,0.8930752780581741,0.027625140879509787,5,5.9236719608306885,1,,98.77254286703258,newton-cholesky,100000
"{'penalty': 'l2', 'C': 0.332905442607371, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.6666666666666666,0.7931034482758621,0.7058823529411765,0.7567567567567568,0.76,0.625,0.7368421052631579,0.7647058823529411,0.896551724137931,0.9583333333333334,0.7663842269727825,0.09439519166880118,1,0.1627906976744186,0.2674418604651162,0.1395348837209302,0.3255813953488372,0.2183908045977011,0.057471264367816,0.160919540229885,0.1494252873563218,0.2988505747126437,0.264367816091954,0.2044774124565624,0.07988215043603601,20,0.2616822429906542,0.3999999999999999,0.233009708737864,0.4552845528455285,0.3392857142857143,0.1052631578947368,0.2641509433962264,0.25,0.4482758620689655,0.4144144144144144,0.31713665966341037,0.10745228723084076,20,0.8821290957286914,0.8550747410706966,0.906604405214112,0.8612883611619709,0.9095089433531324,0.8219269260137715,0.9197057849675984,0.9296323325697528,0.9248751579530634,0.9118267145087068,0.8922572462541496,0.03389869841562472,18,4.268474340438843,1,l2,0.332905442607371,newton-cholesky,100000
"{'penalty': None, 'C': 1.9706118181225865, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.59375,0.7222222222222222,0.72,0.5147058823529411,0.6410256410256411,0.6153846153846154,0.7,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.7010732085681776,0.10682479174610267,3,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2413793103448276,0.2988505747126437,0.367816091954023,0.3563218390804598,0.278321304464047,0.08710897741328731,2,0.3220338983050848,0.4262295081967213,0.3243243243243243,0.4545454545454545,0.3968253968253968,0.16,0.358974358974359,0.4444444444444445,0.512,0.492063492063492,0.3891440877679277,0.09827430124409961,2,0.8907851228377012,0.8582925696171398,0.90909121963217,0.8466680785942666,0.9142390885685904,0.861281734206383,0.9019744977599384,0.9306932365680768,0.9255171062323042,0.8922101265651713,0.8930752780581741,0.027625140879509787,5,6.314975500106812,1,,1.9706118181225865,newton-cholesky,100000
"{'penalty': 'l2', 'C': 78.32487808319311, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.59375,0.7428571428571429,0.72,0.5223880597014925,0.6410256410256411,0.6153846153846154,0.6666666666666666,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.7005715850331915,0.1066722653430974,14,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2298850574712643,0.2988505747126437,0.367816091954023,0.3563218390804598,0.27717187917669067,0.08766292646735863,13,0.3220338983050848,0.4297520661157024,0.3243243243243243,0.457516339869281,0.3968253968253968,0.16,0.3418803418803418,0.4444444444444445,0.512,0.492063492063492,0.38808403038280676,0.09927834625514623,13,0.8893709179351242,0.8563523078184352,0.9073900746044324,0.8411615609542809,0.9121307952725576,0.8612952489069986,0.903454357477346,0.9309973173319278,0.929389067958672,0.8933048173150344,0.8924846465574809,0.02914856971069504,17,5.195929765701294,1,l2,78.32487808319311,newton-cholesky,100000
"{'penalty': 'l2', 'C': 60.49880514949649, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5757575757575758,0.7428571428571429,0.72,0.5223880597014925,0.6410256410256411,0.6153846153846154,0.6666666666666666,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.6987723426089489,0.1085932940303958,16,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2298850574712643,0.2988505747126437,0.367816091954023,0.3563218390804598,0.27717187917669067,0.08766292646735863,13,0.3193277310924369,0.4297520661157024,0.3243243243243243,0.457516339869281,0.3968253968253968,0.16,0.3418803418803418,0.4444444444444445,0.512,0.492063492063492,0.387813413661542,0.09946153867806952,15,0.8898354876615746,0.8564206268958543,0.9082850545186236,0.8420565408684721,0.9123267584314838,0.8608425064363762,0.9037922249927358,0.9310919202362368,0.9295782737672904,0.8942103022562793,0.8928439696064927,0.029139697278464997,16,5.016930103302002,1,l2,60.49880514949649,newton-cholesky,100000
"{'penalty': None, 'C': 75.94503208481147, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.59375,0.7222222222222222,0.72,0.5147058823529411,0.6410256410256411,0.6153846153846154,0.7,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.7010732085681776,0.10682479174610267,3,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2413793103448276,0.2988505747126437,0.367816091954023,0.3563218390804598,0.278321304464047,0.08710897741328731,2,0.3220338983050848,0.4262295081967213,0.3243243243243243,0.4545454545454545,0.3968253968253968,0.16,0.358974358974359,0.4444444444444445,0.512,0.492063492063492,0.3891440877679277,0.09827430124409961,2,0.8907851228377012,0.8582925696171398,0.90909121963217,0.8466680785942666,0.9142390885685904,0.861281734206383,0.9019744977599384,0.9306932365680768,0.9255171062323042,0.8922101265651713,0.8930752780581741,0.027625140879509787,5,6.473682403564453,1,,75.94503208481147,newton-cholesky,100000
"{'penalty': 'l2', 'C': 37.27338684404292, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5757575757575758,0.7428571428571429,0.72,0.5223880597014925,0.6410256410256411,0.6153846153846154,0.6666666666666666,0.8666666666666667,0.8421052631578947,0.7948717948717948,0.6987723426089489,0.1085932940303958,16,0.2209302325581395,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2873563218390804,0.0919540229885057,0.2298850574712643,0.2988505747126437,0.367816091954023,0.3563218390804598,0.27717187917669067,0.08766292646735863,13,0.3193277310924369,0.4297520661157024,0.3243243243243243,0.457516339869281,0.3968253968253968,0.16,0.3418803418803418,0.4444444444444445,0.512,0.492063492063492,0.387813413661542,0.09946153867806952,15,0.8906826442215724,0.8571584729319816,0.9095626212663624,0.8438601645123384,0.912718684749336,0.859612668680357,0.9053937170156836,0.931227067242393,0.9298012663274476,0.8950887577962929,0.8935106064743765,0.029075025864765573,3,4.956288576126099,1,l2,37.27338684404292,newton-cholesky,100000
