params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 500, 'max_depth': 18, 'min_samples_split': 26, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.9083021342879786,0.8927902877599541,0.9264135217118028,0.8945255923264013,0.9273517268408712,0.844945839837283,0.9332981951117328,0.9374742376019516,0.9401805564002244,0.9320953867569448,0.9137377478635145,0.02810346641778792,15,59.17620468139648,1,500,18,26,19,entropy
"{'n_estimators': 500, 'max_depth': 14, 'min_samples_split': 29, 'min_samples_leaf': 28, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.8963121362009128,0.8877039324460962,0.917333916322794,0.883403246522559,0.9177630467541068,0.8196936217370445,0.9251826173920682,0.9330279010994208,0.9335042942961206,0.924324433902978,0.9038249146674101,0.03286072623371091,19,55.44197058677673,1,500,14,29,28,entropy
"{'n_estimators': 1000, 'max_depth': 44, 'min_samples_split': 21, 'min_samples_leaf': 22, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.9071202142486268,0.8941566693083376,0.9239950263711638,0.8934119913644687,0.9276693223053376,0.8428037597897112,0.931784548642786,0.9378729212701116,0.9381060498557304,0.9294329907356728,0.9126353493891946,0.028120230331958443,16,121.13977980613708,1,1000,44,21,22,entropy
"{'n_estimators': 1000, 'max_depth': 44, 'min_samples_split': 2, 'min_samples_leaf': 26, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.9022490640286394,0.8909934960238297,0.9238037329543902,0.8887594621922226,0.9227499712812612,0.8358031448708333,0.930189813970146,0.9350483488414524,0.9353152641786104,0.9279328589673416,0.9092845157308727,0.029534965705098584,17,119.4971296787262,1,1000,44,2,26,entropy
"{'n_estimators': 500, 'max_depth': 29, 'min_samples_split': 29, 'min_samples_leaf': 17, 'criterion': 'entropy'}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,13,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00116279069767441,0.0034883720930232297,13,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126397,0.006896551724137919,13,0.910686470089908,0.8968552728663952,0.9293854015795372,0.8994172382696144,0.9319669971010968,0.8543858582172758,0.9346158784217532,0.9393730530384424,0.9447552825586032,0.9357984147256178,0.9177239866868243,0.026423722941111935,12,62.73912596702576,1,500,29,29,17,entropy
"{'n_estimators': 1000, 'max_depth': 49, 'min_samples_split': 15, 'min_samples_leaf': 7, 'criterion': 'entropy'}",1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.15,1,0.0232558139534883,0.0348837209302325,0.0116279069767441,0.0116279069767441,0.0229885057471264,0.0114942528735632,0.1034482758620689,0.0344827586206896,0.0919540229885057,0.0804597701149425,0.04262229350441053,0.03367794069029552,7,0.0454545454545454,0.0674157303370786,0.0229885057471264,0.0227272727272727,0.0449438202247191,0.0227272727272727,0.1875,0.0666666666666666,0.1684210526315789,0.1489361702127659,0.07977810367290264,0.060576680809246816,7,0.9306151449730824,0.9151101303527998,0.940442844259831,0.9183006312682754,0.9468399251285586,0.8898754620338274,0.943427463223121,0.9442924040625192,0.9577429098501896,0.9446404076033704,0.9331287322755577,0.01905850723288883,7,136.7339906692505,1,1000,49,15,7,entropy
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 28, 'min_samples_leaf': 4, 'criterion': 'entropy'}",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6,0.4898979485566356,9,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0,0.057471264367816,0.0,0.0459770114942528,0.0,0.01732157177225336,0.01941274203703062,9,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0229885057471264,0.0,0.0,0.108695652173913,0.0,0.0879120879120879,0.0,0.03334938424893445,0.03689260075228388,9,0.9123329598557102,0.899697346487033,0.930311125078567,0.8997724974721941,0.9367444437687094,0.8464797583571532,0.9316054788596296,0.9436436984329704,0.9473095609749506,0.943329481643658,0.9191226350930576,0.029407729407833545,11,55.17270445823669,1,500,10,28,4,entropy
"{'n_estimators': 500, 'max_depth': 48, 'min_samples_split': 6, 'min_samples_leaf': 4, 'criterion': 'entropy'}",0.8461538461538461,0.9,0.9375,0.9130434782608696,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.9013363991081382,0.11018274612109084,6,0.127906976744186,0.2093023255813953,0.1744186046511628,0.2441860465116279,0.0459770114942528,0.0344827586206896,0.1724137931034483,0.2528735632183908,0.1954022988505747,0.2068965517241379,0.1663859930499866,0.07164920731403907,6,0.2222222222222222,0.339622641509434,0.2941176470588235,0.3853211009174311,0.086021505376344,0.0659340659340659,0.2941176470588235,0.4036697247706423,0.3269230769230769,0.3428571428571428,0.2760806774628007,0.11096375407957713,6,0.9397630694395104,0.9212588473205258,0.9449928948159484,0.9281249146011532,0.9540702899579016,0.9063633967848528,0.9485225053552,0.9470021015359458,0.962797407880422,0.9509923168927,0.9403887744584158,0.016147233916251325,6,71.00837397575378,1,500,48,6,4,entropy
"{'n_estimators': 100, 'max_depth': 46, 'min_samples_split': 8, 'min_samples_leaf': 13, 'criterion': 'entropy'}",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,0.45825756949558394,8,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0,0.0689655172413793,0.0,0.0344827586206896,0.0459770114942528,0.021919272921678647,0.021463284345258495,8,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0229885057471264,0.0,0.0,0.1290322580645161,0.0,0.0666666666666666,0.0879120879120879,0.04204971150466141,0.04041001743183543,8,0.9173612439537616,0.9044660180908916,0.9306868800043724,0.9015112179925122,0.9371836715387164,0.8722455350807842,0.932656246832492,0.9407447951509256,0.9484853399285073,0.9411569935197012,0.9226497942092664,0.022493166875526733,9,13.377865552902222,1,100,46,8,13,entropy
"{'n_estimators': 1000, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 28, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.9013062607602548,0.8889029322548028,0.9195201268002076,0.8854869783838439,0.9204659868772256,0.8279308317622495,0.928655895450276,0.9348050842303716,0.9351598451215308,0.9264732713008574,0.906870721294162,0.03134784032344361,18,116.2572717666626,1,1000,20,4,28,entropy
