params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 99.81174059286464, 'kernel': 'rbf'}",0.6666666666666666,0.6923076923076923,0.6627906976744186,0.7037037037037037,0.7258064516129032,0.8289473684210527,0.7611940298507462,0.7567567567567568,0.8615384615384616,0.6444444444444445,0.7304156272976846,0.06837979107462376,12,0.627906976744186,0.627906976744186,0.6627906976744186,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5862068965517241,0.6436781609195402,0.6436781609195402,0.6666666666666666,0.6363004544239509,0.0519376405575092,8,0.6467065868263472,0.6585365853658537,0.6627906976744186,0.6826347305389222,0.6040268456375839,0.7730061349693252,0.6623376623376623,0.6956521739130436,0.7368421052631579,0.6553672316384181,0.6777900754164732,0.045431489087327734,12,0.93445467712404,0.9327125406498512,0.9346903779411364,0.933214685868882,0.9267807307398624,0.9264766499760114,0.9346293931223688,0.9306526924662302,0.9356734037449236,0.918249575976268,0.9307534727609574,0.0051841452178339725,9,62.4021999835968,1,99.81174059286464,rbf
"{'C': 86.78101489291157, 'kernel': 'rbf'}",0.6829268292682927,0.6923076923076923,0.6588235294117647,0.7125,0.7258064516129032,0.8289473684210527,0.7611940298507462,0.7702702702702703,0.8615384615384616,0.6444444444444445,0.733875907712563,0.06773754978087437,9,0.6511627906976745,0.627906976744186,0.6511627906976745,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5862068965517241,0.6551724137931034,0.6436781609195402,0.6666666666666666,0.6386126704089816,0.051858496469227335,1,0.6666666666666667,0.6585365853658537,0.6549707602339181,0.6867469879518072,0.6040268456375839,0.7730061349693252,0.6623376623376623,0.7080745341614907,0.7368421052631579,0.6553672316384181,0.6806575514225883,0.045459997877458906,8,0.9337168310879128,0.9321796518459814,0.9352779220069412,0.92889692017599,0.9313419421976254,0.9265644955300129,0.9287167116030464,0.9313757289491644,0.9353152641786104,0.9161412826802354,0.9299526750255522,0.005339247165070636,11,67.33193516731262,1,86.78101489291157,rbf
"{'C': 27.629285895539358, 'kernel': 'rbf'}",0.6746987951807228,0.6883116883116883,0.6746987951807228,0.76,0.7758620689655172,0.8970588235294118,0.746268656716418,0.7763157894736842,0.9032258064516128,0.6404494382022472,0.7536889862012025,0.0857851768907674,3,0.6511627906976745,0.6162790697674418,0.6511627906976745,0.6627906976744186,0.5172413793103449,0.7011494252873564,0.5747126436781609,0.6781609195402298,0.6436781609195402,0.6551724137931034,0.6351510291365945,0.05086014735514805,12,0.6627218934911243,0.6503067484662576,0.6627218934911243,0.7080745341614907,0.6206896551724138,0.7870967741935484,0.6493506493506493,0.7239263803680982,0.7516778523489932,0.6477272727272727,0.6864293653770972,0.05088138782428936,4,0.936135326428552,0.9306561364195338,0.9417204110075696,0.9341096657830732,0.9274429510700264,0.9301391338428376,0.9376431713596464,0.9305107881097664,0.9343422057342876,0.924223073648361,0.9326922863403654,0.004871452905749054,3,65.70953917503357,1,27.629285895539358,rbf
"{'C': 7.915384113418284, 'kernel': 'rbf'}",0.7323943661971831,0.746268656716418,0.7611940298507462,0.8225806451612904,0.8571428571428571,0.8928571428571429,0.7647058823529411,0.8333333333333334,1.0,0.6785714285714286,0.8089048342183341,0.08813049756827854,1,0.6046511627906976,0.5813953488372093,0.5930232558139535,0.5930232558139535,0.5517241379310345,0.5747126436781609,0.5977011494252874,0.632183908045977,0.6206896551724138,0.6551724137931034,0.6004276931301791,0.02818943426032307,15,0.6624203821656051,0.6535947712418301,0.6666666666666667,0.6891891891891893,0.6713286713286714,0.6993006993006994,0.6709677419354838,0.718954248366013,0.7659574468085107,0.6666666666666666,0.6865046483669336,0.032339724900616616,3,0.9364086027382288,0.9341745689066214,0.9502329680539996,0.9346357226792008,0.946991965510484,0.933220485583193,0.9237500591268152,0.9372478663666404,0.9403494901579192,0.9353997310574578,0.9372411460180562,0.007014121243654545,1,71.22667360305786,1,7.915384113418284,rbf
"{'C': 90.80054604583201, 'kernel': 'rbf'}",0.6666666666666666,0.6923076923076923,0.6588235294117647,0.7037037037037037,0.7258064516129032,0.8289473684210527,0.7611940298507462,0.7567567567567568,0.8615384615384616,0.6444444444444445,0.7300189104714193,0.06878130691172202,14,0.627906976744186,0.627906976744186,0.6511627906976745,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5862068965517241,0.6436781609195402,0.6436781609195402,0.6666666666666666,0.6351376637262764,0.05145951835840339,13,0.6467065868263472,0.6585365853658537,0.6549707602339181,0.6826347305389222,0.6040268456375839,0.7730061349693252,0.6623376623376623,0.6956521739130436,0.7368421052631579,0.6553672316384181,0.6770080816724231,0.04574912750808959,14,0.933969611674364,0.9317629054737244,0.9346562184024269,0.9320259339217885,0.9226384750011823,0.9262333853649308,0.93652820855886,0.9305513322116132,0.9349773966632204,0.9155601505537648,0.9298903617825875,0.006237907222135947,12,68.50607800483704,1,90.80054604583201,rbf
"{'C': 74.28258357426262, 'kernel': 'rbf'}",0.6829268292682927,0.6923076923076923,0.6511627906976745,0.7215189873417721,0.7627118644067796,0.8289473684210527,0.75,0.7702702702702703,0.875,0.6373626373626373,0.7372208440076171,0.07203571623912562,8,0.6511627906976745,0.627906976744186,0.6511627906976745,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5862068965517241,0.6551724137931034,0.6436781609195402,0.6666666666666666,0.6386126704089816,0.051858496469227335,1,0.6666666666666667,0.6585365853658537,0.6511627906976745,0.6909090909090908,0.6164383561643836,0.7730061349693252,0.6580645161290322,0.7080745341614907,0.7417218543046357,0.651685393258427,0.6816265922626581,0.044870328403348585,7,0.9318790479053372,0.931790233104692,0.9347860246495232,0.9277628234908316,0.923158790974883,0.928395737463426,0.9346023637211376,0.9322068830370236,0.9357071904964626,0.9175805982957962,0.9297869693139112,0.005444578692352496,13,68.61553764343262,1,74.28258357426262,rbf
"{'C': 92.44484246626406, 'kernel': 'rbf'}",0.6666666666666666,0.6923076923076923,0.6588235294117647,0.7037037037037037,0.7258064516129032,0.8289473684210527,0.7611940298507462,0.7567567567567568,0.8615384615384616,0.6444444444444445,0.7300189104714193,0.06878130691172202,14,0.627906976744186,0.627906976744186,0.6511627906976745,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5862068965517241,0.6436781609195402,0.6436781609195402,0.6666666666666666,0.6351376637262764,0.05145951835840339,13,0.6467065868263472,0.6585365853658537,0.6549707602339181,0.6826347305389222,0.6040268456375839,0.7730061349693252,0.6623376623376623,0.6956521739130436,0.7368421052631579,0.6553672316384181,0.6770080816724231,0.04574912750808959,14,0.933614352471784,0.932965321236302,0.9339183723662996,0.9291087093159894,0.9214626960476258,0.92592930460108,0.9352916134525328,0.9323825741450262,0.9341665146262847,0.9130464162392642,0.9291885874502188,0.006777452400471968,14,69.0091757774353,1,92.44484246626406,rbf
"{'C': 57.53854505327395, 'kernel': 'rbf'}",0.6829268292682927,0.6883116883116883,0.6551724137931034,0.7307692307692307,0.7627118644067796,0.8289473684210527,0.7313432835820896,0.7702702702702703,0.875,0.651685393258427,0.7377138342080934,0.06971431002578628,7,0.6511627906976745,0.6162790697674418,0.6627906976744186,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5632183908045977,0.6551724137931034,0.6436781609195402,0.6666666666666666,0.636313819834269,0.05530765860917,7,0.6666666666666667,0.6503067484662576,0.6589595375722542,0.6951219512195121,0.6164383561643836,0.7730061349693252,0.6363636363636364,0.7080745341614907,0.7417218543046357,0.6590909090909091,0.6805750328979072,0.046213469458807,9,0.928387943049217,0.9341540731833958,0.9365759844779056,0.9329824010056568,0.9294160973599032,0.9271050835546366,0.9346766945745234,0.9320041625277896,0.938822328988357,0.9218106995884774,0.9315935468309862,0.004755072841936287,4,69.89626002311707,1,57.53854505327395,rbf
"{'C': 82.20918766990478, 'kernel': 'rbf'}",0.6829268292682927,0.6923076923076923,0.6588235294117647,0.7125,0.7377049180327869,0.8289473684210527,0.75,0.7702702702702703,0.8615384615384616,0.6304347826086957,0.7325453851859016,0.06930467884272103,10,0.6511627906976745,0.627906976744186,0.6511627906976745,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5862068965517241,0.6551724137931034,0.6436781609195402,0.6666666666666666,0.6386126704089816,0.051858496469227335,1,0.6666666666666667,0.6585365853658537,0.6549707602339181,0.6867469879518072,0.6081081081081081,0.7730061349693252,0.6580645161290322,0.7080745341614907,0.7368421052631579,0.6480446927374302,0.679906109158679,0.04544276538249323,10,0.9340720902904928,0.9347416172492008,0.9372523433443554,0.9323606974011422,0.9222330339827146,0.92712535560556,0.9334468568185044,0.932389331495334,0.9356058302418456,0.9208173690932312,0.9310044525522383,0.005376523894482347,7,70.02704763412476,1,82.20918766990478,rbf
"{'C': 65.88426946061604, 'kernel': 'rbf'}",0.691358024691358,0.6883116883116883,0.6551724137931034,0.7307692307692307,0.7627118644067796,0.8289473684210527,0.746268656716418,0.7702702702702703,0.875,0.6444444444444445,0.7393253961824345,0.07003785516200851,5,0.6511627906976745,0.6162790697674418,0.6627906976744186,0.6627906976744186,0.5172413793103449,0.7241379310344828,0.5747126436781609,0.6551724137931034,0.6436781609195402,0.6666666666666666,0.6374632451216253,0.05387756711485493,5,0.6706586826347306,0.6503067484662576,0.6589595375722542,0.6951219512195121,0.6164383561643836,0.7730061349693252,0.6493506493506493,0.7080745341614907,0.7417218543046357,0.6553672316384181,0.6819005680481658,0.045208791981376874,5,0.92547755035116,0.9348577596808132,0.936972235126937,0.9296620938430848,0.931490603904397,0.9272267158601768,0.9323994675207956,0.9305986336637676,0.9363153520241644,0.9217566407860148,0.9306757052761311,0.004605174273181707,10,69.8957347869873,1,65.88426946061604,rbf
