params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 500, 'learning_rate': 0.10442729225383515, 'max_depth': 50, 'min_child_weight': 8, 'reg_alpha': 0.09528148683986958, 'reg_lambda': 0.07763680928574392, 'gamma': 41.051835239406586, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,5,14.44911789894104,1,500,0.10442729225383515,50,8,0.09528148683986958,0.07763680928574392,41.051835239406586,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.29371866065709923, 'max_depth': 16, 'min_child_weight': 21, 'reg_alpha': 0.015112863647760408, 'reg_lambda': 0.06984676845008542, 'gamma': 19.890007977758135, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5760404630136431,0.5,0.5,0.5,0.5,0.5076040463013644,0.022812138904092928,13,15.034977436065674,1,500,0.29371866065709923,16,21,0.015112863647760408,0.06984676845008542,19.890007977758135,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.2848702232511728, 'max_depth': 7, 'min_child_weight': 8, 'reg_alpha': 0.09614766905633597, 'reg_lambda': 0.07113995853944818, 'gamma': 43.15092812934246, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,5,14.023093461990356,1,500,0.2848702232511728,7,8,0.09614766905633597,0.07113995853944818,43.15092812934246,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.19387379389973697, 'max_depth': 9, 'min_child_weight': 29, 'reg_alpha': 0.02579940070574147, 'reg_lambda': 0.05968110004408688, 'gamma': 81.7093574578648, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,3.913696050643921,1,100,0.19387379389973697,9,29,0.02579940070574147,0.05968110004408688,81.7093574578648,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.1537797884493105, 'max_depth': 28, 'min_child_weight': 13, 'reg_alpha': 0.07558715857418559, 'reg_lambda': 0.07739548034036459, 'gamma': 25.014001371480635, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,5,15.101310729980469,1,500,0.1537797884493105,28,13,0.07558715857418559,0.07739548034036459,25.014001371480635,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.15500330581099916, 'max_depth': 11, 'min_child_weight': 10, 'reg_alpha': 0.01366505871919714, 'reg_lambda': 0.0014982560799037385, 'gamma': 86.93933623958003, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,28.049293994903564,1,1000,0.15500330581099916,11,10,0.01366505871919714,0.0014982560799037385,86.93933623958003,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.2138806794345625, 'max_depth': 48, 'min_child_weight': 9, 'reg_alpha': 0.05501842179101393, 'reg_lambda': 0.04790488666797225, 'gamma': 88.83802861143357, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,3.9836714267730713,1,100,0.2138806794345625,48,9,0.05501842179101393,0.04790488666797225,88.83802861143357,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.004238268562514285, 'max_depth': 36, 'min_child_weight': 7, 'reg_alpha': 0.012327799715850313, 'reg_lambda': 0.07875718900974864, 'gamma': 90.29690341088872, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,15.524086952209473,1,500,0.004238268562514285,36,7,0.012327799715850313,0.07875718900974864,90.29690341088872,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.04868352004295188, 'max_depth': 8, 'min_child_weight': 9, 'reg_alpha': 0.055981739402310916, 'reg_lambda': 0.007926961252599063, 'gamma': 75.12454313510621, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,29.067137956619263,1,1000,0.04868352004295188,8,9,0.055981739402310916,0.007926961252599063,75.12454313510621,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.02289100009580207, 'max_depth': 44, 'min_child_weight': 4, 'reg_alpha': 0.09118209527114118, 'reg_lambda': 0.009348762118431959, 'gamma': 28.543425137631818, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,5,15.713143587112429,1,500,0.02289100009580207,44,4,0.09118209527114118,0.009348762118431959,28.543425137631818,gpu_hist,0,0.04843400447427293
