params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 1000, 'learning_rate': 0.26806633676272656}",0.4074074074074074,0.6190476190476191,0.5806451612903226,0.7,0.7,0.5263157894736842,0.6,0.7777777777777778,0.7037037037037037,0.6774193548387096,0.6292316813539225,0.10152188540636134,16,0.127906976744186,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2413793103448276,0.1149425287356321,0.2068965517241379,0.2413793103448276,0.2183908045977011,0.2413793103448276,0.23108794439989305,0.07854077358047441,1,0.1946902654867256,0.40625,0.3076923076923077,0.5147058823529412,0.358974358974359,0.1886792452830188,0.3076923076923077,0.368421052631579,0.3333333333333333,0.3559322033898304,0.3336370956836403,0.0905940771313084,1,0.8764825239799962,0.8717377640532342,0.8949867460989808,0.8996187795480008,0.9024711630075616,0.8833816483880341,0.8682282903227987,0.9233311034077316,0.91945576300621,0.8620284214153945,0.8901722203227942,0.020168482447220526,16,698.9579026699066,1,1000,0.26806633676272656
"{'n_estimators': 100, 'learning_rate': 0.15802716912901202}",0.0,0.9166666666666666,0.8333333333333334,0.96,1.0,1.0,0.2,0.6666666666666666,0.5,1.0,0.7076666666666667,0.34392521796977255,13,0.0,0.127906976744186,0.0581395348837209,0.2790697674418604,0.0459770114942528,0.0459770114942528,0.0114942528735632,0.0229885057471264,0.0114942528735632,0.0114942528735632,0.06145415664260889,0.08062679315561255,18,0.0,0.2244897959183673,0.108695652173913,0.4324324324324323,0.0879120879120879,0.0879120879120879,0.0217391304347826,0.0444444444444444,0.0224719101123595,0.0227272727272727,0.10528248140677476,0.12541558814063458,18,0.8474332522613615,0.8708257043696883,0.8972276118383298,0.897702429426393,0.8983322859440356,0.7864035354456811,0.9080459770114944,0.9252400548696844,0.9139789305817404,0.9158439592666924,0.8861033741015101,0.039688012090727524,18,66.5793125629425,1,100,0.15802716912901202
"{'n_estimators': 500, 'learning_rate': 0.049918475976135156}",0.75,0.875,0.75,0.896551724137931,0.9,1.0,0.6,0.75,0.875,1.0,0.8396551724137931,0.1193092236343572,3,0.0348837209302325,0.1627906976744186,0.0697674418604651,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0689655172413793,0.0344827586206896,0.0804597701149425,0.0114942528735632,0.10180433039294304,0.08821336964730028,15,0.0666666666666666,0.2745098039215686,0.1276595744680851,0.4521739130434781,0.3364485981308411,0.0879120879120879,0.1237113402061855,0.0659340659340659,0.1473684210526315,0.0227272727272727,0.17051117440628832,0.13138860570477714,15,0.8658281638564753,0.8697257672232394,0.9046573115076656,0.9004386084770312,0.8954570333880678,0.8168285052065384,0.908958219303047,0.9306391777656144,0.9174420726144864,0.9044443092974384,0.8914419168639605,0.03107224065810825,12,340.70215368270874,1,500,0.049918475976135156
"{'n_estimators': 500, 'learning_rate': 0.05825864385896403}",0.75,0.8888888888888888,0.6666666666666666,0.896551724137931,0.9,1.0,0.6363636363636364,0.8,0.875,1.0,0.8413470916057122,0.1195020030967292,2,0.0348837209302325,0.1860465116279069,0.0697674418604651,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0804597701149425,0.0459770114942528,0.0804597701149425,0.0344827586206896,0.10872761293771713,0.08663259062068711,14,0.0666666666666666,0.3076923076923077,0.1263157894736842,0.4521739130434781,0.3364485981308411,0.0879120879120879,0.1428571428571428,0.0869565217391304,0.1473684210526315,0.0666666666666666,0.1821058115234637,0.12765905817849957,14,0.8711980433416228,0.8729367638619407,0.907352499111852,0.9018903888721884,0.897251109894788,0.8242886199463466,0.9097623439896748,0.9322744565401015,0.9136072763148112,0.8991769547325104,0.8929738456605836,0.028615528243719636,8,347.43321466445923,1,500,0.05825864385896403
"{'n_estimators': 100, 'learning_rate': 0.09470244163417592}",0.0,0.9166666666666666,0.8333333333333334,0.9583333333333334,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.5875,0.41182604876870577,19,0.0,0.127906976744186,0.0581395348837209,0.2674418604651162,0.0344827586206896,0.0114942528735632,0.0,0.0229885057471264,0.0114942528735632,0.0,0.053394814220796546,0.08045946484128717,19,0.0,0.2244897959183673,0.108695652173913,0.4181818181818182,0.0666666666666666,0.0227272727272727,0.0,0.0444444444444444,0.0224719101123595,0.0,0.09076775602248416,0.12733415086040317,19,0.827176645806575,0.8725610089361353,0.8893230945809307,0.8976819337031672,0.8835877475724219,0.7548872536101146,0.8988830099941212,0.9149452316757554,0.9134383425571164,0.9118030637826297,0.8764287332218966,0.04742472233807934,19,69.8343997001648,1,100,0.09470244163417592
"{'n_estimators': 1000, 'learning_rate': 0.2903062469301983}",0.4074074074074074,0.6190476190476191,0.5806451612903226,0.7,0.7,0.5263157894736842,0.6,0.7777777777777778,0.6785714285714286,0.6774193548387096,0.6267184538406949,0.09994603422943416,17,0.127906976744186,0.3023255813953488,0.2093023255813953,0.4069767441860465,0.2413793103448276,0.1149425287356321,0.2068965517241379,0.2413793103448276,0.2183908045977011,0.2413793103448276,0.23108794439989305,0.07854077358047441,1,0.1946902654867256,0.40625,0.3076923076923077,0.5147058823529412,0.358974358974359,0.1886792452830188,0.3076923076923077,0.368421052631579,0.3304347826086956,0.3559322033898304,0.3333472406111765,0.09059922212169855,2,0.8770017489683819,0.8714713196512993,0.8947681250512394,0.8996666029021945,0.902018420536939,0.8834830086426511,0.8678971801577164,0.92499341158345,0.9194760350571334,0.8620689655172413,0.8902844818068247,0.020436736266547517,14,696.37713098526,1,1000,0.2903062469301983
"{'n_estimators': 500, 'learning_rate': 0.0751786580187058}",0.8,0.9047619047619048,0.6666666666666666,0.8666666666666667,0.8181818181818182,1.0,0.6666666666666666,0.8333333333333334,0.9,0.75,0.8206277056277056,0.10033031641444047,5,0.0465116279069767,0.2209302325581395,0.0930232558139534,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0919540229885057,0.057471264367816,0.1034482758620689,0.1034482758620689,0.12719860999732688,0.08204533347805401,12,0.0879120879120879,0.3551401869158878,0.1632653061224489,0.4482758620689654,0.3302752293577981,0.0879120879120879,0.1616161616161616,0.1075268817204301,0.1855670103092783,0.1818181818181818,0.21093089957533281,0.11769727914243255,12,0.8770666520919301,0.8712595305113,0.9116736807586152,0.8985700817096165,0.8980619919317236,0.8342151675485009,0.911792927757168,0.9328184232398792,0.9168203963861692,0.8952880996303729,0.8947566951565274,0.026585710276993118,6,351.0495040416717,1,500,0.0751786580187058
"{'n_estimators': 100, 'learning_rate': 0.17673406216119128}",1.0,0.8666666666666667,0.8333333333333334,0.9230769230769232,1.0,1.0,0.5,0.6666666666666666,0.8,0.3333333333333333,0.7923076923076924,0.21579326313137365,8,0.0348837209302325,0.1511627906976744,0.0581395348837209,0.2790697674418604,0.0459770114942528,0.0459770114942528,0.0459770114942528,0.0229885057471264,0.0459770114942528,0.0229885057471264,0.07531408714247523,0.07623488165511581,17,0.0674157303370786,0.2574257425742574,0.108695652173913,0.4285714285714285,0.0879120879120879,0.0879120879120879,0.0842105263157894,0.0444444444444444,0.0869565217391304,0.043010752688172,0.12965549746683896,0.11494815392105082,17,0.851385510890061,0.8727864618916186,0.8988501899270354,0.8982523979996174,0.8981194294093401,0.7989046335151061,0.9091339104110496,0.9282741051578856,0.9150601066309878,0.9159824849480024,0.8886749230780705,0.0366260253918763,17,67.91489028930664,1,100,0.17673406216119128
"{'n_estimators': 500, 'learning_rate': 0.014632705093850933}",0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4031128874149275,20,0.0,0.0116279069767441,0.0116279069767441,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00348837209302323,0.005328576389483496,20,0.0,0.0227272727272727,0.0229885057471264,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0068704284221525495,0.010494969516639599,20,0.819439510288853,0.8706207471374307,0.8824741070696581,0.8940371109228541,0.8706710724590674,0.7447444707981107,0.8932980599647267,0.9095798955313642,0.9042111807118194,0.9066640988735496,0.8695740253757434,0.04858162887957542,20,348.0056676864624,1,500,0.014632705093850933
"{'n_estimators': 1000, 'learning_rate': 0.04086743463442181}",0.8333333333333334,0.8636363636363636,0.6666666666666666,0.8666666666666667,0.8181818181818182,1.0,0.6666666666666666,0.8333333333333334,0.9090909090909092,0.9,0.8357575757575757,0.09783515304693491,4,0.0581395348837209,0.2209302325581395,0.0930232558139534,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0919540229885057,0.057471264367816,0.1149425287356321,0.1034482758620689,0.1295108259823576,0.08068816763360762,11,0.108695652173913,0.3518518518518518,0.1632653061224489,0.4482758620689654,0.3302752293577981,0.0879120879120879,0.1616161616161616,0.1075268817204301,0.2040816326530612,0.1855670103092783,0.21490676757859967,0.11486888005771216,11,0.8801341786680512,0.8728035416609734,0.91144139589539,0.901138879020578,0.898322149918574,0.8372019163845472,0.9103164467149142,0.9348794150837572,0.9188982816058168,0.8960989816673086,0.8961235186619909,0.02599617252781482,3,682.1393468379974,1,1000,0.04086743463442181
