params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 35, 'min_samples_split': 20, 'min_samples_leaf': 22}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9162237313147324,0.9034617276528298,0.934379526138879,0.9100852622086192,0.9350078047396057,0.8598322825653605,0.9448802935392974,0.9553102637393824,0.9624392683141084,0.94485664281322,0.9266476803026034,0.028776913079986206,11,111.18745589256288,1,500,35,20,22
"{'n_estimators': 500, 'max_depth': 37, 'min_samples_split': 9, 'min_samples_leaf': 24}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9148641816740908,0.9022900554750908,0.9336485120104938,0.9095728691279752,0.9346564225236,0.8582983640454904,0.9435626102292768,0.9545399258042936,0.9616892024299432,0.9433429963442734,0.9256465139664529,0.028929544167081434,12,110.36975502967834,1,500,37,9,24
"{'n_estimators': 1000, 'max_depth': 18, 'min_samples_split': 17, 'min_samples_leaf': 24}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9113525810947448,0.8986349848331647,0.9310318913453391,0.906368704397016,0.9317744126173244,0.8493921763398136,0.9412988978761648,0.954600741957064,0.9604188205720772,0.9413766074047044,0.9226249818437413,0.031041017422558662,16,214.0969521999359,1,1000,18,17,24
"{'n_estimators': 1000, 'max_depth': 24, 'min_samples_split': 29, 'min_samples_leaf': 8}",1.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.7666666666666666,0.39581140290126393,7,0.0116279069767441,0.0,0.0232558139534883,0.0,0.0229885057471264,0.057471264367816,0.0689655172413793,0.057471264367816,0.0689655172413793,0.0229885057471264,0.033373429564287585,0.02591042932924602,7,0.0229885057471264,0.0,0.0454545454545454,0.0,0.0444444444444444,0.108695652173913,0.1290322580645161,0.108695652173913,0.1290322580645161,0.0449438202247191,0.06332871363476936,0.04838669223708754,7,0.931732161888886,0.9179658677889212,0.943281501926598,0.9240360178176156,0.9454648043409218,0.8864900295296207,0.952124173069256,0.9597836296431445,0.9740146093913654,0.9505497104475392,0.938544250584387,0.023448120801036358,8,244.64997148513797,1,1000,24,29,8
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.8955196349028502,0.8864331976060994,0.9195269587079496,0.8935793731041456,0.9239662943366648,0.806009987363755,0.9368829694500193,0.9519552393115612,0.9486677883868178,0.9371127193604843,0.9099654162530347,0.04104592158243509,20,93.20717692375185,1,500,10,8,25
"{'n_estimators': 100, 'max_depth': 9, 'min_samples_split': 3, 'min_samples_leaf': 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.8955674582570436,0.8945631678189818,0.9244664280053562,0.902689722077993,0.9343117976579024,0.8199605370742025,0.932156202909715,0.9561008737253948,0.9616283862771732,0.9467622156000188,0.9168206789403783,0.03946568405558738,19,18.74477219581604,1,100,9,3,5
"{'n_estimators': 500, 'max_depth': 35, 'min_samples_split': 3, 'min_samples_leaf': 9}",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,0.45825756949558394,8,0.0,0.0,0.0116279069767441,0.1046511627906976,0.0,0.0459770114942528,0.057471264367816,0.0229885057471264,0.057471264367816,0.0229885057471264,0.03231756214915793,0.03227932263298415,8,0.0,0.0,0.0229885057471264,0.1894736842105263,0.0,0.0879120879120879,0.108695652173913,0.0449438202247191,0.108695652173913,0.0449438202247191,0.060765322266700485,0.05907827287582739,8,0.930898669144372,0.9202955483289154,0.9445659005820786,0.9243366217582598,0.94479582666045,0.8884631758194975,0.9523674376803368,0.9575739760924946,0.9731902126538142,0.9518741511078675,0.9388361519828086,0.0225990511172114,7,121.00229573249815,1,500,35,3,9
"{'n_estimators': 500, 'max_depth': 32, 'min_samples_split': 19, 'min_samples_leaf': 26}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9138906348208674,0.900855354849288,0.932056677506627,0.9084797638892684,0.934723996026678,0.8539466304472689,0.9433429963442737,0.9545872272564482,0.9597363281909898,0.9424442687533364,0.9244063878085045,0.029818609947565303,13,110.2211446762085,1,500,32,19,26
"{'n_estimators': 100, 'max_depth': 37, 'min_samples_split': 19, 'min_samples_leaf': 8}",1.0,0.75,0.8,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,0.8571428571428571,0.8573809523809525,0.16751637142046014,6,0.0348837209302325,0.0348837209302325,0.0465116279069767,0.0116279069767441,0.0229885057471264,0.0919540229885057,0.0689655172413793,0.0689655172413793,0.1264367816091954,0.0689655172413793,0.057618283881315124,0.032821673537277156,6,0.0674157303370786,0.0666666666666666,0.0879120879120879,0.0227272727272727,0.0444444444444444,0.1684210526315789,0.1290322580645161,0.1290322580645161,0.2244897959183673,0.1276595744680851,0.10678011412346136,0.057919516421166,6,0.9352300986527478,0.923916459432132,0.9454813762194956,0.9242033995572924,0.944224830559441,0.8909228513315359,0.950694993479157,0.9597160561400664,0.9760823585855514,0.950363883314075,0.9400836307271494,0.022135511094722407,6,23.93132305145264,1,100,37,19,8
"{'n_estimators': 500, 'max_depth': 18, 'min_samples_split': 12, 'min_samples_leaf': 30}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.907858060284754,0.8961891618615582,0.9287705298827644,0.9044011149673434,0.9299533067093732,0.8453445235054431,0.9394980640191368,0.9536276835127409,0.9573442261820296,0.9398629609357578,0.9202849631860902,0.03163297427004552,18,103.71449327468872,1,500,18,12,30
