params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_penalty,param_C,param_solver,param_max_iter
"{'penalty': 'l2', 'C': 80.67339996954469, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6511627906976745,0.6052631578947368,0.6923076923076923,0.7297297297297297,0.5263157894736842,0.6060606060606061,0.8235294117647058,0.75,0.71875,0.6492008066817718,0.11848612008235396,12,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1149425287356321,0.2298850574712643,0.3218390804597701,0.2758620689655172,0.264367816091954,0.26916599839615074,0.08166955710997453,9,0.2295081967213115,0.434108527131783,0.3709677419354839,0.5217391304347826,0.4354838709677419,0.1886792452830188,0.3333333333333333,0.4628099173553719,0.4033613445378151,0.3865546218487395,0.37665459295493814,0.09743778920985395,9,0.869759926761949,0.865599294947121,0.9092722651873308,0.8860096193261007,0.9070391318156326,0.8570955556907027,0.900318946934528,0.9391669538540548,0.93899802009636,0.8999844580942922,0.8973244172708071,0.02693200195644987,16,3.410795211791992,1,l2,80.67339996954469,newton-cholesky,100000
"{'penalty': 'l2', 'C': 93.74063023740696, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6511627906976745,0.6052631578947368,0.6923076923076923,0.7297297297297297,0.5263157894736842,0.6060606060606061,0.8235294117647058,0.7272727272727273,0.71875,0.6469280794090446,0.11673589895156203,18,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1149425287356321,0.2298850574712643,0.3218390804597701,0.2758620689655172,0.264367816091954,0.26916599839615074,0.08166955710997453,9,0.2295081967213115,0.434108527131783,0.3709677419354839,0.5217391304347826,0.4354838709677419,0.1886792452830188,0.3333333333333333,0.4628099173553719,0.4,0.3865546218487395,0.37631845850115664,0.09735083730883841,14,0.8696711119613041,0.8653191867297023,0.9088350230918482,0.8860437788648101,0.9069512862616312,0.8573658497030144,0.8987039402109644,0.9388831451411273,0.938856115739896,0.8990249143505848,0.8969654352054883,0.026821011515108132,18,3.9007062911987305,1,l2,93.74063023740696,newton-cholesky,100000
"{'penalty': None, 'C': 22.181756231342206, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3947368421052631,0.6511627906976745,0.6216216216216216,0.7058823529411765,0.75,0.5789473684210527,0.5757575757575758,0.8181818181818182,0.75,0.71875,0.6565040369726182,0.11499472905287644,2,0.1744186046511628,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1264367816091954,0.2183908045977011,0.3103448275862069,0.2758620689655172,0.264367816091954,0.2691793638064689,0.0780407899319826,1,0.2419354838709677,0.434108527131783,0.3739837398373983,0.5255474452554746,0.4390243902439025,0.2075471698113208,0.3166666666666667,0.45,0.4033613445378151,0.3865546218487395,0.3778729389204068,0.09267590707500331,1,0.8717275161916214,0.8705797556909791,0.91201186019184,0.8872530265351297,0.9069174995100922,0.8533654983207984,0.9027313209944116,0.9404643651131516,0.9391196524019002,0.9037820889672742,0.8987952583917197,0.02714635355987819,4,4.419302940368652,1,,22.181756231342206,newton-cholesky,100000
"{'penalty': 'l2', 'C': 46.70126195527727, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6511627906976745,0.6052631578947368,0.6923076923076923,0.7297297297297297,0.5263157894736842,0.59375,0.8235294117647058,0.75,0.71875,0.6479697460757112,0.11899082589492642,17,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1149425287356321,0.2183908045977011,0.3218390804597701,0.2758620689655172,0.264367816091954,0.2680165731087944,0.08229281972675836,15,0.2295081967213115,0.434108527131783,0.3709677419354839,0.5217391304347826,0.4354838709677419,0.1886792452830188,0.3193277310924369,0.4628099173553719,0.4033613445378151,0.3865546218487395,0.3752540327308485,0.09814848421011202,16,0.8708188724619463,0.8666719044626021,0.9110553931079716,0.8863238870822288,0.9071675214714808,0.8559265340874536,0.9031637914141106,0.939754843330833,0.9392750714589796,0.903923993323738,0.8984081812201345,0.027181701446462963,12,4.41526985168457,1,l2,46.70126195527727,newton-cholesky,100000
"{'penalty': None, 'C': 44.130350982807165, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3947368421052631,0.6511627906976745,0.6216216216216216,0.7058823529411765,0.75,0.5789473684210527,0.5757575757575758,0.8181818181818182,0.75,0.71875,0.6565040369726182,0.11499472905287644,2,0.1744186046511628,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1264367816091954,0.2183908045977011,0.3103448275862069,0.2758620689655172,0.264367816091954,0.2691793638064689,0.0780407899319826,1,0.2419354838709677,0.434108527131783,0.3739837398373983,0.5255474452554746,0.4390243902439025,0.2075471698113208,0.3166666666666667,0.45,0.4033613445378151,0.3865546218487395,0.3778729389204068,0.09267590707500331,1,0.8717275161916214,0.8705797556909791,0.91201186019184,0.8872530265351297,0.9069174995100922,0.8533654983207984,0.9027313209944116,0.9404643651131516,0.9391196524019002,0.9037820889672742,0.8987952583917197,0.02714635355987819,4,4.980006694793701,1,,44.130350982807165,newton-cholesky,100000
"{'penalty': 'l2', 'C': 2.313004898337687, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3636363636363636,0.6666666666666666,0.6470588235294118,0.7142857142857143,0.71875,0.5833333333333334,0.7,0.8333333333333334,0.8571428571428571,0.8636363636363636,0.6947843455564043,0.1414912063376782,1,0.1395348837209302,0.3023255813953488,0.2558139534883721,0.4069767441860465,0.264367816091954,0.0804597701149425,0.2413793103448276,0.2298850574712643,0.2758620689655172,0.2183908045977011,0.24149959903769047,0.08366043223954749,18,0.2016806722689075,0.416,0.3666666666666667,0.5185185185185186,0.3865546218487395,0.1414141414141414,0.358974358974359,0.3603603603603603,0.417391304347826,0.3486238532110092,0.35161844976105283,0.10226453769110495,18,0.8712492826496872,0.8702928155658185,0.913760828573771,0.8865766676686797,0.9097420719387516,0.8410671207606073,0.9192057410448214,0.944390385641982,0.9416942028691708,0.9196145607384432,0.9017593677451734,0.03174619607754163,1,4.622660160064697,1,l2,2.313004898337687,newton-cholesky,100000
"{'penalty': 'l2', 'C': 74.4703716177575, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6511627906976745,0.6052631578947368,0.6923076923076923,0.7297297297297297,0.5263157894736842,0.6060606060606061,0.8235294117647058,0.75,0.71875,0.6492008066817718,0.11848612008235396,12,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1149425287356321,0.2298850574712643,0.3218390804597701,0.2758620689655172,0.264367816091954,0.26916599839615074,0.08166955710997453,9,0.2295081967213115,0.434108527131783,0.3709677419354839,0.5217391304347826,0.4354838709677419,0.1886792452830188,0.3333333333333333,0.4628099173553719,0.4033613445378151,0.3865546218487395,0.37665459295493814,0.09743778920985395,9,0.8700741945180772,0.8657700926406691,0.9096343562976524,0.8859208045254557,0.9070796759174792,0.8569198645826999,0.9006770865008412,0.939254799408056,0.9389304465932816,0.9002750241575275,0.8974536345141741,0.026937925120138904,15,4.621157646179199,1,l2,74.4703716177575,newton-cholesky,100000
"{'penalty': None, 'C': 54.865585795048744, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3947368421052631,0.6511627906976745,0.6216216216216216,0.7058823529411765,0.75,0.5789473684210527,0.5757575757575758,0.8181818181818182,0.75,0.71875,0.6565040369726182,0.11499472905287644,2,0.1744186046511628,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1264367816091954,0.2183908045977011,0.3103448275862069,0.2758620689655172,0.264367816091954,0.2691793638064689,0.0780407899319826,1,0.2419354838709677,0.434108527131783,0.3739837398373983,0.5255474452554746,0.4390243902439025,0.2075471698113208,0.3166666666666667,0.45,0.4033613445378151,0.3865546218487395,0.3778729389204068,0.09267590707500331,1,0.8717275161916214,0.8705797556909791,0.91201186019184,0.8872530265351297,0.9069174995100922,0.8533654983207984,0.9027313209944116,0.9404643651131516,0.9391196524019002,0.9037820889672742,0.8987952583917197,0.02714635355987819,4,5.136271715164185,1,,54.865585795048744,newton-cholesky,100000
"{'penalty': None, 'C': 10.747356726950184, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3947368421052631,0.6511627906976745,0.6216216216216216,0.7058823529411765,0.75,0.5789473684210527,0.5757575757575758,0.8181818181818182,0.75,0.71875,0.6565040369726182,0.11499472905287644,2,0.1744186046511628,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1264367816091954,0.2183908045977011,0.3103448275862069,0.2758620689655172,0.264367816091954,0.2691793638064689,0.0780407899319826,1,0.2419354838709677,0.434108527131783,0.3739837398373983,0.5255474452554746,0.4390243902439025,0.2075471698113208,0.3166666666666667,0.45,0.4033613445378151,0.3865546218487395,0.3778729389204068,0.09267590707500331,1,0.8717275161916214,0.8705797556909791,0.91201186019184,0.8872530265351297,0.9069174995100922,0.8533654983207984,0.9027313209944116,0.9404643651131516,0.9391196524019002,0.9037820889672742,0.8987952583917197,0.02714635355987819,4,5.141916751861572,1,,10.747356726950184,newton-cholesky,100000
"{'penalty': 'l2', 'C': 89.60803865461847, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6511627906976745,0.6052631578947368,0.6923076923076923,0.7297297297297297,0.5263157894736842,0.6060606060606061,0.8235294117647058,0.75,0.71875,0.6492008066817718,0.11848612008235396,12,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1149425287356321,0.2298850574712643,0.3218390804597701,0.2758620689655172,0.264367816091954,0.26916599839615074,0.08166955710997453,9,0.2295081967213115,0.434108527131783,0.3709677419354839,0.5217391304347826,0.4354838709677419,0.1886792452830188,0.3333333333333333,0.4628099173553719,0.4033613445378151,0.3865546218487395,0.37665459295493814,0.09743778920985395,9,0.8696369524225944,0.865360178176154,0.90901948460088,0.8860369469570682,0.9069985877137856,0.8572847614993209,0.8999270206166757,0.9389034171920506,0.9389034171920508,0.8991803334076642,0.8971251099778245,0.026863917600440775,17,4.696814298629761,1,l2,89.60803865461847,newton-cholesky,100000
"{'penalty': None, 'C': 12.12349973925394, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3947368421052631,0.6511627906976745,0.6216216216216216,0.7058823529411765,0.75,0.5789473684210527,0.5757575757575758,0.8181818181818182,0.75,0.71875,0.6565040369726182,0.11499472905287644,2,0.1744186046511628,0.3255813953488372,0.2674418604651162,0.4186046511627907,0.3103448275862069,0.1264367816091954,0.2183908045977011,0.3103448275862069,0.2758620689655172,0.264367816091954,0.2691793638064689,0.0780407899319826,1,0.2419354838709677,0.434108527131783,0.3739837398373983,0.5255474452554746,0.4390243902439025,0.2075471698113208,0.3166666666666667,0.45,0.4033613445378151,0.3865546218487395,0.3778729389204068,0.09267590707500331,1,0.8717275161916214,0.8705797556909791,0.91201186019184,0.8872530265351297,0.9069174995100922,0.8533654983207984,0.9027313209944116,0.9404643651131516,0.9391196524019002,0.9037820889672742,0.8987952583917197,0.02714635355987819,4,5.106137752532959,1,,12.12349973925394,newton-cholesky,100000
