params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 500, 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.30000000000000004,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.00344827586206896,0.01034482758620688,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.006666666666666659,0.019999999999999976,9,0.9163876971005384,0.9010978875741262,0.93445467712404,0.910098926024103,0.9381668660085009,0.8624203477332468,0.9437822241142804,0.9571482630231034,0.9637366795732056,0.9461472967220094,0.9273440864997153,0.02885406167080446,10,57.31098246574402,1,500,15,8,10,entropy
"{'n_estimators': 500, 'max_depth': 33, 'min_samples_split': 11, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.9097983220834586,0.9010603120815456,0.9322411390156586,0.9072226928647557,0.9315547987323212,0.8476622946610175,0.9411738868954704,0.9545669552055248,0.956465770642016,0.942329393798104,0.9224075565979872,0.030912371159244622,12,54.92170786857605,1,500,33,11,19,entropy
"{'n_estimators': 1000, 'max_depth': 45, 'min_samples_split': 13, 'min_samples_leaf': 29, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.8991747055447763,0.8939824556609187,0.92814882627825,0.9000081982892902,0.9245744558643664,0.8276335083487063,0.936355896126011,0.9536952570158188,0.9514383020130146,0.9392480420577484,0.91542596471989,0.03561137049719966,15,111.31429672241212,1,1000,45,13,29,entropy
"{'n_estimators': 500, 'max_depth': 40, 'min_samples_split': 8, 'min_samples_leaf': 8, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2,0.4000000000000001,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0229885057471264,0.0,0.0057471264367816,0.011778104328689174,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0449438202247191,0.0,0.011161048689138569,0.022844477105906993,8,0.9288559287295384,0.9141741589921568,0.9420039351788594,0.922570573606974,0.9430929743828848,0.8854358828816045,0.950657828052464,0.9577564245508052,0.9699061404042246,0.9502557657091502,0.9364709612488662,0.023215665286590716,8,65.01672863960266,1,500,40,8,8,entropy
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 21, 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.8961447544612358,0.8862555680048096,0.9198958817260132,0.8928893504222118,0.9240744119415896,0.8006919526715184,0.9348996871346807,0.9519113165345604,0.9444647164953678,0.9361802050180084,0.9087407844409995,0.04186492973695973,20,51.767693519592285,1,500,10,21,20,entropy
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 29, 'min_samples_leaf': 18, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.8960081163063973,0.8874409039980324,0.9211119613040746,0.8923223020796328,0.9240879266422052,0.8066519356429958,0.935129437045146,0.9526140809665716,0.9452958705832268,0.939491306668829,0.9100153841237111,0.04072215143911923,19,47.22451376914978,1,500,10,29,18,entropy
"{'n_estimators': 500, 'max_depth': 35, 'min_samples_split': 20, 'min_samples_leaf': 30, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.8994616456699369,0.8937570027054355,0.9264066898040608,0.9006845571557401,0.923790603228662,0.824139958239575,0.9364504990303204,0.9531411542905796,0.9493502807679052,0.9380114469514216,0.9145193837843637,0.0360313778236678,16,56.18904185295105,1,500,35,20,30,entropy
"{'n_estimators': 100, 'max_depth': 32, 'min_samples_split': 15, 'min_samples_leaf': 5, 'criterion': 'entropy'}",1.0,0.6666666666666666,0.8333333333333334,0.9,0.8333333333333334,1.0,1.0,0.8888888888888888,1.0,1.0,0.9122222222222222,0.1058125526404892,4,0.0116279069767441,0.0232558139534883,0.0581395348837209,0.1046511627906976,0.057471264367816,0.0919540229885057,0.1379310344827586,0.0919540229885057,0.0689655172413793,0.0229885057471264,0.06689387864207427,0.038449860402023875,6,0.0229885057471264,0.0449438202247191,0.108695652173913,0.1875,0.1075268817204301,0.1684210526315789,0.2424242424242424,0.1666666666666666,0.1290322580645161,0.0449438202247191,0.12231428998779115,0.06712361788121145,6,0.9344990845243626,0.9254604705818053,0.9491706064001312,0.9281317465088952,0.9496881482832952,0.8950651070702156,0.9514180299620912,0.959263313669444,0.9746971017724532,0.9520498422158704,0.9419443450988563,0.02095792862179297,6,13.139253377914429,1,100,32,15,5,entropy
"{'n_estimators': 1000, 'max_depth': 21, 'min_samples_split': 13, 'min_samples_leaf': 4, 'criterion': 'entropy'}",0.6666666666666666,0.9,0.8888888888888888,0.9,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.9212698412698412,0.10093590761072249,1,0.0232558139534883,0.1046511627906976,0.0930232558139534,0.1046511627906976,0.0689655172413793,0.0919540229885057,0.1494252873563218,0.0804597701149425,0.0919540229885057,0.0229885057471264,0.08313285217856184,0.03603424676498482,5,0.0449438202247191,0.1875,0.1684210526315789,0.1875,0.1276595744680851,0.1684210526315789,0.26,0.1489361702127659,0.1684210526315789,0.0449438202247191,0.1506746543025026,0.06204819265748429,5,0.934868007542426,0.925808897876643,0.94710053835433,0.930724455496953,0.9477555460952652,0.8936798502571173,0.953364146850737,0.960526938177002,0.9743389622061398,0.952830316176421,0.9420997659033035,0.02114126213430437,5,128.55995225906372,1,1000,21,13,4,entropy
"{'n_estimators': 500, 'max_depth': 45, 'min_samples_split': 30, 'min_samples_leaf': 7, 'criterion': 'entropy'}",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,0.45825756949558394,7,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0229885057471264,0.0,0.006909917134456009,0.011727193659131468,7,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0449438202247191,0.0,0.01345989926385121,0.022762192195374648,7,0.9318414724127566,0.9169684092586012,0.9427212854917608,0.922068428387943,0.9445525620493692,0.8896254400724388,0.9516849452992492,0.9571550203734112,0.9718928013947172,0.9517423827768656,0.9380252747517114,0.022430238775954923,7,65.075364112854,1,500,45,30,7,entropy
