params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 41.232764219201854, 'kernel': 'rbf'}",0.6296296296296297,0.6962025316455697,0.6593406593406593,0.654320987654321,0.7468354430379747,0.8333333333333334,0.7285714285714285,0.84,0.8571428571428571,0.6867469879518072,0.733212385830758,0.07933014630662606,9,0.5930232558139535,0.6395348837209303,0.6976744186046512,0.6162790697674418,0.6781609195402298,0.632183908045977,0.5862068965517241,0.7241379310344828,0.6896551724137931,0.6551724137931034,0.6512028869286286,0.043620041200465344,9,0.6107784431137725,0.6666666666666667,0.6779661016949152,0.6347305389221557,0.7108433734939759,0.718954248366013,0.6496815286624203,0.7777777777777777,0.7643312101910829,0.6705882352941177,0.6882318124182898,0.05147234230152667,12,0.9409279097095072,0.9418912087011178,0.944087667040144,0.9296245183505044,0.9318318500949409,0.936791745220864,0.925854973747694,0.9447012237561409,0.960128254508842,0.9249866542331422,0.9380826005362897,0.010108289399334378,8,67.18457961082458,1,41.232764219201854,rbf
"{'C': 70.22039198733242, 'kernel': 'rbf'}",0.6428571428571429,0.6746987951807228,0.6382978723404256,0.6395348837209303,0.7368421052631579,0.8333333333333334,0.726027397260274,0.8289473684210527,0.8571428571428571,0.6987951807228916,0.7276476936242788,0.08053569840391592,12,0.627906976744186,0.6511627906976745,0.6976744186046512,0.6395348837209303,0.6436781609195402,0.632183908045977,0.6091954022988506,0.7241379310344828,0.6896551724137931,0.6666666666666666,0.6581796311146753,0.034017489950815154,2,0.6352941176470588,0.6627218934911243,0.6666666666666666,0.6395348837209303,0.6871165644171778,0.718954248366013,0.6625,0.7730061349693252,0.7643312101910829,0.6823529411764706,0.6892478660645849,0.0457152944522161,8,0.936049927581778,0.94036769327467,0.9409928128330554,0.9266184789440604,0.9272976680384089,0.9346699372242157,0.9234358423375026,0.9439106137701284,0.9562225060309352,0.9204051707244554,0.934997065075921,0.010353963187324426,14,66.7546010017395,1,70.22039198733242,rbf
"{'C': 20.5202471232598, 'kernel': 'rbf'}",0.6363636363636364,0.7333333333333333,0.6941176470588235,0.6944444444444444,0.7866666666666666,0.9,0.7246376811594203,0.8289473684210527,0.8955223880597015,0.6875,0.7581533165507078,0.08633590585756616,3,0.5697674418604651,0.6395348837209303,0.686046511627907,0.5813953488372093,0.6781609195402298,0.6206896551724138,0.5747126436781609,0.7241379310344828,0.6896551724137931,0.632183908045977,0.639628441593157,0.0511700472377564,13,0.6012269938650306,0.6832298136645963,0.6900584795321637,0.6329113924050633,0.728395061728395,0.7346938775510204,0.6410256410256409,0.7730061349693252,0.7792207792207794,0.6586826347305389,0.6922450808692553,0.057303180753337575,2,0.943626513267565,0.943353236957888,0.94293307463176,0.9312573443008226,0.9331630481055768,0.930960151905235,0.93479494820491,0.9405657253677688,0.9618040773851756,0.932196747011562,0.9394654867138265,0.008937335338338409,4,72.03236603736877,1,20.5202471232598,rbf
"{'C': 59.171941559354075, 'kernel': 'rbf'}",0.6470588235294118,0.6785714285714286,0.6593406593406593,0.6470588235294118,0.7272727272727273,0.8333333333333334,0.7222222222222222,0.84,0.855072463768116,0.7073170731707317,0.7317247554738042,0.0776979511054433,10,0.6395348837209303,0.6627906976744186,0.6976744186046512,0.6395348837209303,0.6436781609195402,0.632183908045977,0.5977011494252874,0.7241379310344828,0.6781609195402298,0.6666666666666666,0.6582063619353115,0.034120143947729546,1,0.6432748538011696,0.6705882352941176,0.6779661016949152,0.6432748538011696,0.6829268292682927,0.718954248366013,0.6540880503144655,0.7777777777777777,0.7564102564102564,0.6863905325443787,0.6911651739272555,0.04379596858782938,4,0.935305249637909,0.9404770037985408,0.940692208892411,0.9306151449730824,0.929020792366897,0.935426760458689,0.9233142100319623,0.9449444883672216,0.957790211302344,0.9210471190036964,0.9358633188832751,0.010294299162471687,11,70.07515573501587,1,59.171941559354075,rbf
"{'C': 84.83747435402987, 'kernel': 'rbf'}",0.6385542168674698,0.6746987951807228,0.6382978723404256,0.6352941176470588,0.7272727272727273,0.8333333333333334,0.7027027027027027,0.8181818181818182,0.8571428571428571,0.6987951807228916,0.7224273621392007,0.08035610032566305,16,0.6162790697674418,0.6511627906976745,0.6976744186046512,0.627906976744186,0.6436781609195402,0.632183908045977,0.5977011494252874,0.7241379310344828,0.6896551724137931,0.6666666666666666,0.6547046244319701,0.03757307815670538,6,0.6272189349112426,0.6627218934911243,0.6666666666666666,0.631578947368421,0.6829268292682927,0.718954248366013,0.6459627329192548,0.7682926829268294,0.7643312101910829,0.6823529411764706,0.6851007087285398,0.04789989578837568,15,0.9341438253217828,0.9397391577624136,0.9395102888530592,0.9272060230098652,0.9265678742051668,0.9358457161777723,0.9199152628271402,0.944295782737673,0.9562089913303196,0.9259326832762338,0.9349365605501425,0.01010967649320016,15,67.77966141700745,1,84.83747435402987,rbf
"{'C': 23.732604892306924, 'kernel': 'rbf'}",0.6282051282051282,0.7236842105263158,0.686046511627907,0.684931506849315,0.7837837837837838,0.9,0.7246376811594203,0.84,0.8695652173913043,0.6829268292682927,0.7523780868811467,0.08658704220634007,4,0.5697674418604651,0.6395348837209303,0.686046511627907,0.5813953488372093,0.6666666666666666,0.6206896551724138,0.5747126436781609,0.7241379310344828,0.6896551724137931,0.6436781609195402,0.639628441593157,0.05038951304429694,13,0.5975609756097561,0.6790123456790124,0.686046511627907,0.6289308176100629,0.7204968944099379,0.7346938775510204,0.6410256410256409,0.7777777777777777,0.7692307692307693,0.6627218934911242,0.6897497504013008,0.05697612648515572,6,0.9438314704998224,0.9452866668488508,0.9453447380646572,0.9330609679446888,0.9328859967429572,0.9320480853047904,0.931490603904397,0.9421131585882544,0.9616892024299432,0.9273449694905632,0.9395095859818925,0.009686221628419025,2,71.30389976501465,1,23.732604892306924,rbf
"{'C': 16.180070116240174, 'kernel': 'rbf'}",0.6447368421052632,0.7323943661971831,0.725,0.684931506849315,0.7866666666666666,0.9152542372881356,0.7101449275362319,0.8243243243243243,0.890625,0.6835443037974683,0.7597622174764588,0.08674899435045097,2,0.5697674418604651,0.6046511627906976,0.6744186046511628,0.5813953488372093,0.6781609195402298,0.6206896551724138,0.5632183908045977,0.7011494252873564,0.6551724137931034,0.6206896551724138,0.6269313017909649,0.046000319291201734,16,0.6049382716049383,0.6624203821656051,0.6987951807228916,0.6289308176100629,0.728395061728395,0.7397260273972602,0.6282051282051283,0.7577639751552796,0.7549668874172185,0.6506024096385542,0.6854744141645334,0.05452376691813272,14,0.9411328669417648,0.942458257043697,0.9442516328259504,0.9267072937447052,0.9315074972801664,0.9280747633238056,0.9361599329670848,0.9377073661875706,0.963189334198274,0.937122855385946,0.9388311799898965,0.009842747445967161,7,70.89297652244568,1,16.180070116240174,rbf
"{'C': 96.61987687954444, 'kernel': 'rbf'}",0.6385542168674698,0.6666666666666666,0.6593406593406593,0.6352941176470588,0.7272727272727273,0.8461538461538461,0.6933333333333334,0.8181818181818182,0.8571428571428571,0.6987951807228916,0.7240735423329328,0.08108195748588048,15,0.6162790697674418,0.6511627906976745,0.6976744186046512,0.627906976744186,0.6436781609195402,0.632183908045977,0.5977011494252874,0.7241379310344828,0.6896551724137931,0.6666666666666666,0.6547046244319701,0.03757307815670538,6,0.6272189349112426,0.6588235294117646,0.6779661016949152,0.631578947368421,0.6829268292682927,0.7236842105263158,0.6419753086419753,0.7682926829268294,0.7643312101910829,0.6823529411764706,0.685915069611731,0.0484858528524185,13,0.9344307654469436,0.9394932090837044,0.9398177247014456,0.9281078348317984,0.9246758161189834,0.9379202227222662,0.9221249163777898,0.9428497097718042,0.9552156608350734,0.9246960881699068,0.9349331948059716,0.009739232391978719,16,68.24952507019043,1,96.61987687954444,rbf
"{'C': 63.897962454912204, 'kernel': 'rbf'}",0.6428571428571429,0.6746987951807228,0.625,0.6352941176470588,0.7272727272727273,0.8333333333333334,0.726027397260274,0.84,0.855072463768116,0.7195121951219512,0.7279068172441326,0.08316044939047626,11,0.627906976744186,0.6511627906976745,0.6976744186046512,0.627906976744186,0.6436781609195402,0.632183908045977,0.6091954022988506,0.7241379310344828,0.6781609195402298,0.6781609195402298,0.6570168404170008,0.03444262867797378,4,0.6352941176470588,0.6627218934911243,0.6593406593406593,0.631578947368421,0.6829268292682927,0.718954248366013,0.6625,0.7777777777777777,0.7564102564102564,0.6982248520710059,0.688572958174061,0.04679424707969168,9,0.93637785915339,0.9410167245101524,0.9416350121607956,0.9285177492963136,0.9273449694905632,0.9377512889645712,0.9225303573962578,0.945322899984458,0.955857609114314,0.9235135518660424,0.9359868021936858,0.010047916834165895,10,68.96823167800903,1,63.897962454912204,rbf
"{'C': 66.60967785848507, 'kernel': 'rbf'}",0.6428571428571429,0.6746987951807228,0.631578947368421,0.6352941176470588,0.7368421052631579,0.8333333333333334,0.726027397260274,0.8289473684210527,0.855072463768116,0.7108433734939759,0.7275495044593255,0.08111042613573158,13,0.627906976744186,0.6511627906976745,0.6976744186046512,0.627906976744186,0.6436781609195402,0.632183908045977,0.6091954022988506,0.7241379310344828,0.6781609195402298,0.6781609195402298,0.6570168404170008,0.03444262867797378,4,0.6352941176470588,0.6627218934911243,0.6629834254143646,0.631578947368421,0.6871165644171778,0.718954248366013,0.6625,0.7730061349693252,0.7564102564102564,0.6941176470588235,0.6884683235142564,0.04558123664250507,10,0.932873090481786,0.9405931462301532,0.9417306588691828,0.9282922963408302,0.928926189462588,0.9366295688134768,0.9218478650151702,0.9451472088764552,0.9577429098501896,0.920553832431227,0.9354336766371059,0.010796500401843778,13,70.39632844924927,1,66.60967785848507,rbf
"{'C': 28.56677107753311, 'kernel': 'rbf'}",0.6375,0.7142857142857143,0.6703296703296703,0.6623376623376623,0.7631578947368421,0.8852459016393442,0.7424242424242424,0.8289473684210527,0.8695652173913043,0.6867469879518072,0.746054065951764,0.08417811535889588,8,0.5930232558139535,0.6395348837209303,0.7093023255813954,0.5930232558139535,0.6666666666666666,0.6206896551724138,0.5632183908045977,0.7241379310344828,0.6896551724137931,0.6551724137931034,0.645442395081529,0.05067041225031992,10,0.6144578313253013,0.6748466257668713,0.6892655367231638,0.6257668711656442,0.7116564417177914,0.7297297297297297,0.6405228758169934,0.7730061349693252,0.7692307692307693,0.6705882352941177,0.6899071051739707,0.05301167846289224,5,0.938967152187577,0.9439476129314348,0.9443404476265952,0.9354043123001669,0.9328386952908024,0.9347510254279092,0.9293350091562096,0.9432686654908878,0.9607161439856204,0.9286085939981216,0.9392177658395324,0.009014856216236196,6,69.87730813026428,1,28.56677107753311,rbf
"{'C': 92.84172138616196, 'kernel': 'rbf'}",0.6385542168674698,0.6666666666666666,0.6382978723404256,0.6352941176470588,0.7272727272727273,0.8333333333333334,0.6933333333333334,0.8181818181818182,0.8571428571428571,0.7073170731707317,0.7215394015956421,0.08094542857281686,17,0.6162790697674418,0.6511627906976745,0.6976744186046512,0.627906976744186,0.6436781609195402,0.632183908045977,0.5977011494252874,0.7241379310344828,0.6896551724137931,0.6666666666666666,0.6547046244319701,0.03757307815670538,6,0.6272189349112426,0.6588235294117646,0.6666666666666666,0.631578947368421,0.6829268292682927,0.718954248366013,0.6419753086419753,0.7682926829268294,0.7643312101910829,0.6863905325443787,0.6847158890296666,0.04842967115923404,16,0.9346972098488782,0.9397938130243488,0.940466755936928,0.9273426611647037,0.9264732713008574,0.9345077608168286,0.9200774392345272,0.9456067086973856,0.9543777493969064,0.9245339117625198,0.9347877281183884,0.010021530101635989,17,68.12960934638977,1,92.84172138616196,rbf
"{'C': 23.2092769750182, 'kernel': 'rbf'}",0.6363636363636364,0.7236842105263158,0.686046511627907,0.684931506849315,0.7837837837837838,0.9,0.7246376811594203,0.8289473684210527,0.8695652173913043,0.6829268292682927,0.7520886745391028,0.08437891055520987,5,0.5697674418604651,0.6395348837209303,0.686046511627907,0.5813953488372093,0.6666666666666666,0.6206896551724138,0.5747126436781609,0.7241379310344828,0.6896551724137931,0.6436781609195402,0.639628441593157,0.05038951304429694,13,0.6012269938650306,0.6790123456790124,0.686046511627907,0.6289308176100629,0.7204968944099379,0.7346938775510204,0.6410256410256409,0.7730061349693252,0.7692307692307693,0.6627218934911242,0.689639187945983,0.0556622563742416,7,0.9446376356133688,0.9441525701636924,0.9435957696827264,0.9327671959117864,0.9330954746024988,0.932426496922027,0.932889375418111,0.942160460040409,0.9632501503510444,0.9295140789393664,0.939848920764503,0.009563207043069134,1,69.16636037826538,1,23.2092769750182,rbf
"{'C': 7.849759553365759, 'kernel': 'rbf'}",0.6865671641791045,0.765625,0.7763157894736842,0.7205882352941176,0.8169014084507042,0.9454545454545454,0.7424242424242424,0.8428571428571429,0.8688524590163934,0.6944444444444444,0.7860030431594379,0.07837964814791781,1,0.5348837209302325,0.5697674418604651,0.686046511627907,0.5697674418604651,0.6666666666666666,0.5977011494252874,0.5632183908045977,0.6781609195402298,0.6091954022988506,0.5747126436781609,0.6050120288692863,0.05084947773837086,17,0.6013071895424836,0.6533333333333333,0.7283950617283951,0.6363636363636364,0.7341772151898733,0.7323943661971831,0.6405228758169934,0.751592356687898,0.7162162162162161,0.6289308176100629,0.6823233068686074,0.05232574036138919,17,0.9347518651108137,0.9404155166288636,0.9472030169704588,0.9231068783647146,0.935061863542068,0.9245812132146742,0.9372411090163324,0.9392750714589796,0.9551683593829188,0.9390419428733604,0.9375846836563184,0.008988310374201567,9,71.89133501052856,1,7.849759553365759,rbf
"{'C': 69.12754235655784, 'kernel': 'rbf'}",0.6428571428571429,0.6746987951807228,0.6382978723404256,0.6352941176470588,0.7368421052631579,0.8333333333333334,0.726027397260274,0.8289473684210527,0.8571428571428571,0.6987951807228916,0.7272236170168915,0.08100833567670195,14,0.627906976744186,0.6511627906976745,0.6976744186046512,0.627906976744186,0.6436781609195402,0.632183908045977,0.6091954022988506,0.7241379310344828,0.6896551724137931,0.6666666666666666,0.6570168404170009,0.03482410429678078,3,0.6352941176470588,0.6627218934911243,0.6666666666666666,0.631578947368421,0.6871165644171778,0.718954248366013,0.6625,0.7730061349693252,0.7643312101910829,0.6823529411764706,0.6884522724293339,0.046633545164707274,11,0.933221517776624,0.9401695679501544,0.9405487388298308,0.9300071051840516,0.928392358788272,0.937224215640563,0.9229966145674958,0.944626892902755,0.9564184691898614,0.9220404494989424,0.9355645930328549,0.00997238405876431,12,69.79994130134583,1,69.12754235655784,rbf
"{'C': 0.007636274989792035, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.9258430574153528,0.8843802093296531,0.9351993550679092,0.8989560844970349,0.9334468568185044,0.9227161845297224,0.9298080236777556,0.9332272429335008,0.9460391791170846,0.9234189489617332,0.9233035142348252,0.017368726149071794,19,60.14441895484924,1,0.007636274989792035,rbf
"{'C': 0.0124378845164352, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.9261709889869648,0.8834442379690104,0.9360328478124232,0.8991678736370343,0.935460547210228,0.9229999932426496,0.9303350970017636,0.9328420739659564,0.9473771344780284,0.9231013534972666,0.9236932147801324,0.01791067738926206,18,62.01543617248535,1,0.0124378845164352,rbf
