params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 500, 'learning_rate': 0.17820074924757356, 'max_depth': 44, 'min_child_weight': 29, 'reg_alpha': 0.04541395963957708, 'reg_lambda': 0.015241668086755228, 'gamma': 50.46377600460098, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,13.722611427307127,1,500,0.17820074924757356,44,29,0.04541395963957708,0.015241668086755228,50.46377600460098,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.045007827640063384, 'max_depth': 25, 'min_child_weight': 27, 'reg_alpha': 0.09057918973817021, 'reg_lambda': 0.015877535354340486, 'gamma': 26.15515775422525, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,14.48055362701416,1,500,0.045007827640063384,25,27,0.09057918973817021,0.015877535354340486,26.15515775422525,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.22172772474755753, 'max_depth': 8, 'min_child_weight': 6, 'reg_alpha': 0.06783190817337148, 'reg_lambda': 0.06840245358354045, 'gamma': 76.86951013655371, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,27.268388032913208,1,1000,0.22172772474755753,8,6,0.06783190817337148,0.06840245358354045,76.86951013655371,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.20433893215989082, 'max_depth': 29, 'min_child_weight': 20, 'reg_alpha': 0.09305576969353035, 'reg_lambda': 0.09943178453912704, 'gamma': 67.45771377054699, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,14.76986026763916,1,500,0.20433893215989082,29,20,0.09305576969353035,0.09943178453912704,67.45771377054699,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.2650190342025037, 'max_depth': 13, 'min_child_weight': 10, 'reg_alpha': 0.037619970585432, 'reg_lambda': 0.013389494928946932, 'gamma': 18.57664770446235, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,9,14.91103172302246,1,500,0.2650190342025037,13,10,0.037619970585432,0.013389494928946932,18.57664770446235,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.04182863723776557, 'max_depth': 23, 'min_child_weight': 12, 'reg_alpha': 0.004211014249543961, 'reg_lambda': 0.07043067818762172, 'gamma': 10.490490644243781, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5989055283797448,0.7019648566665756,0.7903629109392507,0.7420749870193752,0.7576070871090028,0.5822166811949698,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.75071140902718,0.09159900624060141,6,15.100748062133787,1,500,0.04182863723776557,23,12,0.004211014249543961,0.07043067818762172,10.490490644243781,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.184571012729734, 'max_depth': 38, 'min_child_weight': 7, 'reg_alpha': 0.027932604091430748, 'reg_lambda': 0.08389631550665871, 'gamma': 90.19025555579293, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,27.62446427345276,1,1000,0.184571012729734,38,7,0.027932604091430748,0.08389631550665871,90.19025555579293,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.13287615001734981, 'max_depth': 22, 'min_child_weight': 19, 'reg_alpha': 0.0587036203596448, 'reg_lambda': 0.09917574221314812, 'gamma': 85.53349417099614, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,14.930033922195436,1,500,0.13287615001734981,22,19,0.0587036203596448,0.09917574221314812,85.53349417099614,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.006768398793499058, 'max_depth': 44, 'min_child_weight': 8, 'reg_alpha': 0.07614168569219637, 'reg_lambda': 0.058371520373935636, 'gamma': 42.48051467702369, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,13.45029091835022,1,500,0.006768398793499058,44,8,0.07614168569219637,0.058371520373935636,42.48051467702369,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.19152453122876886, 'max_depth': 17, 'min_child_weight': 26, 'reg_alpha': 0.03544715596623852, 'reg_lambda': 0.011807606605226048, 'gamma': 29.689552313870237, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,13,3.7972350120544434,1,100,0.19152453122876886,17,26,0.03544715596623852,0.011807606605226048,29.689552313870237,gpu_hist,0,0.04843400447427293
