params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 500, 'learning_rate': 0.0026094655821491796}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.7632641488809335,0.7946601809089171,0.8291305714207635,0.8340051375946219,0.8072127957185429,0.7340408279105597,0.878246062154108,0.8604438227682161,0.8483583017427206,0.8497469372309729,0.8199108786330356,0.04290730356205876,20,331.722421169281,1,500,0.0026094655821491796
"{'n_estimators': 500, 'learning_rate': 0.10849204111991587}",0.625,0.8076923076923077,0.625,0.7941176470588235,0.76,0.75,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.6842105263157895,0.7450782385828825,0.07772408450879736,10,0.0581395348837209,0.2441860465116279,0.1162790697674418,0.313953488372093,0.2183908045977011,0.0689655172413793,0.1149425287356321,0.1379310344827586,0.1149425287356321,0.1494252873563218,0.15371558406843086,0.07683559110201617,6,0.1063829787234042,0.375,0.196078431372549,0.4499999999999999,0.3392857142857143,0.1263157894736842,0.198019801980198,0.2376237623762376,0.202020202020202,0.2452830188679245,0.2476009699099914,0.10370630491343708,6,0.8823852922690133,0.8633789249309978,0.8996290274096139,0.8769334298909628,0.8958590957313819,0.8429389067958672,0.8897065282761324,0.9321190374830222,0.9186279875935048,0.8860947245366146,0.8887672954917111,0.02423408967030743,7,341.7084512710572,1,500,0.10849204111991587
"{'n_estimators': 100, 'learning_rate': 0.03203690642806112}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.7696895581122073,0.8559150657229524,0.8564786981116608,0.8746344929358074,0.8347422408725091,0.7054741294843467,0.874049747612966,0.8825606303256367,0.8841519863231229,0.870711616560914,0.8408408166062123,0.055361648408863824,18,70.06148505210876,1,100,0.03203690642806112
"{'n_estimators': 500, 'learning_rate': 0.1194591880202104}",0.625,0.8076923076923077,0.631578947368421,0.7297297297297297,0.76,0.7777777777777778,0.7142857142857143,0.8666666666666667,0.8823529411764706,0.7,0.7495084084697088,0.08316305826463154,9,0.0581395348837209,0.2441860465116279,0.1395348837209302,0.313953488372093,0.2183908045977011,0.0804597701149425,0.1149425287356321,0.1494252873563218,0.1724137931034483,0.160919540229885,0.16523656776263032,0.07303575031264382,5,0.1063829787234042,0.375,0.2285714285714285,0.4390243902439024,0.3392857142857143,0.1458333333333333,0.198019801980198,0.2549019607843137,0.2884615384615384,0.2616822429906542,0.2637163389374487,0.09681076448940247,5,0.8828293662722377,0.8632901101303528,0.8921002650780203,0.8766874812122537,0.8961902058964639,0.8459391703325292,0.8890443079459682,0.9321629602600228,0.919557123260827,0.8846283795198226,0.8882429369908499,0.023614359059379277,10,350.70764541625977,1,500,0.1194591880202104
"{'n_estimators': 500, 'learning_rate': 0.035801107296574854}",1.0,0.9230769230769232,0.8333333333333334,0.96,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.854974358974359,0.17239280559650183,2,0.0232558139534883,0.1395348837209302,0.0581395348837209,0.2790697674418604,0.0459770114942528,0.0459770114942528,0.0459770114942528,0.0229885057471264,0.0229885057471264,0.0114942528735632,0.06954022988505743,0.07774524998317041,13,0.0454545454545454,0.2424242424242424,0.108695652173913,0.4324324324324323,0.0879120879120879,0.0879120879120879,0.0842105263157894,0.0444444444444444,0.0444444444444444,0.0227272727272727,0.12006577362412599,0.1193758400317539,13,0.848048123958134,0.8710409094635585,0.8992225288989697,0.9025530839231548,0.897849135397028,0.7912215262151405,0.9080290836357248,0.9270037233000196,0.9137964821234298,0.915556771878611,0.887432136879377,0.03876679393175829,11,352.5852892398834,1,500,0.035801107296574854
"{'n_estimators': 100, 'learning_rate': 0.2796725838016732}",0.8,0.8947368421052632,0.6666666666666666,0.896551724137931,0.8571428571428571,1.0,0.6363636363636364,0.8,0.8888888888888888,0.4285714285714285,0.7868922043876673,0.15819593018585132,7,0.0465116279069767,0.1976744186046511,0.0697674418604651,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0804597701149425,0.0459770114942528,0.0919540229885057,0.0344827586206896,0.11220261962042229,0.0864666489429411,8,0.0879120879120879,0.3238095238095237,0.1263157894736842,0.4521739130434781,0.3333333333333332,0.0879120879120879,0.1428571428571428,0.0869565217391304,0.1666666666666666,0.0638297872340425,0.18717668539811771,0.12700717279686738,8,0.8707983767387205,0.8726634875522641,0.9053541660973412,0.899697346487033,0.8885983228256535,0.8212005108556832,0.900619649023225,0.9346395291478306,0.9088095575962754,0.8829795860447203,0.8885360532368747,0.028673156656196578,9,70.29670310020447,1,100,0.2796725838016732
"{'n_estimators': 100, 'learning_rate': 0.27012511511901915}",0.8,0.8947368421052632,0.7272727272727273,0.896551724137931,0.9,1.0,0.6363636363636364,0.8,0.875,0.4285714285714285,0.7958496358450986,0.1561330678734811,6,0.0465116279069767,0.1976744186046511,0.0930232558139534,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0804597701149425,0.0459770114942528,0.0804597701149425,0.0344827586206896,0.11337877572841482,0.08597423269560575,7,0.0879120879120879,0.3238095238095237,0.1649484536082474,0.4521739130434781,0.3364485981308411,0.0879120879120879,0.1428571428571428,0.0869565217391304,0.1473684210526315,0.0638297872340425,0.18942165372992134,0.1265433686382924,7,0.8675463886535675,0.8716762768835571,0.9047563741699232,0.9005513349547728,0.8897842378046721,0.8198220113928927,0.899555366349747,0.9354098670829194,0.90732294052856,0.8900579104921378,0.888648270831275,0.02920475703865913,8,70.06928515434265,1,100,0.27012511511901915
"{'n_estimators': 100, 'learning_rate': 0.14504654529610206}",0.0,0.9230769230769232,0.8333333333333334,0.9583333333333334,1.0,1.0,0.2,0.6666666666666666,0.5,1.0,0.7081410256410257,0.3441984239685867,12,0.0,0.1395348837209302,0.0581395348837209,0.2674418604651162,0.0459770114942528,0.0459770114942528,0.0114942528735632,0.0229885057471264,0.0114942528735632,0.0114942528735632,0.06145415664260889,0.07858867631519423,14,0.0,0.2424242424242424,0.108695652173913,0.4181818181818182,0.0879120879120879,0.0879120879120879,0.0217391304347826,0.0444444444444444,0.0224719101123595,0.0227272727272727,0.10565086463230086,0.12359843190942298,14,0.8451206514907224,0.8699580520864647,0.8954991391796245,0.8997315060257427,0.896115875043078,0.781869353389149,0.905991742517924,0.9273686202166408,0.9142965260462068,0.9150668639812958,0.885101832997685,0.04111121143636553,12,69.71299362182617,1,100,0.14504654529610206
"{'n_estimators': 100, 'learning_rate': 0.021733907445746537}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.7631685021725467,0.7946601809089171,0.8502855737436121,0.8686634055693712,0.8293228459256556,0.7220431524390655,0.8717826565847,0.87831701433234,0.8805300465581436,0.868745227621345,0.8327518605855696,0.05228377376161386,19,70.45599341392517,1,100,0.021733907445746537
"{'n_estimators': 100, 'learning_rate': 0.09613072003256422}",0.0,0.9166666666666666,0.8333333333333334,0.9583333333333334,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.5875,0.41182604876870577,15,0.0,0.127906976744186,0.0581395348837209,0.2674418604651162,0.0344827586206896,0.0114942528735632,0.0,0.0229885057471264,0.0114942528735632,0.0,0.053394814220796546,0.08045946484128717,15,0.0,0.2244897959183673,0.108695652173913,0.4181818181818182,0.0666666666666666,0.0227272727272727,0.0,0.0444444444444444,0.0224719101123595,0.0,0.09076775602248416,0.12733415086040317,15,0.8288504632033449,0.8725405132129095,0.8897398409531877,0.8985085945399394,0.883087703649645,0.7544007243879529,0.8988762526438134,0.9150465919303724,0.9139316291295856,0.9118841519863232,0.8766866465637074,0.04747295187000627,15,68.85896301269531,1,100,0.09613072003256422
