params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 40, 'min_samples_split': 21, 'min_samples_leaf': 19}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.918406525838275,0.9048246932473424,0.9374436367611292,0.912168994069904,0.9291660753985148,0.8674376803367863,0.9411130707427002,0.9561583112030112,0.9658584875698542,0.9437822241142804,0.9276359699281796,0.02698879123391343,13,110.28785419464111,1,500,40,21,19
"{'n_estimators': 500, 'max_depth': 45, 'min_samples_split': 25, 'min_samples_leaf': 16}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9181264176208564,0.9084592681660428,0.9410611319104748,0.9143483726395758,0.9298823545311412,0.8725327224688655,0.9436132903565854,0.9580773986904254,0.9672707737841836,0.9435389595031995,0.9296910689671349,0.026114996845774736,11,112.64949679374696,1,500,45,25,16
"{'n_estimators': 100, 'max_depth': 47, 'min_samples_split': 17, 'min_samples_leaf': 9}",0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.85,0.18929694486000914,8,0.0232558139534883,0.0232558139534883,0.0348837209302325,0.0116279069767441,0.0229885057471264,0.0689655172413793,0.0919540229885057,0.0459770114942528,0.0689655172413793,0.0229885057471264,0.04148623362737231,0.02522206975141829,8,0.0449438202247191,0.0449438202247191,0.0674157303370786,0.0227272727272727,0.0444444444444444,0.1290322580645161,0.1684210526315789,0.0879120879120879,0.1290322580645161,0.0449438202247191,0.0783816564855652,0.045883059915930294,8,0.9242683026808406,0.9187891126718224,0.9443062880878856,0.920582488454076,0.9381871380594242,0.8939231148681979,0.9474818734077992,0.9598174163946832,0.9703386108239238,0.949654361531756,0.9367348706980408,0.021389421351135137,7,23.072770595550537,1,100,47,17,9
"{'n_estimators': 500, 'max_depth': 7, 'min_samples_split': 26, 'min_samples_leaf': 15}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.8846227420544913,0.8796696089416007,0.9192400185827888,0.8875365507064192,0.915722326961152,0.7809165669957496,0.9314433024522424,0.950292931135843,0.9456877969010792,0.9393831890639044,0.903451503379527,0.04758224262168345,20,81.77615904808044,1,500,7,26,15
"{'n_estimators': 1000, 'max_depth': 49, 'min_samples_split': 29, 'min_samples_leaf': 22}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9141331675457054,0.9045719126608914,0.9356468450250048,0.9122065695624846,0.9251724813666066,0.8596194260306648,0.9401062255468384,0.9558947745410072,0.9622297904545668,0.9413360633028576,0.9250917256036628,0.02814710721108901,15,219.74102449417117,1,1000,49,29,22
"{'n_estimators': 100, 'max_depth': 44, 'min_samples_split': 7, 'min_samples_leaf': 19}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.914170743038286,0.904934003771213,0.9360875030743584,0.9125003415953872,0.927953131018265,0.8654848060978331,0.9420658571360998,0.9554082453188456,0.963966429483671,0.9428294377208808,0.926540049825484,0.027163080253048998,14,22.511431217193604,1,100,44,7,19
"{'n_estimators': 500, 'max_depth': 23, 'min_samples_split': 20, 'min_samples_leaf': 13}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.45825756949558394,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0229885057471264,0.0229885057471264,0.0,0.008045977011494239,0.01264367816091952,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0449438202247191,0.0449438202247191,0.0,0.01565543071161048,0.024563007327214247,10,0.9208557647637526,0.909846145437652,0.941843385346924,0.9166917169950536,0.9311797657902384,0.8755667727570664,0.9462858224033192,0.958327420651814,0.9683789792346624,0.9442011798333636,0.9313176953213846,0.025488166388510012,9,114.69909453392027,1,500,23,20,13
"{'n_estimators': 100, 'max_depth': 25, 'min_samples_split': 9, 'min_samples_leaf': 13}",1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,9,0.0232558139534883,0.0,0.0232558139534883,0.0,0.0,0.0114942528735632,0.0459770114942528,0.0,0.0229885057471264,0.0,0.012697139802191901,0.014979876519064494,9,0.0454545454545454,0.0,0.0454545454545454,0.0,0.0,0.0227272727272727,0.0879120879120879,0.0,0.0449438202247191,0.0,0.024649227177317053,0.028846834321365644,9,0.9204560981608504,0.9108265241986172,0.9395717760227368,0.9190043177656928,0.9301121044416064,0.8719380756417794,0.9463635319318588,0.957198943150412,0.9684668247886636,0.9465054362883228,0.9310443632390542,0.02605992817460834,10,22.81321883201599,1,100,25,9,13
"{'n_estimators': 500, 'max_depth': 8, 'min_samples_split': 13, 'min_samples_leaf': 20}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.8882948924657721,0.8826004973628836,0.918509004454404,0.8901190118328642,0.9147458898416752,0.789072688817261,0.9335583530985828,0.950259144384304,0.9493164940163664,0.9396332110252928,0.9056109187299406,0.04554394318254329,19,86.73744773864746,1,500,8,13,20
"{'n_estimators': 500, 'max_depth': 36, 'min_samples_split': 20, 'min_samples_leaf': 29}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.907106550433143,0.8974803924247807,0.9301710709698576,0.9069562484628207,0.923027022643881,0.8479427246987912,0.9362410211707786,0.9543405839702136,0.957729395149574,0.9383493144668112,0.9199344324390651,0.030580362621496823,18,107.36106467247008,1,500,36,20,29
"{'n_estimators': 500, 'max_depth': 27, 'min_samples_split': 16, 'min_samples_leaf': 17}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9187481212253708,0.9054942202060504,0.9395581122072528,0.9155849479408628,0.9296999060728306,0.8713163994134618,0.9429172832748822,0.9566786271767116,0.967000479771872,0.941957739531175,0.928895583682047,0.02616978281819719,12,113.58799505233765,1,500,27,16,17
"{'n_estimators': 500, 'max_depth': 18, 'min_samples_split': 10, 'min_samples_leaf': 6}",1.0,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8916666666666666,0.17500000000000002,7,0.0232558139534883,0.0348837209302325,0.0348837209302325,0.0116279069767441,0.0229885057471264,0.057471264367816,0.1494252873563218,0.1034482758620689,0.1149425287356321,0.0344827586206896,0.05874097834803523,0.044571839945689695,7,0.0454545454545454,0.0666666666666666,0.0674157303370786,0.0227272727272727,0.0444444444444444,0.108695652173913,0.26,0.1875,0.2061855670103092,0.0666666666666666,0.10757565454808966,0.07703894546670588,7,0.9252657612111606,0.9204629300685924,0.945109037247561,0.9210641379498812,0.9384506747214284,0.884918945583058,0.9487387405650496,0.9609627872718548,0.9696561184428362,0.9501071040023784,0.9364736237063802,0.023222567996470492,8,114.2239363193512,1,500,18,10,6
