params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 32},0.6333333333333333,0.6071428571428571,0.8333333333333334,0.6666666666666666,0.6,0.84,0.7608695652173914,0.918918918918919,0.918918918918919,0.9393939393939394,0.7718577532925359,0.1291456400890001,3,0.2209302325581395,0.1976744186046511,0.2906976744186046,0.2325581395348837,0.1034482758620689,0.2413793103448276,0.4022988505747126,0.3908045977011494,0.3908045977011494,0.3563218390804598,0.2826917936380647,0.09516242446030909,7,0.3275862068965517,0.2982456140350877,0.4310344827586207,0.3448275862068966,0.1764705882352941,0.375,0.5263157894736842,0.5483870967741936,0.5483870967741936,0.5166666666666667,0.40929211278211886,0.11955587059718824,7,0.926488672696964,0.8902009947257672,0.9166883010411828,0.906191074795726,0.924449444883672,0.926216491989161,0.9343354483839796,0.926226628014623,0.967399163440032,0.9227128058545682,0.9240909025825677,0.018764703126450937,7,12.61395001411438,1,32
{'n_neighbors': 51},0.4838709677419355,0.6538461538461539,0.8275862068965517,0.1666666666666666,0.6428571428571429,0.8125,0.7837837837837838,0.9655172413793104,0.9642857142857144,0.8888888888888888,0.7189802766346147,0.2334370893541715,10,0.1744186046511628,0.1976744186046511,0.2790697674418604,0.0232558139534883,0.1034482758620689,0.1494252873563218,0.3333333333333333,0.3218390804597701,0.3103448275862069,0.2758620689655172,0.21686714782143807,0.09886301409823989,10,0.2564102564102564,0.3035714285714285,0.4173913043478261,0.0408163265306122,0.1782178217821782,0.2524271844660194,0.467741935483871,0.4827586206896551,0.4695652173913043,0.4210526315789473,0.32899527272520984,0.14017870808380783,10,0.9192126909518212,0.9002507310141283,0.9193185855218212,0.90702456754024,0.9181718664477284,0.9256184664869213,0.9381432152824236,0.9208883212714633,0.9629866136890404,0.9137086365694284,0.9225323694775016,0.016576053590038657,13,13.415115356445312,1,51
{'n_neighbors': 31},0.6451612903225806,0.5882352941176471,0.8387096774193549,0.6666666666666666,0.5882352941176471,0.84,0.7755102040816326,0.8974358974358975,0.925,0.8611111111111112,0.7626065435272537,0.12247864731366044,5,0.2325581395348837,0.2325581395348837,0.3023255813953488,0.2325581395348837,0.1149425287356321,0.2413793103448276,0.4367816091954023,0.4022988505747126,0.425287356321839,0.3563218390804598,0.29770114942528736,0.09966130763696043,6,0.3418803418803419,0.3333333333333333,0.4444444444444443,0.3448275862068966,0.1923076923076923,0.375,0.5588235294117647,0.5555555555555556,0.5826771653543307,0.5040650406504066,0.42329146891447655,0.12033317755681952,6,0.9265330800972864,0.8918201568606017,0.9180171070969856,0.9068196103079824,0.9259090325501564,0.9216755525823214,0.9350753782426836,0.9270780541534054,0.9634224627838932,0.9239730516869724,0.924032348636229,0.017516353251163186,8,12.318118572235107,1,31
{'n_neighbors': 80},0.3888888888888889,0.5454545454545454,0.8333333333333334,0.2857142857142857,0.4285714285714285,0.75,0.75,0.9285714285714286,0.9166666666666666,0.9473684210526316,0.677456899825321,0.23325027024358466,17,0.0813953488372093,0.0697674418604651,0.1162790697674418,0.0232558139534883,0.0344827586206896,0.0344827586206896,0.1034482758620689,0.1494252873563218,0.1264367816091954,0.2068965517241379,0.09458700882117077,0.05503395111284727,16,0.1346153846153846,0.1237113402061855,0.2040816326530612,0.043010752688172,0.0638297872340425,0.0659340659340659,0.1818181818181818,0.2574257425742575,0.2222222222222222,0.3396226415094339,0.16362717514550074,0.0903660181078503,16,0.92864755554341,0.904179077965731,0.9225125023911678,0.90535075014347,0.9214863467737032,0.9278348773878786,0.9330447944751904,0.9385148695493524,0.9578881928818072,0.9017954279767816,0.9241254395088492,0.01649025669674538,5,15.175273895263672,1,80
{'n_neighbors': 73},0.35,0.5384615384615384,0.7727272727272727,0.25,0.5,0.6666666666666666,0.88,0.9444444444444444,0.96,0.9473684210526316,0.6809668343352554,0.2479549656827385,15,0.0813953488372093,0.0813953488372093,0.1976744186046511,0.0232558139534883,0.0459770114942528,0.0459770114942528,0.2528735632183908,0.1954022988505747,0.2758620689655172,0.2068965517241379,0.14067094359796842,0.08957912887641556,14,0.1320754716981132,0.1414141414141414,0.3148148148148147,0.0425531914893617,0.0842105263157894,0.086021505376344,0.3928571428571428,0.3238095238095237,0.4285714285714285,0.3396226415094339,0.22859503878560933,0.13729587623882775,14,0.9228677615937476,0.90303473341896,0.9240565135408412,0.9079605389008828,0.9237669525025848,0.9248751579530634,0.9355314993884598,0.9364065762533196,0.9590876225614412,0.9069107421597842,0.9244498098273084,0.015833418454469977,3,12.640652179718018,1,73
{'n_neighbors': 58},0.3181818181818182,0.64,0.8148148148148148,0.1666666666666666,0.5833333333333334,0.8,0.7878787878787878,0.96,0.9285714285714286,0.9047619047619048,0.6904208754208755,0.2528241566596013,14,0.0813953488372093,0.1860465116279069,0.2558139534883721,0.0232558139534883,0.0804597701149425,0.0919540229885057,0.2988505747126437,0.2758620689655172,0.2988505747126437,0.2183908045977011,0.18108794439989304,0.09830501335287459,11,0.1296296296296296,0.2882882882882883,0.3893805309734513,0.0408163265306122,0.1414141414141414,0.1649484536082474,0.4333333333333333,0.4285714285714285,0.4521739130434783,0.3518518518518519,0.28204078972444624,0.14305427290530193,11,0.9177779903260188,0.8971353810838139,0.9203911950373024,0.9090433962779766,0.9185164913134264,0.9268483042429404,0.9370755539337916,0.9230945961469588,0.9625440072438796,0.9176785798752592,0.9230105495481368,0.016501293641054106,12,15.153857469558716,1,58
{'n_neighbors': 80},0.3888888888888889,0.5454545454545454,0.8333333333333334,0.2857142857142857,0.4285714285714285,0.75,0.75,0.9285714285714286,0.9166666666666666,0.9473684210526316,0.677456899825321,0.23325027024358466,17,0.0813953488372093,0.0697674418604651,0.1162790697674418,0.0232558139534883,0.0344827586206896,0.0344827586206896,0.1034482758620689,0.1494252873563218,0.1264367816091954,0.2068965517241379,0.09458700882117077,0.05503395111284727,16,0.1346153846153846,0.1237113402061855,0.2040816326530612,0.043010752688172,0.0638297872340425,0.0659340659340659,0.1818181818181818,0.2574257425742575,0.2222222222222222,0.3396226415094339,0.16362717514550074,0.0903660181078503,16,0.92864755554341,0.904179077965731,0.9225125023911678,0.90535075014347,0.9214863467737032,0.9278348773878786,0.9330447944751904,0.9385148695493524,0.9578881928818072,0.9017954279767816,0.9241254395088492,0.01649025669674538,5,12.372499704360962,1,80
{'n_neighbors': 37},0.5277777777777778,0.6071428571428571,0.8275862068965517,0.6666666666666666,0.6,0.8076923076923077,0.7333333333333333,0.9375,0.918918918918919,0.9375,0.7564118068428414,0.14397781492410794,6,0.2209302325581395,0.1976744186046511,0.2790697674418604,0.2325581395348837,0.1034482758620689,0.2413793103448276,0.3793103448275862,0.3448275862068966,0.3908045977011494,0.3448275862068966,0.27348302592889595,0.08677622313636217,8,0.3114754098360656,0.2982456140350877,0.4173913043478261,0.3448275862068966,0.1764705882352941,0.3716814159292035,0.5,0.5042016806722689,0.5483870967741936,0.5042016806722689,0.3976882376709105,0.11224331584258287,8,0.9222153144043944,0.8970431503292979,0.9245176673134208,0.9085514989205584,0.9197632224452148,0.932054842655098,0.9378729212701116,0.927787575935724,0.9689229459344402,0.9209930602012338,0.9259722199409495,0.01801841198774977,1,14.952443599700928,1,37
{'n_neighbors': 61},0.3181818181818182,0.4705882352941176,0.8148148148148148,0.1818181818181818,0.5454545454545454,0.7142857142857143,0.8125,0.96,0.9285714285714286,0.9047619047619048,0.6650976643182526,0.2581559518084741,20,0.0813953488372093,0.0930232558139534,0.2558139534883721,0.0232558139534883,0.0689655172413793,0.057471264367816,0.2988505747126437,0.2758620689655172,0.2988505747126437,0.2183908045977011,0.16718791766907243,0.10593351117879196,12,0.1296296296296296,0.1553398058252427,0.3893805309734513,0.0412371134020618,0.1224489795918367,0.1063829787234042,0.4369747899159664,0.4285714285714285,0.4521739130434783,0.3518518518518519,0.2613991021528351,0.15496760563911088,12,0.916992320935698,0.90079045172574,0.9183518705763396,0.908855518815074,0.9232365005034228,0.928392358788272,0.9372951678187948,0.9224931919695648,0.9617365038820976,0.915283099191145,0.9233426984206149,0.01594886425291628,10,12.37772822380066,1,61
{'n_neighbors': 73},0.35,0.5384615384615384,0.7727272727272727,0.25,0.5,0.6666666666666666,0.88,0.9444444444444444,0.96,0.9473684210526316,0.6809668343352554,0.2479549656827385,15,0.0813953488372093,0.0813953488372093,0.1976744186046511,0.0232558139534883,0.0459770114942528,0.0459770114942528,0.2528735632183908,0.1954022988505747,0.2758620689655172,0.2068965517241379,0.14067094359796842,0.08957912887641556,14,0.1320754716981132,0.1414141414141414,0.3148148148148147,0.0425531914893617,0.0842105263157894,0.086021505376344,0.3928571428571428,0.3238095238095237,0.4285714285714285,0.3396226415094339,0.22859503878560933,0.13729587623882775,14,0.9228677615937476,0.90303473341896,0.9240565135408412,0.9079605389008828,0.9237669525025848,0.9248751579530634,0.9355314993884598,0.9364065762533196,0.9590876225614412,0.9069107421597842,0.9244498098273084,0.015833418454469977,3,15.030083656311035,1,73
{'n_neighbors': 27},0.5365853658536586,0.6388888888888888,0.8484848484848485,0.6388888888888888,0.5789473684210527,0.8461538461538461,0.8085106382978723,0.8863636363636364,0.9210526315789472,0.9411764705882352,0.7645052583519875,0.14288560143284879,4,0.2558139534883721,0.2674418604651162,0.3255813953488372,0.2674418604651162,0.1264367816091954,0.2528735632183908,0.4367816091954023,0.4482758620689655,0.4022988505747126,0.367816091954023,0.3150761828388131,0.09516200679340554,5,0.3464566929133858,0.3770491803278688,0.4705882352941176,0.3770491803278688,0.2075471698113208,0.3893805309734513,0.5671641791044776,0.5954198473282443,0.5599999999999999,0.5289256198347108,0.44195806359154466,0.11696312832029782,5,0.928155658185992,0.8939961194764026,0.919000901811822,0.9034173202525072,0.927794333286032,0.9115462844709332,0.936855940048788,0.9287977998067398,0.9647063593423748,0.9200504098332964,0.9234321126514887,0.018420934003989798,9,12.3561053276062,1,27
{'n_neighbors': 21},0.5714285714285714,0.6842105263157895,0.8378378378378378,0.6458333333333334,0.8095238095238095,0.8148148148148148,0.7254901960784313,0.8913043478260869,0.9069767441860463,0.9411764705882352,0.7828596651932956,0.11553633568205413,1,0.3720930232558139,0.3023255813953488,0.3604651162790697,0.3604651162790697,0.3908045977011494,0.2528735632183908,0.425287356321839,0.4712643678160919,0.4482758620689655,0.367816091954023,0.3751670676289761,0.061719954058677674,4,0.4507042253521126,0.4193548387096774,0.5040650406504064,0.4626865671641791,0.5271317829457365,0.3859649122807018,0.5362318840579711,0.6165413533834586,0.6,0.5289256198347108,0.5031606224378954,0.0705082262944078,4,0.9329482414669472,0.8928688546989861,0.9172895089224716,0.9003292979531603,0.9251623453411448,0.8986769108097332,0.9238007392541238,0.9236520775473522,0.9665882814030962,0.9217465047605532,0.920306276215757,0.019949252383045218,16,12.36259627342224,1,21
{'n_neighbors': 71},0.3684210526315789,0.5,0.782608695652174,0.25,0.5,0.6666666666666666,0.88,0.9545454545454546,0.9230769230769232,0.9473684210526316,0.6772687213625429,0.2456340028446325,19,0.0813953488372093,0.0813953488372093,0.2093023255813953,0.0232558139534883,0.0459770114942528,0.0459770114942528,0.2528735632183908,0.2413793103448276,0.2758620689655172,0.2068965517241379,0.14643143544506812,0.09408501206596091,13,0.1333333333333333,0.14,0.3302752293577981,0.0425531914893617,0.0842105263157894,0.086021505376344,0.3928571428571428,0.3853211009174311,0.4247787610619469,0.3396226415094339,0.23589734322185812,0.1431347077862683,13,0.9223417046976196,0.9026043232312192,0.9201008389582708,0.9070723908944331,0.9236689709231216,0.9242365883489768,0.9369741936791746,0.92786190678911,0.9596146958854492,0.9079682674829546,0.923244388089033,0.015701577727873537,11,15.076926469802856,1,71
{'n_neighbors': 100},0.3636363636363636,0.75,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.8571428571428571,1.0,0.875,1.0,0.7068001443001443,0.2963778312157747,13,0.0465116279069767,0.0348837209302325,0.0930232558139534,0.0232558139534883,0.0,0.0229885057471264,0.0689655172413793,0.0344827586206896,0.0804597701149425,0.0459770114942528,0.04505479818230415,0.02708588364577153,20,0.0824742268041237,0.0666666666666666,0.1684210526315789,0.0449438202247191,0.0,0.0444444444444444,0.1276595744680851,0.0666666666666666,0.1473684210526315,0.0879120879120879,0.08365569608710038,0.04879753309700302,20,0.9261197496789004,0.896544421064138,0.930898669144372,0.8956870166425273,0.9170467676214804,0.9228783609371094,0.9291356673221296,0.935460547210228,0.951195037401934,0.8875103894260983,0.9192476626448919,0.01913127854490429,17,12.509409189224243,1,100
{'n_neighbors': 41},0.5769230769230769,0.6296296296296297,0.8275862068965517,0.4444444444444444,0.6428571428571429,0.8125,0.7804878048780488,0.935483870967742,0.9117647058823528,0.875,0.743667688247899,0.15360335843218884,9,0.1744186046511628,0.1976744186046511,0.2790697674418604,0.0930232558139534,0.1034482758620689,0.1494252873563218,0.367816091954023,0.3333333333333333,0.3563218390804598,0.3218390804597701,0.23763699545576045,0.10064381161188375,9,0.2678571428571428,0.3008849557522123,0.4173913043478261,0.1538461538461538,0.1782178217821782,0.2524271844660194,0.5,0.4915254237288134,0.512396694214876,0.4705882352941176,0.354513491628934,0.1320784483465167,9,0.9208660126253654,0.8982694777689723,0.9211256251195584,0.9111442079086164,0.9225033279950264,0.9301695419192226,0.934389507186442,0.9250271983349888,0.9679161007385784,0.9194118402292092,0.9250822839825981,0.017125060790985275,2,15.01543927192688,1,41
