params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 100, 'max_depth': 34, 'min_samples_split': 2, 'min_samples_leaf': 28, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.8977673325499413,0.8955332987183341,0.9285519088350233,0.9003292979531604,0.9197632224452148,0.8172812476771609,0.9360146499354672,0.9458364586078508,0.9449444883672216,0.9358220654516952,0.912184397054107,0.03645531668576324,18,10.031863689422607,1,100,34,2,28,entropy
"{'n_estimators': 100, 'max_depth': 21, 'min_samples_split': 7, 'min_samples_leaf': 22, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9006503976170307,0.8967767059273631,0.9269054190692207,0.9034583116989588,0.9264090764729336,0.8457871299506039,0.939650104401062,0.94678924500125,0.950296309810997,0.9371802928635624,0.9173902992812982,0.030053919594417958,14,11.385729789733888,1,100,21,7,22,entropy
"{'n_estimators': 1000, 'max_depth': 37, 'min_samples_split': 15, 'min_samples_leaf': 18, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.91183423059055,0.9039297133331512,0.9359372011040364,0.906689804060886,0.93059187631346,0.8461520268672248,0.9444951245717528,0.9513166697074742,0.95672930730402,0.941356335353781,0.9229032289206336,0.031021594415346892,10,115.97843480110168,1,1000,37,15,18,entropy
"{'n_estimators': 1000, 'max_depth': 49, 'min_samples_split': 17, 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9276910884595414,0.914252725931189,0.942277211488536,0.9179214603885988,0.9376870941366472,0.870181164561752,0.9513673498347828,0.9560670869738558,0.9663382594417078,0.9447485252082952,0.9328531966424907,0.026038338445765228,8,123.10956692695618,1,1000,49,17,10,entropy
"{'n_estimators': 1000, 'max_depth': 49, 'min_samples_split': 24, 'min_samples_leaf': 8, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3,0.45825756949558394,7,0.0,0.0,0.0,0.0,0.0229885057471264,0.0,0.0344827586206896,0.0,0.0229885057471264,0.0,0.008045977011494239,0.01264367816091952,7,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.0666666666666666,0.0,0.0449438202247191,0.0,0.01565543071161048,0.024563007327214247,7,0.9303282048479218,0.920005192249884,0.94442926242724,0.920572240592463,0.9401062255468384,0.8770297390987047,0.952130930419564,0.9576483069458804,0.9685411556420496,0.9469649361092528,0.9357756193879799,0.024492720137331076,7,126.92612624168396,1,1000,49,24,8,entropy
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 17, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.8891113054409314,0.8903888721886699,0.9234211461208428,0.8989936599896154,0.9193307520255158,0.7974686965746991,0.9363998189030116,0.9487556339408192,0.9441809077824403,0.9395656375222148,0.908761643048876,0.042542488716345334,19,10.749146699905396,1,100,10,8,17,entropy
"{'n_estimators': 100, 'max_depth': 24, 'min_samples_split': 6, 'min_samples_leaf': 27, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.899202033175744,0.8956767687809144,0.9293854015795372,0.8988057825267128,0.9217363687350916,0.8223492604080088,0.9363795468520884,0.9468973626061749,0.9455458925446154,0.9376533073851082,0.9133631724593997,0.03551851953145914,16,10.99770212173462,1,100,24,6,27,entropy
"{'n_estimators': 500, 'max_depth': 33, 'min_samples_split': 21, 'min_samples_leaf': 18, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9110690569234552,0.9032465225589594,0.935301833684038,0.9054908042521792,0.9303418543520716,0.8456249535432165,0.9435626102292768,0.9520532208910242,0.9563914397886302,0.9405589680174608,0.9223641264240312,0.031172789098001308,11,58.278679847717285,1,500,33,21,18,entropy
"{'n_estimators': 500, 'max_depth': 39, 'min_samples_split': 18, 'min_samples_leaf': 23, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9050023228486322,0.9005615828163855,0.9319883584292076,0.9022217363976716,0.9263617750207788,0.8345564137390447,0.939427111840905,0.9505530891226932,0.951593721070094,0.9365856460364762,0.9178851757321889,0.03308031796962275,12,55.75251841545105,1,500,39,18,23,entropy
"{'n_estimators': 500, 'max_depth': 16, 'min_samples_split': 29, 'min_samples_leaf': 25, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.8998237367802585,0.8961550023228486,0.9294127292105048,0.8981294236602629,0.9221722178299444,0.8191631697378823,0.935588936866076,0.9482420753174264,0.9481407150628096,0.9361464182664694,0.9132974425054483,0.036550465972712394,17,53.822030544281006,1,500,16,29,25,entropy
"{'n_estimators': 500, 'max_depth': 35, 'min_samples_split': 17, 'min_samples_leaf': 12, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9217951520782665,0.9117044243434536,0.9411362828956358,0.913094717568934,0.9351395730706076,0.864146850736889,0.9488130714184354,0.9555738004013866,0.962256819855798,0.9407887179279262,0.9294449410297332,0.027086296070789665,9,59.99308180809021,1,500,35,17,12,entropy
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 5, 'min_samples_leaf': 7, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,6,0.0,0.0,0.0,0.0,0.0229885057471264,0.0114942528735632,0.057471264367816,0.0344827586206896,0.0229885057471264,0.0,0.01494252873563216,0.018569533817705156,6,0.0,0.0,0.0,0.0,0.0449438202247191,0.0227272727272727,0.108695652173913,0.0666666666666666,0.0449438202247191,0.0,0.028797723201729054,0.035387177774338335,6,0.9322821304621104,0.9209479955182686,0.9461304074549776,0.9249617413166452,0.94212667328887,0.8826417185293303,0.954860899943914,0.95712799097218,0.969325008277754,0.9469041199564828,0.9377308685720532,0.023132484794527595,6,63.38832664489746,1,500,43,5,7,entropy
"{'n_estimators': 1000, 'max_depth': 9, 'min_samples_split': 23, 'min_samples_leaf': 3, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9023993659989616,0.9025360041538,0.9314964610717896,0.9008211953105786,0.9260441795563124,0.8101252137012035,0.940927243609236,0.9555873151020022,0.955330535790306,0.9453026279335348,0.9170570142227724,0.04090236425114415,15,90.6650607585907,1,1000,9,23,3,entropy
"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 16, 'min_samples_leaf': 27, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.8756900226819337,0.8806909791490176,0.9143552045473178,0.8837072664170742,0.9057518565819972,0.77510186705589,0.9268651976187096,0.9401062255468384,0.935528120713306,0.9374438295255664,0.897524056983765,0.04690543548370618,20,9.594919681549072,1,100,8,16,27,entropy
"{'n_estimators': 1000, 'max_depth': 40, 'min_samples_split': 17, 'min_samples_leaf': 24, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9059792856557264,0.899202033175744,0.9310045637143716,0.9020611865657366,0.925490076831073,0.8338604066573416,0.9386432592052004,0.9497151776845264,0.9514653314142458,0.9367478224438632,0.9174169143347829,0.033100761336056064,13,99.37390375137328,1,1000,40,17,24,entropy
"{'n_estimators': 100, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.8823529411764706,0.8275862068965517,0.9615384615384616,0.9,0.9,1.0,0.9714285714285714,0.9642857142857144,1.0,0.9565217391304348,0.9363713634456206,0.053425460642110185,2,0.1744186046511628,0.2790697674418604,0.2906976744186046,0.313953488372093,0.3103448275862069,0.1494252873563218,0.3908045977011494,0.3103448275862069,0.367816091954023,0.2528735632183908,0.2839748730286019,0.0720236912312851,2,0.2912621359223301,0.4173913043478261,0.4464285714285714,0.4655172413793103,0.4615384615384615,0.26,0.5573770491803278,0.4695652173913043,0.5378151260504201,0.4,0.4306895107238552,0.09007934687011764,2,0.949928948159484,0.9397494056240264,0.9545404858852786,0.9437050802065968,0.9609999526985478,0.9220167987728652,0.9617128531560204,0.9611013129531648,0.9744132930595256,0.9608512909917762,0.9529019421507285,0.013997703601192997,2,14.26409912109375,1,100,50,2,2,entropy
"{'n_estimators': 100, 'max_depth': 43, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9,0.8571428571428571,0.925925925925926,0.9,0.9,1.0,0.9705882352941176,0.9642857142857144,1.0,0.9565217391304348,0.9374464471779052,0.04560327102742632,1,0.2093023255813953,0.2790697674418604,0.2906976744186046,0.313953488372093,0.3103448275862069,0.160919540229885,0.3793103448275862,0.3103448275862069,0.367816091954023,0.2528735632183908,0.2874632451216252,0.06327806335833162,1,0.339622641509434,0.4210526315789474,0.4424778761061947,0.4655172413793103,0.4615384615384615,0.2772277227722772,0.5454545454545454,0.4695652173913043,0.5378151260504201,0.4,0.43602714637808954,0.07813791164744867,1,0.9495805208646462,0.9401524881807996,0.9535498592627004,0.9452012680020768,0.9607634454377748,0.9210302256279268,0.9626183380972652,0.9613513349145532,0.9748254914283012,0.960297188266537,0.9529370160082582,0.014184604708671698,1,14.153730869293211,1,100,43,2,2,entropy
