params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 48.60291599605255, 'kernel': 'rbf'}",0.6708860759493671,0.6708860759493671,0.6813186813186813,0.6265060240963856,0.7384615384615385,0.8571428571428571,0.7066666666666667,0.8356164383561644,0.8513513513513513,0.6976744186046512,0.7336510127897031,0.07977703984526481,10,0.6162790697674418,0.6162790697674418,0.7209302325581395,0.6046511627906976,0.5517241379310345,0.6206896551724138,0.6091954022988506,0.7011494252873564,0.7241379310344828,0.6896551724137931,0.6454691259021652,0.0556992053757615,10,0.6424242424242425,0.6424242424242425,0.7005649717514124,0.6153846153846154,0.631578947368421,0.7200000000000001,0.6543209876543209,0.7625000000000001,0.782608695652174,0.6936416184971099,0.6845448321156538,0.054166672695469056,8,0.9366443035553248,0.9462977891946548,0.9487811876588418,0.9128931762905472,0.9345483049186754,0.9108029759370756,0.924385250055748,0.9476102630636476,0.951357213809321,0.9284024948137336,0.9341722959297568,0.014037816046476968,16,64.39710140228271,1,48.60291599605255,rbf
"{'C': 60.123264490065125, 'kernel': 'rbf'}",0.6708860759493671,0.6708860759493671,0.6666666666666666,0.6162790697674418,0.7272727272727273,0.8571428571428571,0.6794871794871795,0.8356164383561644,0.84,0.686046511627907,0.7250283602219678,0.08221698818542786,13,0.6162790697674418,0.6162790697674418,0.7209302325581395,0.6162790697674418,0.5517241379310345,0.6206896551724138,0.6091954022988506,0.7011494252873564,0.7241379310344828,0.6781609195402298,0.6454824913124833,0.05415377451119717,7,0.6424242424242425,0.6424242424242425,0.6927374301675978,0.6162790697674418,0.6274509803921569,0.7200000000000001,0.6424242424242425,0.7625000000000001,0.7777777777777777,0.6820809248554913,0.6806098910233194,0.05402514749235785,12,0.9330712158063016,0.9463797720875576,0.9493414040936792,0.9114858032957124,0.936264671896856,0.9092758147675134,0.9262773081419312,0.9487387405650496,0.9509382580902376,0.928422766864657,0.9340195755609495,0.014517781964074562,19,68.11172819137573,1,60.123264490065125,rbf
"{'C': 50.006246937690705, 'kernel': 'rbf'}",0.6708860759493671,0.6625,0.6813186813186813,0.6265060240963856,0.7384615384615385,0.8571428571428571,0.6973684210526315,0.8356164383561644,0.84,0.6976744186046512,0.7307474454982278,0.07920068943487678,11,0.6162790697674418,0.6162790697674418,0.7209302325581395,0.6046511627906976,0.5517241379310345,0.6206896551724138,0.6091954022988506,0.7011494252873564,0.7241379310344828,0.6896551724137931,0.6454691259021652,0.0556992053757615,10,0.6424242424242425,0.6385542168674699,0.7005649717514124,0.6153846153846154,0.631578947368421,0.7200000000000001,0.6503067484662576,0.7625000000000001,0.7777777777777777,0.6936416184971099,0.6832733138537306,0.053851402730215346,9,0.937354821960484,0.9464002678107836,0.9489929767988412,0.9127223785969992,0.936521451208552,0.9094515058755162,0.9254258820031488,0.9485833215079702,0.9530060072844236,0.929490428213289,0.9347949041260006,0.014536054721041546,10,68.16795802116394,1,50.006246937690705,rbf
"{'C': 1.721933600068931, 'kernel': 'rbf'}",0.6458333333333334,0.68,0.851063829787234,0.8297872340425532,0.8727272727272727,0.9142857142857144,0.7719298245614035,0.9090909090909092,0.9583333333333334,0.75,0.8183051451161754,0.09844798529494457,1,0.3604651162790697,0.3953488372093023,0.4651162790697674,0.4534883720930232,0.5517241379310345,0.367816091954023,0.5057471264367817,0.5747126436781609,0.5287356321839081,0.4482758620689655,0.4651430098904036,0.0713554911344199,20,0.4626865671641791,0.5,0.6015037593984962,0.5864661654135338,0.6760563380281689,0.5245901639344263,0.611111111111111,0.704225352112676,0.6814814814814815,0.5611510791366906,0.5909272017780763,0.07669635542307712,20,0.9301334954772772,0.9175217937856968,0.9393531549749952,0.9126335637963544,0.9414070154810896,0.9236689709231216,0.9254664261049956,0.9393595383378268,0.963527201713664,0.9404373357119208,0.9333508496306943,0.013942322426067794,20,59.82450580596924,1,1.721933600068931,rbf
"{'C': 14.802631818499073, 'kernel': 'rbf'}",0.6708860759493671,0.7183098591549296,0.7435897435897436,0.7142857142857143,0.7794117647058824,0.912280701754386,0.6883116883116883,0.8450704225352113,0.921875,0.7631578947368421,0.7757178865023765,0.08468992836175933,6,0.6162790697674418,0.5930232558139535,0.6744186046511628,0.5813953488372093,0.6091954022988506,0.5977011494252874,0.6091954022988506,0.6896551724137931,0.6781609195402298,0.6666666666666666,0.6315690991713445,0.03872710149152664,15,0.6424242424242425,0.6496815286624205,0.7073170731707318,0.6410256410256411,0.6838709677419355,0.7222222222222223,0.646341463414634,0.759493670886076,0.7814569536423841,0.7116564417177914,0.6945490204908079,0.047984492718561034,1,0.933378651654688,0.93887150547919,0.9496215123110976,0.91183423059055,0.9380418550278066,0.9167562015582448,0.931554798732321,0.945191131653456,0.9588038138485138,0.950330096562536,0.9374383797418405,0.014028730933948732,5,71.58147597312927,1,14.802631818499073,rbf
"{'C': 68.02818286954589, 'kernel': 'rbf'}",0.654320987654321,0.6625,0.6666666666666666,0.6162790697674418,0.7164179104477612,0.8571428571428571,0.6708860759493671,0.8356164383561644,0.84,0.686046511627907,0.7205876517612486,0.08448205577922854,17,0.6162790697674418,0.6162790697674418,0.7209302325581395,0.6162790697674418,0.5517241379310345,0.6206896551724138,0.6091954022988506,0.7011494252873564,0.7241379310344828,0.6781609195402298,0.6454824913124833,0.05415377451119717,7,0.6347305389221557,0.6385542168674699,0.6927374301675978,0.6162790697674418,0.6233766233766233,0.7200000000000001,0.6385542168674698,0.7625000000000001,0.7777777777777777,0.6820809248554913,0.6786590798602028,0.05555783405571819,16,0.9330780477140436,0.9469263247069112,0.9496215123110976,0.910932418768617,0.9384337813456588,0.9127626075263368,0.9263854257468562,0.949022549277977,0.95178968422902,0.9275713407258748,0.9346523692352393,0.014324711061679016,12,69.08303308486938,1,68.02818286954589,rbf
"{'C': 55.13134980612396, 'kernel': 'rbf'}",0.6708860759493671,0.6708860759493671,0.6739130434782609,0.6046511627906976,0.7272727272727273,0.8571428571428571,0.6883116883116883,0.8356164383561644,0.84,0.686046511627907,0.7254726580879037,0.0829092408170225,12,0.6162790697674418,0.6162790697674418,0.7209302325581395,0.6046511627906976,0.5517241379310345,0.6206896551724138,0.6091954022988506,0.7011494252873564,0.7241379310344828,0.6781609195402298,0.6443197006148089,0.05488820426553095,12,0.6424242424242425,0.6424242424242425,0.6966292134831461,0.6046511627906976,0.6274509803921569,0.7200000000000001,0.646341463414634,0.7625000000000001,0.7777777777777777,0.6820809248554913,0.6802280007562389,0.055355852358559464,13,0.9354282239772632,0.9464207635340092,0.9482414669472304,0.910843603967972,0.9379337374228818,0.9128166663287992,0.9238379046808166,0.9474886307581072,0.9514045152614756,0.9289295681377416,0.9343345081016297,0.014043788588186225,14,68.45431542396545,1,55.13134980612396,rbf
"{'C': 63.93355774632113, 'kernel': 'rbf'}",0.6708860759493671,0.6708860759493671,0.6739130434782609,0.6162790697674418,0.7272727272727273,0.8571428571428571,0.6708860759493671,0.8356164383561644,0.84,0.686046511627907,0.724892887549346,0.08225583509337232,14,0.6162790697674418,0.6162790697674418,0.7209302325581395,0.6162790697674418,0.5517241379310345,0.6206896551724138,0.6091954022988506,0.7011494252873564,0.7241379310344828,0.6781609195402298,0.6454824913124833,0.05415377451119717,7,0.6424242424242425,0.6424242424242425,0.6966292134831461,0.6162790697674418,0.6274509803921569,0.7200000000000001,0.6385542168674698,0.7625000000000001,0.7777777777777777,0.6820809248554913,0.680612066799197,0.05441253809970355,11,0.934956822343071,0.947192769108846,0.9486718771349713,0.9114038204028092,0.9384202666450432,0.9122963503550988,0.9246623014183678,0.9439815659483604,0.951397757911168,0.927422679019103,0.9340406210286838,0.013871387985541102,18,69.96985220909119,1,63.93355774632113,rbf
"{'C': 72.84977530527405, 'kernel': 'rbf'}",0.6666666666666666,0.6708860759493671,0.6666666666666666,0.6162790697674418,0.7164179104477612,0.8571428571428571,0.6708860759493671,0.8356164383561644,0.8378378378378378,0.686046511627907,0.7224446110412037,0.08272742286873959,15,0.627906976744186,0.6162790697674418,0.7209302325581395,0.6162790697674418,0.5517241379310345,0.6206896551724138,0.6091954022988506,0.7011494252873564,0.7126436781609196,0.6781609195402298,0.6454958567228014,0.05206372715738518,5,0.6467065868263472,0.6424242424242425,0.6927374301675978,0.6162790697674418,0.6233766233766233,0.7200000000000001,0.6385542168674698,0.7625000000000001,0.7701863354037266,0.6820809248554913,0.679484542968894,0.05311162405455198,14,0.9333376602082364,0.9481902276391658,0.9488426748285188,0.91033804279507,0.937460722901336,0.9120733577949414,0.9241622574955908,0.9480967922858088,0.9522424266996428,0.928861994634664,0.9343606157282975,0.01458812611337068,13,68.8843743801117,1,72.84977530527405,rbf
"{'C': 8.830785944773776, 'kernel': 'rbf'}",0.6875,0.6875,0.76,0.7575757575757576,0.796875,0.94,0.6933333333333334,0.8591549295774648,0.918032786885246,0.7536231884057971,0.7853594995777599,0.08782839537915367,4,0.6395348837209303,0.5116279069767442,0.6627906976744186,0.5813953488372093,0.5862068965517241,0.5402298850574713,0.5977011494252874,0.7011494252873564,0.6436781609195402,0.5977011494252874,0.6062015503875969,0.05402695631955604,19,0.6626506024096386,0.5866666666666667,0.7080745341614907,0.6578947368421053,0.6754966887417218,0.6861313868613138,0.6419753086419753,0.7721518987341772,0.7567567567567568,0.6666666666666667,0.6814465246482513,0.05131579805075322,10,0.9325656546333998,0.9366852950017764,0.950755608996256,0.9132142759544176,0.9424544047787982,0.9155398785028416,0.9344739740652896,0.9472386087967186,0.9613107908127064,0.9499381702446836,0.9384176661786888,0.014541493024628276,1,70.97318387031555,1,8.830785944773776,rbf
