params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 500, 'learning_rate': 0.22405106518585877, 'max_depth': 22, 'min_child_weight': 20, 'reg_alpha': 0.008466173545836331, 'reg_lambda': 0.059655921444243434, 'gamma': 46.992936714407215, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,13.612082242965698,1,500,0.22405106518585877,22,20,0.008466173545836331,0.059655921444243434,46.992936714407215,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.2900155768700794, 'max_depth': 38, 'min_child_weight': 12, 'reg_alpha': 0.022872496648633087, 'reg_lambda': 0.061688251771256725, 'gamma': 10.777371842429416, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5989055283797448,0.7019648566665756,0.7903629109392507,0.7420749870193752,0.7411360457337469,0.5822166811949698,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7490643048896544,0.09160828954207798,12,14.601496934890749,1,500,0.2900155768700794,38,12,0.022872496648633087,0.061688251771256725,10.777371842429416,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.009784980285074851, 'max_depth': 23, 'min_child_weight': 18, 'reg_alpha': 0.06293251971056096, 'reg_lambda': 0.07411135104636264, 'gamma': 78.90977271407252, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,26.17994213104248,1,1000,0.009784980285074851,23,18,0.06293251971056096,0.07411135104636264,78.90977271407252,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.1260979562391488, 'max_depth': 14, 'min_child_weight': 7, 'reg_alpha': 0.09985546349529978, 'reg_lambda': 0.044240532171082994, 'gamma': 18.85940175091434, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5989055283797448,0.7019648566665756,0.7903629109392507,0.7420749870193752,0.7576070871090028,0.5822166811949698,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.75071140902718,0.09159900624060141,10,3.9730923175811768,1,100,0.1260979562391488,14,7,0.09985546349529978,0.044240532171082994,18.85940175091434,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.020580293970548537, 'max_depth': 17, 'min_child_weight': 24, 'reg_alpha': 0.006522555993121657, 'reg_lambda': 0.0075893003890224985, 'gamma': 28.134176597862623, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,3.767557621002197,1,100,0.020580293970548537,17,24,0.006522555993121657,0.0075893003890224985,28.134176597862623,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.28373089541911245, 'max_depth': 27, 'min_child_weight': 20, 'reg_alpha': 0.05654056678098601, 'reg_lambda': 0.05737857243281081, 'gamma': 80.33280495077769, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,28.161725997924805,1,1000,0.28373089541911245,27,20,0.05654056678098601,0.05737857243281081,80.33280495077769,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.03502902242726269, 'max_depth': 42, 'min_child_weight': 5, 'reg_alpha': 0.032570430414028, 'reg_lambda': 0.08225690429241886, 'gamma': 24.745536549153016, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5989055283797448,0.7019648566665756,0.7903629109392507,0.7420749870193752,0.7576070871090028,0.5822166811949698,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.75071140902718,0.09159900624060141,10,14.371276378631592,1,500,0.03502902242726269,42,5,0.032570430414028,0.08225690429241886,24.745536549153016,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.18014439506102947, 'max_depth': 42, 'min_child_weight': 4, 'reg_alpha': 0.04632240369373215, 'reg_lambda': 0.09831932858374241, 'gamma': 84.32796602227567, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,3.798520565032959,1,100,0.18014439506102947,42,4,0.04632240369373215,0.09831932858374241,84.32796602227567,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.029254923451160316, 'max_depth': 43, 'min_child_weight': 10, 'reg_alpha': 0.06897234492082667, 'reg_lambda': 0.06258637498645174, 'gamma': 88.87672331724934, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,26.774538040161133,1,1000,0.029254923451160316,43,10,0.06897234492082667,0.06258637498645174,88.87672331724934,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.06739323580210577, 'max_depth': 14, 'min_child_weight': 12, 'reg_alpha': 0.027965185171256284, 'reg_lambda': 0.06167290935497914, 'gamma': 85.97435597417946, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,14.904048919677734,1,500,0.06739323580210577,14,12,0.027965185171256284,0.06167290935497914,85.97435597417946,gpu_hist,0,0.04843400447427293
