params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 500, 'learning_rate': 0.07081921212490828}",0.7872913301023156,0.8173076923076923,0.8212258796821793,0.8138087153367289,0.8331415420023015,0.8392652123995408,0.7881906825568797,0.8033333333333333,0.8223495702005731,0.7969843834141088,0.8122898341335654,0.017003446394810842,13,0.8594944150499706,0.8495002939447384,0.8506760728982952,0.8453850676072898,0.8507638072855465,0.8589894242068156,0.854876615746181,0.8495887191539365,0.8436213991769548,0.8700764256319812,0.8532972240701708,0.0074331993782806634,13,0.8218100056211356,0.8330931104064572,0.8356915968813168,0.8292964244521339,0.8418604651162791,0.8490127758420442,0.8201803833145433,0.8258138206739006,0.8328496807893211,0.8319280494659922,0.8321536312563124,0.008313210331634025,13,0.9023521451057684,0.9106727500447308,0.9146442854172324,0.9094474046164868,0.919531159869324,0.933476091688652,0.9072682067851152,0.9094752101998478,0.9165815592100784,0.907092380212767,0.9130541193150001,0.008300721295722712,13,851.8668358325958,1,500,0.07081921212490828
"{'n_estimators': 500, 'learning_rate': 0.02295822112753309}",0.7636674259681093,0.8073510773130546,0.8021157436216553,0.7950272892662219,0.8331168831168831,0.8259803921568627,0.7668393782383419,0.7990165949600492,0.8113207547169812,0.7939068100358423,0.7998342349394003,0.021072761595011605,19,0.7883597883597884,0.7489711934156379,0.7577895355673133,0.7707231040564374,0.7538190364277321,0.7920094007050529,0.782608695652174,0.763807285546416,0.7583774250440917,0.781305114638448,0.7697770579413091,0.014611194030507303,19,0.7758171825282038,0.7770661787130223,0.7793228536880291,0.7826865671641791,0.7914867365823567,0.8086382723455309,0.7746437917999419,0.7810153199158907,0.7839562443026434,0.7875555555555556,0.7842188702595354,0.009541198387688724,19,0.8807097297435461,0.8894883496332773,0.8889199758764976,0.8834973690046153,0.9025241597705368,0.9166171001919796,0.8937842259098299,0.8892836936315197,0.8957024968194868,0.8840857178109776,0.8924612818392268,0.010085126432076824,19,857.2865686416626,1,500,0.02295822112753309
"{'n_estimators': 100, 'learning_rate': 0.19650829025999117}",0.7733478973238668,0.8058309037900875,0.8067796610169492,0.8003393665158371,0.8230140186915887,0.8300578034682081,0.7717685235262304,0.7965714285714286,0.8196055684454756,0.7991021324354658,0.8026417303785138,0.01829671568099397,16,0.8324514991181657,0.8124632569077014,0.8395061728395061,0.8318636096413874,0.8278495887191539,0.8437132784958872,0.8384253819036428,0.8190364277320799,0.8306878306878307,0.8371546149323927,0.8313151660977747,0.009086351464030846,16,0.8018120045300113,0.8091334894613583,0.8228176318063959,0.8157970596713751,0.8254247217340362,0.8368298368298367,0.8037172627428895,0.8076477404403244,0.8251094890510948,0.8176859029572208,0.8165975139224543,0.010585639601541396,16,0.8899334116725421,0.8998940279133515,0.9035096172777332,0.8960287064151798,0.9103043692415672,0.9234268775331578,0.8990907746946395,0.899688853795134,0.9066372065261606,0.8968832871765787,0.9025397132246045,0.008801267593419579,16,166.6453309059143,1,100,0.19650829025999117
"{'n_estimators': 1000, 'learning_rate': 0.16872548820407016}",0.7995724211651524,0.8313458262350937,0.8261351052048727,0.8168316831683168,0.8493699885452463,0.8560779816513762,0.805630752571738,0.8223463687150838,0.8422247446083996,0.7616869918699187,0.8211221863735197,0.02617564205504171,6,0.8794826572604351,0.8606701940035273,0.8771310993533216,0.873015873015873,0.8713278495887191,0.8772032902467685,0.8742655699177438,0.8648648648648649,0.8724279835390947,0.8812463256907701,0.8731635707481118,0.006061539061988539,7,0.8376259798432252,0.8457538994800693,0.8508696891930425,0.843989769820972,0.8602088167053364,0.8665118978525826,0.8385460693153001,0.8430698739977092,0.8570603522956973,0.8171163804851459,0.846075272898908,0.013195654713103225,5,0.9170027515438144,0.926706727431365,0.9287855833749554,0.9195826261043653,0.9336760846422684,0.94865552232702,0.9203539288080352,0.9276134312366195,0.9332494873679796,0.9222696750294896,0.9277895817865913,0.008783579653423213,6,1734.528003692627,1,1000,0.16872548820407016
"{'n_estimators': 1000, 'learning_rate': 0.0679982390082574}",0.7939914163090128,0.8230985915492958,0.8216276477146043,0.8173768677365799,0.8395904436860068,0.8516388729154687,0.8046789989118607,0.8103448275862069,0.822372119168072,0.7686796315250768,0.8153399417102184,0.021978586588134216,11,0.8700764256319812,0.8589065255731922,0.866549088771311,0.8683127572016461,0.8672150411280846,0.8701527614571093,0.8689776733254995,0.8560517038777908,0.8600823045267489,0.8830099941211053,0.8669334275614469,0.007174872864030565,12,0.8302945301542777,0.8406214039125433,0.8434907010014306,0.8420752565564424,0.8531791907514451,0.8607962801511188,0.8355932203389831,0.8325714285714285,0.8408045977011493,0.8218878248974008,0.840131443403622,0.010584796545831584,11,0.9114172833979596,0.919619066962062,0.9224902956787014,0.91638204802456,0.9274920192794588,0.941688410287444,0.9138930165500214,0.918425326637887,0.9254278960987432,0.9157266828897896,0.9212562045806628,0.008314652222123423,11,1729.4085416793823,1,1000,0.0679982390082574
"{'n_estimators': 500, 'learning_rate': 0.19301327472214824}",0.7956243329775881,0.8259887005649718,0.82146829810901,0.8194905869324474,0.8434832100170746,0.8539518900343642,0.8048913043478261,0.8190899001109878,0.8382352941176471,0.7621703853955375,0.8184393902607454,0.02493628136523066,9,0.8765432098765432,0.8594944150499706,0.8683127572016461,0.8700764256319812,0.8707403055229143,0.8760282021151586,0.8701527614571093,0.8672150411280846,0.8712522045855379,0.8835978835978836,0.8713413206166829,0.006076011763125084,9,0.8341258741258741,0.8424085278017862,0.8442412117747929,0.8440262332477901,0.8568950563746748,0.8648491879350346,0.8362507058159232,0.8424657534246577,0.8544249063130585,0.8184045739177783,0.843809203073137,0.01235680816187831,9,0.913583355612341,0.9239510386853382,0.92499089842085,0.9187301518219392,0.9304451103968012,0.9450810368684764,0.9179726655572068,0.9241071644453288,0.9303079662998665,0.9207415425653064,0.9249910930673455,0.00836742011735239,10,854.6725654602051,1,500,0.19301327472214824
"{'n_estimators': 1000, 'learning_rate': 0.2780399950885979}",0.8027867095391211,0.8321995464852607,0.8273942093541202,0.8182317408017573,0.8505681818181818,0.8582949308755761,0.8059945504087194,0.8277404921700223,0.8393665158371041,0.7611788617886179,0.8223755739078481,0.026340966963000485,1,0.8806584362139918,0.8630217519106408,0.8736037624926514,0.8759553203997649,0.8795534665099882,0.8754406580493537,0.8689776733254995,0.8695652173913043,0.8724279835390947,0.8806584362139918,0.8739862706046282,0.005417090154926181,3,0.8399215026633023,0.8473304473304474,0.8498713182728053,0.8461101646791596,0.8648180242634315,0.8667830133798721,0.8363019508057676,0.8481375358166189,0.8555779763620639,0.8165712728263832,0.8471423206399852,0.013722714786336585,2,0.91839942081488,0.927764721242982,0.9289501717037948,0.919323913285266,0.9345739804677003,0.9486997349316189,0.9203250869917536,0.9279009858720004,0.9334445864918136,0.9221055083619588,0.9281488110163767,0.008736024434455557,1,1805.6334252357483,1,1000,0.2780399950885979
"{'n_estimators': 500, 'learning_rate': 0.1328219205717919}",0.7931404072883173,0.8225352112676056,0.8211699164345404,0.8176795580110497,0.8377765173000568,0.849197247706422,0.8055555555555556,0.8053875755909841,0.8233983286908078,0.7656410256410257,0.8141481343486365,0.022246955636442287,12,0.8700764256319812,0.8583186360964139,0.866549088771311,0.8700764256319812,0.8678025851938895,0.8701527614571093,0.8689776733254995,0.8607520564042304,0.8689006466784245,0.8777189888300999,0.867932528802094,0.005077827369325646,11,0.8298289879450519,0.8400460299194477,0.8432494279176201,0.8430646539447451,0.8525252525252525,0.8595473012188044,0.8360655737704918,0.8321499573984663,0.8455377574370709,0.8178581210627226,0.8399873063139672,0.011226808335131663,12,0.9111670331477094,0.9195879799744534,0.921958190074132,0.9165582076210096,0.9268616442529486,0.9411516416347334,0.913998021485944,0.9181728312163095,0.9255139539939332,0.915828639030677,0.921079814243185,0.00814771046118396,12,887.0911719799042,1,500,0.1328219205717919
"{'n_estimators': 100, 'learning_rate': 0.152202509732493}",0.771004942339374,0.801308744794765,0.8067575577949022,0.795754446356856,0.8210526315789474,0.8229043683589138,0.7717271727172718,0.8039906103286385,0.8158673771462404,0.7958596894767107,0.8006227540892621,0.017187944078964755,18,0.8253968253968254,0.7918871252204586,0.8001175778953556,0.8154027042915932,0.8249118683901293,0.8190364277320799,0.8243243243243243,0.8049353701527615,0.8101116990005879,0.8136390358612581,0.8129762958265374,0.010730886372856916,18,0.797274275979557,0.7965700768775873,0.8034238488783944,0.8054587688734031,0.8229777256740916,0.8209658421672557,0.797159090909091,0.8044627128596594,0.8129793510324484,0.8046511627906977,0.8065922856042185,0.009009763603649534,18,0.8869798024387396,0.8954765669741516,0.8972576786586448,0.8912604806324613,0.9062098675625244,0.9200850263652196,0.8976687177170268,0.8959993464824383,0.9025949047504994,0.8942524731276444,0.8987784864709351,0.008730085931251144,18,177.8489809036255,1,100,0.152202509732493
"{'n_estimators': 1000, 'learning_rate': 0.26836495320328607}",0.8014981273408239,0.8319136854060193,0.8273942093541202,0.8178826110806363,0.8513667425968109,0.8582046883933676,0.8067318132464713,0.826135726303982,0.8392756083757782,0.7615658362989324,0.8221969048396943,0.026340865950048014,2,0.8806584362139918,0.8612580834803057,0.8736037624926514,0.8765432098765432,0.8783783783783784,0.881903642773208,0.8730904817861339,0.8654524089306698,0.8718400940623163,0.8806584362139918,0.8743386934208189,0.006455193776889974,2,0.8392156862745098,0.8463316002310803,0.8498713182728053,0.8461975028376845,0.8646616541353384,0.8698927847000869,0.8386004514672686,0.8453371592539455,0.8552479815455595,0.8167938931297709,0.847215003184805,0.013997277127732173,1,0.9176716398938622,0.9276842404861728,0.9289107948528238,0.9195770995287904,0.9345225142326592,0.948784015209136,0.920362391376884,0.928049167179602,0.9334926268429438,0.9221556223973102,0.9281210112000184,0.008806717613720209,2,1837.3479464054108,1,1000,0.26836495320328607
