params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 37, 'min_samples_split': 28, 'min_samples_leaf': 9}",0.9019274376417232,0.906818181818182,0.9052159282108806,0.8967082860385925,0.926814988290398,0.9549007817197837,0.930791788856305,0.9295282469423412,0.9397163120567376,0.9157239819004525,0.9208145933475397,0.017701952022162622,7,0.9353321575543798,0.9382716049382716,0.948853615520282,0.9288653733098178,0.9300822561692128,0.9330199764982372,0.9324324324324323,0.9377203290246768,0.9347442680776014,0.951793062904174,0.9371115076429086,0.0072107908099813675,6,0.9183261183261184,0.9222767986131176,0.926521239954076,0.9125036095870632,0.9284457478005864,0.9438335809806836,0.9316113883181684,0.9336063176367358,0.9372236958443856,0.9334102046699336,0.9287758701730867,0.008788429342074012,6,0.9730275479067748,0.9761001512209242,0.9780524140427524,0.9733216653506508,0.981740712417041,0.9870835293540609,0.9806543949056026,0.9819184263628709,0.9854864569411568,0.9813803893756864,0.9798765687877522,0.004487611231229479,6,312.752946138382,1,500,37,28,9
"{'n_estimators': 500, 'max_depth': 41, 'min_samples_split': 19, 'min_samples_leaf': 11}",0.8967268623024831,0.9098786828422876,0.9035187287173666,0.8942581011938602,0.9260129183793306,0.9557843731072078,0.9147956246401844,0.9310344827586208,0.9432497013142176,0.9061616732617298,0.9181421148517288,0.01934272488858324,8,0.934156378600823,0.925925925925926,0.9359200470311582,0.9247501469723692,0.9265569917743832,0.927144535840188,0.9336075205640424,0.935957696827262,0.9282774838330394,0.9423868312757202,0.9314683558644912,0.005475744471423105,7,0.9150590267780015,0.9178321678321678,0.919434016748484,0.9092485549132948,0.9262848751835536,0.9412466447957052,0.924105844722303,0.9334895985936126,0.9357037037037036,0.9239193083573488,0.9246323741628174,0.009392293690043487,7,0.9717402012088004,0.9740946951091878,0.975929863611023,0.971346259993603,0.9807207138125013,0.985974414718376,0.9789508279846444,0.9806120820613574,0.9844900516727546,0.9794093525232072,0.9783268462695455,0.0047408183750337,8,306.01660776138306,1,500,41,19,11
"{'n_estimators': 100, 'max_depth': 18, 'min_samples_split': 25, 'min_samples_leaf': 7}",0.894374282433984,0.9025670945157528,0.8986175115207373,0.8912421293646251,0.9276315789473684,0.9540942928039702,0.8900226757369615,0.9251944943147816,0.9352346999405824,0.9215456674473068,0.9140524427026071,0.02066844179833744,9,0.9159318048206936,0.9094650205761317,0.9171075837742504,0.9153439153439152,0.9112808460634548,0.9036427732079906,0.9224441833137486,0.90834312573443,0.9253380364491476,0.9253380364491476,0.9154235325732911,0.007004064448749435,10,0.9050246877722916,0.9060029282576868,0.907768402676753,0.9031322505800464,0.919383521043272,0.928183464091732,0.9059434506635892,0.9166913726652832,0.9302600472813238,0.923437958345556,0.9145828083377534,0.00976638180149949,9,0.9674849107216256,0.9703946527618026,0.9709918683348636,0.969611087968576,0.977787656531618,0.9837005742802843,0.9742186976486492,0.9773218698339472,0.9805459042835748,0.978412601640768,0.9750469824005709,0.0050462327317550145,9,61.89320421218872,1,100,18,25,7
"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 19, 'min_samples_leaf': 26}",0.8058790904048807,0.8507728894173603,0.8435136707388017,0.8433598183881952,0.8795906080674293,0.8574780058651026,0.8141447368421053,0.8394991462720547,0.8506864988558352,0.7661122661122661,0.8351036730964031,0.03029756856356787,20,0.8542034097589654,0.8412698412698413,0.8524397413286302,0.8736037624926514,0.8584018801410106,0.8589894242068156,0.872502937720329,0.8666274970622797,0.8741916519694297,0.866549088771311,0.8618779234721264,0.010195534182987211,20,0.829337899543379,0.8459946792787466,0.847953216374269,0.8582154201559342,0.8688670829616414,0.8582330496037569,0.8423142370958593,0.852847643827696,0.8622789214265003,0.8132413793103448,0.8479283529578128,0.015699134640757225,20,0.920452198229976,0.9324769904480048,0.9296396120067616,0.9302136850446028,0.945420921266332,0.9467633610145688,0.9301421849731027,0.936117276696987,0.942961587419096,0.9253651671510448,0.9339552984250477,0.008287149598825686,20,46.0922634601593,1,100,8,19,26
"{'n_estimators': 500, 'max_depth': 38, 'min_samples_split': 16, 'min_samples_leaf': 17}",0.8841985168282943,0.90521327014218,0.9000581057524695,0.8902298850574712,0.9269898264512269,0.9525593008739076,0.9066511085180864,0.9253554502369667,0.9387387387387388,0.8985754985754986,0.912856970117484,0.02097639815861529,11,0.9112286890064668,0.8982951205173427,0.9106407995296883,0.9106407995296883,0.9101057579318448,0.8965922444183314,0.9130434782608696,0.917743830787309,0.9188712522045857,0.9271017048794826,0.911426367706561,0.008597476811463363,14,0.897510133178923,0.9017409265269992,0.9053185271770894,0.9003196745132229,0.9184702045656684,0.923728813559322,0.9098360655737704,0.9215339233038348,0.928698752228164,0.9126157407407408,0.9119772761367735,0.010249420134185647,13,0.9663010146101934,0.9690007467785244,0.9710820205989288,0.9655136502962592,0.975971658338808,0.9824325705968218,0.9732460203474697,0.9761600800248144,0.9808472797237576,0.9736994630194707,0.9734254504335048,0.005373120587126275,13,301.1279616355896,1,500,38,16,17
"{'n_estimators': 100, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 17}",0.8731762065095399,0.8987268518518519,0.9,0.8861696072851452,0.92325996430696,0.950093574547723,0.9123741859088218,0.9246290801186944,0.9327731092436976,0.8631921824104235,0.9064394762182857,0.025955239098397427,15,0.914756025867137,0.9129923574368018,0.9047619047619048,0.9153439153439152,0.9118683901292596,0.8948296122209166,0.9054054054054054,0.9153936545240892,0.9135802469135802,0.9347442680776014,0.9123675780680612,0.009697655001268572,13,0.8934826299167384,0.905803441236512,0.9023746701846964,0.9005205320994796,0.9175288205734556,0.9216338880484114,0.908876437629018,0.9199881901387658,0.9230769230769232,0.8975444538526672,0.9090829986756667,0.010243217483250485,14,0.9649552934577088,0.9683230504486542,0.9708516314796508,0.9654141719359112,0.9758257222025336,0.9817460662871292,0.9734005917580796,0.975840747579878,0.9804947534061128,0.9737473305635824,0.9730599359119241,0.005460348392390893,14,62.61757373809815,1,100,42,4,17
"{'n_estimators': 500, 'max_depth': 17, 'min_samples_split': 6, 'min_samples_leaf': 9}",0.8781038374717833,0.8961114335461404,0.8944927536231884,0.8961114335461404,0.928311057108141,0.9418181818181818,0.8832662449683726,0.9259036144578312,0.9325301204819276,0.8610354223433242,0.9037684099365031,0.025447482380155113,16,0.914756025867137,0.9077013521457966,0.9071134626690184,0.9077013521457966,0.8977673325499412,0.9130434782608696,0.9024676850763808,0.9030552291421856,0.91005291005291,0.9288653733098178,0.9092524201219853,0.008097544812002543,15,0.89605528361647,0.9018691588785046,0.900758902510216,0.9018691588785046,0.9127837514934288,0.9272076372315036,0.8927637314734089,0.914336704342653,0.9211544183278786,0.8936651583710408,0.9062463905123609,0.011323314085032118,16,0.9637194129947751,0.9675743721637442,0.9688202695449072,0.9651758383642444,0.975766829631564,0.9805034503102136,0.9718039295333982,0.9737275232444316,0.9791226656795928,0.9709863928297529,0.9717200684296625,0.005341636196631505,16,293.7631859779358,1,500,17,6,9
"{'n_estimators': 1000, 'max_depth': 29, 'min_samples_split': 16, 'min_samples_leaf': 16}",0.8835616438356164,0.9028504944735312,0.8947976878612717,0.8899657924743444,0.927120669056153,0.9538653366583542,0.9076655052264808,0.9251944943147816,0.9389728096676736,0.9032073310423826,0.912720176461059,0.021558663956091486,12,0.91005291005291,0.9124044679600236,0.91005291005291,0.9176954732510288,0.9118683901292596,0.8989424206815512,0.918331374853114,0.90834312573443,0.9135802469135802,0.9271017048794826,0.9128373024508291,0.006983616403996619,12,0.8966116420503909,0.9076023391812866,0.9023608277470124,0.903617945007236,0.919431279620853,0.9255898366606172,0.912967289719626,0.9166913726652832,0.9261025029797378,0.9149985494633014,0.9125973585095345,0.009415249280429588,11,0.9668253484678604,0.9696440747165384,0.971339006363161,0.9654898169390922,0.9764020404117022,0.9828954213012184,0.9743568620380216,0.976005681319691,0.9807836867409668,0.9749149875872718,0.9738656925885525,0.005344880374347832,11,613.6007523536682,1,1000,29,16,16
"{'n_estimators': 500, 'max_depth': 45, 'min_samples_split': 25, 'min_samples_leaf': 16}",0.889269406392694,0.9044845661036692,0.8972602739726028,0.8883190883190883,0.9245395127748068,0.9541511771995044,0.9081929110981988,0.9274580335731416,0.9356971153846154,0.9006849315068494,0.9130057016325169,0.02053797038755444,10,0.9159318048206936,0.9129923574368018,0.9241622574955908,0.916519694297472,0.9142185663924794,0.9048178613396004,0.918331374853114,0.9089306698002352,0.9153439153439152,0.927689594356261,0.9158938096136163,0.00629707759332308,9,0.9024037069215176,0.9087185488589818,0.9105125977410946,0.902199074074074,0.9193500738552436,0.9288299155609168,0.913234005258545,0.9181008902077152,0.925408618127786,0.9139878366637708,0.9142745267269646,0.00842109474519793,10,0.9673894045874722,0.9699732513742176,0.9715839027433228,0.9659771918226026,0.9773101258608504,0.98320974528704,0.9744394152606712,0.9767123921713294,0.9810705463915994,0.974757214779424,0.9742423190278531,0.0053237483704902736,10,313.81983613967896,1,500,45,25,16
"{'n_estimators': 500, 'max_depth': 17, 'min_samples_split': 3, 'min_samples_leaf': 8}",0.8816534541336354,0.8982456140350877,0.8976286871023713,0.8913922588099364,0.9303604153940136,0.941712204007286,0.8850574712643678,0.9189994044073854,0.926303175554224,0.864184008762322,0.903553669347063,0.023481196480968233,17,0.9153439153439152,0.9029982363315696,0.9124044679600236,0.9071134626690184,0.8948296122209166,0.9112808460634548,0.9048178613396004,0.9065804935370152,0.9088771310993532,0.927689594356261,0.9091935620921129,0.00818354244335406,16,0.8981828670320161,0.9006156552330694,0.9049562682215744,0.8991841491841491,0.91224917640012,0.926246640788295,0.894828588030215,0.9127477077787636,0.917507418397626,0.8948114544939042,0.9061329925559735,0.010071653130714972,17,0.9646307798481712,0.9684254648022764,0.9702699594003942,0.9661226098424168,0.9767022025476132,0.980901018340632,0.972193207700454,0.9741746577495368,0.9789087305907476,0.9725539252941434,0.9724882556116385,0.0050633805021236995,15,307.49446201324463,1,500,17,3,8
"{'n_estimators': 100, 'max_depth': 42, 'min_samples_split': 11, 'min_samples_leaf': 29}",0.8654937570942112,0.876878612716763,0.8761415525114156,0.8778801843317973,0.9089275014979028,0.9296205630354956,0.8782458165031737,0.9039379474940334,0.9163658243080626,0.834051724137931,0.8867543483630786,0.026631116199560347,19,0.8965314520870077,0.8918283362727807,0.9024103468547912,0.8959435626102292,0.8913043478260869,0.8924794359576969,0.8942420681551116,0.8901292596944771,0.8953556731334509,0.91005291005291,0.8960277392644542,0.005732993385398111,19,0.8807392434305515,0.8842902943748179,0.8890819577179264,0.8868199010765201,0.9000296647878966,0.9106714628297362,0.8861717612809316,0.896980461811723,0.9057389235801367,0.870396401461906,0.8910920072352146,0.011578834071356164,19,0.9530876632325908,0.9579241076825618,0.959962895953234,0.9536992133610492,0.9667695645956516,0.9726367153903386,0.9617427986993204,0.965850771406327,0.972257561257496,0.9609345541803572,0.9624865845758925,0.006510481107204951,19,58.74936842918396,1,100,42,11,29
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 11, 'min_samples_leaf': 19}",0.8834003446295232,0.8962703962703963,0.8946149392009265,0.8874928612221588,0.926303175554224,0.9506866416978776,0.90571596935769,0.9244151169766048,0.933899332929048,0.8803854875283447,0.9083184265366795,0.022817932658799132,14,0.9041740152851264,0.9041740152851264,0.908289241622575,0.9135802469135802,0.90834312573443,0.8948296122209166,0.9030552291421856,0.9054054054054054,0.9053497942386832,0.9129923574368018,0.906019304328483,0.0050791173819841875,17,0.8936664729808251,0.9002048580626281,0.9014002333722289,0.9003476245654692,0.9172352417680212,0.921912832929782,0.9043836422477198,0.914811516770555,0.9194029850746268,0.8963924963924964,0.9069757904164352,0.0098027219414753,15,0.9634277134277134,0.9666852843181346,0.9691197408588714,0.9633075104089596,0.9749596041866572,0.9814517761377664,0.972016184576571,0.9744186906022656,0.9788689849765032,0.9709046551100244,0.9715160144603466,0.00579285368489913,17,310.51108407974243,1,500,43,11,19
"{'n_estimators': 500, 'max_depth': 18, 'min_samples_split': 22, 'min_samples_leaf': 3}",0.9010925819436456,0.9181389870435808,0.912463768115942,0.9010801591813532,0.9348475791990436,0.9575645756457564,0.9353115727002967,0.9328180737217598,0.940440738534842,0.9054895302773062,0.9239247566363525,0.01811172160586221,6,0.921222810111699,0.916519694297472,0.9253380364491476,0.9318048206937096,0.918918918918919,0.9148061104582844,0.925969447708578,0.9218566392479436,0.9282774838330394,0.940623162845385,0.9245337124564179,0.00732781655878457,8,0.9110465116279072,0.91732862606649,0.918855808523059,0.916184971098266,0.9268148148148148,0.9356971153846156,0.9306170652494832,0.9273049645390072,0.9343195266272188,0.922722029988466,0.9240891433919327,0.007793188560870076,8,0.9724792079864544,0.9764111938024982,0.9775315342948192,0.9751008772747904,0.9818707596485376,0.9867508985866472,0.9800355911467022,0.981313266337421,0.984884742902902,0.9812056814800298,0.9797583753460802,0.00418410604270489,7,317.52060198783875,1,500,18,22,3
"{'n_estimators': 500, 'max_depth': 17, 'min_samples_split': 23, 'min_samples_leaf': 19}",0.8617021276595744,0.8828932261768083,0.8874133949191686,0.8825910931174089,0.923217550274223,0.9304295220810648,0.8765859284890427,0.9114676173499704,0.9181111775254036,0.8208092485549133,0.8895220886147579,0.03141165459793046,18,0.9047619047619048,0.9041740152851264,0.903586125808348,0.897119341563786,0.8901292596944771,0.9036427732079906,0.8930669800235017,0.9012925969447708,0.9029982363315696,0.9182833627278072,0.9019054596349283,0.007270890764648714,18,0.8827071981646113,0.8934069125762416,0.8954267404602388,0.889795918367347,0.9063715225845048,0.9168405365126676,0.8847497089639115,0.9063515509601182,0.9104919976289272,0.8668146503884573,0.8952956736607026,0.014334238411100141,18,0.9564466122437136,0.9614182850897826,0.9621061710433692,0.9574621205055988,0.9699480363731572,0.9758688985742126,0.9651696209667224,0.9690577395891404,0.9739920253017122,0.965286526133087,0.9656756035820495,0.006218257419670253,18,275.46508860588074,1,500,17,23,19
"{'n_estimators': 500, 'max_depth': 40, 'min_samples_split': 6, 'min_samples_leaf': 17}",0.884703196347032,0.9057498518079432,0.9000581057524695,0.8906071019473081,0.9266109785202864,0.9526479750778816,0.9068684516880092,0.9253554502369667,0.9393028846153846,0.8899494665918024,0.9121853462585084,0.021647665410657532,13,0.9112286890064668,0.8982951205173427,0.9106407995296883,0.9141681363903588,0.9124559341950648,0.8983548766157462,0.9153936545240892,0.917743830787309,0.9188712522045857,0.9318048206937096,0.9128957114464361,0.00925902086901576,11,0.8977700550246163,0.9020070838252656,0.9053185271770894,0.9022338265158109,0.9194789816459444,0.9247051708497128,0.9111111111111112,0.9215339233038348,0.9289747399702823,0.910396323951752,0.9123529743375419,0.01020235240609754,12,0.9663051595418746,0.9690839908231212,0.9710029214860132,0.9656455972881094,0.9760037815593372,0.9824619305295632,0.9732850517874672,0.9761702696485306,0.9808652516536768,0.9738594823185588,0.9734683436636253,0.00536023983792024,12,288.6783666610718,1,500,40,6,17
