params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 3},0.977671451355662,0.9775577557755776,0.9698360655737704,0.9761904761904762,0.9776271186440678,0.9879032258064516,0.9827357237715804,0.981042654028436,0.985352862849534,0.9781167108753316,0.9794034044870887,0.004842605114233985,1,0.7207524985302763,0.8706643151087595,0.8694885361552028,0.8677248677248677,0.8472385428907168,0.863689776733255,0.8695652173913043,0.8513513513513513,0.8700764256319812,0.8671369782480893,0.8497688509765805,0.043705570168749985,20,0.8297800338409476,0.9210199004975124,0.91692498450093,0.9187675070028012,0.9077746301542337,0.9216300940438872,0.922693266832918,0.9116074237181504,0.9241336247268186,0.9192894982860704,0.909362096360427,0.026958124703009206,11,0.8846954269659585,0.962268168789908,0.9548268074838122,0.9547333738154994,0.9508027696433494,0.9599293910888114,0.9602186727790591,0.9564357317980506,0.9557527629250144,0.9532586392276772,0.949292174451714,0.021782282082544662,20,42.19484782218933,1,3
{'n_neighbors': 12},0.883843717001056,0.8939475093733262,0.9015684153596538,0.8876404494382022,0.9079889807162534,0.9250416435313714,0.9099294628323386,0.902478448275862,0.9247071946458448,0.8609543355566958,0.8998100156730604,0.01839339457585735,2,0.984126984126984,0.9811875367430924,0.9800117577895356,0.9753086419753086,0.9682726204465336,0.9788484136310224,0.9853113983548766,0.9841363102232668,0.9747207524985304,0.9864785420340976,0.9798402957823248,0.005424165591715426,8,0.9312934631432546,0.9355381165919284,0.9391549295774648,0.9294117647058824,0.9371623542792152,0.9511846988295748,0.9461212976022566,0.941540191118606,0.9490555237550086,0.9194520547945206,0.9379914394397713,0.009194599827147338,1,0.9827427496509622,0.9841865675199007,0.9808081027887792,0.9827042363274248,0.9821054664049832,0.9903564710327996,0.9892603093086184,0.987265215526085,0.9884979648517436,0.9824858358727324,0.9850412919284028,0.0032785767823805528,3,42.73844385147095,1,12
{'n_neighbors': 41},0.8496900826446281,0.851063829787234,0.8578125,0.830690537084399,0.8618316569613552,0.8897937024972855,0.873269435569755,0.8719704952581665,0.8863512778684067,0.8217673489765353,0.8594240866647767,0.021007566130484413,12,0.9670781893004116,0.9641387419165196,0.9682539682539684,0.9547325102880658,0.9565217391304348,0.9629847238542892,0.963572267920094,0.972385428907168,0.958259847148736,0.96766607877719,0.9635593495496879,0.005342082124908274,11,0.9045916964531208,0.9040793825799338,0.9096934548467276,0.888402625820569,0.906711222500696,0.924943566591422,0.9162011173184356,0.9194444444444444,0.9209039548022598,0.888768898488121,0.9083740363845731,0.011982653925534307,12,0.9716852808640248,0.9730197761598728,0.9745793067049106,0.9673971763343744,0.974746312910564,0.9819384601993296,0.9771659167794432,0.9792060866940094,0.9813866104283506,0.9603591068089076,0.9741484033883786,0.006255956250676692,11,44.2462420463562,1,41
{'n_neighbors': 82},0.8403805496828752,0.8413032054650552,0.8485653560042508,0.8202597402597402,0.8548212351029253,0.8797573083287369,0.8546042003231018,0.8547695605573419,0.8751369112814896,0.8063540090771558,0.8475952076082673,0.021181135370303094,16,0.9347442680776014,0.9412110523221634,0.93885949441505,0.9282774838330394,0.927144535840188,0.937132784958872,0.9324324324324323,0.937132784958872,0.9394473838918284,0.9400352733686068,0.9356417494098654,0.004659866227571359,18,0.8850542721959365,0.888457269700333,0.8914317610940552,0.8709321566464423,0.8895152198421645,0.907539118065434,0.8918235459398708,0.8940582959641256,0.9061525375673376,0.8680781758957654,0.8893042352911464,0.01206960457984426,16,0.9591295919798336,0.9610951531241386,0.9655326478997976,0.9553955266515654,0.9651150460329204,0.9729076902989946,0.9661821932353334,0.968358973189891,0.9727291516108552,0.9467052786668698,0.9633151252690201,0.007638801014643656,15,44.61433696746826,1,82
{'n_neighbors': 57},0.8441896821261073,0.8429838288993219,0.8530805687203792,0.8247687564234327,0.8589122240172321,0.8860898138006572,0.8647781934794228,0.8681260010678057,0.8824485373781148,0.8123432012042148,0.8537720807116689,0.0223306906871848,14,0.9523809523809524,0.9500293944738388,0.9523809523809524,0.9435626102292768,0.937132784958872,0.9506462984723856,0.9506462984723856,0.9553466509988248,0.9576719576719576,0.951793062904174,0.950159096294362,0.005564053518924376,12,0.8950276243093922,0.8933112216694307,0.8999999999999999,0.8801754867013984,0.8963191907839281,0.917233560090703,0.9056815001399384,0.9096503496503496,0.9185226952354102,0.8765565782349757,0.8992478206815526,0.013362091044276303,13,0.9663730327981536,0.967623593227458,0.9700539048365135,0.9618654195948882,0.9694477085781434,0.9778353232459512,0.9725251476459206,0.9748257574344532,0.977599890232982,0.9530217208053776,0.9691171498399841,0.007173312887899719,12,44.28552055358887,1,57
{'n_neighbors': 12},0.883843717001056,0.8939475093733262,0.9015684153596538,0.8876404494382022,0.9079889807162534,0.9250416435313714,0.9099294628323386,0.902478448275862,0.9247071946458448,0.8609543355566958,0.8998100156730604,0.01839339457585735,2,0.984126984126984,0.9811875367430924,0.9800117577895356,0.9753086419753086,0.9682726204465336,0.9788484136310224,0.9853113983548766,0.9841363102232668,0.9747207524985304,0.9864785420340976,0.9798402957823248,0.005424165591715426,8,0.9312934631432546,0.9355381165919284,0.9391549295774648,0.9294117647058824,0.9371623542792152,0.9511846988295748,0.9461212976022566,0.941540191118606,0.9490555237550086,0.9194520547945206,0.9379914394397713,0.009194599827147338,1,0.9827427496509622,0.9841865675199007,0.9808081027887792,0.9827042363274248,0.9821054664049832,0.9903564710327996,0.9892603093086184,0.987265215526085,0.9884979648517436,0.9824858358727324,0.9850412919284028,0.0032785767823805528,3,44.01217889785767,1,12
{'n_neighbors': 58},0.8459926663174437,0.8447464715107161,0.8569157392686805,0.8250128667009778,0.8626284478096268,0.8875413450937155,0.8648793565683646,0.8681672025723473,0.8837336244541485,0.8136020151133502,0.8553219735409371,0.02239565147657832,13,0.9494415049970606,0.9500293944738388,0.9506172839506172,0.9423868312757202,0.937132784958872,0.945945945945946,0.9477085781433608,0.9518213866039952,0.951793062904174,0.9494415049970606,0.9476318278250646,0.004434719781708976,13,0.8947368421052633,0.8942999446596569,0.9013377926421404,0.8798024149286499,0.898338496198254,0.9158134243458474,0.9044014578076816,0.9080717488789236,0.9165015567506368,0.8762886597938145,0.8989592338110869,0.012770949948872498,14,0.965990144734106,0.9674179009927802,0.9697495977689214,0.9615068830044676,0.9697843115717512,0.9780515505153188,0.9723621136664616,0.9745908779725204,0.9773173507578106,0.9533075436138994,0.9690078274598036,0.0071330869871592695,13,44.03580260276794,1,58
{'n_neighbors': 82},0.8403805496828752,0.8413032054650552,0.8485653560042508,0.8202597402597402,0.8548212351029253,0.8797573083287369,0.8546042003231018,0.8547695605573419,0.8751369112814896,0.8063540090771558,0.8475952076082673,0.021181135370303094,16,0.9347442680776014,0.9412110523221634,0.93885949441505,0.9282774838330394,0.927144535840188,0.937132784958872,0.9324324324324323,0.937132784958872,0.9394473838918284,0.9400352733686068,0.9356417494098654,0.004659866227571359,18,0.8850542721959365,0.888457269700333,0.8914317610940552,0.8709321566464423,0.8895152198421645,0.907539118065434,0.8918235459398708,0.8940582959641256,0.9061525375673376,0.8680781758957654,0.8893042352911464,0.01206960457984426,16,0.9591295919798336,0.9610951531241386,0.9655326478997976,0.9553955266515654,0.9651150460329204,0.9729076902989946,0.9661821932353334,0.968358973189891,0.9727291516108552,0.9467052786668698,0.9633151252690201,0.007638801014643656,15,44.13528490066528,1,82
{'n_neighbors': 89},0.8383202099737532,0.8389963408259279,0.8432403997895844,0.8148914167528438,0.8525745257452575,0.8736323851203501,0.8520107238605898,0.8492063492063492,0.8739130434782608,0.8061430010070494,0.8442928395759968,0.02067642796090903,18,0.93885949441505,0.9435626102292768,0.9423868312757202,0.9265138154027044,0.9242068155111632,0.9383078730904818,0.9336075205640424,0.9430082256169212,0.945326278659612,0.9412110523221634,0.9376990517087135,0.006932968551342538,15,0.8857459789240156,0.888212506917543,0.8900610771793449,0.8671251719394772,0.8869467155342543,0.9048158640226628,0.8909447715166808,0.893652561247216,0.908218017509178,0.8684567398969352,0.8884179404687307,0.012484384566062847,18,0.9574660927317932,0.9596261202541396,0.9645207664531336,0.9538394502162618,0.9638555049183068,0.9717210308997748,0.9643620501108424,0.9670863064582872,0.9715369559905456,0.9442502093557028,0.9618264487388787,0.007963912279139037,17,43.25098776817322,1,89
{'n_neighbors': 27},0.8619441571871769,0.8567026194144838,0.8630490956072352,0.8393939393939394,0.8688352570828961,0.8933547695605574,0.8904329235702833,0.8780104712041885,0.8923240938166311,0.8311881188118811,0.8675235445649273,0.020490573013626126,10,0.9800117577895356,0.980599647266314,0.9817754262198708,0.9770723104056436,0.972972972972973,0.9794359576968272,0.9788484136310224,0.9853113983548766,0.984126984126984,0.987066431510876,0.9807221299974923,0.003912407326313987,2,0.9171939477303988,0.9144736842105264,0.9185918591859186,0.9030154849225752,0.917960088691796,0.9344170403587444,0.9325496781416176,0.9285714285714286,0.935979871400615,0.9024455791453908,0.9205198662359013,0.011544081518532352,9,0.9768585010130904,0.9781056073326604,0.9779790142108984,0.9735069783378962,0.978905751852612,0.986282521306676,0.9829510324679408,0.9831817669981922,0.9866257736138198,0.9698847480871128,0.9794281695220899,0.005120062855568664,9,43.09332513809204,1,27
