params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 52.4333612453512, 'kernel': 'rbf'}",0.952054794520548,0.9620253164556962,0.9576901086335048,0.9488636363636364,0.967536231884058,0.9714784633294528,0.9626436781609196,0.9562002275312856,0.959931310818546,0.9490950226244343,0.958751879032208,0.007140761841246341,4,0.980599647266314,0.9829512051734274,0.9847148736037624,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.9841363102232668,0.9876615746180964,0.9858906525573192,0.9864785420340976,0.9835430323353028,0.0024929383311784194,8,0.9661164205039096,0.9723756906077348,0.9710144927536234,0.9650390060676104,0.9740297636416692,0.9760233918128656,0.9732713538640326,0.9716763005780348,0.972737819025522,0.9674257711155952,0.9709710009970596,0.0034218797989417097,8,0.9821330992828576,0.9848141792586236,0.9856044795658322,0.9794672173899228,0.9872234207983,0.9905808154600424,0.989784988577259,0.9837477228781576,0.985941285013726,0.9826142314874432,0.9851911439712164,0.0032557133111003173,10,718.0245385169983,1,52.4333612453512,rbf
"{'C': 9.925389828356558, 'kernel': 'rbf'}",0.9471890971039182,0.9559748427672956,0.9549086757990868,0.9392575928009,0.9691501746216532,0.9703315881326352,0.957593123209169,0.9523539421440728,0.9587155963302753,0.9485002829654782,0.9553974915874484,0.009018177064403228,17,0.980599647266314,0.9829512051734274,0.9835390946502056,0.9817754262198708,0.9782608695652174,0.9800235017626322,0.981786133960047,0.9864864864864864,0.9829512051734274,0.9853027630805408,0.9823676333338168,0.0023196650344310633,17,0.9636048526863084,0.9692753623188406,0.9690124529394728,0.9600459902270768,0.973684210526316,0.9751534638994448,0.969538729329852,0.9691197691197692,0.9706821480406386,0.966551326412918,0.9686668305500639,0.004209334991716376,17,0.983053964938023,0.987134304767155,0.9870786936004328,0.9817141157720868,0.9883352987217724,0.9904108732611148,0.9867564251622224,0.9872698785742264,0.985415260449554,0.9791546349780068,0.9856323450224593,0.0032006497442833384,5,622.0460014343262,1,9.925389828356558,rbf
"{'C': 20.465897455962658, 'kernel': 'rbf'}",0.95096921322691,0.9587155963302753,0.9570938215102976,0.9451046972269384,0.9658564814814816,0.9714618520675598,0.9603448275862068,0.9545712663259512,0.9598163030998852,0.9506802721088436,0.9574614330964349,0.007288559922577838,15,0.980599647266314,0.9829512051734274,0.9835390946502056,0.9817754262198708,0.9806110458284372,0.9800235017626322,0.981786133960047,0.9876615746180964,0.9829512051734274,0.9858906525573192,0.9827789487209777,0.0023063886728530887,15,0.9655571635311144,0.9706821480406386,0.9701362713830096,0.9630911188004614,0.9731778425655976,0.9757238958759872,0.9709471237652528,0.970834536529021,0.9712460063897764,0.967965367965368,0.9699361474846226,0.003436014859923197,15,0.9828594985599816,0.9847596043248216,0.986755388929302,0.9805531894903876,0.9889394225143016,0.9897027807655826,0.9889200794997896,0.9844309457836028,0.9875031148465075,0.9803096770893492,0.9854733701803626,0.0032687155401240854,8,664.9530763626099,1,20.465897455962658,rbf
"{'C': 96.61075808538564, 'kernel': 'rbf'}",0.952598515134209,0.9614721104082806,0.9571428571428572,0.9488636363636364,0.967536231884058,0.970913321698662,0.9631972397929844,0.9556818181818182,0.9604810996563574,0.9490950226244343,0.9586981852887296,0.00704342344782559,8,0.980599647266314,0.9829512051734274,0.9847148736037624,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.9841363102232668,0.9882491186839012,0.9858906525573192,0.9864785420340976,0.9836017867418834,0.002594181038651026,1,0.9663962920046352,0.972093023255814,0.9707331208345408,0.9650390060676104,0.9740297636416692,0.9757380882782812,0.973554199360651,0.971692663200462,0.9730200174064404,0.9674257711155952,0.9709721945165699,0.003368590450426062,4,0.9809735546450522,0.9825337760120368,0.9850110635134788,0.9768141157030046,0.9870299906531792,0.9897480296031022,0.9869750703084036,0.9809498939933724,0.9865502569467556,0.9818535349922116,0.9838439286370597,0.0036771019066160525,18,716.8515293598175,1,96.61075808538564,rbf
"{'C': 44.31326422592326, 'kernel': 'rbf'}",0.952054794520548,0.9620253164556962,0.9571428571428572,0.9488636363636364,0.967536231884058,0.9714784633294528,0.9620907524411256,0.9562002275312856,0.9604810996563574,0.94960362400906,0.9587477003334076,0.007066845344838814,6,0.980599647266314,0.9829512051734274,0.9847148736037624,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.9841363102232668,0.9876615746180964,0.9858906525573192,0.9858906525573192,0.9834842433876251,0.002429134770695075,10,0.9661164205039096,0.9723756906077348,0.9707331208345408,0.9650390060676104,0.9740297636416692,0.9760233918128656,0.9729886726691838,0.9716763005780348,0.9730200174064404,0.9674069800980676,0.9709409364220056,0.0034223976720464573,10,0.9843105700593624,0.984557538905365,0.986812381739918,0.980491706337117,0.989862015224334,0.9905421294310184,0.9889656737482824,0.9813060127069788,0.9889902920473173,0.981247673585514,0.9857085993785208,0.003646755807663288,4,692.7538983821869,1,44.31326422592326,rbf
"{'C': 22.660455925112196, 'kernel': 'rbf'}",0.952054794520548,0.9603676048248132,0.9527603870233352,0.9456398640996604,0.9680974477958236,0.9720442632498544,0.960897067280046,0.9551136363636364,0.960919540229885,0.9506802721088436,0.9578574877496445,0.007739511836323966,14,0.980599647266314,0.9829512051734274,0.984126984126984,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.981786133960047,0.9876615746180964,0.9829512051734274,0.9858906525573192,0.9828964920752361,0.0022672188984458933,14,0.9661164205039096,0.9715281812899478,0.9681897050318102,0.9633689068358812,0.974314068884997,0.9763088622404212,0.9712292938099388,0.9711149624494512,0.9718105201976168,0.967965367965368,0.970194628920934,0.0036451644210120206,14,0.984614531715981,0.98514611920409,0.986227946372874,0.9787373640030644,0.9878137281518924,0.990984946298956,0.9877107956818102,0.9855977440518504,0.9897478780162168,0.9791342437498294,0.9855715297246566,0.0038213052458599666,6,645.8530218601227,1,22.660455925112196,rbf
"{'C': 67.34025702339784, 'kernel': 'rbf'}",0.952054794520548,0.9620253164556962,0.9571428571428572,0.9488636363636364,0.967536231884058,0.9714784633294528,0.9631972397929844,0.9556818181818182,0.9604810996563574,0.9490950226244343,0.9587556479951841,0.007214533071866355,1,0.980599647266314,0.9829512051734274,0.9847148736037624,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.9841363102232668,0.9882491186839012,0.9858906525573192,0.9864785420340976,0.9836017867418834,0.002594181038651026,1,0.9661164205039096,0.9723756906077348,0.9707331208345408,0.9650390060676104,0.9740297636416692,0.9760233918128656,0.973554199360651,0.971692663200462,0.9730200174064404,0.9674257711155952,0.9710010044551478,0.0034586090926569026,1,0.9791311325127752,0.9836010959199366,0.9857979097109532,0.9785822744759942,0.9888043668236904,0.9887411566155528,0.9880600061759482,0.983884505623636,0.989280262224282,0.983000627980705,0.9848883338063473,0.003734906478883646,13,738.6073944568634,1,67.34025702339784,rbf
"{'C': 88.52997408656242, 'kernel': 'rbf'}",0.952598515134209,0.9614721104082806,0.9571428571428572,0.9488636363636364,0.967536231884058,0.970913321698662,0.9631972397929844,0.9556818181818182,0.9604810996563574,0.9490950226244343,0.9586981852887296,0.00704342344782559,8,0.980599647266314,0.9829512051734274,0.9847148736037624,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.9841363102232668,0.9882491186839012,0.9858906525573192,0.9864785420340976,0.9836017867418834,0.002594181038651026,1,0.9663962920046352,0.972093023255814,0.9707331208345408,0.9650390060676104,0.9740297636416692,0.9757380882782812,0.973554199360651,0.971692663200462,0.9730200174064404,0.9674257711155952,0.9709721945165699,0.003368590450426062,4,0.9791363136773764,0.9848100343269424,0.985653182513086,0.9795414807492102,0.9886672386672388,0.9881864265922236,0.986895971195488,0.9817429575883682,0.986871332387042,0.9833016578068507,0.9844806595503826,0.0032578378727440185,16,701.5999014377594,1,88.52997408656242,rbf
"{'C': 87.18178706236004, 'kernel': 'rbf'}",0.952598515134209,0.9614721104082806,0.9571428571428572,0.9488636363636364,0.967536231884058,0.970913321698662,0.9631972397929844,0.9556818181818182,0.9604810996563574,0.9490950226244343,0.9586981852887296,0.00704342344782559,8,0.980599647266314,0.9829512051734274,0.9847148736037624,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.9841363102232668,0.9882491186839012,0.9858906525573192,0.9864785420340976,0.9836017867418834,0.002594181038651026,1,0.9663962920046352,0.972093023255814,0.9707331208345408,0.9650390060676104,0.9740297636416692,0.9757380882782812,0.973554199360651,0.971692663200462,0.9730200174064404,0.9674257711155952,0.9709721945165699,0.003368590450426062,4,0.9807210592234747,0.9831924747383683,0.9835185426972868,0.9790648136058764,0.9869995944875172,0.9885563617447676,0.9907220885481756,0.985493775348848,0.9852728674663483,0.9836617876333076,0.984720336549397,0.003312295064938737,14,694.1330020427704,1,87.18178706236004,rbf
"{'C': 60.510090947476975, 'kernel': 'rbf'}",0.952598515134209,0.9620253164556962,0.9571428571428572,0.9488636363636364,0.967536231884058,0.9714784633294528,0.9631972397929844,0.9556818181818182,0.959931310818546,0.9490950226244343,0.958755041172769,0.0071547796485045235,3,0.980599647266314,0.9829512051734274,0.9847148736037624,0.9817754262198708,0.9806110458284372,0.9806110458284372,0.9841363102232668,0.9882491186839012,0.9858906525573192,0.9864785420340976,0.9836017867418834,0.002594181038651026,1,0.9663962920046352,0.9723756906077348,0.9707331208345408,0.9650390060676104,0.9740297636416692,0.9760233918128656,0.973554199360651,0.971692663200462,0.972737819025522,0.9674257711155952,0.9710007717671285,0.0034044690620747566,3,0.9822664279186016,0.9845105630129783,0.9858569749874098,0.9784931584448494,0.9876517304053536,0.9891128188229636,0.9875166747147424,0.9847887915520768,0.984932783254032,0.9818279595534803,0.9846957882666489,0.0030041884491664975,15,722.0470495223999,1,60.510090947476975,rbf
