params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 500, 'learning_rate': 0.16062652663896063, 'max_depth': 12, 'min_child_weight': 21, 'reg_alpha': 0.02629502370926784, 'reg_lambda': 0.07177665101856096, 'gamma': 10.829949907346277, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.90268247036806,0.9108159392789372,0.907165109034268,0.90272614622057,0.9365918097754292,0.962,0.9355053191489362,0.9406068431245964,0.9470198675496688,0.916509730069052,0.9261623234569518,0.019784393430642012,11,0.8506760728982952,0.8465608465608465,0.8559670781893004,0.8565549676660787,0.8331374853113983,0.8478260869565217,0.8266745005875441,0.8560517038777908,0.8406819517930629,0.8583186360964139,0.8472449329937254,0.0102017283004989,12,0.8759079903147701,0.8775137111517367,0.8808227465214761,0.8790346907993968,0.8818407960199005,0.9013116801998752,0.8777292576419216,0.8963395878191327,0.8906882591093118,0.8864602307225259,0.8847648950300047,0.008265475003793524,11,0.9556614931011066,0.9585867786350878,0.9588943671069274,0.9525510672853668,0.966617065650882,0.9747604747604748,0.9674391437676462,0.9693114439491252,0.9711109866900578,0.9637908813883732,0.9638723702335048,0.006849103412049562,11,19.997307300567627,1,500,0.16062652663896063,12,21,0.02629502370926784,0.07177665101856096,10.829949907346277,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.10598535879350367, 'max_depth': 45, 'min_child_weight': 27, 'reg_alpha': 0.004554102330882085, 'reg_lambda': 0.027680828779683933, 'gamma': 9.269015069757767, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.9104859335038364,0.9092071611253196,0.9074778200253484,0.9028642590286424,0.9383289124668436,0.9585561497326204,0.9331568497683652,0.9346278317152104,0.9424836601307188,0.9224952741020794,0.9259683851598984,0.017385535553182667,12,0.8371546149323927,0.8359788359788359,0.8418577307466196,0.8524397413286302,0.8313748531139835,0.8425381903642774,0.8284371327849589,0.8484136310223267,0.8477366255144033,0.8606701940035273,0.8426601549789956,0.009402855990773534,13,0.8722817764165391,0.8710566615620214,0.8734370234827691,0.8769277290595706,0.881619937694704,0.8968105065666041,0.8776844070961718,0.8894364028333847,0.8926029093160012,0.8905109489051095,0.8822368302932876,0.00889364974457541,13,0.9543969435273782,0.9576415615062958,0.9582294509830742,0.9505984590525652,0.9665410752367274,0.9747261063686185,0.9655217674541344,0.9669809561113908,0.9713544717790584,0.9635050585798512,0.9629495850599094,0.007221888761424633,13,21.052698135375977,1,500,0.10598535879350367,45,27,0.004554102330882085,0.027680828779683933,9.269015069757767,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.1722846994661158, 'max_depth': 41, 'min_child_weight': 20, 'reg_alpha': 0.03836457290632143, 'reg_lambda': 0.08184690024398807, 'gamma': 10.285220216989268, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.9178255372945638,0.909493670886076,0.9119300437226732,0.8996282527881041,0.9370538611291368,0.960655737704918,0.9342537804076264,0.9373000639795266,0.9441157133464826,0.9221105527638191,0.9274367214022927,0.017533975552234866,10,0.8536155202821869,0.8447971781305115,0.8583186360964139,0.8536155202821869,0.8484136310223267,0.8607520564042304,0.8349001175088132,0.8607520564042304,0.8442092886537331,0.8630217519106408,0.8522395756695273,0.00858539956132005,11,0.884556807797746,0.8759524535202682,0.8843125378558448,0.8760180995475113,0.8905334566759172,0.9079640533002789,0.8817871548246975,0.8973966309341501,0.8913718187461204,0.8915882174309141,0.8881481230633448,0.009327728934741703,10,0.9590397851267416,0.9600608199642016,0.9603171149064867,0.9553250628129856,0.9693803534383244,0.9767833741263692,0.9692820840163836,0.9707148487341724,0.9727174007336004,0.965547983152007,0.9659168827011273,0.006602548337568042,9,20.56741571426392,1,500,0.1722846994661158,41,20,0.03836457290632143,0.08184690024398807,10.285220216989268,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.029065905036076978, 'max_depth': 26, 'min_child_weight': 13, 'reg_alpha': 0.03845164501124261, 'reg_lambda': 0.026260991093431944, 'gamma': 15.163737949043787, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.914032869785082,0.909825870646766,0.9126092384519352,0.903786468032278,0.9411764705882352,0.9654025282767796,0.943864229765013,0.9375,0.9446254071661238,0.9221594475831764,0.9294982530295389,0.018844392414807995,9,0.8500881834215167,0.8600823045267489,0.8594944150499706,0.8559670781893004,0.8460634547591069,0.8525264394829613,0.8495887191539365,0.863689776733255,0.8524397413286302,0.8636096413874191,0.8553549754032845,0.005841969400181651,9,0.880901614377094,0.8842550619522515,0.8852558280351196,0.8792270531400966,0.891089108910891,0.9054602184087364,0.8942486085343229,0.8990825688073395,0.896168108776267,0.8919247115968427,0.8907612882538961,0.007943873176414014,9,0.9574161808461326,0.9597478776222738,0.9606255669057602,0.9550440709861,0.9691017794882528,0.9767467605631855,0.9695047013887592,0.9703837723161396,0.9727948182778674,0.965957017364686,0.9657322545759156,0.006809968532157474,10,25.387049198150635,1,500,0.029065905036076978,26,13,0.03845164501124261,0.026260991093431944,15.163737949043787,gpu_hist,0,0.5
"{'n_estimators': 100, 'learning_rate': 0.16179749088987425, 'max_depth': 12, 'min_child_weight': 24, 'reg_alpha': 0.058170547594904545, 'reg_lambda': 0.05935299861180956, 'gamma': 98.47645252419584, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.87724335965542,0.8697508896797153,0.8681849551414769,0.8844221105527639,0.9273952095808384,0.9530148786217698,0.9401061410159212,0.9381520119225036,0.9470499243570348,0.9072382290934644,0.9112557709620909,0.03211239331006961,20,0.7184009406231628,0.7184009406231628,0.739564961787184,0.7242798353909465,0.7279670975323149,0.7150411280846063,0.7285546415981199,0.7397179788484136,0.7360376249265138,0.7589653145208701,0.7306930463935295,0.012602988043485834,20,0.7899159663865546,0.7868641339343206,0.7987301587301587,0.7963800904977376,0.8156682027649769,0.8170527022490769,0.8209202250910294,0.8272010512483574,0.8283162421435659,0.8265044814340589,0.8107553254479838,0.015330760065710701,20,0.9147358193251912,0.9154996956929324,0.9169098359919616,0.9186349910987592,0.9344237266942582,0.9444760495485132,0.9362284990304314,0.9349731028474988,0.940873905829161,0.9321157005199072,0.9288871326578614,0.010708662184013418,20,5.775953769683838,1,100,0.16179749088987425,12,24,0.058170547594904545,0.05935299861180956,98.47645252419584,gpu_hist,0,0.5
"{'n_estimators': 100, 'learning_rate': 0.17326342974666192, 'max_depth': 32, 'min_child_weight': 4, 'reg_alpha': 0.08860874667769525, 'reg_lambda': 0.02488719559058691, 'gamma': 84.16611080631456, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8839103869653768,0.8677800974251914,0.8769128409846972,0.8857545839210155,0.92831541218638,0.958062183658713,0.9414853713428356,0.9352678571428572,0.9431734317343172,0.9167832167832168,0.9137445382144602,0.0307038797998277,18,0.7654320987654321,0.733098177542622,0.7748383303938859,0.7383891828336273,0.7608695652173914,0.7784958871915394,0.7373678025851939,0.7385428907168038,0.7513227513227513,0.7707231040564374,0.7549079790625685,0.016391735521978815,18,0.8204158790170133,0.7947737412364564,0.8227215980024968,0.8053863417762103,0.8362931869551179,0.8589951377633711,0.827018121911038,0.8253447143795142,0.8363874345549738,0.8374321303098052,0.8264768285905996,0.016953896303616933,18,0.9244266695957518,0.9268892771308228,0.924830800434665,0.924803512967764,0.9419224262219432,0.9555124482660716,0.9379125502313908,0.9406563222988344,0.946348950594819,0.940333883896494,0.9363636841638557,0.01016253024791932,18,5.534530401229858,1,100,0.17326342974666192,32,4,0.08860874667769525,0.02488719559058691,84.16611080631456,gpu_hist,0,0.5
"{'n_estimators': 100, 'learning_rate': 0.19931665199264476, 'max_depth': 21, 'min_child_weight': 25, 'reg_alpha': 0.02746892129501773, 'reg_lambda': 0.0789280475198377, 'gamma': 26.960496712984213, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8944020356234097,0.9023591087811272,0.8998121477770821,0.8991756499682942,0.9337704918032786,0.9545454545454546,0.9320652173913044,0.9351851851851852,0.9428950863213812,0.9108402822322,0.9205050659628717,0.020426376183462967,14,0.8265726043503822,0.8095238095238095,0.8447971781305115,0.8336272780717225,0.836662749706228,0.8266745005875441,0.8061104582843713,0.8307873090481787,0.8348030570252792,0.8348030570252792,0.8284362001753307,0.011452511941761685,15,0.8591506263366943,0.8534242330337775,0.8714372346876896,0.8651616839536302,0.882553455221568,0.8860201511335014,0.8645242596093258,0.8799004355942751,0.885562831306517,0.8711656441717791,0.8718900555048756,0.010807470054246697,15,0.944972232411846,0.946729338033686,0.94841839769376,0.9418749322130966,0.9602492416502078,0.9685700192946568,0.955575140357749,0.960264267027552,0.962416374363595,0.953794168177864,0.9542864111224014,0.008219809420183856,15,5.7077038288116455,1,100,0.19931665199264476,21,25,0.02746892129501773,0.0789280475198377,26.960496712984213,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.14542102742145546, 'max_depth': 9, 'min_child_weight': 5, 'reg_alpha': 0.0840381094829615, 'reg_lambda': 0.05540477144507309, 'gamma': 65.20453182436323, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.88866930171278,0.8825831702544031,0.8802862719583604,0.889344262295082,0.9349195241427573,0.9616477272727272,0.943001443001443,0.9368932038834952,0.9525547445255474,0.915100453661698,0.9185000102708294,0.029549070393787746,15,0.7930629041740153,0.7954144620811288,0.7954144620811288,0.7654320987654321,0.7849588719153937,0.7955346650998825,0.7679200940070505,0.7937720329024677,0.7671957671957672,0.8300999412110524,0.788880529943332,0.018289062606258507,16,0.8381484933209071,0.8367346938775511,0.8357010500308832,0.8227488151658768,0.8534014691791761,0.8707395498392283,0.846502590673575,0.85941475826972,0.8498860306089223,0.8705302096177558,0.8483807660583595,0.0148369989483984,16,0.9337900702635002,0.9335574359728948,0.933557954089355,0.931689453428584,0.948968982785408,0.9588579262492306,0.9421023853391004,0.949347898623261,0.9527547339618668,0.9440452602318172,0.9428672100945018,0.009029621793510127,16,19.18434500694275,1,500,0.14542102742145546,9,5,0.0840381094829615,0.05540477144507309,65.20453182436323,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.0059991862243279825, 'max_depth': 20, 'min_child_weight': 26, 'reg_alpha': 0.06237121442416406, 'reg_lambda': 0.05681556823082746, 'gamma': 87.46869986731643, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8801128349788434,0.8674269422665716,0.8666666666666667,0.8847530422333572,0.928304705003734,0.9570552147239264,0.9413556740289414,0.9363636363636364,0.9470499243570348,0.9093444909344492,0.9118433131557161,0.032844357444213435,19,0.7336860670194003,0.715461493239271,0.7489711934156379,0.7266313932980599,0.7303172737955347,0.7332549941245593,0.7262044653349001,0.7262044653349001,0.7360376249265138,0.7666078777189889,0.7343376848207765,0.013506114562031208,19,0.8002564924655338,0.7841494845360824,0.8035320088300222,0.7979341510652033,0.8174942453140414,0.8303393213572854,0.8199004975124379,0.8180013236267373,0.8283162421435659,0.8318979266347688,0.8131821693485678,0.015153347305219507,19,0.9182614291309944,0.9172414305264548,0.9172923786450357,0.921746625852906,0.9391166528847688,0.947178545004632,0.932603756275254,0.93541678324287,0.9425551453116936,0.9359285145750624,0.9307341261449672,0.010639094740657832,19,30.38889074325561,1,500,0.0059991862243279825,20,26,0.06237121442416406,0.05681556823082746,87.46869986731643,gpu_hist,0,0.5
"{'n_estimators': 100, 'learning_rate': 0.06667656364966551, 'max_depth': 18, 'min_child_weight': 13, 'reg_alpha': 0.06252283404770607, 'reg_lambda': 0.04488637415018759, 'gamma': 64.43116511374508, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8835208471211119,0.8769128409846972,0.8748361730013107,0.8900592495062541,0.9313244569025928,0.9600580973129992,0.942652329749104,0.9369688385269122,0.9461979913916786,0.90891597177678,0.915144679627344,0.03038233822463116,17,0.7848324514991182,0.7748383303938859,0.7848324514991182,0.7948265726043504,0.7808460634547592,0.7767332549941246,0.77262044653349,0.7773207990599295,0.7754262198706643,0.8330393885949442,0.7855315978504385,0.017012669091150602,17,0.8312577833125778,0.8227215980024968,0.8273938642702201,0.8397515527950311,0.8494726749760307,0.8587203637544658,0.8492089118501777,0.8497109826589596,0.8523424878836833,0.8693251533742331,0.8449905372877875,0.013843712463026776,17,0.9316034460961996,0.9307392278406772,0.930931621752878,0.9294938485759742,0.94788370150689,0.9567058431792732,0.9416229549079792,0.9458126173102016,0.951023898865038,0.9428440786465476,0.9408661238681659,0.00921222336147152,17,7.1296751499176025,1,100,0.06667656364966551,18,13,0.06252283404770607,0.04488637415018759,64.43116511374508,gpu_hist,0,0.5
