params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 1000, 'learning_rate': 0.08435378708996125, 'max_depth': 47, 'min_child_weight': 13, 'reg_alpha': 0.09979449424814738, 'reg_lambda': 0.023924978859848307, 'gamma': 58.432245606560535, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8892572944297082,0.8808426596445029,0.8753246753246753,0.8891855807743658,0.9302967563837128,0.95908111988514,0.9471428571428572,0.9431414356787492,0.949402670414617,0.9050350541746336,0.9168710103852963,0.03052868004055802,17,0.7883597883597884,0.7865961199294532,0.7924750146972369,0.783068783068783,0.7920094007050529,0.7849588719153937,0.7790834312573442,0.7796709753231492,0.7942386831275721,0.8348030570252792,0.7915264125409054,0.015250364087855513,16,0.8357743845434714,0.831055900621118,0.8318420240666461,0.8327602375742419,0.855601396382101,0.8633279483037157,0.8549323017408123,0.8536506915406883,0.8649167733674776,0.8685015290519879,0.8492363187192261,0.014120262552313335,16,0.9352055644326176,0.9368738994342858,0.9359806666569952,0.9342154438772796,0.9502266241396676,0.9593169774329194,0.9496933095966912,0.9512207169212,0.9535596690538228,0.9434779347902348,0.9449770806335713,0.008533561880835013,16,23.07828640937805,1,1000,0.08435378708996125,47,13,0.09979449424814738,0.023924978859848307,58.432245606560535,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.08195229726963162, 'max_depth': 7, 'min_child_weight': 9, 'reg_alpha': 0.06827470542239797, 'reg_lambda': 0.04722031923527469, 'gamma': 93.34554139699921, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8789144050104384,0.865152590489709,0.8697158697158697,0.8840477863668307,0.9257352941176472,0.9554380664652568,0.9398496240601504,0.938977879481312,0.9493192133131618,0.91123439667129,0.9118385125691667,0.032909862971035174,20,0.7425044091710759,0.7166372721928278,0.737801293356849,0.739564961787184,0.7397179788484136,0.7432432432432432,0.7344300822561692,0.7232667450058754,0.737801293356849,0.7724867724867724,0.738745405170526,0.013868025345095729,19,0.8049713193116635,0.7839228295819936,0.7983460559796439,0.8053777208706785,0.822338340953625,0.8360872438863186,0.8245382585751979,0.8171257882509128,0.8303010254713861,0.8361438116449251,0.8159152394526344,0.016441207493421626,19,0.917944514562872,0.9197428967960368,0.9192334156102272,0.9205411415556344,0.9401395874825826,0.9457219469296764,0.9325716330547248,0.936285146430074,0.9426189111015032,0.9347178286037782,0.9309517022127111,0.01012164464230895,19,14.572529315948486,1,500,0.08195229726963162,7,9,0.06827470542239797,0.04722031923527469,93.34554139699921,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.15943193434758215, 'max_depth': 8, 'min_child_weight': 7, 'reg_alpha': 0.002155789695788202, 'reg_lambda': 0.08493271172973886, 'gamma': 55.08103856784162, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8992661774516344,0.8866666666666667,0.885676741130092,0.8914626075446724,0.9337931034482758,0.9598853868194842,0.946647440519106,0.9386206896551724,0.9437890353920888,0.9155759162303664,0.9201383764857558,0.02637552003596379,13,0.7924750146972369,0.7818930041152263,0.7924750146972369,0.7918871252204586,0.7955346650998825,0.7873090481786134,0.7714453584018801,0.799647473560517,0.7995296884185773,0.8224573780129336,0.7934653770402563,0.012573647833080195,15,0.8424999999999999,0.830990315526398,0.8364877443375738,0.8387297633872978,0.8591370558375634,0.8650742414460943,0.8501133052767885,0.8635786802030456,0.8656906429026098,0.8665221430783525,0.8518823891995723,0.01306167265126218,15,0.9379489910890876,0.9393017931665276,0.937840359337944,0.9353475283426974,0.9542503165691572,0.9619854499081552,0.9486482686965778,0.9545342443893168,0.9577450550407632,0.9466204304208092,0.9474222436961037,0.00900717533170608,14,12.368213176727297,1,500,0.15943193434758215,8,7,0.002155789695788202,0.08493271172973886,55.08103856784162,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.19654964191179258, 'max_depth': 40, 'min_child_weight': 14, 'reg_alpha': 0.029257090785130113, 'reg_lambda': 0.006837494507096397, 'gamma': 31.88158571561726, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.900064892926671,0.9036697247706422,0.9032258064516128,0.9096191091026468,0.9459824442943956,0.9586776859504132,0.949255751014885,0.9428959891230456,0.9487179487179488,0.9174135723431498,0.9279522924695411,0.021916704968700393,10,0.8154027042915932,0.8106995884773662,0.823045267489712,0.8283362727807172,0.8231492361927144,0.81786133960047,0.8243243243243243,0.8149236192714454,0.8265726043503822,0.842445620223398,0.8226760577002123,0.008489717347211982,10,0.8556446637877854,0.8546637744034707,0.8612734543217473,0.8670769230769232,0.880301602262017,0.8826886493341788,0.8823899371069182,0.8742514970059881,0.8834432924913604,0.8783328225559301,0.8720066616346319,0.010837777477324069,10,0.9474099703568302,0.9482263491925328,0.9504511412723972,0.9457913745353358,0.9624258488992788,0.9700376705207624,0.96278593983908,0.9634696808609852,0.9647444305161988,0.9560982041549028,0.9571440610148304,0.00820245643478955,10,11.758333206176758,1,500,0.19654964191179258,40,14,0.029257090785130113,0.006837494507096397,31.88158571561726,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.06789537632409558, 'max_depth': 8, 'min_child_weight': 14, 'reg_alpha': 0.023693756631482654, 'reg_lambda': 0.08925149587330883, 'gamma': 57.25928665157401, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8871829105473965,0.8779186124082722,0.8785292186474064,0.8895582329317269,0.9336626676076216,0.9600290697674418,0.9435600578871202,0.9424715909090908,0.9520057306590258,0.9151193633952256,0.9180037454760328,0.030580569248615148,15,0.781305114638448,0.7736625514403292,0.7865961199294532,0.781305114638448,0.7773207990599295,0.7761457109283196,0.7661574618096357,0.7796709753231492,0.781305114638448,0.8112874779541446,0.7814756440360304,0.011223505830461599,18,0.8308846514535793,0.8225,0.8300248138957816,0.831924882629108,0.848348829753126,0.8583495776478232,0.8456549935149158,0.8533762057877814,0.8582499192767195,0.8600810221252726,0.8439394896084108,0.01323810578585886,18,0.9329940706752302,0.9344017930974452,0.933553809157674,0.9320597339921012,0.949483645135819,0.9584608763352724,0.9440441131262388,0.9477246397536252,0.9527217278213423,0.9419318303961324,0.9427376239490881,0.008845456663634507,17,13.65783715248108,1,500,0.06789537632409558,8,14,0.023693756631482654,0.08925149587330883,57.25928665157401,gpu_hist,0,0.5
"{'n_estimators': 1000, 'learning_rate': 0.19954147799222108, 'max_depth': 18, 'min_child_weight': 24, 'reg_alpha': 0.09865375644887889, 'reg_lambda': 0.004318504950080161, 'gamma': 25.54421889950406, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8987096774193548,0.8995433789954338,0.8978940650925336,0.8937381404174574,0.9425837320574164,0.9570637119113572,0.9349760438056126,0.9392523364485982,0.9413769597818678,0.9147582697201018,0.9219896315649733,0.022301683018698476,12,0.8189300411522634,0.8106995884773662,0.8271604938271605,0.8306878306878307,0.8102232667450059,0.8119858989424207,0.8025851938895417,0.8266745005875441,0.811875367430923,0.8453850676072898,0.8196207249347346,0.012123334681526246,12,0.8569670870501384,0.8528138528138528,0.8610771113831089,0.8610603290676417,0.8714060031595576,0.8785759694850603,0.8637369585836232,0.879375,0.8718434343434344,0.8787045523984113,0.8675560298284829,0.009202359065098966,12,0.9477850866739757,0.948152258538732,0.9501599598217956,0.9434821294724676,0.9619346744950612,0.97000572000572,0.9599071120810252,0.9629116694334088,0.9639913375297792,0.955191485729078,0.9563521433781043,0.008231448071203427,11,24.71654438972473,1,1000,0.19954147799222108,18,24,0.09865375644887889,0.004318504950080161,25.54421889950406,gpu_hist,0,0.5
"{'n_estimators': 1000, 'learning_rate': 0.2008777154110334, 'max_depth': 45, 'min_child_weight': 7, 'reg_alpha': 0.07620094094921573, 'reg_lambda': 0.0678933313224115, 'gamma': 40.919951183379645, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8965960179833012,0.8919973975276513,0.8987096774193548,0.8969270166453265,0.9394356503785272,0.9592822636300896,0.9545767377838954,0.9423459244532804,0.9522207267833108,0.9127979924717692,0.9244889405076508,0.026118580878356865,11,0.8206937095825985,0.8059964726631393,0.8189300411522634,0.8236331569664903,0.8019976498237368,0.8166862514688602,0.8149236192714454,0.8354876615746181,0.8318636096413874,0.855379188712522,0.8225591360857061,0.014623843367985076,11,0.8569674647022714,0.8468190240889437,0.8569670870501384,0.8587189702727551,0.8652931854199682,0.8822596001269438,0.8792393026941364,0.8857053877296792,0.8879824286162535,0.8831562974203339,0.8703108748121424,0.014157289140865406,11,0.9461200330765548,0.9462611334592012,0.948710615377282,0.9459050147455944,0.959351863941236,0.9685207982309432,0.9611685529559928,0.9615607671163228,0.9640148392842884,0.9539407085295126,0.955555432671693,0.007997790339795651,12,23.73828411102295,1,1000,0.2008777154110334,45,7,0.07620094094921573,0.0678933313224115,40.919951183379645,gpu_hist,0,0.5
"{'n_estimators': 100, 'learning_rate': 0.10575731355412167, 'max_depth': 17, 'min_child_weight': 2, 'reg_alpha': 0.0534882499995424, 'reg_lambda': 0.024875981240124873, 'gamma': 6.654247388323753, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.9452380952380952,0.948130277442702,0.9464822609741432,0.940440738534842,0.96212583995113,0.97347316471314,0.9656019656019657,0.9612356147789218,0.9709517923362176,0.9348209042865532,0.9548500653857712,0.012774046342515364,7,0.9335684891240448,0.9241622574955908,0.9253380364491476,0.9282774838330394,0.9253819036427732,0.927144535840188,0.9236192714453584,0.9324324324324323,0.9235743680188124,0.9359200470311582,0.9279418825312545,0.004261484017186157,8,0.9393670511682932,0.935992855016374,0.9357907253269916,0.9343195266272188,0.9433962264150944,0.9497442070418296,0.9441441441441442,0.9466149716671636,0.946670683940946,0.9353701527614572,0.9411410544109513,0.005355116896401383,7,0.9819306884524276,0.9813196564404296,0.984407112426436,0.9824083918286816,0.9885898666091902,0.9915514202953816,0.98751995611899,0.9899773824894598,0.991048769251134,0.985198042027358,0.9863951285939487,0.003662366834290696,8,7.794523239135742,1,100,0.10575731355412167,17,2,0.0534882499995424,0.024875981240124873,6.654247388323753,gpu_hist,0,0.5
"{'n_estimators': 100, 'learning_rate': 0.0993604812766754, 'max_depth': 9, 'min_child_weight': 7, 'reg_alpha': 0.04243653576081416, 'reg_lambda': 0.09324980850439772, 'gamma': 67.68628842773937, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8874748827863362,0.876,0.8810775295663601,0.8863945578231293,0.9289198606271776,0.9589337175792508,0.93988684582744,0.9439318665720368,0.9506790564689064,0.9144562334217506,0.9167754550672388,0.030116021989168684,18,0.7789535567313345,0.7724867724867724,0.7883597883597884,0.7660199882422105,0.7831962397179788,0.782021151586369,0.7808460634547592,0.781433607520564,0.7818930041152263,0.8106995884773662,0.782590976069237,0.011040195218641382,17,0.8296806512210394,0.8209934395501406,0.8321439652497673,0.8218227688426363,0.849856550844756,0.8614886731391586,0.8530166880616175,0.8550305368048859,0.8580645161290322,0.8594577750077906,0.8441555564850824,0.015317892938316266,17,0.9312953395079,0.9311188345004768,0.932573360109592,0.9299727608906352,0.9470490158895956,0.9568295003077611,0.9415424741511698,0.9466500662152836,0.9517564278162618,0.9437129523353311,0.9412500731724005,0.009089789945901188,18,5.031395196914673,1,100,0.0993604812766754,9,7,0.04243653576081416,0.09324980850439772,67.68628842773937,gpu_hist,0,0.5
"{'n_estimators': 500, 'learning_rate': 0.22911669279881952, 'max_depth': 42, 'min_child_weight': 16, 'reg_alpha': 0.0658499147430818, 'reg_lambda': 0.06412564884817597, 'gamma': 54.59337444923236, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.5}",0.8900455432661027,0.8801302931596091,0.8863337713534822,0.8938694792353329,0.934119278779473,0.9557142857142856,0.9452529452529452,0.9396847155586018,0.944672131147541,0.9065479974570884,0.9176370440924464,0.02745356151384532,16,0.8042328042328042,0.7942386831275721,0.7930629041740153,0.7971781305114638,0.7914218566392479,0.7861339600470035,0.8014101057579318,0.8055229142185664,0.8130511463844797,0.8383303938859494,0.8024582898979034,0.014087788549224848,13,0.8449660284126004,0.8349814585908529,0.8371082842072602,0.8427594779366064,0.8568702290076335,0.8626692456479692,0.8674085850556439,0.8674470104397342,0.8739336492890994,0.8711056811240072,0.8559249649711408,0.013971052342509525,13,0.9358331761713404,0.9382940566515444,0.9401668749494836,0.9344781289225734,0.9519410715062888,0.9615989350288868,0.9502870710600178,0.9506861934398166,0.956996627843842,0.9473667839335096,0.9467648919507303,0.008748888774202353,15,13.40662145614624,1,500,0.22911669279881952,42,16,0.0658499147430818,0.06412564884817597,54.59337444923236,gpu_hist,0,0.5
