location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
US,0,1,0,Other,Internship,,,Marketing,0
NZ,0,1,0,Full-time,Not Applicable,,Marketing and Advertising,Customer Service,0
US,0,1,0,,,,,,0
US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0
US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0
US,0,0,0,,,,,,0
DE,0,1,1,Full-time,Mid-Senior level,Master's Degree,Online Media,Management,0
US,0,1,1,,,,,,0
US,0,1,1,Full-time,Associate,,Information Technology and Services,,0
US,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0
US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
GB,0,1,0,,,,,,0
US,0,1,0,Full-time,Associate,Bachelor's Degree,Management Consulting,Information Technology,0
US,0,1,1,Full-time,Not Applicable,Unspecified,Events Services,Other,0
AU,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Sales,0
SG,0,1,1,Full-time,Executive,Bachelor's Degree,Facilities Services,Sales,0
IL,0,1,0,Full-time,Mid-Senior level,,Internet,Engineering,0
GB,0,1,1,,,,,,0
US,0,1,0,,,,,,0
US,0,0,0,Full-time,,,,,0
US,0,1,0,,,,,Marketing,0
NZ,0,1,0,Full-time,Mid-Senior level,Master's Degree,Consumer Electronics,Engineering,0
AE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Sales,0
US,0,1,0,Full-time,Executive,Unspecified,Internet,Sales,0
GB,0,0,0,,,,,,0
US,0,1,1,,,,,,0
SG,0,1,0,Full-time,Associate,,Online Media,Marketing,0
AE,0,1,0,Full-time,Associate,Master's Degree,Hospital & Health Care,Health Care Provider,0
US,0,0,0,Full-time,,,Management Consulting,,0
CA,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Administrative,0
US,0,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0
US,0,1,0,Full-time,Associate,Unspecified,Computer Software,Engineering,0
US,0,1,1,Full-time,Entry level,Unspecified,Construction,Other,0
US,0,1,1,Full-time,,Bachelor's Degree,Oil & Energy,Engineering,0
GB,0,1,1,Full-time,,,Marketing and Advertising,,0
US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0
US,0,1,0,Contract,,Bachelor's Degree,Education Management,,0
