params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_penalty,param_C,param_solver,param_max_iter
"{'penalty': 'l2', 'C': 69.85137092016271, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.8073248407643312,0.8413677130044843,0.829763866007688,0.821409066084107,0.8481792717086835,0.863021420518602,0.8096514745308311,0.8344444444444444,0.8430393788130893,0.8008342022940563,0.8299035678170318,0.0189539956796308,3,0.8941798941798942,0.8824221046443269,0.8883009994121105,0.884185773074662,0.8895417156286721,0.899529964747356,0.8871915393654524,0.882491186839013,0.8935920047031158,0.9029982363315696,0.8904433418926173,0.006684152565343914,10,0.8485355648535565,0.8614060258249642,0.8580352072685973,0.8516421291053228,0.8683682248351018,0.8808975834292289,0.8466498458088028,0.857795545402627,0.8675799086757991,0.8488532743851893,0.8589763309589191,0.01033524329514603,10,0.9189753936130748,0.9281840501647264,0.928129820641898,0.9175965130071412,0.9342142349388728,0.951193947570759,0.9250162861273972,0.9302273287780536,0.934032475968592,0.9266472224209504,0.9294217273231465,0.008934058088783909,4,8.83797025680542,1,l2,69.85137092016271,newton-cholesky,100000
"{'penalty': 'l2', 'C': 11.357105676706214, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.8064687168610817,0.8404494382022472,0.829214717188358,0.8204148471615721,0.8491306786315199,0.8635081782289904,0.8096514745308311,0.8358375069560379,0.8425720620842572,0.8012519561815337,0.829849957602643,0.01917447615849028,8,0.8941798941798942,0.8794826572604351,0.8877131099353321,0.8835978835978836,0.8895417156286721,0.899529964747356,0.8871915393654524,0.882491186839013,0.8935920047031158,0.9029982363315696,0.8900318192588724,0.007151569575905527,19,0.8480624477279064,0.8595231255386383,0.8574673480976718,0.8508349844324937,0.8688665710186514,0.8811510791366907,0.8466498458088028,0.8585310088596741,0.8673323823109843,0.8490878938640133,0.8587506686795526,0.010472548805717116,19,0.9186586517504391,0.9283463933222388,0.927755740557673,0.9175605902659044,0.9340840150018896,0.9510443846192638,0.9247858970081192,0.930041497674348,0.933694811054534,0.9264046013670416,0.9292376582621451,0.008936649123422333,19,7.712054252624512,1,l2,11.357105676706214,newton-cholesky,100000
"{'penalty': 'l2', 'C': 7.349265190623918, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.8064687168610817,0.8400900900900901,0.8283049917718047,0.8204148471615721,0.8491306786315199,0.8635081782289904,0.8092175777063236,0.8358375069560379,0.8425720620842572,0.8016701461377871,0.8297214795629465,0.019143948071306253,20,0.8941798941798942,0.8771310993533216,0.8877131099353321,0.8835978835978836,0.8895417156286721,0.899529964747356,0.8871915393654524,0.882491186839013,0.8935920047031158,0.9029982363315696,0.8897966634681611,0.007523564625517122,20,0.8480624477279064,0.8582111015243026,0.8569807037457434,0.8508349844324937,0.8688665710186514,0.8811510791366907,0.8464125560538117,0.8585310088596741,0.8673323823109843,0.8493226430743711,0.8585705477884629,0.010482920468488031,20,0.9186227290092024,0.9282963087310911,0.9276873491849336,0.9177581653427064,0.9339700293806574,0.951001208247585,0.924662930701578,0.9298117993770167,0.9335797215802442,0.926181680313237,0.929157192186825,0.008906054456054116,20,7.680130243301392,1,l2,7.349265190623918,newton-cholesky,100000
"{'penalty': None, 'C': 31.54189567452211, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.805614406779661,0.8413677130044843,0.8302197802197803,0.8210583742498636,0.8482642777155656,0.8633540372670807,0.8096514745308311,0.8344444444444444,0.8433001107419712,0.8009355509355509,0.8298210169889233,0.01924860785542962,10,0.8941798941798942,0.8824221046443269,0.8883009994121105,0.8847736625514403,0.8901292596944771,0.8983548766157462,0.8871915393654524,0.882491186839013,0.8953556731334509,0.9059376837154616,0.8909136880151373,0.0071661171919826135,1,0.8475898578991362,0.8614060258249642,0.8582788980403294,0.8517260894170912,0.8686926605504588,0.8805067664843075,0.8466498458088028,0.857795545402627,0.868548617051611,0.8502068965517242,0.8591401203031053,0.01033525121936616,1,0.9189059660074154,0.9281629800953471,0.9282724753739248,0.917230377375305,0.9342418678167472,0.9511024136628,0.925067406951465,0.9302691235058388,0.9340836268460542,0.9263403171561772,0.9293676554791073,0.008979302495674293,11,9.840214729309082,1,,31.54189567452211,newton-cholesky,100000
"{'penalty': 'l2', 'C': 53.99789545449103, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.8073248407643312,0.8413677130044843,0.8296703296703297,0.821409066084107,0.8481792717086835,0.863021420518602,0.8092175777063236,0.8344444444444444,0.8430393788130893,0.8008342022940563,0.8298508245008451,0.019000814433822278,6,0.8941798941798942,0.8824221046443269,0.8877131099353321,0.884185773074662,0.8895417156286721,0.899529964747356,0.8871915393654524,0.882491186839013,0.8935920047031158,0.9029982363315696,0.8903845529449395,0.006705288427808623,13,0.8485355648535565,0.8614060258249642,0.8577108775915934,0.8516421291053228,0.8683682248351018,0.8808975834292289,0.8464125560538117,0.857795545402627,0.8675799086757991,0.8488532743851893,0.8589201690157197,0.010367077023898916,13,0.9189436158035192,0.9282141009194148,0.9281118592712796,0.9175830419791772,0.9341966189792278,0.9511977470914668,0.925012141195716,0.9301879519270824,0.9340107022842667,0.9265877768066024,0.9294045556257753,0.008939981000114866,7,8.975025653839111,1,l2,53.99789545449103,newton-cholesky,100000
"{'penalty': None, 'C': 60.621428010697855, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.805614406779661,0.8413677130044843,0.8302197802197803,0.8210583742498636,0.8482642777155656,0.8633540372670807,0.8096514745308311,0.8344444444444444,0.8433001107419712,0.8009355509355509,0.8298210169889233,0.01924860785542962,10,0.8941798941798942,0.8824221046443269,0.8883009994121105,0.8847736625514403,0.8901292596944771,0.8983548766157462,0.8871915393654524,0.882491186839013,0.8953556731334509,0.9059376837154616,0.8909136880151373,0.0071661171919826135,1,0.8475898578991362,0.8614060258249642,0.8582788980403294,0.8517260894170912,0.8686926605504588,0.8805067664843075,0.8466498458088028,0.857795545402627,0.868548617051611,0.8502068965517242,0.8591401203031053,0.01033525121936616,1,0.9189059660074154,0.9281629800953471,0.9282724753739248,0.917230377375305,0.9342418678167472,0.9511024136628,0.925067406951465,0.9302691235058388,0.9340836268460542,0.9263403171561772,0.9293676554791073,0.008979302495674293,11,9.748562812805176,1,,60.621428010697855,newton-cholesky,100000
"{'penalty': None, 'C': 99.62717878662463, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.805614406779661,0.8413677130044843,0.8302197802197803,0.8210583742498636,0.8482642777155656,0.8633540372670807,0.8096514745308311,0.8344444444444444,0.8433001107419712,0.8009355509355509,0.8298210169889233,0.01924860785542962,10,0.8941798941798942,0.8824221046443269,0.8883009994121105,0.8847736625514403,0.8901292596944771,0.8983548766157462,0.8871915393654524,0.882491186839013,0.8953556731334509,0.9059376837154616,0.8909136880151373,0.0071661171919826135,1,0.8475898578991362,0.8614060258249642,0.8582788980403294,0.8517260894170912,0.8686926605504588,0.8805067664843075,0.8466498458088028,0.857795545402627,0.868548617051611,0.8502068965517242,0.8591401203031053,0.01033525121936616,1,0.9189059660074154,0.9281629800953471,0.9282724753739248,0.917230377375305,0.9342418678167472,0.9511024136628,0.925067406951465,0.9302691235058388,0.9340836268460542,0.9263403171561772,0.9293676554791073,0.008979302495674293,11,9.86344838142395,1,,99.62717878662463,newton-cholesky,100000
"{'penalty': None, 'C': 75.27873468761513, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.805614406779661,0.8413677130044843,0.8302197802197803,0.8210583742498636,0.8482642777155656,0.8633540372670807,0.8096514745308311,0.8344444444444444,0.8433001107419712,0.8009355509355509,0.8298210169889233,0.01924860785542962,10,0.8941798941798942,0.8824221046443269,0.8883009994121105,0.8847736625514403,0.8901292596944771,0.8983548766157462,0.8871915393654524,0.882491186839013,0.8953556731334509,0.9059376837154616,0.8909136880151373,0.0071661171919826135,1,0.8475898578991362,0.8614060258249642,0.8582788980403294,0.8517260894170912,0.8686926605504588,0.8805067664843075,0.8466498458088028,0.857795545402627,0.868548617051611,0.8502068965517242,0.8591401203031053,0.01033525121936616,1,0.9189059660074154,0.9281629800953471,0.9282724753739248,0.917230377375305,0.9342418678167472,0.9511024136628,0.925067406951465,0.9302691235058388,0.9340836268460542,0.9263403171561772,0.9293676554791073,0.008979302495674293,11,9.877921104431152,1,,75.27873468761513,newton-cholesky,100000
"{'penalty': 'l2', 'C': 42.52633535966108, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.8073248407643312,0.8408963585434174,0.8296703296703297,0.821409066084107,0.8481792717086835,0.863021420518602,0.8092175777063236,0.8344444444444444,0.8430393788130893,0.8008342022940563,0.8298036890547384,0.018972749867805297,17,0.8941798941798942,0.8824221046443269,0.8877131099353321,0.884185773074662,0.8895417156286721,0.899529964747356,0.8871915393654524,0.882491186839013,0.8935920047031158,0.9029982363315696,0.8903845529449395,0.006705288427808623,13,0.8485355648535565,0.8611589213998853,0.8577108775915934,0.8516421291053228,0.8683682248351018,0.8808975834292289,0.8464125560538117,0.857795545402627,0.8675799086757991,0.8488532743851893,0.8588954585732115,0.010361415358416913,15,0.9188852413490096,0.9282172096181758,0.9280403591997796,0.9175447013611264,0.9341724402110876,0.9512146722291648,0.9249858899617356,0.9301841524063746,0.934014158424636,0.9265597820696128,0.9293818606830702,0.008958042472943456,8,8.970553874969482,1,l2,42.52633535966108,newton-cholesky,100000
"{'penalty': 'l2', 'C': 32.93965165961932, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.8073248407643312,0.8407178911946158,0.829214717188358,0.821409066084107,0.8481792717086835,0.8635081782289904,0.8092175777063236,0.8349082823790995,0.8430393788130893,0.8008342022940563,0.8298353406361654,0.019060795160873924,9,0.8941798941798942,0.8812463256907701,0.8877131099353321,0.884185773074662,0.8895417156286721,0.899529964747356,0.8871915393654524,0.882491186839013,0.8935920047031158,0.9029982363315696,0.8902669750495837,0.0068525710342556495,18,0.8485355648535565,0.8605051664753157,0.8574673480976718,0.8516421291053228,0.8683682248351018,0.8811510791366907,0.8464125560538117,0.8580405598400457,0.8675799086757991,0.8488532743851893,0.8588555811458505,0.010403930673268974,18,0.9188507002516664,0.92823275311198,0.9279795668684558,0.9175070515650228,0.934151024730735,0.9511749499672204,0.9249378778364286,0.9301979688453118,0.9339529847401034,0.9265787908416429,0.9293563668758565,0.008955712514631755,18,9.041216135025024,1,l2,32.93965165961932,newton-cholesky,100000
