params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 100, 'max_depth': 44, 'min_samples_split': 16, 'min_samples_leaf': 9, 'criterion': 'entropy'}",0.8880090497737556,0.8993055555555556,0.8944099378881988,0.8858603066439523,0.9239386792452832,0.950242718446602,0.9251781472684084,0.9262536873156342,0.9403614457831324,0.8605534454693434,0.9094112973389865,0.02663716008792606,8,0.922986478542034,0.9135802469135802,0.9312169312169312,0.9171075837742504,0.9206815511163338,0.9200940070505288,0.9153936545240892,0.9224441833137486,0.9176954732510288,0.932392710170488,0.9213592819873014,0.00593630638513351,7,0.9051599884692996,0.9063867016622924,0.912442396313364,0.901213171577123,0.922307239552678,0.9349253731343284,0.9202598936798582,0.9243450103032088,0.9288902112466528,0.8950338600451467,0.915096384598395,0.01234721210045692,7,0.9682356614723764,0.9713695752343096,0.9731285806165034,0.9675560653821524,0.9784099144002526,0.9845266246232428,0.9759087935416438,0.9782170023715916,0.9822947113103232,0.9743412682860066,0.9753988197238403,0.005324151618234319,7,19.239872455596924,1,100,44,16,9,entropy
"{'n_estimators': 500, 'max_depth': 49, 'min_samples_split': 16, 'min_samples_leaf': 13, 'criterion': 'entropy'}",0.880897583429229,0.8939660222612771,0.8914819136522754,0.8880553952683208,0.9248940036341612,0.9489732420659616,0.9097922848664688,0.9165207238762404,0.9386879215205396,0.8427267847557702,0.9035995875330244,0.02941234732390502,10,0.9000587889476779,0.897119341563786,0.8982951205173427,0.9047619047619048,0.8971797884841363,0.8960047003525264,0.900705052878966,0.9224441833137486,0.9000587889476779,0.922986478542034,0.9039614148309802,0.009661739252855085,11,0.8903751090433265,0.8955399061032864,0.8948755490483161,0.8963308095515434,0.9108261258574412,0.9217286189181022,0.9052258635961028,0.9194729136163984,0.918967587034814,0.8810325476992144,0.9034375030468546,0.013226734852332781,10,0.962676789971476,0.9656960272902302,0.9680304873541588,0.9622985649555698,0.973596267074528,0.9806602668921508,0.9711374590601642,0.974183638434846,0.9787580428706564,0.969162933171033,0.9706200477074814,0.0059521016705798915,10,96.71075344085692,1,500,49,16,13,entropy
"{'n_estimators': 1000, 'max_depth': 47, 'min_samples_split': 30, 'min_samples_leaf': 29, 'criterion': 'entropy'}",0.8544733861834655,0.8701895462377943,0.8747099767981439,0.8690132717830352,0.908653846153846,0.9023952095808384,0.8736102984201287,0.8793302540415704,0.897910447761194,0.8133895624670533,0.874367579942707,0.02588610377436932,18,0.8871252204585538,0.890652557319224,0.8865373309817755,0.8853615520282186,0.8883666274970623,0.8854289071680376,0.8772032902467685,0.8948296122209166,0.884185773074662,0.9071134626690184,0.8886804333664238,0.00749734935271705,19,0.8704932218055956,0.8803021499128414,0.8805839416058394,0.8771112405358183,0.8983957219251336,0.8938315539739027,0.8754031075930812,0.8870122306348281,0.8909952606635071,0.8576987215119511,0.8811827150162499,0.011416776888283072,19,0.9460267721137288,0.9511369547601431,0.952741388731727,0.9484576018392444,0.9617949557563086,0.9677892177892178,0.9551637558883936,0.9602392247319784,0.9647763998146126,0.955256288360998,0.9563382559786351,0.006769729901319319,19,179.25100302696228,1,1000,47,30,29,entropy
"{'n_estimators': 100, 'max_depth': 25, 'min_samples_split': 27, 'min_samples_leaf': 6, 'criterion': 'entropy'}",0.896551724137931,0.905037637521714,0.8953421506612996,0.8904653802497162,0.9327272727272728,0.95551492992078,0.9297105729474306,0.9341787439613528,0.9399167162403332,0.9026301063234472,0.9182075234691279,0.021538064040846152,6,0.932392710170488,0.9188712522045857,0.9153439153439152,0.9223985890652556,0.9042303172737955,0.9212690951821386,0.9247943595769684,0.9089306698002352,0.9288653733098178,0.9482657260435038,0.9225362007970703,0.01179541482667467,6,0.914121037463977,0.911901983663944,0.9052325581395348,0.9061507363557608,0.9182577565632458,0.9380795692491772,0.9272459499263624,0.9213817748659916,0.9343583678296866,0.9248853211009176,0.9201615055158598,0.010602391658905645,6,0.971492368835364,0.9729503485542134,0.974396584299966,0.9695214538209704,0.9799126248401612,0.9861041165388992,0.9795711860929252,0.9790770756954332,0.983799514827015,0.9791183455041316,0.9775943619009079,0.0050884358675790265,6,20.107014894485477,1,100,25,27,6,entropy
"{'n_estimators': 500, 'max_depth': 49, 'min_samples_split': 5, 'min_samples_leaf': 24, 'criterion': 'entropy'}",0.8619318181818182,0.8746372605919908,0.8747836122331217,0.873476494486361,0.9108970499698976,0.9236408063530848,0.8748544819557625,0.8781464530892449,0.8997627520759194,0.8529574350469873,0.8825088163984189,0.02091164688258713,16,0.8918283362727807,0.8859494415049971,0.8912404467960023,0.8847736625514403,0.8889541715628673,0.8883666274970623,0.8830787309048178,0.9018801410105758,0.8918283362727807,0.9071134626690184,0.8915013357042343,0.007176906417686231,17,0.8766252528171048,0.8802570093457944,0.8829353523587653,0.8790887850467289,0.8997918525126376,0.9056603773584904,0.8789473684210527,0.889855072463768,0.8957779746087984,0.8792022792022792,0.8868141324135419,0.009770165263785806,16,0.9496570414444808,0.9543964254109182,0.9554549373389954,0.9520813083615016,0.9645057410757896,0.9706404126693982,0.9587240794970264,0.963247927016043,0.9678710279010756,0.9587979682041998,0.9595376868919429,0.006547502010095758,16,92.34560990333556,1,500,49,5,24,entropy
"{'n_estimators': 500, 'max_depth': 17, 'min_samples_split': 23, 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.8461968680089486,0.8745664739884393,0.8750722961249277,0.8652321630804077,0.909692956050572,0.9059316956261234,0.8634285714285714,0.8767201834862385,0.8930450029222676,0.8158730158730159,0.8725759226589513,0.026429742865229585,19,0.8894767783656673,0.8894767783656673,0.8894767783656673,0.8982951205173427,0.8877790834312573,0.8883666274970623,0.8877790834312573,0.8983548766157462,0.8982951205173427,0.9065255731922398,0.8933825820299252,0.006159968333352587,15,0.8672972198337633,0.8819586126493735,0.8822157434402332,0.881453706374387,0.8986024382991377,0.8970631859982201,0.8754345307068366,0.8874056877539176,0.8956623681125438,0.8588137009189639,0.8825907194087377,0.012296995933284491,18,0.9487183871241842,0.9538149260371482,0.9545357987386972,0.9515224334064912,0.9635430806928392,0.9701026077837672,0.9578277380209748,0.9616875329435716,0.9666548121052008,0.9570406936335476,0.9585448010486421,0.006490817610999438,17,90.24072265625,1,500,17,23,20,entropy
"{'n_estimators': 500, 'max_depth': 46, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9254237288135592,0.9391154508902928,0.924803591470258,0.9216901408450704,0.9436374201045904,0.965150620200827,0.946551724137931,0.940774487471526,0.950517836593786,0.9293325855300056,0.9386997586057847,0.012947021534263636,1,0.9629629629629628,0.961199294532628,0.9688418577307466,0.9617871840094062,0.954171562867215,0.9600470035252644,0.9676850763807284,0.9706227967097532,0.97119341563786,0.974132863021752,0.9652644017378318,0.0058767179924456995,1,0.9438202247191012,0.9500290528762348,0.9463106517370083,0.9413118527042575,0.948875255623722,0.9625920471281296,0.957001743172574,0.9554655870445344,0.9607444024425704,0.9512055109070032,0.9517356328355137,0.006728882801869463,1,0.986871101605401,0.9880366909352416,0.9899476771457448,0.9873864547777592,0.9904079372678406,0.9941641088984084,0.9913315662107932,0.991140208531513,0.9936961727738396,0.9913707087265126,0.9904352626873054,0.002338873730581193,1,107.79474639892578,1,500,46,10,2,entropy
"{'n_estimators': 1000, 'max_depth': 33, 'min_samples_split': 25, 'min_samples_leaf': 26, 'criterion': 'entropy'}",0.8600799543118218,0.8698906160046056,0.8767441860465116,0.8710601719197708,0.9103489771359808,0.920219244823386,0.8752186588921282,0.873006833712984,0.904019196160768,0.8206896551724138,0.8781277494180371,0.026943511177685602,17,0.8853615520282186,0.8883009994121105,0.8865373309817755,0.8935920047031158,0.8889541715628673,0.8877790834312573,0.881903642773208,0.900705052878966,0.8859494415049971,0.9094650205761317,0.8908548299852648,0.007895925969926876,18,0.8725376593279258,0.8789994182664339,0.8816135632855892,0.8821822402785838,0.8995243757431629,0.9037081339712918,0.8785484342990929,0.8866396761133603,0.8948931116389549,0.8627997769102064,0.8841446389834602,0.011829601782198263,17,0.9479997595939624,0.9527745481851764,0.9544995305864872,0.9504340434292124,0.9633627761647086,0.969608670091762,0.9571395066564148,0.9614692332083636,0.9669057278959948,0.956806021702488,0.958099981751457,0.006736032713402312,18,181.79315161705017,1,1000,33,25,26,entropy
"{'n_estimators': 500, 'max_depth': 44, 'min_samples_split': 12, 'min_samples_leaf': 11, 'criterion': 'entropy'}",0.8900911161731208,0.897852582704585,0.8986254295532646,0.8886976477337923,0.9258142340168878,0.9528828270303782,0.9150442477876106,0.9239386792452832,0.9396863691194208,0.883352208380521,0.9115985341744863,0.022364446624555827,7,0.9188712522045857,0.9094650205761317,0.9223985890652556,0.9106407995296883,0.9018801410105758,0.9030552291421856,0.9112808460634548,0.9206815511163338,0.9159318048206936,0.9171075837742504,0.9131312817303154,0.00671322433309931,8,0.9042522418281748,0.9036214953271028,0.9103568320278504,0.8995354239256679,0.9136904761904762,0.9273001508295624,0.913158669414189,0.922307239552678,0.9276570407859482,0.8999134698586674,0.9121793039740318,0.010117966297557538,8,0.9661359081648936,0.9687587863916368,0.9708851363440736,0.9651875823373408,0.9760628468357938,0.9829251266449336,0.9739755283233544,0.9763137879079908,0.9804480955111304,0.9732598419645256,0.9733952640425672,0.005517349826083408,8,98.43704295158386,1,500,44,12,11,entropy
"{'n_estimators': 1000, 'max_depth': 34, 'min_samples_split': 15, 'min_samples_leaf': 21, 'criterion': 'entropy'}",0.8637137989778535,0.8776102088167054,0.8739205526770294,0.8780346820809248,0.9176829268292684,0.9271279853031232,0.8719582850521437,0.8924418604651163,0.9160628019323672,0.8277333333333333,0.8846286435467865,0.028267259083650537,14,0.8941798941798942,0.8894767783656673,0.892416225749559,0.8930041152263375,0.8842538190364277,0.8895417156286721,0.8842538190364277,0.9018801410105758,0.8918283362727807,0.9124044679600236,0.8933239312466366,0.007967502158785531,16,0.8786828422876949,0.8835036496350366,0.8830715532286213,0.8854561352375402,0.9006582884500299,0.9079460269865066,0.8780630105017503,0.8971361776738749,0.9037831397080726,0.8680089485458613,0.888630977225499,0.01234036266262703,15,0.9520082539406212,0.9571405428893353,0.9579954350485752,0.9532612322467396,0.9664058468406296,0.973136697774379,0.960662698585404,0.9655274667351962,0.970460022651544,0.9609421576891692,0.9617540354401592,0.006675379115343853,15,186.1204915046692,1,1000,34,15,21,entropy
