params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 500, 'learning_rate': 0.21839959729652408}",0.7873134328358209,0.8090452261306532,0.8120842572062085,0.8030803080308031,0.8400229357798165,0.8471741637831603,0.7944025834230355,0.8193584693303321,0.8372093023255814,0.7694314032342201,0.8119122082079631,0.023519280261241556,10,0.8683127572016461,0.8518518518518519,0.8612580834803057,0.8583186360964139,0.8607520564042304,0.86310223266745,0.8672150411280846,0.8554641598119859,0.8677248677248677,0.8671369782480893,0.8621136664614927,0.0053726929093584185,2,0.8258317025440314,0.8298969072164948,0.8359486447931527,0.8297811878374538,0.8502611723737666,0.8550640279394645,0.8292134831460674,0.8370221327967806,0.8521939953810624,0.8153676064123826,0.8360580860440656,0.012170231935474535,9,0.9088854209627156,0.9172213966899956,0.91920854602014,0.9123687179242734,0.9275649009948528,0.9416428160389512,0.9167822066372792,0.9228747380921294,0.9304939066517224,0.9145678390240412,0.9211610489036101,0.009276448671508505,10,382.1738736629486,1,500,0.21839959729652408
"{'n_estimators': 100, 'learning_rate': 0.1319329725663406}",0.769621682665161,0.8011869436201781,0.8060678167757287,0.7995310668229777,0.8212996389891697,0.8272946859903382,0.7712238147739802,0.8001186239620404,0.8145065398335315,0.7952846463484762,0.8006135459781583,0.01793587628613756,20,0.8012933568489125,0.7936507936507936,0.7965902410346855,0.8018812463256908,0.8019976498237368,0.8049353701527615,0.8219741480611046,0.7925969447708578,0.805408583186361,0.8130511463844797,0.8033379480239384,0.008434061027587977,19,0.7851382488479263,0.7974010632014176,0.8013010053222944,0.8007044320516583,0.8115338882282996,0.8159618820726623,0.7957906712172923,0.7963400236127509,0.8099320130062074,0.8040697674418604,0.8018172995002371,0.00854940469696316,19,0.8839966605667088,0.8945458571062436,0.8957240539366143,0.8879167297041693,0.9049895305933952,0.919055874369884,0.896298472385429,0.8949351352732995,0.9015387082537124,0.8934119397898873,0.8972412961979342,0.00920426695708554,19,74.92854070663452,1,100,0.1319329725663406
"{'n_estimators': 500, 'learning_rate': 0.16757071982983515}",0.7865591397849462,0.8094170403587444,0.8117712382009994,0.8082497212931996,0.8366877515813687,0.8460207612456747,0.7940860215053763,0.8172043010752689,0.8367935409457901,0.7693514644351465,0.8116140980426515,0.022836476688943008,12,0.8600823045267489,0.84891240446796,0.8594944150499706,0.8524397413286302,0.854876615746181,0.8619271445358402,0.8678025851938895,0.8484136310223267,0.8530276308054086,0.8647854203409759,0.8571761893017932,0.006302515541737194,10,0.8216793035664138,0.8286944045911047,0.8349514563106796,0.8297567954220315,0.8456843940714909,0.8538998835855646,0.8293093767546323,0.8325165753819543,0.8448326055312955,0.8142817603099918,0.8335606555525159,0.011224152385152909,12,0.9071632018491922,0.9152893404101132,0.9187895625093692,0.9118129516680242,0.9253185207291488,0.9400948567615236,0.9147879763821792,0.9202079926717608,0.927778417163746,0.9126175390137764,0.9193860359158833,0.00908845414150553,12,376.1945066452026,1,500,0.16757071982983515
"{'n_estimators': 1000, 'learning_rate': 0.28632091554707245}",0.794341675734494,0.8212258796821793,0.8126045733407696,0.8096035734226689,0.8399768919699596,0.8498550724637681,0.7981501632208923,0.8294218660560961,0.8391528334287349,0.8005464480874317,0.8194878977406994,0.018498292140443462,1,0.8583186360964139,0.8506760728982952,0.8565549676660787,0.8524397413286302,0.854289071680376,0.8613396004700352,0.8619271445358402,0.8513513513513513,0.8618459729570841,0.8612580834803057,0.857000064246441,0.004320935619537253,12,0.8250918338513705,0.8356915968813168,0.8340011448196909,0.8304696449026346,0.8470725313137198,0.8555587977823169,0.8288135593220339,0.8402435488547405,0.8503480278422273,0.8297932596998018,0.8377083945269854,0.009714252504155892,2,0.9118970592400544,0.91942252811818,0.922084955901381,0.9131610906973228,0.9288315230344216,0.9440206251800454,0.9181640232364868,0.9256998544438158,0.9326011154347428,0.9160567442950356,0.9231939519581486,0.009382314818017242,2,749.8485848903656,1,1000,0.28632091554707245
"{'n_estimators': 500, 'learning_rate': 0.08856857252619368}",0.7816711590296496,0.808461978273299,0.8129943502824859,0.8068309070548713,0.8309206716850029,0.8379629629629629,0.7839142091152815,0.803471444568869,0.821368004522329,0.7607680332122471,0.8048363720706998,0.022478829808222318,16,0.8524397413286302,0.831275720164609,0.8459729570840682,0.847148736037625,0.8431257344300822,0.8507638072855465,0.8589894242068156,0.8431257344300822,0.8542034097589654,0.8618459729570841,0.8488891237683509,0.008381272255492612,13,0.8155230596175478,0.8197101449275362,0.829155862863728,0.8264984227129338,0.836978710994459,0.8443148688046648,0.8197364732268013,0.8228211009174312,0.837463976945245,0.8081587651598676,0.8260361386170214,0.010557270015011515,14,0.9017114077500552,0.9099926358380463,0.913846386068608,0.9078410708845492,0.91969436655427,0.933001324305672,0.9066428402177196,0.910674477099598,0.9188499969413156,0.9060612407336556,0.9128315746393489,0.008582433811765777,13,375.7507395744324,1,500,0.08856857252619368
"{'n_estimators': 500, 'learning_rate': 0.18690459920843738}",0.7860192102454643,0.8101619207146845,0.8133333333333334,0.8063087991145546,0.8365825688073395,0.8455331412103746,0.793233082706767,0.8193584693303321,0.8363740022805017,0.7708333333333334,0.8117737861076686,0.0226626139833146,11,0.8659611992945326,0.8530276308054086,0.8606701940035273,0.8565549676660787,0.8572267920094007,0.8619271445358402,0.8678025851938895,0.8554641598119859,0.8624338624338624,0.8700764256319812,0.8611144961386505,0.005332569839883417,5,0.8240559440559441,0.8310423825887743,0.8363324764353041,0.830672748004561,0.8467788740568776,0.8536514402094849,0.8288439955106621,0.8370221327967806,0.8492040520984082,0.8174537420602044,0.8355057787817002,0.010916076903188375,11,0.9076353786498712,0.91670172588047,0.9189883465245784,0.9121371198665884,0.9259202266448644,0.9402053882730212,0.9155641148394772,0.9216074252306136,0.9291449750656754,0.9138337548096512,0.9201738455784811,0.009019586563216572,11,376.7787899971008,1,500,0.18690459920843738
"{'n_estimators': 1000, 'learning_rate': 0.16709140513368567}",0.7893318965517241,0.8178228990411731,0.8137854363535297,0.8079064587973274,0.8417099942229925,0.8490456911509543,0.7934373318988703,0.8211060948081265,0.8357021034678794,0.7712793733681462,0.8141127279660724,0.02329286903005296,5,0.8612580834803057,0.8524397413286302,0.8606701940035273,0.8530276308054086,0.8560517038777908,0.8625146886016452,0.8666274970622797,0.854876615746181,0.8641975308641975,0.8683127572016461,0.8599976442971613,0.005353596960177764,7,0.8237278605566488,0.8347725964306275,0.8365714285714285,0.8298541607091793,0.8488202738129916,0.855727193238123,0.8284189834316202,0.837651122625216,0.8497109826589595,0.8169247787610621,0.8362179380795857,0.011641776195200022,8,0.9105449479845616,0.91921959917129,0.9218882443520126,0.9130244806573308,0.9285037280206364,0.9434741850200788,0.9183761055741732,0.9249197437603234,0.931993698764879,0.9160705688565118,0.9228015302161797,0.009344653866958754,5,756.4806215763092,1,1000,0.16709140513368567
"{'n_estimators': 100, 'learning_rate': 0.07902664640717903}",0.7834740651387213,0.7945979899497487,0.791743684534812,0.7802064359441409,0.827741935483871,0.8656417112299465,0.8203517587939698,0.7981191222570533,0.8085912823752369,0.7952522255192879,0.8065720211226788,0.024336922694532515,14,0.763668430335097,0.7436801881246325,0.7554379776601999,0.7554379776601999,0.7538190364277321,0.7608695652173914,0.7673325499412456,0.7479435957696827,0.7524985302763081,0.78777189888301,0.75884597502955,0.01172064009191718,20,0.7734444775230722,0.7682963862739143,0.7731648616125151,0.7676224611708483,0.7890528905289053,0.8098811757348343,0.792956891317547,0.7722171671216258,0.779537149817296,0.791494388659185,0.7817667849759744,0.01297800043657234,20,0.8704788294160275,0.8808544569414135,0.8770893046255364,0.8699007841519919,0.8930324389261588,0.9076593847125248,0.8878426390503684,0.8789564236424141,0.886626672210316,0.8771625502306801,0.8829603483907432,0.01078730012570353,20,75.35540437698364,1,100,0.07902664640717903
"{'n_estimators': 1000, 'learning_rate': 0.10594295194661035}",0.7891920813269128,0.8092841163310962,0.8129855715871254,0.8058628318584071,0.8400229357798165,0.847663012117715,0.7937533656435111,0.8192567567567568,0.8375,0.7707900207900208,0.8126310692191361,0.023137585899009345,8,0.8671369782480893,0.8506760728982952,0.8612580834803057,0.8565549676660787,0.8607520564042304,0.86310223266745,0.8660399529964747,0.854876615746181,0.866549088771311,0.8718400940623163,0.8618786142940733,0.006099418875490325,3,0.8263305322128851,0.829464029807968,0.8364259206394519,0.8304360216585922,0.8502611723737666,0.8553129548762738,0.8283225625175611,0.8366877515813687,0.8517769430800346,0.8182068965517242,0.8363224785299626,0.01169448856651065,6,0.9087213507503362,0.9173519620379524,0.9195940246664884,0.9126540273883268,0.927251267830978,0.9419654298881353,0.9167594095130328,0.9227712875055868,0.9300587785792568,0.9145127135851546,0.9211640251745248,0.009270007619382258,9,749.528003692627,1,1000,0.10594295194661035
"{'n_estimators': 1000, 'learning_rate': 0.24971927851938266}",0.793047256925584,0.8208616780045351,0.8129175946547884,0.8104026845637584,0.8395845354875938,0.8503480278422274,0.7973927213470939,0.8292404340376928,0.8355150825270348,0.7979302832244008,0.8187240298614711,0.018660124482917557,3,0.8583186360964139,0.8512639623750735,0.8583186360964139,0.8518518518518519,0.854876615746181,0.8613396004700352,0.8625146886016452,0.8531139835487661,0.8630217519106408,0.8612580834803057,0.8575877810177328,0.004274048107019223,9,0.8243929983060417,0.8357864357864357,0.8350014297969689,0.8306104901117799,0.8471615720524017,0.8558085230589609,0.8286762630539092,0.841007819287576,0.8490456911509543,0.828385637545943,0.837587686015097,0.009815532664995087,3,0.9117576859122752,0.9193938590073856,0.922115352067043,0.9132868202916512,0.9287617500177888,0.9439346178476612,0.9183327564970076,0.9250713791776596,0.93270307157563,0.916147295172705,0.9231504587566807,0.009343098443791631,3,749.1938602924347,1,1000,0.24971927851938266
