params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 100, 'max_depth': 17, 'min_samples_split': 17, 'min_samples_leaf': 12}",0.8892078071182549,0.8930854154561302,0.895165987186954,0.8829847371396269,0.92756292203806,0.9251944943147816,0.8836944127708096,0.9246411483253588,0.92706449668475,0.8519508284339925,0.9000552249468718,0.024053866027025892,17,0.9106407995296883,0.903586125808348,0.903586125808348,0.9182833627278072,0.8877790834312573,0.90834312573443,0.91069330199765,0.90834312573443,0.9041740152851264,0.9370958259847147,0.90925248920418,0.011889401632051749,14,0.8997966889340692,0.8983050847457628,0.8993563487419545,0.9002881844380403,0.9072350645451815,0.9166913726652832,0.8969907407407407,0.9164196799051572,0.9154761904761906,0.8924972004479284,0.9043056555640309,0.008505520528666408,16,0.960807598488758,0.9658050044523474,0.9666263917471648,0.9632294475289644,0.9741000489792762,0.9786270051970536,0.9690990162004656,0.9736717393722224,0.9767498525092098,0.9707935401971588,0.9699509644672621,0.0055768725897965546,16,27.165167093276978,1,100,17,17,12
"{'n_estimators': 100, 'max_depth': 46, 'min_samples_split': 27, 'min_samples_leaf': 19}",0.8884416331224841,0.8937536485697607,0.8990719257540604,0.8917975567190227,0.9293051359516616,0.9404255319148936,0.908289241622575,0.9222156747200942,0.9367850692354004,0.8793490460157127,0.9089434463625666,0.020677928796318443,13,0.908289241622575,0.9000587889476779,0.9112286890064668,0.9012345679012346,0.9036427732079906,0.9089306698002352,0.9077555816686252,0.9195064629847238,0.914756025867137,0.921222810111699,0.9096625611118364,0.006815405332571265,13,0.8982558139534882,0.8968951376684242,0.9051094890510948,0.8964912280701754,0.9162943103961868,0.924409919330744,0.9080223332353804,0.920859076198882,0.925639500297442,0.8997990238300316,0.909177583203185,0.011077239501438213,13,0.9625201460950256,0.9674909554136608,0.9703658109455212,0.9641777733565172,0.9761284749207456,0.9806359154185242,0.972681964227858,0.9757300433628936,0.9794095253302256,0.971323712129774,0.9720464321200746,0.005791333414147752,13,28.110675573349,1,100,46,27,19
"{'n_estimators': 1000, 'max_depth': 34, 'min_samples_split': 4, 'min_samples_leaf': 21}",0.8844163312248419,0.8945835760046593,0.896231884057971,0.8908879860708068,0.9295261239368166,0.949163050216987,0.9077555816686252,0.918775750441436,0.9280096793708408,0.8795518207282913,0.9078901783721275,0.02156620563882971,14,0.9041740152851264,0.9029982363315696,0.9088771310993532,0.9024103468547912,0.8989424206815512,0.899529964747356,0.9077555816686252,0.917156286721504,0.9018224573780128,0.922986478542034,0.9066652919309923,0.007445065902080178,15,0.8941860465116278,0.8987712112346401,0.90251021599533,0.8966121495327103,0.913978494623656,0.9236802413273002,0.9077555816686252,0.917965304322258,0.9147286821705428,0.9007458405048766,0.9070933767891567,0.009520895197457425,14,0.9619847590862084,0.9663835678328432,0.9689019592401236,0.9625947548652862,0.9752342059105344,0.9802259125930624,0.9708518041851376,0.9735998938897488,0.977806567427052,0.9700985103689396,0.9707681935398936,0.005779861676043514,14,281.4361367225647,1,1000,34,4,21
"{'n_estimators': 500, 'max_depth': 42, 'min_samples_split': 15, 'min_samples_leaf': 21}",0.875,0.8934187536400698,0.8968115942028986,0.8906976744186047,0.9298352654057352,0.948019801980198,0.903529411764706,0.9242155121373594,0.9304878048780488,0.8525745257452575,0.9044590344172878,0.02745861648217286,15,0.9053497942386832,0.9018224573780128,0.9094650205761317,0.9006466784244562,0.8954171562867215,0.900117508813161,0.9024676850763808,0.917156286721504,0.897119341563786,0.9247501469723692,0.9054312076051207,0.008770850431920118,17,0.889916209188096,0.8976009362200116,0.9030939871570344,0.8956445483776673,0.9123017060760252,0.923447860156721,0.9029982363315696,0.9206723680330284,0.9134989524094582,0.8871968415115624,0.9046371645461173,0.011851417772482884,15,0.961453862420046,0.9663611161195704,0.9688076620443772,0.9627505352143032,0.9751723773462904,0.9802559633477508,0.9706003449964802,0.9737922878019496,0.9779722893577488,0.9697705226479152,0.9706936961296432,0.005879901356797097,15,141.54357743263245,1,500,42,15,21
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 27, 'min_samples_leaf': 3}",0.9167148640832852,0.9171974522292994,0.9227642276422764,0.9133448873483536,0.9412811387900356,0.963481436396835,0.9170506912442395,0.9347699475829936,0.939304655274013,0.9112359550561798,0.9277145255647511,0.015796483710213867,8,0.9318048206937096,0.9312169312169312,0.934156378600823,0.929453262786596,0.9324324324324323,0.9300822561692128,0.9353701527614572,0.9430082256169212,0.9370958259847147,0.9535567313345092,0.9358177017597307,0.0070221255464053035,7,0.9241982507288632,0.9241540256709452,0.9284253578732108,0.9213286713286714,0.936835891381346,0.9464872944693572,0.9261198371146014,0.9388710149166424,0.9381989405532666,0.931916116058604,0.9316535400095509,0.007754806187741443,7,0.9765305332938182,0.9786511839651936,0.9811681937285802,0.9776956045071986,0.9848060621007482,0.988585894382996,0.9819166993080036,0.9846568445602262,0.986944429755848,0.9828768981554924,0.9823832343758104,0.0037737350012149273,7,29.72417664527893,1,100,20,27,3
"{'n_estimators': 500, 'max_depth': 40, 'min_samples_split': 21, 'min_samples_leaf': 5}",0.916429789653212,0.9247558874210224,0.923121055651176,0.9100739897552648,0.946058091286307,0.963319302465424,0.9405247813411078,0.9449970743124634,0.9550898203592816,0.9227733934611048,0.9347143185706364,0.016790513660554247,5,0.9476778365667254,0.9465020576131687,0.9459141681363904,0.9400352733686068,0.9377203290246768,0.9412455934195064,0.9477085781433608,0.9488836662749708,0.9376837154614932,0.9623750734861846,0.9455746291495084,0.006903179330831118,5,0.931791907514451,0.9355026147588612,0.9343786295005808,0.924812030075188,0.9418707583357924,0.952154531946508,0.9441030143400644,0.9469363822925828,0.9463067339068526,0.9421582733812952,0.9400014876052177,0.007813366860650307,5,0.9797516633265426,0.9815861410064308,0.9843511558487404,0.9808246825155038,0.98756831365527,0.9905992949471212,0.9865493512836508,0.9869856053430932,0.989810779770934,0.9857088595739064,0.9853735847271192,0.00351561703299501,5,151.63047814369202,1,500,40,21,5
"{'n_estimators': 500, 'max_depth': 33, 'min_samples_split': 19, 'min_samples_leaf': 23}",0.8825561312607945,0.8890814558058926,0.8958090803259604,0.8885017421602788,0.929440389294404,0.9344262295081968,0.8963700234192038,0.9153846153846154,0.9267554479418886,0.8451995685005393,0.9003524683601775,0.025676333019120867,16,0.9012345679012346,0.9047619047619048,0.9047619047619048,0.8994708994708994,0.8977673325499412,0.9042303172737955,0.899529964747356,0.9089306698002352,0.9000587889476779,0.921222810111699,0.9041969160326648,0.006513707445993055,18,0.8917975567190227,0.8968531468531469,0.9002632348639953,0.8939526730937774,0.913329348475792,0.9190803224843236,0.8979472140762463,0.9121462264150944,0.9132120489114226,0.8815752461322082,0.902015701802503,0.01131678599621214,17,0.959838029886339,0.9644920973423388,0.96652622256487,0.9605253977234652,0.9739090367109692,0.9786698361577588,0.9686363382015556,0.9721201532795736,0.976522784086962,0.9675883156188858,0.9688828211572715,0.006067298779662139,17,141.08204984664917,1,500,33,19,23
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 28, 'min_samples_leaf': 11}",0.8967889908256881,0.9084548104956268,0.9038795599305154,0.897877223178428,0.9356197352587244,0.9550215650030808,0.9145550972304066,0.9253819036427732,0.933134328358209,0.912794033275961,0.9183507247199414,0.017741650532224915,10,0.919459141681364,0.9159318048206936,0.9176954732510288,0.9200470311581422,0.9136310223266744,0.91069330199765,0.9118683901292596,0.9253819036427732,0.9188712522045857,0.9353321575543798,0.918891147876655,0.006844529654900536,11,0.9079825834542816,0.9121779859484777,0.91073512252042,0.9088269454123112,0.9244946492271106,0.9323308270676692,0.9132097675786996,0.9253819036427732,0.9259478672985784,0.9239256678281068,0.9185013319978428,0.008318224295369516,10,0.9678591635113374,0.970779958702664,0.973401627991,0.9684983465176702,0.9790218099396844,0.9830026714084684,0.9753791058138884,0.9777603690647168,0.9812533762171228,0.9750169437281594,0.975197337289471,0.0049022773278503615,11,142.95358443260193,1,500,20,28,11
"{'n_estimators': 100, 'max_depth': 42, 'min_samples_split': 21, 'min_samples_leaf': 15}",0.8936895963615691,0.901111761263897,0.9118840579710144,0.8962155963302753,0.9328537170263788,0.9524100061012812,0.9162303664921466,0.9336885731201896,0.9362980769230768,0.8853185595567867,0.9159700311146615,0.020985247468828624,11,0.9241622574955908,0.9053497942386832,0.9247501469723692,0.9188712522045857,0.9142185663924794,0.917156286721504,0.9253819036427732,0.9265569917743832,0.9159318048206936,0.9394473838918284,0.921182638815489,0.008660405293317587,10,0.908670520231214,0.903225806451613,0.9182720373613544,0.907402031930334,0.9234421364985164,0.9344507632445376,0.920783396667641,0.930109112356237,0.926002971768202,0.9115801483171706,0.9183938924826821,0.009879472755303157,11,0.9685005916889976,0.9707903210318668,0.9744126459102304,0.9682596675350298,0.97869815985758,0.9832410049801354,0.9761694061210968,0.978547906084138,0.9810990595496444,0.974751166533778,0.9754469929292497,0.004863629183457083,10,29.458914756774902,1,100,42,21,15
"{'n_estimators': 500, 'max_depth': 41, 'min_samples_split': 30, 'min_samples_leaf': 17}",0.8934331797235023,0.9000581057524695,0.8995960761684939,0.895040369088812,0.9330518697225572,0.9500924214417744,0.9117647058823528,0.930053349140486,0.942632850241546,0.8766447368421053,0.91323676640041,0.023069644264004145,12,0.9118165784832452,0.9106407995296883,0.916519694297472,0.9124044679600236,0.9089306698002352,0.9059929494712105,0.91069330199765,0.9218566392479436,0.9176954732510288,0.9400352733686068,0.9156585847407104,0.009227139786872026,12,0.9025312772766948,0.9053185271770894,0.9079790331974372,0.9036390101892284,0.9208333333333332,0.9275187969924812,0.9112286890064668,0.9259368545293596,0.9299970211498362,0.9072340425531916,0.9142216585405117,0.0101553642986173,12,0.9667048000381334,0.9697005494106944,0.97241582507283,0.9664396971160256,0.978220456481326,0.9825836878976976,0.974581551876238,0.9771710979440448,0.98107382972495,0.974425598111012,0.9743317093672952,0.005313933693868431,12,143.55624985694885,1,500,41,30,17
