params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 19},0.8652956298200514,0.872784150156413,0.8766267568974493,0.8641975308641975,0.8900747065101388,0.9006444683136412,0.8931216931216931,0.8834291688447464,0.9047875201721356,0.8494188984335523,0.8800380523134018,0.016705167024758997,7,0.9894179894179894,0.984126984126984,0.9900058788947678,0.9876543209876544,0.9800235017626322,0.9853113983548766,0.9917743830787308,0.9929494712103408,0.9888300999412112,0.9882422104644328,0.9878336238239621,0.00362244734106734,2,0.923203510696654,0.9251174357557336,0.9298729983434566,0.9218106995884774,0.9328859060402684,0.941077441077441,0.9398663697104676,0.9349930843706776,0.9449438202247192,0.9135869565217392,0.9307358222329635,0.0093686615049182,4,0.9799863700829884,0.980424869313758,0.9840095443960178,0.984667379594916,0.9841366556342402,0.9884409944796418,0.9881869447086836,0.985568211413622,0.9908716420572192,0.9816993911317512,0.984799200281284,0.0033939980221971188,4,56.313379764556885,1,19
{'n_neighbors': 71},0.8483386923901394,0.855213398163155,0.8568364611260053,0.8309409888357256,0.8632619439868204,0.8922558922558923,0.8747240618101545,0.8592471358428805,0.8854748603351955,0.824896694214876,0.8591190128960845,0.02038437791094733,18,0.9306290417401528,0.9306290417401528,0.9394473838918284,0.9188712522045857,0.9236192714453584,0.9341950646298472,0.9312573443008224,0.9253819036427732,0.9318048206937096,0.93885949441505,0.930469461870428,0.006120927578857391,13,0.8875805999439305,0.8913288288288288,0.8962422882781828,0.8726968174204355,0.8924212319046267,0.912743972445465,0.9021058622652248,0.891089108910891,0.9080492695502722,0.8781963156447621,0.893245429519262,0.011733069704767179,18,0.9626308503120098,0.9642921043887228,0.9695919176595506,0.9595021177146782,0.9673123779403972,0.9734453224791388,0.9695349248489346,0.9699152223306812,0.9755885893452032,0.9570280787212004,0.9668841505740516,0.00564793272496271,13,56.75859260559082,1,71
{'n_neighbors': 64},0.8522299838796346,0.8580679978413384,0.8612004287245445,0.8453663793103449,0.8666300768386389,0.8967851099830795,0.8782227098189797,0.86084142394822,0.8914381645215445,0.8225063938618926,0.8633288668728218,0.02071927168695278,14,0.932392710170488,0.9347442680776014,0.9447383891828336,0.9223985890652556,0.9277320799059928,0.9341950646298472,0.9406580493537016,0.9377203290246768,0.9365079365079364,0.945326278659612,0.9356413694577945,0.006768838837513153,12,0.8905109489051096,0.8947664603263927,0.9010372862349314,0.8822041045825133,0.8961407491486947,0.9151079136690649,0.9083687943262412,0.8976377952755906,0.9134174311926604,0.8796498905908096,0.8978841374252008,0.011416423061806924,15,0.9645238751518944,0.9662901341645302,0.9712654338258204,0.9615548951297744,0.9690333881155138,0.9748053781870208,0.9712956572859954,0.9719505564916192,0.9768718542642378,0.9588565497834556,0.9686447722399862,0.005470045743259811,11,56.4739453792572,1,64
{'n_neighbors': 38},0.8560250391236307,0.864281956864808,0.8707124010554089,0.8551869404949973,0.8810167658193618,0.8983240223463688,0.8821961620469083,0.8692226890756303,0.8966829798803697,0.8430470347648262,0.871669599147231,0.017121529969715527,11,0.964726631393298,0.9659024103468548,0.9700176366843032,0.9547325102880658,0.9571092831962396,0.944770857814336,0.972385428907168,0.972385428907168,0.969429747207525,0.969429747207525,0.9640889681952481,0.008619764233392122,8,0.9071310116086236,0.9122709605774568,0.9176863181312568,0.902222222222222,0.917488031540411,0.9209621993127148,0.9250978200111796,0.917914586799778,0.931638418079096,0.9018321028165164,0.9154243671099256,0.009167797168709397,8,0.971457827738021,0.9741452978167954,0.978842541644474,0.9718388160417146,0.9769883755391002,0.980555952778175,0.979201596351355,0.9799124521346744,0.9835081621939026,0.9692118375572552,0.9765662859795468,0.0044272190772565445,8,56.39544272422791,1,38
{'n_neighbors': 24},0.8709508881922675,0.870177267987487,0.8765044479330194,0.8625836335563561,0.8875266524520256,0.9045801526717556,0.8882445967316817,0.8869519281563656,0.902097902097902,0.8464249748237663,0.8796042444602626,0.016985557524412696,9,0.9800117577895356,0.9811875367430924,0.9847148736037624,0.9853027630805408,0.9782608695652174,0.9747356051703878,0.990011750881316,0.9864864864864864,0.9858906525573192,0.9882422104644328,0.9834844506342091,0.0045390269888865385,6,0.922268326417704,0.9223542415031776,0.9274640088593578,0.9198682766191,0.9306875349357184,0.9383484162895928,0.936371214226174,0.9340751043115438,0.942134831460674,0.9118524545701112,0.9285424409193153,0.0090001657139039,6,0.9776204776204778,0.978216311549645,0.9817324225536788,0.9803234911930564,0.9823624521692156,0.9853500843839008,0.9850207350207352,0.9848359401499498,0.9885143815184968,0.9785657086591176,0.9822542004818272,0.0034421791399987245,6,56.81271147727966,1,24
{'n_neighbors': 61},0.8510863804981452,0.8579088471849866,0.8578274760383386,0.843399251737039,0.8647026732133115,0.8929168990518683,0.8766974470396524,0.8588989845002672,0.8880846325167038,0.8241308793456033,0.8615653471125917,0.019495183691305637,16,0.9441504997060552,0.940623162845385,0.9470899470899472,0.927689594356261,0.9312573443008224,0.9406580493537016,0.9482961222091656,0.9441833137485312,0.9376837154614932,0.9476778365667254,0.9409309585638088,0.006620186868821742,10,0.89520624303233,0.89736399326977,0.9002514668901928,0.883538633818589,0.8967468175388967,0.9161659513590844,0.9110922946655378,0.899524209347887,0.9122104661138118,0.8815969373803665,0.8993697013416467,0.010862552366617227,14,0.965388784229364,0.967162814988902,0.9719863065273692,0.962373519136804,0.9697872475650252,0.9752775549877,0.97197732584206,0.9729999150289004,0.9775763884784724,0.9593585541720626,0.969388841095666,0.005469328945887215,10,56.40172958374024,1,61
{'n_neighbors': 89},0.8516304347826087,0.8545849158979925,0.8566775244299675,0.8319914117015567,0.8575372722252899,0.8863892013498312,0.8729805013927576,0.8546543277082199,0.8712707182320442,0.826722338204593,0.8564438645924861,0.01703639662149182,20,0.921222810111699,0.925925925925926,0.927689594356261,0.9112286890064668,0.9124559341950648,0.925969447708578,0.9206815511163338,0.9224441833137486,0.9271017048794826,0.9312169312169312,0.9225936771830494,0.006169647835897191,16,0.8850607173114939,0.8888261851015802,0.8907705334462319,0.8698092031425364,0.8841446057500711,0.9057471264367816,0.8961967400629112,0.8872562870867478,0.8983195670749075,0.8758639756704452,0.8881994941083706,0.009994226837136045,20,0.957528094001524,0.96025701339711,0.965473582623341,0.9555136572044786,0.9632273750631238,0.9701319677165088,0.9653606332350292,0.9653730680300728,0.9716700173947546,0.950912611145154,0.9625448019811097,0.00617213490512204,16,55.89689421653748,1,89
{'n_neighbors': 35},0.8525773195876288,0.8607924921793535,0.8630705394190872,0.85423197492163,0.875534188034188,0.8961748633879781,0.8796198521647307,0.8677771993753254,0.8897256589564282,0.8363544813695871,0.8675858569395937,0.01720770414294862,13,0.9723691945914168,0.9706055261610818,0.9782480893592004,0.961199294532628,0.9629847238542892,0.963572267920094,0.9788484136310224,0.9794359576968272,0.9723691945914168,0.9764844209288652,0.9716117083266841,0.006565131078431102,7,0.9085416094479536,0.9124067421939762,0.9170570405070269,0.9045643153526972,0.9171796306659205,0.928652321630804,0.9265850945494992,0.9202318520563068,0.9292134831460672,0.9010035259018172,0.9165435615452069,0.009425458395078983,7,0.972578859052289,0.97498153778347,0.9794642813966484,0.9734078453885218,0.9780643307213356,0.9818545253327862,0.9799338676150272,0.9814578208298016,0.9841729507938928,0.9710280393212002,0.9776944058234974,0.004219827476823509,7,56.01192355155945,1,35
{'n_neighbors': 18},0.8794102159031069,0.8780359028511088,0.8867825171142707,0.8695652173913043,0.8948497854077253,0.9050188882892608,0.9002666666666667,0.8911780243000528,0.9106659447753112,0.8557594291539246,0.8871532591852731,0.015992354193466254,5,0.9817754262198708,0.977660199882422,0.9900058788947678,0.9876543209876544,0.9800235017626322,0.9853113983548766,0.9917743830787308,0.991186839012926,0.9888300999412112,0.987066431510876,0.9861288479645968,0.004600036515424033,4,0.9277777777777778,0.925173852573018,0.9355555555555556,0.9248554913294798,0.9355019629837352,0.9434599156118144,0.9438076600503216,0.9385257301808064,0.9481397970687712,0.9167349167349168,0.9339532659866198,0.009534527601473984,1,0.9801723738921808,0.9811547227006164,0.9842594492352948,0.9843466655060856,0.9847024388087192,0.9889425312130626,0.9888195649065216,0.9860778653049184,0.9915383315344124,0.982999418331576,0.9853013361433387,0.003410196900684855,2,56.51202774047852,1,18
{'n_neighbors': 18},0.8794102159031069,0.8780359028511088,0.8867825171142707,0.8695652173913043,0.8948497854077253,0.9050188882892608,0.9002666666666667,0.8911780243000528,0.9106659447753112,0.8557594291539246,0.8871532591852731,0.015992354193466254,5,0.9817754262198708,0.977660199882422,0.9900058788947678,0.9876543209876544,0.9800235017626322,0.9853113983548766,0.9917743830787308,0.991186839012926,0.9888300999412112,0.987066431510876,0.9861288479645968,0.004600036515424033,4,0.9277777777777778,0.925173852573018,0.9355555555555556,0.9248554913294798,0.9355019629837352,0.9434599156118144,0.9438076600503216,0.9385257301808064,0.9481397970687712,0.9167349167349168,0.9339532659866198,0.009534527601473984,1,0.9801723738921808,0.9811547227006164,0.9842594492352948,0.9843466655060856,0.9847024388087192,0.9889425312130626,0.9888195649065216,0.9860778653049184,0.9915383315344124,0.982999418331576,0.9853013361433387,0.003410196900684855,2,55.79652738571167,1,18
