params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_penalty,param_C,param_solver,param_max_iter
"{'penalty': 'l2', 'C': 9.355151556086232, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7927543953116676,0.8253790005614823,0.8185816382627817,0.8114754098360656,0.8464183381088826,0.8523375142531356,0.800644814615798,0.8266741699493528,0.83984375,0.7914466737064414,0.8205555704605608,0.020529803805085595,19,0.8747795414462081,0.8641975308641975,0.8753674309229865,0.873015873015873,0.8678025851938895,0.8783783783783784,0.8754406580493537,0.86310223266745,0.8847736625514403,0.8812463256907701,0.8738104218780547,0.006679603860809207,19,0.8317495807713807,0.8443423319931074,0.8460227272727273,0.8411214953271028,0.8569770815201625,0.865162037037037,0.836373842267752,0.844495544696752,0.8617234468937875,0.8339360222531292,0.8461904110032938,0.010975576040174557,19,0.9133125534091716,0.921231790797008,0.921256833092582,0.9120666560280086,0.9309259224718164,0.9458110629608216,0.921196040761258,0.9242833240417782,0.9304704048972126,0.9198769890519842,0.9240431577511641,0.009285979874236976,18,8.269914627075195,1,l2,9.355151556086232,newton-cholesky,100000
"{'penalty': None, 'C': 35.84261163658374, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7931951089845827,0.8241206030150754,0.8175303197353914,0.8114441416893733,0.8468571428571429,0.8528237307472903,0.8017195056421279,0.8269662921348314,0.8384401114206128,0.7926121372031663,0.8205709093429594,0.020206598103829326,11,0.8771310993533216,0.8677248677248677,0.8718400940623163,0.8753674309229865,0.8707403055229143,0.8783783783783784,0.8766157461809636,0.8648648648648649,0.8847736625514403,0.8830099941211053,0.875044644368316,0.00601783795744183,6,0.8330541596873255,0.845360824742268,0.8438122332859175,0.8421945701357466,0.8586326767091542,0.8654124457308249,0.8374964917204604,0.8454910970706491,0.8609839816933639,0.8353726362625139,0.8467811117038224,0.01061897529829365,9,0.9136175512987108,0.9213861895021316,0.9214343743329252,0.9120497308903106,0.9309045069914634,0.9462386817459282,0.920982576779678,0.9242290945189496,0.9305872224416872,0.920396446949455,0.924182637545124,0.009335152127028715,9,13.355633974075316,1,,35.84261163658374,newton-cholesky,100000
"{'penalty': None, 'C': 33.98713980465738, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7931951089845827,0.8241206030150754,0.8175303197353914,0.8114441416893733,0.8468571428571429,0.8528237307472903,0.8017195056421279,0.8269662921348314,0.8384401114206128,0.7926121372031663,0.8205709093429594,0.020206598103829326,11,0.8771310993533216,0.8677248677248677,0.8718400940623163,0.8753674309229865,0.8707403055229143,0.8783783783783784,0.8766157461809636,0.8648648648648649,0.8847736625514403,0.8830099941211053,0.875044644368316,0.00601783795744183,6,0.8330541596873255,0.845360824742268,0.8438122332859175,0.8421945701357466,0.8586326767091542,0.8654124457308249,0.8374964917204604,0.8454910970706491,0.8609839816933639,0.8353726362625139,0.8467811117038224,0.01061897529829365,9,0.9136175512987108,0.9213861895021316,0.9214343743329252,0.9120497308903106,0.9309045069914634,0.9462386817459282,0.920982576779678,0.9242290945189496,0.9305872224416872,0.920396446949455,0.924182637545124,0.009335152127028715,9,13.620891094207764,1,,33.98713980465738,newton-cholesky,100000
"{'penalty': 'l2', 'C': 71.18315980502747, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7950079660116834,0.825041922861934,0.8194291986827662,0.811886586695747,0.8463302752293578,0.8523375142531356,0.8008588298443371,0.827334083239595,0.8379732739420935,0.7926121372031663,0.8208811787963816,0.019851237433195147,3,0.8800705467372134,0.8677248677248677,0.8777189888300999,0.8753674309229865,0.8672150411280846,0.8783783783783784,0.8766157461809636,0.86427732079906,0.8847736625514403,0.8830099941211053,0.8755151977374199,0.006578765902902563,1,0.8353794642857143,0.8458452722063038,0.8475730911155265,0.8424328147100426,0.85664538595473,0.865162037037037,0.8370266479663394,0.8454022988505747,0.8607377752359165,0.8353726362625139,0.84715774236247,0.01003067570082803,2,0.9136976866445464,0.9214528538200036,0.9217207200298988,0.912667325710804,0.9310088211054396,0.9459972394755004,0.9214036327562898,0.9246169910421118,0.9308664785835078,0.9204247873004814,0.9243856536468582,0.009191395667336823,3,9.888272762298584,1,l2,71.18315980502747,newton-cholesky,100000
"{'penalty': 'l2', 'C': 93.77106153329807, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7950079660116834,0.825041922861934,0.8194291986827662,0.811886586695747,0.8463302752293578,0.8523375142531356,0.8012889366272825,0.827334083239595,0.8379732739420935,0.7921940928270043,0.8208823850370599,0.019868286152085215,2,0.8800705467372134,0.8677248677248677,0.8777189888300999,0.8753674309229865,0.8672150411280846,0.8783783783783784,0.8766157461809636,0.86427732079906,0.8847736625514403,0.8830099941211053,0.8755151977374199,0.006578765902902563,1,0.8353794642857143,0.8458452722063038,0.8475730911155265,0.8424328147100426,0.85664538595473,0.865162037037037,0.8372615039281706,0.8454022988505747,0.8607377752359165,0.8351403947734223,0.8471580038097439,0.01003478414437619,1,0.9137018315762278,0.9214297112847838,0.9217283190713144,0.9127212098226588,0.9310212559004828,0.9460373071484184,0.9214001786465554,0.924684691592904,0.9309103715661948,0.9204313539671828,0.9244066230576724,0.009198011524624843,1,10.29166030883789,1,l2,93.77106153329807,newton-cholesky,100000
"{'penalty': 'l2', 'C': 2.39451858628665, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7948717948717948,0.825405707890319,0.817482133040132,0.8110322228290552,0.8468571428571429,0.8528237307472903,0.8002148227712137,0.8262092238470191,0.8441193021947102,0.7914466737064414,0.8210462754755119,0.020885895792692254,1,0.8747795414462081,0.8671369782480893,0.8741916519694297,0.873015873015873,0.8707403055229143,0.8783783783783784,0.8754406580493537,0.86310223266745,0.8818342151675485,0.8812463256907701,0.8739866160156013,0.005596686471362868,18,0.8329135180520572,0.845756880733945,0.8448863636363637,0.8408833522083805,0.8586326767091542,0.8654124457308249,0.8361391694725029,0.8442528735632183,0.8625646923519265,0.8339360222531292,0.8465377994711503,0.011191459672325484,17,0.9126365841341688,0.9204884663821862,0.9206005522430644,0.9113412929838052,0.9304140234091924,0.9451547821113038,0.9202433972965374,0.9237275577855288,0.9299077452451284,0.9190274697492672,0.9233541871340181,0.009335763259435543,20,8.51582646369934,1,l2,2.39451858628665,newton-cholesky,100000
"{'penalty': 'l2', 'C': 39.65149873939184, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7946808510638298,0.825041922861934,0.819031903190319,0.8117839607201309,0.8463302752293578,0.8523375142531356,0.8008588298443371,0.827334083239595,0.8379732739420935,0.7922832980972516,0.8207655912441985,0.019948646662190345,8,0.8783068783068783,0.8677248677248677,0.8753674309229865,0.8747795414462081,0.8672150411280846,0.8783783783783784,0.8766157461809636,0.86427732079906,0.8847736625514403,0.8812463256907701,0.8748685193129637,0.006229127578407165,15,0.8344037978218374,0.8458452722063038,0.8462631429383348,0.8421052631578947,0.85664538595473,0.865162037037037,0.8370266479663394,0.8454022988505747,0.8607377752359165,0.8344002226551629,0.846799184382413,0.010278570719820145,7,0.9137097760286168,0.921453890052924,0.9216419663279568,0.9125060187862122,0.9310388718601278,0.945964770843998,0.9213936158380602,0.9245313291207012,0.9307662505128048,0.920392299581012,0.9243398788952414,0.009201946577724069,8,9.781854391098022,1,l2,39.65149873939184,newton-cholesky,100000
"{'penalty': None, 'C': 37.51194174871267, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7931951089845827,0.8241206030150754,0.8175303197353914,0.8114441416893733,0.8468571428571429,0.8528237307472903,0.8017195056421279,0.8269662921348314,0.8384401114206128,0.7926121372031663,0.8205709093429594,0.020206598103829326,11,0.8771310993533216,0.8677248677248677,0.8718400940623163,0.8753674309229865,0.8707403055229143,0.8783783783783784,0.8766157461809636,0.8648648648648649,0.8847736625514403,0.8830099941211053,0.875044644368316,0.00601783795744183,6,0.8330541596873255,0.845360824742268,0.8438122332859175,0.8421945701357466,0.8586326767091542,0.8654124457308249,0.8374964917204604,0.8454910970706491,0.8609839816933639,0.8353726362625139,0.8467811117038224,0.01061897529829365,9,0.9136175512987108,0.9213861895021316,0.9214343743329252,0.9120497308903106,0.9309045069914634,0.9462386817459282,0.920982576779678,0.9242290945189496,0.9305872224416872,0.920396446949455,0.924182637545124,0.009335152127028715,9,13.690677642822266,1,,37.51194174871267,newton-cholesky,100000
"{'penalty': 'l2', 'C': 60.41783640801827, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7946808510638298,0.825041922861934,0.8192307692307692,0.811886586695747,0.8463302752293578,0.8523375142531356,0.8008588298443371,0.827334083239595,0.8379732739420935,0.7926121372031663,0.8208286243563965,0.019895573114575127,5,0.8783068783068783,0.8677248677248677,0.8765432098765432,0.8753674309229865,0.8672150411280846,0.8783783783783784,0.8766157461809636,0.86427732079906,0.8847736625514403,0.8830099941211053,0.8752212529990308,0.006443445992864749,4,0.8344037978218374,0.8458452722063038,0.8469184890656064,0.8424328147100426,0.85664538595473,0.865162037037037,0.8370266479663394,0.8454022988505747,0.8607377752359165,0.8353726362625139,0.8469947155110902,0.010147407388366026,4,0.9136697083556988,0.9214649432040736,0.9217138118104302,0.912596861872224,0.9310091665164127,0.9459903312560316,0.9213863622076182,0.9245976480275996,0.9308111803376028,0.9203553188790632,0.9243595332466754,0.009201490423858686,6,9.49652862548828,1,l2,60.41783640801827,newton-cholesky,100000
"{'penalty': 'l2', 'C': 8.229930095728438, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.7927543953116676,0.8253790005614823,0.8183819482663731,0.8114754098360656,0.8464183381088826,0.8523375142531356,0.800644814615798,0.8266741699493528,0.83984375,0.7914466737064414,0.8205356014609198,0.02053181112387614,20,0.8747795414462081,0.8641975308641975,0.8741916519694297,0.873015873015873,0.8678025851938895,0.8783783783783784,0.8754406580493537,0.86310223266745,0.8847736625514403,0.8812463256907701,0.873692843982699,0.00666148550231238,20,0.8317495807713807,0.8443423319931074,0.8453666856168277,0.8411214953271028,0.8569770815201625,0.865162037037037,0.836373842267752,0.844495544696752,0.8617234468937875,0.8339360222531292,0.8461248068377039,0.010978342592349368,20,0.9133198070396138,0.9211644356571892,0.9212140021318764,0.9120514579451776,0.9309045069914637,0.9457893020694952,0.9211811880894006,0.9242881597954062,0.9304220189320456,0.9197812539637608,0.9240116132615428,0.009285202328972987,19,8.088544130325317,1,l2,8.229930095728438,newton-cholesky,100000
