params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 1000, 'max_depth': 43, 'min_samples_split': 25, 'min_samples_leaf': 27, 'criterion': 'entropy'}",0.8756567425569177,0.8765217391304347,0.882734236888627,0.8817330210772834,0.9296826384567516,0.9449018366054464,0.9014510278113664,0.9048473967684022,0.904646952323476,0.8334231805929919,0.8935598772211698,0.029559708961359232,12,0.8818342151675485,0.8888888888888888,0.8806584362139918,0.8853615520282186,0.8777908343125734,0.8766157461809636,0.8760282021151586,0.8883666274970623,0.8812463256907701,0.9088771310993532,0.8845667959194529,0.00916815940620172,16,0.8787346221441125,0.882661996497373,0.8816951147733961,0.883543561161631,0.9029918404351768,0.9094788174337092,0.8885578069129917,0.8965312777942483,0.8927933293627158,0.8695163104611924,0.8886504676976547,0.011373360820250124,15,0.950297260683734,0.954292802118889,0.9567158600975026,0.9513739066879164,0.9660395385033064,0.9723080568491198,0.9620531504589476,0.9638340894379542,0.9683961884301552,0.959034368205444,0.9604345221472969,0.006988065583073244,15,199.8680703639984,1,1000,43,25,27,entropy
"{'n_estimators': 100, 'max_depth': 45, 'min_samples_split': 22, 'min_samples_leaf': 4, 'criterion': 'entropy'}",0.915951972555746,0.918825561312608,0.9183323814962878,0.9099660249150624,0.9467455621301776,0.9605263157894736,0.941073512252042,0.9404205607476636,0.9553305539011316,0.8945054945054945,0.9301677939605687,0.020504644678795623,6,0.9417989417989416,0.9382716049382716,0.945326278659612,0.9447383891828336,0.9400705052878966,0.9435957696827262,0.9477085781433608,0.945945945945946,0.9429747207524986,0.9570840681951792,0.9447514802587266,0.004895965700928242,5,0.928695652173913,0.9284467713787083,0.9316338354577056,0.9270262474762042,0.9433962264150944,0.951985773562537,0.9443793911007028,0.9431751611013474,0.9491124260355028,0.9247372905424596,0.9372588775244175,0.009617064288077834,5,0.979400898483024,0.9810248481746068,0.9832840086463276,0.9794649722185954,0.9871061537728204,0.990325729456164,0.9867103127972694,0.9867821582797428,0.9900361201229972,0.9852346771152702,0.9849369879066818,0.0038080354338602593,5,21.60696005821228,1,100,45,22,4,entropy
"{'n_estimators': 1000, 'max_depth': 11, 'min_samples_split': 11, 'min_samples_leaf': 17, 'criterion': 'entropy'}",0.8419851682829436,0.8669043374925728,0.8677156177156177,0.8534734384121424,0.9073735527117612,0.912751677852349,0.8475750577367206,0.8739742086752638,0.8786964393482197,0.8032085561497326,0.8653658054377322,0.030228939397471892,19,0.8677248677248677,0.8577307466196356,0.8753674309229865,0.8594944150499706,0.8748531139835488,0.8789659224441834,0.8625146886016452,0.8760282021151586,0.8559670781893004,0.8830099941211053,0.8691656459772401,0.009221813262822388,19,0.8546612623045744,0.8622931442080377,0.8715247292947029,0.856473345049795,0.8908166317678732,0.8955402574079618,0.8549796156086197,0.875,0.867182846932698,0.8412209465135816,0.8669692779087844,0.016001668834147022,19,0.9365716648325344,0.94325277658611,0.9444252741354192,0.9414283158244512,0.9568276005474072,0.9605300607716069,0.945760460253214,0.9483413710466848,0.9524042813284436,0.9405645812661294,0.9470106386591999,0.007169829054631976,19,173.48066544532776,1,1000,11,11,17,entropy
"{'n_estimators': 500, 'max_depth': 36, 'min_samples_split': 10, 'min_samples_leaf': 29, 'criterion': 'entropy'}",0.8696916812100058,0.8796241926012919,0.8809523809523809,0.8810779144698301,0.9245398773006136,0.931960049937578,0.8814463544754001,0.9,0.909367396593674,0.8232781633742658,0.8881938010915039,0.029330253948632812,18,0.8788947677836567,0.8806584362139918,0.8918283362727807,0.884185773074662,0.8854289071680376,0.8772032902467685,0.8736780258519389,0.8883666274970623,0.8788947677836567,0.9065255731922398,0.8845664505084795,0.008959077028164309,17,0.8742690058479532,0.8801410105757932,0.8863569967864448,0.8826291079812206,0.904561824729892,0.9037530266343824,0.8775449985246386,0.8941454760496748,0.8938714499252616,0.8628987129266928,0.8860171609981954,0.0125563040181229,18,0.9497121344947432,0.9523983956351106,0.9553694481230712,0.950421608634169,0.9650779143532768,0.970607944037896,0.9585161420910212,0.962448818729012,0.967441256846182,0.9565611541573392,0.9588554817101821,0.006909581309975423,18,99.86799550056458,1,500,36,10,29,entropy
"{'n_estimators': 500, 'max_depth': 17, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'entropy'}",0.900802752293578,0.9151053864168618,0.9134948096885812,0.911136757068667,0.9373493975903614,0.9584352078239609,0.9199529134785168,0.9229878401852925,0.9422730006013228,0.8840500816548721,0.9205588146802015,0.020213665643693188,8,0.9235743680188124,0.9188712522045857,0.9312169312169312,0.9282774838330394,0.9142185663924794,0.9212690951821386,0.918331374853114,0.936545240893067,0.921222810111699,0.9547325102880658,0.9268259632993934,0.011233236986346913,7,0.9120464441219158,0.9169844529187444,0.9222707423580786,0.9196272568433316,0.925639500297442,0.9394847213900538,0.9191414289914732,0.9297171186934968,0.9316290130796672,0.918032786885246,0.9234573465579448,0.007770695433385231,8,0.970164609053498,0.9730375648250044,0.9738879666415898,0.972105300607716,0.9798881006610476,0.985309844005496,0.9781631182597366,0.9796673830490256,0.9824554218374848,0.9777393454968736,0.9772418654437471,0.004600564912839434,8,104.36324381828308,1,500,17,7,3,entropy
"{'n_estimators': 1000, 'max_depth': 49, 'min_samples_split': 25, 'min_samples_leaf': 9, 'criterion': 'entropy'}",0.9014409221902018,0.9133489461358314,0.9070567986230637,0.9063042220936958,0.9362214199759326,0.9583077866339668,0.9380637402285028,0.9340463458110516,0.9444444444444444,0.9219653179190752,0.9261199944055765,0.017957856857070163,7,0.919459141681364,0.9171075837742504,0.929453262786596,0.921222810111699,0.9142185663924794,0.918331374853114,0.9165687426556992,0.9236192714453584,0.919459141681364,0.9376837154614932,0.9217123610843417,0.006665466929141089,8,0.910360884749709,0.9152244059841594,0.9181184668989548,0.9137026239067056,0.925089179548157,0.937893789378938,0.927191679049034,0.9288035450516988,0.9317843312481382,0.9297580880209853,0.9237926993836479,0.008511586878837157,7,0.9718813015914464,0.9735674252582466,0.9764351998651516,0.970182052307656,0.9806283163771086,0.9862117120571228,0.9803758209555312,0.9809326234447008,0.9842736972856512,0.9785715840977453,0.978305973324036,0.00497985894648939,7,216.355655670166,1,1000,49,25,9,entropy
"{'n_estimators': 500, 'max_depth': 23, 'min_samples_split': 23, 'min_samples_leaf': 24, 'criterion': 'entropy'}",0.8674001158077591,0.8824221046443269,0.8853427895981087,0.8864705882352941,0.9277403551745256,0.9363411619283064,0.9010856453558505,0.9023529411764706,0.9116222760290555,0.8288,0.8929577977949696,0.029283318030243498,14,0.8806584362139918,0.8824221046443269,0.8806584362139918,0.8859494415049971,0.8901292596944771,0.8901292596944771,0.8777908343125734,0.9012925969447708,0.8853615520282186,0.9135802469135802,0.8887972168165404,0.010430999036451918,12,0.8739789964994166,0.8824221046443269,0.8829944002357796,0.8862099382534548,0.9085457271364318,0.9126506024096386,0.8892857142857141,0.9018224573780128,0.8983000298240381,0.8691275167785235,0.8905337487445335,0.013698601052841873,12,0.9517327886893104,0.9550043487241554,0.95809612234733,0.9524619512542218,0.9672529672529672,0.9729284149574006,0.96229908307203,0.9653362817614024,0.9690943287847068,0.9606777629509357,0.9614884049794459,0.0068430553239151835,12,101.16756319999696,1,500,23,23,24,entropy
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.8359150889271372,0.854695806261075,0.8550469483568075,0.852975495915986,0.9007398273736128,0.904228855721393,0.8370625358577166,0.8546511627906976,0.8562130177514793,0.8034650785056849,0.8554993817461589,0.028037009934532703,20,0.8565549676660787,0.8506760728982952,0.8565549676660787,0.8594944150499706,0.8584018801410106,0.854289071680376,0.8572267920094007,0.863689776733255,0.8506760728982952,0.8724279835390947,0.8579992000281855,0.006072560734425697,20,0.846109175377468,0.8526812021213906,0.8558002936857562,0.8562225475841875,0.8790613718411552,0.8785498489425982,0.8470246734397677,0.8591466978375218,0.8534355647301681,0.8365276211950394,0.8564558996755052,0.01274121035546153,20,0.9313561318392236,0.9388926538684992,0.939988988298167,0.9367414343259756,0.9532289363207238,0.9561243438055032,0.9403468340666408,0.9435933518059122,0.9466854058597476,0.9348266970254036,0.9421784777215796,0.007473906592233657,20,81.08498096466064,1,500,10,13,19,entropy
"{'n_estimators': 500, 'max_depth': 35, 'min_samples_split': 2, 'min_samples_leaf': 26, 'criterion': 'entropy'}",0.8617932609937179,0.8730614589316484,0.8858981860737273,0.8789107763615296,0.9242053789731052,0.9341614906832298,0.8974820143884892,0.9021932424422052,0.9126743480897512,0.8243099787685775,0.889469013570598,0.03061652568908347,16,0.8871252204585538,0.8935920047031158,0.8900646678424456,0.8918283362727807,0.8883666274970623,0.8836662749706228,0.8795534665099882,0.8942420681551116,0.8847736625514403,0.9129923574368018,0.8906204686397923,0.008640233351161392,11,0.8742757821552725,0.8832074375363161,0.8879765395894428,0.8853224394514152,0.9059316956261236,0.9082125603864734,0.8884272997032641,0.8982000590144585,0.8985074626865671,0.8663877266387727,0.8896449002788106,0.012661950672457118,13,0.9502267968451544,0.9555941379612876,0.9570526357965972,0.9524401903628956,0.9665901235949546,0.972286641368767,0.9623170444426484,0.9648451073571848,0.9686101235190008,0.9593322875052576,0.9609295088753746,0.0068552173019840465,14,97.4581937789917,1,500,35,2,26,entropy
"{'n_estimators': 500, 'max_depth': 34, 'min_samples_split': 29, 'min_samples_leaf': 23, 'criterion': 'entropy'}",0.8765217391304347,0.8818393480791619,0.8853615520282186,0.8828671328671329,0.928877988963826,0.937731196054254,0.8987492555092317,0.9097922848664688,0.9156041287188827,0.84506273867976,0.8962407364897371,0.026199547337461312,10,0.8888888888888888,0.890652557319224,0.8853615520282186,0.890652557319224,0.8901292596944771,0.8936545240893067,0.8866039952996475,0.900705052878966,0.8865373309817755,0.9106407995296883,0.8923826518029416,0.007378123574907508,10,0.882661996497373,0.8862240421175782,0.8853615520282186,0.8867427568042143,0.9090909090909092,0.9151624548736462,0.8926353149955635,0.9052258635961028,0.9008363201911588,0.8766270514997171,0.8940568261694481,0.012117326189806705,10,0.9538581024088272,0.9572578099148148,0.9595395948052952,0.953852575833252,0.9692784572011626,0.9742223244638704,0.9640896935582928,0.9663776958462948,0.970791293705919,0.9620833752390352,0.9631350922976765,0.006719483784454751,10,97.78516864776611,1,500,34,29,23,entropy
