params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 33.70361300293998, 'kernel': 'rbf'}",0.9434069043576684,0.9651770168311086,0.9626436781609196,0.9456398640996604,0.9696969696969696,0.9725627553998832,0.9603448275862068,0.9586681974741676,0.9632183908045976,0.93676552881925,0.9578124133230432,0.011275747637568813,14,0.9800117577895356,0.977660199882422,0.9847148736037624,0.9817754262198708,0.9776733254994124,0.9788484136310224,0.981786133960047,0.981198589894242,0.9853027630805408,0.984126984126984,0.9813098467687839,0.002649863025667384,12,0.9613610149942328,0.9713785046728972,0.973554199360651,0.9633689068358812,0.97366881217086,0.9756954612005858,0.9709471237652528,0.9698025551684089,0.974135425748329,0.9598623853211008,0.9693774389238199,0.0054402914461656755,14,0.9781043983942534,0.9877009514690674,0.989441304658696,0.9815364018262568,0.9872329196000692,0.9911436626412472,0.9882655257051391,0.9849010501184414,0.9858998113292972,0.9761638639096344,0.9850389889652102,0.0046780539711024065,4,532.0544002056122,1,33.70361300293998,rbf
"{'C': 36.21778883780906, 'kernel': 'rbf'}",0.9439411098527748,0.9657375145180024,0.9626436781609196,0.9456398640996604,0.9696969696969696,0.9725627553998832,0.9603448275862068,0.9581181870338497,0.9621125143513204,0.93676552881925,0.9577562949518835,0.01119591433536767,15,0.9800117577895356,0.977660199882422,0.9847148736037624,0.9817754262198708,0.9776733254994124,0.9788484136310224,0.981786133960047,0.981198589894242,0.9853027630805408,0.984126984126984,0.9813098467687839,0.002649863025667384,12,0.9616383040092298,0.97166228454572,0.973554199360651,0.9633689068358812,0.97366881217086,0.9756954612005858,0.9709471237652528,0.969521044992743,0.9735695614289864,0.9598623853211008,0.969348808363101,0.00536266982436043,15,0.9814462495621916,0.9863811361395904,0.9896986358339016,0.9803222822546496,0.9885461721210512,0.991191674766554,0.988223730977354,0.9867458901275328,0.9888015867831662,0.9756039691698454,0.9856961327735837,0.004698287955631868,1,523.6301915645599,1,36.21778883780906,rbf
"{'C': 39.54069252089808, 'kernel': 'rbf'}",0.9444759206798868,0.9657375145180024,0.9626436781609196,0.9456398640996604,0.970262390670554,0.9725627553998832,0.960897067280046,0.9586681974741676,0.9621125143513204,0.93676552881925,0.9579765431453691,0.011208015674370804,7,0.9800117577895356,0.977660199882422,0.9847148736037624,0.9817754262198708,0.9776733254994124,0.9788484136310224,0.981786133960047,0.981198589894242,0.9853027630805408,0.984126984126984,0.9813098467687839,0.002649863025667384,12,0.9619157530294288,0.97166228454572,0.973554199360651,0.9633689068358812,0.9739537606087212,0.9756954612005858,0.9712292938099388,0.9698025551684089,0.9735695614289864,0.9598623853211008,0.9694614161309423,0.005356817076798342,13,0.9811056743423892,0.98516977985577,0.9895825777468288,0.9813194837349426,0.9885617156148556,0.9904752924076596,0.9880299554212598,0.9860481599612034,0.987368670986151,0.9779154358486778,0.9855576745919736,0.003941780974243866,2,521.5792348384857,1,39.54069252089808,rbf
"{'C': 93.80957280195888, 'kernel': 'rbf'}",0.9434069043576684,0.9635627530364372,0.9631972397929844,0.9456398640996604,0.9698200812536274,0.9725627553998832,0.9631123919308358,0.95662100456621,0.9626651349798966,0.938340807174888,0.9578928936592093,0.011007478808903333,9,0.9800117577895356,0.9794238683127572,0.9847148736037624,0.9817754262198708,0.981786133960047,0.9788484136310224,0.981786133960047,0.9847238542890716,0.9853027630805408,0.984126984126984,0.9822500208973638,0.0022418985430068955,1,0.9613610149942328,0.9714285714285714,0.9738372093023256,0.9633689068358812,0.9757664233576644,0.9756954612005858,0.9723596159441372,0.9704690214244354,0.9738524113887276,0.9606886657101864,0.9698827301586748,0.005552032355569386,1,0.978807309725184,0.9857576693325488,0.9881764096739942,0.9822776537752383,0.9874491468694367,0.9904172633641232,0.9851892955757692,0.983458268482423,0.9843746165844278,0.9735831638960518,0.9839490797279197,0.004624640218780665,9,532.760687828064,1,93.80957280195888,rbf
"{'C': 63.02738788370597, 'kernel': 'rbf'}",0.9428733031674208,0.96461716937355,0.9631972397929844,0.9451046972269384,0.9703315881326352,0.9725627553998832,0.962557603686636,0.9586681974741676,0.961560527825588,0.9378151260504202,0.9579288208130224,0.011275282713027853,8,0.9800117577895356,0.977660199882422,0.9847148736037624,0.9817754262198708,0.9800235017626322,0.9788484136310224,0.981786133960047,0.981198589894242,0.9853027630805408,0.984126984126984,0.9815448643951059,0.0024103071222031243,10,0.9610838858460652,0.971094890510949,0.9738372093023256,0.9630911188004614,0.9751534638994448,0.9756954612005858,0.9720767888307156,0.9698025551684089,0.9732868757259002,0.9604130808950088,0.9695535330179865,0.005542746959389337,10,0.9780408427751422,0.9857493794691864,0.9898609789914138,0.9777299728990548,0.9883088747823048,0.991173367984962,0.9855374698369866,0.983971894599914,0.9844696604445772,0.9678224691288904,0.9832664910912433,0.00664211671321149,15,536.9091644287109,1,63.02738788370597,rbf
"{'C': 82.09416016627263, 'kernel': 'rbf'}",0.9434069043576684,0.9641203703703703,0.9631972397929844,0.9456398640996604,0.9698200812536274,0.9725627553998832,0.962557603686636,0.9586681974741676,0.9621125143513204,0.938340807174888,0.9580426337961206,0.010984473133311991,1,0.9800117577895356,0.9794238683127572,0.9847148736037624,0.9817754262198708,0.981786133960047,0.9788484136310224,0.981786133960047,0.981198589894242,0.9853027630805408,0.984126984126984,0.9818974944578809,0.0020977129777549814,5,0.9613610149942328,0.9717118693496646,0.9738372093023256,0.9633689068358812,0.9757664233576644,0.9756954612005858,0.9720767888307156,0.9698025551684089,0.9735695614289864,0.9606886657101864,0.9697878456178651,0.005525329886538441,5,0.9801775550567822,0.9872242843257336,0.988513530784062,0.9808272730978044,0.9875130478995212,0.9904134638434154,0.9850435321449814,0.985665790013616,0.9846891253580128,0.974231190215252,0.9844298792739179,0.004547962918517433,6,532.2530949115753,1,82.09416016627263,rbf
"{'C': 82.69307064081832, 'kernel': 'rbf'}",0.9434069043576684,0.9641203703703703,0.9631972397929844,0.9456398640996604,0.9698200812536274,0.9725627553998832,0.962557603686636,0.9586681974741676,0.9621125143513204,0.938340807174888,0.9580426337961206,0.010984473133311991,1,0.9800117577895356,0.9794238683127572,0.9847148736037624,0.9817754262198708,0.981786133960047,0.9788484136310224,0.981786133960047,0.981198589894242,0.9853027630805408,0.984126984126984,0.9818974944578809,0.0020977129777549814,5,0.9613610149942328,0.9717118693496646,0.9738372093023256,0.9633689068358812,0.9757664233576644,0.9756954612005858,0.9720767888307156,0.9698025551684089,0.9735695614289864,0.9606886657101864,0.9697878456178651,0.005525329886538441,5,0.9791181796012712,0.9870812841827336,0.9894723916463046,0.981288396747334,0.9878011206513624,0.9902908429478476,0.9850272978292304,0.9866550470415204,0.9827063376282787,0.9737144972300762,0.984315539550596,0.004891049595497497,7,512.1954758167267,1,82.69307064081832,rbf
"{'C': 64.6795829646876, 'kernel': 'rbf'}",0.9428733031674208,0.9640579710144928,0.9631972397929844,0.9451046972269384,0.9703315881326352,0.9725627553998832,0.962557603686636,0.9586681974741676,0.961560527825588,0.9378151260504202,0.9578729009771166,0.01124331449365196,10,0.9800117577895356,0.977660199882422,0.9847148736037624,0.9817754262198708,0.9800235017626322,0.9788484136310224,0.981786133960047,0.981198589894242,0.9853027630805408,0.984126984126984,0.9815448643951059,0.0024103071222031243,10,0.9610838858460652,0.9708114419147694,0.9738372093023256,0.9630911188004614,0.9751534638994448,0.9756954612005858,0.9720767888307156,0.9698025551684089,0.9732868757259002,0.9604130808950088,0.9695251881583686,0.0055355122266961335,11,0.9789413291828752,0.9866184334783368,0.9866994323516062,0.9785845196473216,0.9878235723646352,0.9897506201854028,0.984613840894034,0.9816210275147472,0.9860460060669088,0.9732952674033084,0.9833994049089176,0.004878080071287968,14,516.5650641918182,1,64.6795829646876,rbf
"{'C': 12.40071614732738, 'kernel': 'rbf'}",0.9417420814479638,0.960046323103648,0.9619377162629758,0.9466817923993194,0.971395213076474,0.9736842105263158,0.9596774193548387,0.95752009184845,0.9608745684695053,0.9419391206313416,0.9575498537120831,0.010510821568498077,16,0.9788359788359788,0.9747207524985304,0.980599647266314,0.9811875367430924,0.9776733254994124,0.9782608695652174,0.9788484136310224,0.9800235017626322,0.9817754262198708,0.982363315696649,0.9794288767718718,0.0021502440358793415,16,0.9599308157970596,0.9673278879813302,0.97117903930131,0.9636258660508082,0.9745241581259152,0.9759671746776084,0.9691681210005818,0.9686411149825784,0.9712125617912184,0.961726618705036,0.9683303358413446,0.005012020571519609,16,0.9794894963977088,0.985619159532203,0.9872807590198894,0.9817446846432354,0.9897108979234585,0.9924441349562124,0.9830183876077596,0.9878494781876423,0.9898007569638636,0.9757121463633972,0.985266990159537,0.0049477330315064565,3,476.6544256210327,1,12.40071614732738,rbf
"{'C': 85.14049631114284, 'kernel': 'rbf'}",0.9434069043576684,0.9641203703703703,0.9631972397929844,0.9456398640996604,0.9698200812536274,0.9725627553998832,0.962557603686636,0.95662100456621,0.9621125143513204,0.938340807174888,0.9578379145053247,0.010989982256747893,11,0.9800117577895356,0.9794238683127572,0.9847148736037624,0.9817754262198708,0.981786133960047,0.9788484136310224,0.981786133960047,0.9847238542890716,0.9853027630805408,0.984126984126984,0.9822500208973638,0.0022418985430068955,1,0.9613610149942328,0.9717118693496646,0.9738372093023256,0.9633689068358812,0.9757664233576644,0.9756954612005858,0.9720767888307156,0.9704690214244354,0.9735695614289864,0.9606886657101864,0.9698544922434678,0.005529123528483389,2,0.9798583953173324,0.9855752923385774,0.9877249575317208,0.9784888408076814,0.987304074260596,0.9909205271524112,0.9826995732792836,0.9863144718217184,0.9824104920126868,0.9732976867015668,0.9834594311223576,0.004938471527474337,12,512.3777632713318,1,85.14049631114284,rbf
