params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 100, 'learning_rate': 0.19753914505838388}",0.8,0.9047619047619048,0.875,0.9310344827586208,0.8,1.0,0.7142857142857143,0.6666666666666666,1.0,0.6,0.8291748768472906,0.1305308678144384,4,0.0465116279069767,0.2209302325581395,0.0813953488372093,0.313953488372093,0.0459770114942528,0.057471264367816,0.1149425287356321,0.0459770114942528,0.1379310344827586,0.0689655172413793,0.11340550654905099,0.08490060121079021,18,0.0879120879120879,0.3551401869158878,0.1489361702127659,0.4695652173913043,0.0869565217391304,0.108695652173913,0.198019801980198,0.086021505376344,0.2424242424242424,0.1237113402061855,0.19073827263320592,0.1236031589898329,18,0.8799497171590195,0.8763971251332221,0.9006299018938049,0.8895519634902851,0.9017278544737036,0.8187543500442607,0.9052045112070656,0.9247873123990622,0.9198848547507552,0.8994607634454378,0.8916348353996616,0.028301846467294525,17,62.58936548233032,1,100,0.19753914505838388
"{'n_estimators': 500, 'learning_rate': 0.11463786093231192}",0.5714285714285714,0.8,0.6111111111111112,0.7714285714285715,0.8260869565217391,0.75,0.7777777777777778,0.8235294117647058,0.9375,0.8,0.7668862400032477,0.10045360396884913,10,0.0930232558139534,0.2325581395348837,0.127906976744186,0.313953488372093,0.2183908045977011,0.0689655172413793,0.160919540229885,0.160919540229885,0.1724137931034483,0.1379310344827586,0.16869820903501734,0.06787135913872235,9,0.16,0.3603603603603603,0.2115384615384615,0.4462809917355372,0.3454545454545454,0.1263157894736842,0.2666666666666666,0.2692307692307692,0.2912621359223301,0.2352941176470588,0.2712403838029413,0.09096657025331265,10,0.8947852048205941,0.8718231629000082,0.8996734348099363,0.8841274287432022,0.912755850176029,0.863947508902809,0.8736645786454216,0.9291120165960522,0.9150432132552184,0.8812970058180786,0.892622940466735,0.020269734433198818,9,328.1059184074402,1,500,0.11463786093231192
"{'n_estimators': 500, 'learning_rate': 0.15898943000005022}",0.5625,0.7333333333333333,0.5714285714285714,0.7297297297297297,0.6129032258064516,0.6666666666666666,0.7272727272727273,0.8,0.8888888888888888,0.7083333333333334,0.7001056476459702,0.09623977150877383,13,0.1046511627906976,0.2558139534883721,0.1395348837209302,0.313953488372093,0.2183908045977011,0.0689655172413793,0.1839080459770115,0.1839080459770115,0.1839080459770115,0.1954022988505747,0.18484362469927826,0.06697545670742272,7,0.1764705882352941,0.3793103448275862,0.2242990654205607,0.4390243902439024,0.3220338983050848,0.125,0.2935779816513761,0.2990654205607476,0.3047619047619047,0.3063063063063063,0.2869849900312763,0.08725205313959213,7,0.8896544421064139,0.871922225562266,0.8998100729647747,0.8844997677151367,0.915259448465068,0.8742085453451993,0.8659848500206099,0.928388980113118,0.9168981059147088,0.8780298269442586,0.8924656265151553,0.020487231215647477,15,335.1322863101959,1,500,0.15898943000005022
"{'n_estimators': 500, 'learning_rate': 0.2078991574872378}",0.4761904761904761,0.7272727272727273,0.6086956521739131,0.5294117647058824,0.59375,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.8333333333333334,0.72,0.6613653953676332,0.10650673597488167,16,0.1162790697674418,0.2790697674418604,0.1627906976744186,0.313953488372093,0.2183908045977011,0.0919540229885057,0.1839080459770115,0.2183908045977011,0.2298850574712643,0.2068965517241379,0.20215183106121354,0.06413645984209952,5,0.1869158878504672,0.4033613445378151,0.2568807339449541,0.3941605839416058,0.3193277310924369,0.1616161616161616,0.2882882882882883,0.3423423423423423,0.3603603603603603,0.3214285714285714,0.30346820054030027,0.0772224250631692,5,0.8904503593583472,0.8703030634274315,0.902614571092832,0.8853435083212636,0.9166751133545514,0.8832904241588788,0.8663936697142316,0.920655192685844,0.917489374066641,0.8765195591504659,0.8929734835330487,0.0191612476889659,8,340.8246991634369,1,500,0.2078991574872378
"{'n_estimators': 500, 'learning_rate': 0.15497091215863062}",0.5333333333333333,0.8148148148148148,0.5714285714285714,0.7297297297297297,0.6129032258064516,0.75,0.7619047619047619,0.8,0.8888888888888888,0.6956521739130435,0.7158655499819595,0.107458594514309,12,0.0930232558139534,0.2558139534883721,0.1395348837209302,0.313953488372093,0.2183908045977011,0.0689655172413793,0.1839080459770115,0.1839080459770115,0.1839080459770115,0.1839080459770115,0.1825314087142475,0.06833241799252716,8,0.1584158415841584,0.3893805309734513,0.2242990654205607,0.4390243902439024,0.3220338983050848,0.1263157894736842,0.2962962962962963,0.2990654205607476,0.3047619047619047,0.2909090909090909,0.2850502228528881,0.09034933111451722,8,0.8896271144754461,0.871915393654524,0.9001380045363867,0.8845749187002978,0.9147526471919832,0.8735328103144195,0.8662551440329218,0.9285038550683506,0.9159588342219248,0.8778946799381027,0.8923153402134357,0.02038730349376733,16,337.5435175895691,1,500,0.15497091215863062
"{'n_estimators': 1000, 'learning_rate': 0.09893598933738512}",0.5555555555555556,0.7096774193548387,0.5909090909090909,0.6923076923076923,0.59375,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.8695652173913043,0.7083333333333334,0.6845098308851816,0.09014114738647146,14,0.1162790697674418,0.2558139534883721,0.1511627906976744,0.313953488372093,0.2183908045977011,0.0919540229885057,0.1839080459770115,0.2183908045977011,0.2298850574712643,0.1954022988505747,0.19751403368083395,0.06241525842154532,6,0.1923076923076923,0.376068376068376,0.2407407407407407,0.432,0.3193277310924369,0.1616161616161616,0.2882882882882883,0.3423423423423423,0.3636363636363636,0.3063063063063063,0.3022634002398708,0.07988210269681242,6,0.8935110540267264,0.8760111223458038,0.9094157352499112,0.8844007050528789,0.9154587902991478,0.8808037192456095,0.8762965665903086,0.9264529992499342,0.9206450566603824,0.877252731658862,0.8960248480379563,0.018984968557823872,3,692.6641211509705,1,1000,0.09893598933738512
"{'n_estimators': 500, 'learning_rate': 0.23125642907393626}",0.4761904761904761,0.7058823529411765,0.6086956521739131,0.5094339622641509,0.59375,0.6666666666666666,0.6333333333333333,0.7916666666666666,0.84,0.72,0.6545619110236383,0.10926042294873026,17,0.1162790697674418,0.2790697674418604,0.1627906976744186,0.313953488372093,0.2183908045977011,0.0919540229885057,0.2183908045977011,0.2183908045977011,0.2413793103448276,0.2068965517241379,0.20674953221063883,0.06451666304400251,3,0.1869158878504672,0.4,0.2568807339449541,0.3884892086330935,0.3193277310924369,0.1616161616161616,0.3247863247863247,0.3423423423423423,0.375,0.3214285714285714,0.3076786961694352,0.07739707440310947,3,0.8895827070751235,0.8716421173448473,0.9038101549476676,0.8854938102915858,0.9178035908559536,0.8847871772520559,0.8654070965692933,0.9211856446850062,0.9179657672633408,0.8761749342847682,0.8933853000569641,0.01945352063070227,6,335.40542125701904,1,500,0.23125642907393626
"{'n_estimators': 1000, 'learning_rate': 0.2209403142094682}",0.4736842105263157,0.6857142857142857,0.5769230769230769,0.4736842105263157,0.5588235294117647,0.6,0.6176470588235294,0.6774193548387096,0.7586206896551724,0.6428571428571429,0.6065373559276314,0.08623305924592399,19,0.1046511627906976,0.2790697674418604,0.1744186046511628,0.313953488372093,0.2183908045977011,0.1034482758620689,0.2413793103448276,0.2413793103448276,0.2528735632183908,0.2068965517241379,0.21364608393477677,0.06561189374127714,1,0.1714285714285714,0.396694214876033,0.2678571428571428,0.3776223776223775,0.3140495867768595,0.1764705882352941,0.3471074380165289,0.3559322033898304,0.3793103448275862,0.3130434782608696,0.3099515946291093,0.07695006791790113,2,0.8900643565709289,0.8747062279670975,0.8928176153909219,0.8825458421009482,0.9133640117037308,0.8915479062350071,0.8675559339671728,0.9237297870758918,0.9172697601816376,0.8549365822673612,0.8908538023460698,0.02110191465983391,18,669.6703209877014,1,1000,0.2209403142094682
"{'n_estimators': 100, 'learning_rate': 0.06482583134283597}",0.0,0.9,1.0,0.9285714285714286,1.0,0.0,0.0,1.0,0.0,0.0,0.48285714285714293,0.4838113985715458,20,0.0,0.1046511627906976,0.0116279069767441,0.1511627906976744,0.0229885057471264,0.0,0.0,0.0114942528735632,0.0,0.0,0.03019246190858057,0.05047970391178024,20,0.0,0.1875,0.0229885057471264,0.26,0.0449438202247191,0.0,0.0,0.0227272727272727,0.0,0.0,0.05381595986991182,0.08766961955620532,20,0.8316242177465636,0.8675156450687289,0.8859891236028749,0.8800043724209549,0.8766682208572375,0.771402217762371,0.8977916979194118,0.9091541824619732,0.9094819139519013,0.8801617709663685,0.8709793362758385,0.03944429065944595,20,68.51721858978271,1,100,0.06482583134283597
"{'n_estimators': 1000, 'learning_rate': 0.060828588622235766}",0.5714285714285714,0.8333333333333334,0.6111111111111112,0.7941176470588235,0.7916666666666666,0.75,0.7777777777777778,0.8235294117647058,0.8823529411764706,0.8,0.763531746031746,0.09282736652545638,11,0.0930232558139534,0.2325581395348837,0.127906976744186,0.313953488372093,0.2183908045977011,0.0689655172413793,0.160919540229885,0.160919540229885,0.1724137931034483,0.1379310344827586,0.16869820903501734,0.06787135913872235,9,0.16,0.3636363636363636,0.2115384615384615,0.4499999999999999,0.3423423423423423,0.1263157894736842,0.2666666666666666,0.2692307692307692,0.2884615384615384,0.2352941176470588,0.27134860489968843,0.09170764912049287,9,0.8930635640696308,0.8816508621867569,0.9120528516382914,0.8852786051977155,0.9113908654138538,0.8657010413076824,0.8851115300668302,0.9333691472899648,0.918388101657578,0.8806415428382223,0.8966648111666528,0.019974408402308078,2,680.3271987438202,1,1000,0.060828588622235766
