params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 65},0.4347826086956521,0.7727272727272727,0.4814814814814814,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.8421052631578947,0.875,0.9166666666666666,0.875,0.7228066323031999,0.15889345134916902,8,0.1162790697674418,0.1976744186046511,0.1511627906976744,0.1627906976744186,0.0919540229885057,0.0919540229885057,0.1839080459770115,0.2413793103448276,0.2528735632183908,0.3218390804597701,0.18118150227211974,0.07085357360980767,12,0.18348623853211,0.3148148148148147,0.2300884955752212,0.2592592592592593,0.163265306122449,0.1616161616161616,0.3018867924528302,0.3783783783783784,0.3963963963963964,0.4705882352941176,0.2859780078441739,0.10038027883695176,12,0.9395546962533818,0.8944060339409177,0.9193834886453692,0.9155371245866696,0.9413124125767804,0.8967983674241656,0.9356058302418456,0.9047855554879822,0.9110496192233102,0.9216958246332448,0.9180128953013666,0.016027444640913397,6,13.349758625030518,1,65
{'n_neighbors': 75},0.5,0.7727272727272727,0.5789473684210527,0.6666666666666666,0.6,0.5833333333333334,0.7,0.8636363636363636,0.9047619047619048,0.9629629629629628,0.7133035872509557,0.1485763038749571,11,0.1162790697674418,0.1976744186046511,0.127906976744186,0.1627906976744186,0.0689655172413793,0.0804597701149425,0.160919540229885,0.2183908045977011,0.2183908045977011,0.2988505747126437,0.16506281742849505,0.06695187487020901,13,0.1886792452830188,0.3148148148148147,0.2095238095238095,0.2616822429906542,0.1237113402061855,0.1414141414141414,0.2616822429906542,0.3486238532110092,0.3518518518518519,0.456140350877193,0.2658123893163332,0.09884643286564905,13,0.9362412209985516,0.8982728937228432,0.917993195419889,0.9174363949389228,0.9446944664058328,0.8907268881726098,0.9360011352348516,0.9033766479488065,0.9131477764938812,0.9203375972213776,0.9178228216557567,0.0165686859316588,7,13.284805297851562,1,75
{'n_neighbors': 53},0.4166666666666667,0.6666666666666666,0.5882352941176471,0.56,0.6923076923076923,0.75,0.9090909090909092,0.8,0.935483870967742,0.6976744186046512,0.7016125518421975,0.1500634788388882,13,0.1162790697674418,0.2093023255813953,0.2325581395348837,0.1627906976744186,0.1034482758620689,0.1379310344827586,0.2298850574712643,0.2758620689655172,0.3333333333333333,0.3448275862068966,0.2146217588879978,0.0812269064451185,8,0.1818181818181818,0.3185840707964602,0.3333333333333333,0.2522522522522523,0.18,0.233009708737864,0.3669724770642201,0.4102564102564103,0.4915254237288134,0.4615384615384615,0.32292903195259975,0.10523878258524096,9,0.9431516956795016,0.8892718552728665,0.9240257699560024,0.919820730740852,0.9434375992485826,0.9066640988735496,0.9346124997465994,0.909522458053748,0.9126004311189496,0.9237095150249685,0.920681665371562,0.016157962892776167,2,13.301480531692505,1,53
{'n_neighbors': 84},0.5263157894736842,0.75,0.5625,0.2,0.625,0.5454545454545454,0.7368421052631579,0.8571428571428571,0.95,0.96,0.6713255297334244,0.21886313493308218,19,0.1162790697674418,0.1744186046511628,0.1046511627906976,0.0232558139534883,0.057471264367816,0.0689655172413793,0.160919540229885,0.2068965517241379,0.2183908045977011,0.2758620689655172,0.1407110398289227,0.07615398751179595,16,0.1904761904761905,0.2830188679245283,0.1764705882352941,0.0416666666666666,0.1052631578947368,0.1224489795918367,0.2641509433962264,0.3333333333333332,0.3551401869158878,0.4285714285714285,0.23005403430061286,0.11694836046505237,16,0.9315032929795316,0.8977946601809089,0.9140170251140928,0.913173284507966,0.9410184678383912,0.8872806395156332,0.9371600208126388,0.905920790339692,0.9124821774885632,0.91911789549082,0.9159468254268237,0.016142612616765358,10,13.451236963272097,1,84
{'n_neighbors': 76},0.5263157894736842,0.8095238095238095,0.5294117647058824,0.2222222222222222,0.5555555555555556,0.5833333333333334,0.7,0.8571428571428571,0.9047619047619048,0.9629629629629628,0.6651230199682212,0.2139195472979033,20,0.1162790697674418,0.1976744186046511,0.1046511627906976,0.0232558139534883,0.057471264367816,0.0804597701149425,0.160919540229885,0.2068965517241379,0.2183908045977011,0.2988505747126437,0.1464848970863405,0.08061926430191797,15,0.1904761904761905,0.3177570093457944,0.1747572815533981,0.0421052631578947,0.1041666666666666,0.1414141414141414,0.2616822429906542,0.3333333333333332,0.3518518518518519,0.456140350877193,0.2373684331667118,0.1218306335541507,15,0.9356024376246824,0.8983651244773591,0.9172860929686004,0.9163227939769902,0.9438531762925122,0.8896524694736699,0.9380013109259596,0.9029070121024144,0.9132356220478826,0.920425442775379,0.9175651482665449,0.016808354689934468,8,13.22160506248474,1,76
{'n_neighbors': 89},0.5,0.7142857142857143,0.6,0.2222222222222222,0.625,0.6666666666666666,0.8125,0.8571428571428571,0.9473684210526316,0.9615384615384616,0.6906724342908553,0.21243478834937782,16,0.1162790697674418,0.1744186046511628,0.1046511627906976,0.0232558139534883,0.057471264367816,0.0689655172413793,0.1494252873563218,0.2068965517241379,0.2068965517241379,0.2873563218390804,0.13956161454156638,0.07696366361181468,17,0.1886792452830188,0.2803738317757009,0.1782178217821782,0.0421052631578947,0.1052631578947368,0.125,0.2524271844660194,0.3333333333333332,0.3396226415094339,0.4424778761061947,0.22875003553085102,0.11710855529196051,17,0.9280463476621212,0.8948159484054328,0.9134021534173202,0.9129717432295794,0.9402075858014556,0.8866792353382391,0.9360315433112368,0.9062383858041584,0.9169690580929406,0.9163710325907006,0.9151733033653183,0.015957150231884296,14,13.118451118469238,1,89
{'n_neighbors': 13},0.7192982456140351,0.6326530612244898,0.6595744680851063,0.7735849056603774,0.7380952380952381,0.7631578947368421,0.8596491228070176,0.7735849056603774,0.8823529411764706,0.746268656716418,0.7548219439776372,0.07323842593902431,3,0.4767441860465116,0.3604651162790697,0.3604651162790697,0.4767441860465116,0.3563218390804598,0.3333333333333333,0.5632183908045977,0.4712643678160919,0.5172413793103449,0.5747126436781609,0.4490510558674151,0.0855490629492146,2,0.5734265734265734,0.4592592592592592,0.4661654135338345,0.5899280575539568,0.4806201550387597,0.4639999999999999,0.6805555555555556,0.5857142857142857,0.6521739130434783,0.6493506493506493,0.5601193862476352,0.08198843849637877,2,0.9250778837482578,0.8422478342852459,0.88340666247643,0.9215867788921376,0.9217296113847838,0.8912032813693094,0.913451857257732,0.8649813834999021,0.9002412374059884,0.9171379918506356,0.8981064522170422,0.02630640365786317,19,12.942374467849731,1,13
{'n_neighbors': 14},0.7090909090909091,0.6888888888888889,0.6521739130434783,0.7692307692307693,0.7391304347826086,0.8529411764705882,0.8571428571428571,0.7872340425531915,0.9148936170212766,0.75,0.7720726608224567,0.078260314204553,1,0.4534883720930232,0.3604651162790697,0.3488372093023256,0.3488372093023256,0.1954022988505747,0.3333333333333333,0.5517241379310345,0.425287356321839,0.4942528735632184,0.4827586206896552,0.3994386527666399,0.09764888418762845,3,0.5531914893617021,0.4732824427480915,0.4545454545454546,0.48,0.3090909090909091,0.4793388429752065,0.6713286713286714,0.5522388059701493,0.6417910447761194,0.5874125874125874,0.5202220248208891,0.09930821059538739,3,0.9237661574618096,0.8459131527887848,0.8819207225425628,0.9191170442434344,0.9266759918100914,0.8903755059566042,0.9286964395521228,0.8687452276213452,0.903849662470352,0.919327373350362,0.9008387277797467,0.026773975085268166,18,12.93132758140564,1,14
{'n_neighbors': 56},0.4347826086956521,0.64,0.59375,0.6086956521739131,0.6666666666666666,0.75,0.8947368421052632,0.7931034482758621,0.9333333333333332,0.6904761904761905,0.7005544741726881,0.14081892093164772,14,0.1162790697674418,0.1860465116279069,0.2209302325581395,0.1627906976744186,0.0919540229885057,0.1379310344827586,0.1954022988505747,0.264367816091954,0.3218390804597701,0.3333333333333333,0.20308740978348033,0.0782589057920273,11,0.18348623853211,0.2882882882882883,0.3220338983050848,0.2568807339449541,0.1616161616161616,0.233009708737864,0.3207547169811321,0.396551724137931,0.4786324786324786,0.4496124031007752,0.30908663522767793,0.10144748805605115,11,0.9422737955346652,0.8919670428770531,0.9215526193534282,0.9195372065695624,0.9437856027894342,0.9034340854264225,0.9328386952908024,0.9085020981572706,0.9118165784832452,0.9217025819835524,0.9197410306465436,0.015782928271823253,3,13.317435026168823,1,56
{'n_neighbors': 74},0.5,0.8095238095238095,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.7,0.8571428571428571,0.9047619047619048,0.9629629629629628,0.7206613756613757,0.14838965811592286,9,0.1162790697674418,0.1976744186046511,0.1162790697674418,0.1627906976744186,0.0689655172413793,0.0804597701149425,0.160919540229885,0.2068965517241379,0.2183908045977011,0.2988505747126437,0.1627506014434643,0.06684127221054813,14,0.1886792452830188,0.3177570093457944,0.1923076923076923,0.2616822429906542,0.125,0.1414141414141414,0.2616822429906542,0.3333333333333332,0.3518518518518519,0.456140350877193,0.2629848110394334,0.09873931495680631,14,0.9368458448337114,0.8983241330309075,0.9182869674527916,0.9182801355450496,0.9448262347368348,0.8912134173947712,0.935524742038152,0.9041740152851264,0.9127693648766446,0.92132754904147,0.9181572404235459,0.016480575324592295,5,13.349465608596802,1,74
