params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_penalty,param_C,param_solver,param_max_iter
"{'penalty': None, 'C': 43.10721673156127, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.6129032258064516,0.6842105263157895,0.6451612903225806,0.5223880597014925,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.7714285714285715,0.825,0.7674418604651163,0.6808925690902747,0.08308907121743923,8,0.2209302325581395,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1264367816091954,0.2758620689655172,0.3103448275862069,0.3793103448275862,0.3793103448275862,0.2955894145950281,0.08119506458824412,1,0.3247863247863247,0.4193548387096774,0.3418803418803419,0.457516339869281,0.4341085271317829,0.2115384615384615,0.3902439024390244,0.4426229508196721,0.5196850393700788,0.5076923076923077,0.4049429034236952,0.08774314221274938,7,0.890805618560927,0.8711502199874293,0.9073627469734648,0.8719085617467822,0.9135295667862716,0.8776243859257907,0.8913316710251575,0.9366498408644002,0.9302134646962232,0.8912505828214641,0.8981826659387909,0.0219513830251952,2,2.766263723373413,1,,43.10721673156127,newton-cholesky,100000
"{'penalty': 'l2', 'C': 62.62295950090462, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5806451612903226,0.6842105263157895,0.625,0.5303030303030303,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.7941176470588235,0.8205128205128205,0.7674418604651163,0.6830008823723681,0.0872984586830632,4,0.2093023255813953,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1379310344827586,0.2873563218390804,0.3103448275862069,0.367816091954023,0.3793103448275862,0.29557604918471,0.07869403891288151,12,0.3076923076923077,0.4193548387096774,0.3389830508474576,0.4605263157894737,0.4341085271317829,0.2285714285714286,0.4065040650406503,0.4462809917355371,0.5079365079365079,0.5076923076923077,0.4057650341147131,0.08481318842549368,3,0.8900951001557674,0.8668734457409887,0.9051560407728254,0.8730494903396825,0.9146648016379816,0.8787123193253462,0.8877300033111017,0.9326832762337232,0.9300783176900672,0.8885949441504997,0.8967637739357984,0.02182981994362954,15,3.5460777282714844,1,l2,62.62295950090462,newton-cholesky,100000
"{'penalty': 'l2', 'C': 81.78730390789798, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5806451612903226,0.6842105263157895,0.625,0.5303030303030303,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.7941176470588235,0.8205128205128205,0.7674418604651163,0.6830008823723681,0.0872984586830632,4,0.2093023255813953,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1379310344827586,0.2873563218390804,0.3103448275862069,0.367816091954023,0.3793103448275862,0.29557604918471,0.07869403891288151,12,0.3076923076923077,0.4193548387096774,0.3389830508474576,0.4605263157894737,0.4341085271317829,0.2285714285714286,0.4065040650406503,0.4462809917355371,0.5079365079365079,0.5076923076923077,0.4057650341147131,0.08481318842549368,3,0.889801328122865,0.8662585740442161,0.9037213401470228,0.8736097067745197,0.9157324629866136,0.8792799367512012,0.8862974450458487,0.9321089014575604,0.9284768256671194,0.8873921357957119,0.896267865679268,0.021630915917582993,16,3.939630746841431,1,l2,81.78730390789798,newton-cholesky,100000
"{'penalty': 'l2', 'C': 93.10615001241752, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5806451612903226,0.6842105263157895,0.625,0.5223880597014925,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.7941176470588235,0.8205128205128205,0.7674418604651163,0.6822093853122142,0.08870388322285523,6,0.2093023255813953,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1379310344827586,0.2873563218390804,0.3103448275862069,0.367816091954023,0.3793103448275862,0.29557604918471,0.07869403891288151,12,0.3076923076923077,0.4193548387096774,0.3389830508474576,0.457516339869281,0.4341085271317829,0.2285714285714286,0.4065040650406503,0.4462809917355371,0.5079365079365079,0.5076923076923077,0.40546403652269386,0.08462343823676703,5,0.889555379444156,0.8658828191184105,0.903099636542508,0.8736233705900036,0.9156784041841516,0.8797461939224391,0.8856352247156845,0.9318115780440176,0.928193016954192,0.8854730483082973,0.8958698671823859,0.021651922085857096,18,4.72984766960144,1,l2,93.10615001241752,newton-cholesky,100000
"{'penalty': 'l2', 'C': 90.73422914751103, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5806451612903226,0.6842105263157895,0.625,0.5223880597014925,0.6666666666666666,0.6666666666666666,0.6944444444444444,0.7941176470588235,0.8205128205128205,0.7674418604651163,0.6822093853122142,0.08870388322285523,6,0.2093023255813953,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1379310344827586,0.2873563218390804,0.3103448275862069,0.367816091954023,0.3793103448275862,0.29557604918471,0.07869403891288151,12,0.3076923076923077,0.4193548387096774,0.3389830508474576,0.457516339869281,0.4341085271317829,0.2285714285714286,0.4065040650406503,0.4462809917355371,0.5079365079365079,0.5076923076923077,0.40546403652269386,0.08462343823676703,5,0.8896988495067363,0.8659579701035717,0.9031884513431532,0.8736165386822616,0.9156784041841513,0.8797461939224391,0.8857027982187624,0.9318386074452484,0.9282470757566544,0.8864934082047747,0.8960168297367753,0.021603313478511087,17,4.884431838989258,1,l2,90.73422914751103,newton-cholesky,100000
"{'penalty': 'l2', 'C': 33.31280878712596, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5806451612903226,0.6842105263157895,0.6451612903225806,0.5303030303030303,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7941176470588235,0.8205128205128205,0.7674418604651163,0.687001138388753,0.08658273867687982,2,0.2093023255813953,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1379310344827586,0.2873563218390804,0.3103448275862069,0.367816091954023,0.3793103448275862,0.29557604918471,0.07869403891288151,12,0.3076923076923077,0.4193548387096774,0.3418803418803419,0.4605263157894737,0.4341085271317829,0.2285714285714286,0.4098360655737705,0.4462809917355371,0.5079365079365079,0.5076923076923077,0.40638796327131355,0.08459688921281029,1,0.8910105757931845,0.8675634684229223,0.9088247752302352,0.8729811712622633,0.9157121909356905,0.8777122314797922,0.8915343915343916,0.9335482170731212,0.930625663064999,0.8913924871779277,0.8980905171974529,0.022038961697532642,13,4.639832019805908,1,l2,33.31280878712596,newton-cholesky,100000
"{'penalty': None, 'C': 6.2727313362324, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.6129032258064516,0.6842105263157895,0.6451612903225806,0.5223880597014925,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.7714285714285715,0.825,0.7674418604651163,0.6808925690902747,0.08308907121743923,8,0.2209302325581395,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1264367816091954,0.2758620689655172,0.3103448275862069,0.3793103448275862,0.3793103448275862,0.2955894145950281,0.08119506458824412,1,0.3247863247863247,0.4193548387096774,0.3418803418803419,0.457516339869281,0.4341085271317829,0.2115384615384615,0.3902439024390244,0.4426229508196721,0.5196850393700788,0.5076923076923077,0.4049429034236952,0.08774314221274938,7,0.890805618560927,0.8711502199874293,0.9073627469734648,0.8719085617467822,0.9135295667862716,0.8776243859257907,0.8913316710251575,0.9366498408644002,0.9302134646962232,0.8912505828214641,0.8981826659387909,0.0219513830251952,2,4.940241813659668,1,,6.2727313362324,newton-cholesky,100000
"{'penalty': None, 'C': 80.41897930048566, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.6129032258064516,0.6842105263157895,0.6451612903225806,0.5223880597014925,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.7714285714285715,0.825,0.7674418604651163,0.6808925690902747,0.08308907121743923,8,0.2209302325581395,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1264367816091954,0.2758620689655172,0.3103448275862069,0.3793103448275862,0.3793103448275862,0.2955894145950281,0.08119506458824412,1,0.3247863247863247,0.4193548387096774,0.3418803418803419,0.457516339869281,0.4341085271317829,0.2115384615384615,0.3902439024390244,0.4426229508196721,0.5196850393700788,0.5076923076923077,0.4049429034236952,0.08774314221274938,7,0.890805618560927,0.8711502199874293,0.9073627469734648,0.8719085617467822,0.9135295667862716,0.8776243859257907,0.8913316710251575,0.9366498408644002,0.9302134646962232,0.8912505828214641,0.8981826659387909,0.0219513830251952,2,5.369672775268555,1,,80.41897930048566,newton-cholesky,100000
"{'penalty': None, 'C': 3.5747167459567617, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.6129032258064516,0.6842105263157895,0.6451612903225806,0.5223880597014925,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.7714285714285715,0.825,0.7674418604651163,0.6808925690902747,0.08308907121743923,8,0.2209302325581395,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1264367816091954,0.2758620689655172,0.3103448275862069,0.3793103448275862,0.3793103448275862,0.2955894145950281,0.08119506458824412,1,0.3247863247863247,0.4193548387096774,0.3418803418803419,0.457516339869281,0.4341085271317829,0.2115384615384615,0.3902439024390244,0.4426229508196721,0.5196850393700788,0.5076923076923077,0.4049429034236952,0.08774314221274938,7,0.890805618560927,0.8711502199874293,0.9073627469734648,0.8719085617467822,0.9135295667862716,0.8776243859257907,0.8913316710251575,0.9366498408644002,0.9302134646962232,0.8912505828214641,0.8981826659387909,0.0219513830251952,2,5.638774156570435,1,,3.5747167459567617,newton-cholesky,100000
"{'penalty': None, 'C': 22.421682239490533, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.6129032258064516,0.6842105263157895,0.6451612903225806,0.5223880597014925,0.6666666666666666,0.6470588235294118,0.6666666666666666,0.7714285714285715,0.825,0.7674418604651163,0.6808925690902747,0.08308907121743923,8,0.2209302325581395,0.3023255813953488,0.2325581395348837,0.4069767441860465,0.3218390804597701,0.1264367816091954,0.2758620689655172,0.3103448275862069,0.3793103448275862,0.3793103448275862,0.2955894145950281,0.08119506458824412,1,0.3247863247863247,0.4193548387096774,0.3418803418803419,0.457516339869281,0.4341085271317829,0.2115384615384615,0.3902439024390244,0.4426229508196721,0.5196850393700788,0.5076923076923077,0.4049429034236952,0.08774314221274938,7,0.890805618560927,0.8711502199874293,0.9073627469734648,0.8719085617467822,0.9135295667862716,0.8776243859257907,0.8913316710251575,0.9366498408644002,0.9302134646962232,0.8912505828214641,0.8981826659387909,0.0219513830251952,2,5.749814748764038,1,,22.421682239490533,newton-cholesky,100000
