params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 500, 'max_depth': 45, 'min_samples_split': 7, 'min_samples_leaf': 7, 'criterion': 'entropy'}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.85,0.32015621187164245,8,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.1034482758620689,0.0229885057471264,0.0919540229885057,0.0689655172413793,0.03686180165731083,0.035125600249607584,8,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.1875,0.0449438202247191,0.1684210526315789,0.1290322580645161,0.06892492730315766,0.06354406044814662,8,0.930813270297598,0.9180478506818244,0.9409074139862816,0.9183962779766623,0.9464784068870914,0.8881962604823397,0.9438160108658192,0.9422753349956414,0.9568441822592526,0.9398899903369892,0.9325664998769498,0.018735908510425652,7,66.65354895591736,1,500,45,7,7,entropy
"{'n_estimators': 100, 'max_depth': 23, 'min_samples_split': 13, 'min_samples_leaf': 10, 'criterion': 'entropy'}",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.30000000000000004,6,0.0116279069767441,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0344827586206896,0.0114942528735632,0.057471264367816,0.0459770114942528,0.021905907511360536,0.01737209791582326,11,0.0229885057471264,0.0454545454545454,0.0229885057471264,0.0229885057471264,0.0,0.0227272727272727,0.0666666666666666,0.0227272727272727,0.108695652173913,0.0879120879120879,0.04231490149031375,0.03281280742156301,11,0.9216995053698795,0.9090604760473314,0.9353496570382314,0.9050057388025032,0.940927243609236,0.8731104759201822,0.9388459797144344,0.941126585443316,0.9528370735267286,0.9377479102894172,0.925571064576126,0.022591980906050246,12,12.358607053756714,1,100,23,13,10,entropy
"{'n_estimators': 500, 'max_depth': 13, 'min_samples_split': 26, 'min_samples_leaf': 4, 'criterion': 'entropy'}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.85,0.32015621187164245,8,0.0232558139534883,0.0348837209302325,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.1149425287356321,0.0114942528735632,0.0804597701149425,0.0459770114942528,0.03457631649291628,0.03483760538698172,9,0.0454545454545454,0.0674157303370786,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.2061855670103092,0.0227272727272727,0.1489361702127659,0.0879120879120879,0.06470744248557316,0.06264305985864674,9,0.923974530647938,0.9134055693711912,0.9366716311862924,0.9052892629737928,0.9405995121193076,0.868083007291181,0.934227330779055,0.9440998195787468,0.9522424266996424,0.9395386081209836,0.9258131698768131,0.023537133645330974,10,58.49151635169983,1,500,13,26,4,entropy
"{'n_estimators': 500, 'max_depth': 25, 'min_samples_split': 3, 'min_samples_leaf': 14, 'criterion': 'entropy'}",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45825756949558394,15,0.0116279069767441,0.0232558139534883,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.004651162790697649,0.007713080907803223,15,0.0229885057471264,0.0454545454545454,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.009143155694879819,0.015123113220638562,15,0.9194313119995629,0.9034856393299264,0.9339969393053316,0.9001345885825158,0.9346902092751392,0.8674647097380176,0.9348287349564488,0.93798441755019,0.9454918337421532,0.9377242595633402,0.9215232644042626,0.023072636697451337,15,63.85624670982361,1,500,25,3,14,entropy
"{'n_estimators': 500, 'max_depth': 26, 'min_samples_split': 16, 'min_samples_leaf': 7, 'criterion': 'entropy'}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.85,0.32015621187164245,8,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.1264367816091954,0.0229885057471264,0.1149425287356321,0.0689655172413793,0.04145950280673612,0.04333365314232299,7,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.2244897959183673,0.0449438202247191,0.2061855670103092,0.1290322580645161,0.07640035833286743,0.07674701312183504,7,0.929959281829858,0.9161110048369906,0.9399919383488644,0.9161110048369908,0.9444985032469068,0.8874090291714812,0.943255150790272,0.9425118422564144,0.955229175535689,0.9419577395311752,0.9317034670384642,0.018954082167824224,8,67.54003858566284,1,500,26,16,7,entropy
"{'n_estimators': 500, 'max_depth': 22, 'min_samples_split': 10, 'min_samples_leaf': 27, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.902351542644768,0.8944641051567239,0.9246782171453556,0.8835330527696554,0.9242872684762852,0.8391210038719619,0.925621845162075,0.934321933683364,0.9352476906755324,0.927426057694257,0.9091052717279979,0.028657419465397835,19,59.22530794143677,1,500,22,10,27,entropy
"{'n_estimators': 100, 'max_depth': 38, 'min_samples_split': 2, 'min_samples_leaf': 22, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.906437023474435,0.8901668351870576,0.9272470144563169,0.8883324679583526,0.9253279004236858,0.8470608904836235,0.9319737544514046,0.9339435220661274,0.9397616006811408,0.928987005615358,0.9119238014797503,0.027630877634256056,17,12.23679804801941,1,100,38,2,22,entropy
"{'n_estimators': 500, 'max_depth': 49, 'min_samples_split': 7, 'min_samples_leaf': 28, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.9038750580712158,0.8938697291831771,0.9229019211324572,0.8811487169677261,0.9231047321724206,0.8419388189503133,0.9254934555062267,0.9338894632636652,0.934862521707988,0.92692601377148,0.9088010430726671,0.027931395583190247,20,58.151496171951294,1,500,49,7,28,entropy
"{'n_estimators': 100, 'max_depth': 13, 'min_samples_split': 29, 'min_samples_leaf': 6, 'criterion': 'entropy'}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.75,0.4031128874149275,12,0.0116279069767441,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0689655172413793,0.0,0.0459770114942528,0.057471264367816,0.02420475808607319,0.02322271869535499,10,0.0229885057471264,0.0454545454545454,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.1290322580645161,0.0,0.0879120879120879,0.108695652173913,0.046252610055386056,0.043538121917621984,10,0.9178053179569864,0.901446314868964,0.9345195802475884,0.9036222774847648,0.9390149134721292,0.8611195577989958,0.9295748950921364,0.9431841986120404,0.9521512024704872,0.9339435220661274,0.9216381780070219,0.025469684552600964,14,12.116755247116089,1,100,13,29,6,entropy
"{'n_estimators': 100, 'max_depth': 35, 'min_samples_split': 21, 'min_samples_leaf': 23, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.9038750580712158,0.8899447981854454,0.9290198945153444,0.8833383433990107,0.9253414151243016,0.8401514997939008,0.9282707264827316,0.9359031536553886,0.9387682701858948,0.9274193003439491,0.9102032459757183,0.02960054640169897,18,12.188356637954712,1,100,35,21,23,entropy
