params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 78.55223574030809, 'kernel': 'rbf'}",0.6627906976744186,0.6144578313253012,0.7307692307692307,0.717948717948718,0.7796610169491526,0.84375,0.7575757575757576,0.7777777777777778,0.8688524590163934,0.7093023255813954,0.7462885814618145,0.0731550039141135,14,0.6627906976744186,0.5930232558139535,0.6627906976744186,0.6511627906976745,0.5287356321839081,0.6206896551724138,0.5747126436781609,0.6436781609195402,0.6091954022988506,0.7011494252873564,0.6247928361400695,0.04772260265686523,8,0.6627906976744186,0.6035502958579881,0.6951219512195121,0.6829268292682927,0.6301369863013698,0.7152317880794703,0.6535947712418301,0.7044025157232704,0.7162162162162161,0.7052023121387283,0.6769174363721097,0.036400582224636685,14,0.9296655097969556,0.9243981089279372,0.9350251414204904,0.9404257644904764,0.9057721286329206,0.9318791515470954,0.9202598876928378,0.9376769581111856,0.9411198280930082,0.9062721725556976,0.9272494651268604,0.012331966854726806,16,62.886000871658325,1,78.55223574030809,rbf
"{'C': 59.28812042477488, 'kernel': 'rbf'}",0.6551724137931034,0.6329113924050633,0.7375,0.7368421052631579,0.7796610169491526,0.8307692307692308,0.7575757575757576,0.7916666666666666,0.8688524590163934,0.7176470588235294,0.7508598101262055,0.0688429867090342,10,0.6627906976744186,0.5813953488372093,0.686046511627907,0.6511627906976745,0.5287356321839081,0.6206896551724138,0.5747126436781609,0.6551724137931034,0.6091954022988506,0.7011494252873564,0.6271050521251003,0.05144849736569264,2,0.6589595375722542,0.6060606060606061,0.7108433734939759,0.6913580246913581,0.6301369863013698,0.7105263157894737,0.6535947712418301,0.7169811320754716,0.7162162162162161,0.7093023255813954,0.6803979289023951,0.03826450953847974,10,0.929132620993086,0.926324706911158,0.9314383898559834,0.9440603394091768,0.9066438268226265,0.9331022319528066,0.9273753775669484,0.940325839431842,0.939991350591606,0.9074006500570996,0.9285795333592333,0.01213692282454271,7,66.46603679656982,1,59.28812042477488,rbf
"{'C': 92.96374519217267, 'kernel': 'rbf'}",0.6627906976744186,0.6144578313253012,0.7215189873417721,0.717948717948718,0.7586206896551724,0.84375,0.7575757575757576,0.7746478873239436,0.8833333333333333,0.7011494252873564,0.7435793327465772,0.07556175663295356,17,0.6627906976744186,0.5930232558139535,0.6627906976744186,0.6511627906976745,0.5057471264367817,0.6206896551724138,0.5747126436781609,0.632183908045977,0.6091954022988506,0.7011494252873564,0.6213445602780007,0.052247898520435467,13,0.6627906976744186,0.6035502958579881,0.6909090909090908,0.6829268292682927,0.6068965517241379,0.7152317880794703,0.6535947712418301,0.6962025316455697,0.7210884353741497,0.7011494252873564,0.6734340417062304,0.03939274393956862,17,0.92964501407373,0.9222733856202006,0.932128412537917,0.941443718744022,0.912725442099644,0.9321089014575604,0.9260644516072358,0.9405082878901524,0.9396669977768318,0.9040827910559712,0.9280647402863267,0.011626633901617533,11,65.96729063987732,1,92.96374519217267,rbf
"{'C': 97.21810391296346, 'kernel': 'rbf'}",0.6551724137931034,0.6144578313253012,0.7215189873417721,0.717948717948718,0.7586206896551724,0.84375,0.7575757575757576,0.7746478873239436,0.8833333333333333,0.6451612903225806,0.7372186908619682,0.08115787502906406,18,0.6627906976744186,0.5930232558139535,0.6627906976744186,0.6511627906976745,0.5057471264367817,0.6206896551724138,0.5747126436781609,0.632183908045977,0.6091954022988506,0.6896551724137931,0.6201951349906443,0.05057938361062763,14,0.6589595375722542,0.6035502958579881,0.6909090909090908,0.6829268292682927,0.6068965517241379,0.7152317880794703,0.6535947712418301,0.6962025316455697,0.7210884353741497,0.6666666666666667,0.669602649833945,0.038399182920625025,18,0.9338671330582352,0.9230180635640696,0.9331531986992048,0.9401661519962834,0.9150770000067572,0.9326967909343388,0.9108401413637685,0.9400623027698378,0.9383695865177346,0.9043395703676675,0.9271589939277899,0.012341428869617026,18,66.20363759994507,1,97.21810391296346,rbf
"{'C': 16.235915381227837, 'kernel': 'rbf'}",0.7105263157894737,0.6811594202898551,0.7916666666666666,0.7777777777777778,0.7758620689655172,0.913793103448276,0.746268656716418,0.7887323943661971,0.9152542372881356,0.7176470588235294,0.7818687700131848,0.0748435385165054,4,0.627906976744186,0.5465116279069767,0.6627906976744186,0.6511627906976745,0.5172413793103449,0.6091954022988506,0.5747126436781609,0.6436781609195402,0.6206896551724138,0.7011494252873564,0.6155038759689923,0.05285494431557589,16,0.6666666666666666,0.6064516129032258,0.7215189873417721,0.7088607594936709,0.6206896551724138,0.7310344827586207,0.6493506493506493,0.7088607594936709,0.7397260273972602,0.7093023255813954,0.6862461926159347,0.044804184793075734,5,0.929979777553084,0.9323709452627552,0.9401490722269286,0.9450577979394968,0.9109482589686932,0.9240879266422052,0.915860852642462,0.9369877083797902,0.9415793279139384,0.9101306195814498,0.9287152287110804,0.012224542857951024,5,68.8693618774414,1,16.235915381227837,rbf
"{'C': 79.52427057692513, 'kernel': 'rbf'}",0.6627906976744186,0.6144578313253012,0.7307692307692307,0.717948717948718,0.7796610169491526,0.84375,0.7575757575757576,0.7777777777777778,0.8688524590163934,0.7093023255813954,0.7462885814618145,0.0731550039141135,14,0.6627906976744186,0.5930232558139535,0.6627906976744186,0.6511627906976745,0.5287356321839081,0.6206896551724138,0.5747126436781609,0.6436781609195402,0.6091954022988506,0.7011494252873564,0.6247928361400695,0.04772260265686523,8,0.6627906976744186,0.6035502958579881,0.6951219512195121,0.6829268292682927,0.6301369863013698,0.7152317880794703,0.6535947712418301,0.7044025157232704,0.7162162162162161,0.7052023121387283,0.6769174363721097,0.036400582224636685,14,0.9328491788046894,0.9227994425163284,0.933378651654688,0.9414778782827318,0.9113807293883922,0.9332981951117328,0.9230168866184192,0.940156905674147,0.939558880171907,0.908589943711272,0.9286506691934309,0.011154194383559787,6,68.1744453907013,1,79.52427057692513,rbf
"{'C': 35.59032661938578, 'kernel': 'rbf'}",0.6746987951807228,0.6621621621621622,0.75,0.75,0.7796610169491526,0.8709677419354839,0.7575757575757576,0.8,0.8983050847457628,0.7261904761904762,0.7669561034739518,0.07151385666905818,7,0.6511627906976745,0.5697674418604651,0.6976744186046512,0.6627906976744186,0.5287356321839081,0.6206896551724138,0.5747126436781609,0.6436781609195402,0.6091954022988506,0.7011494252873564,0.625955626837744,0.053523193649361825,7,0.6627218934911243,0.6125,0.7228915662650603,0.7037037037037037,0.6301369863013698,0.7248322147651007,0.6535947712418301,0.713375796178344,0.726027397260274,0.7134502923976608,0.6863234621604468,0.040498572944903485,4,0.9300754242614708,0.92964501407373,0.9354008963462958,0.9436640887601454,0.9079209660308,0.9311561150641612,0.9192733145478996,0.9381364579321156,0.9404440930622284,0.909718421212674,0.928543479129152,0.011769875810162716,9,69.83977055549622,1,35.59032661938578,rbf
"{'C': 86.01498188634636, 'kernel': 'rbf'}",0.6627906976744186,0.6144578313253012,0.7307692307692307,0.717948717948718,0.7666666666666667,0.84375,0.7575757575757576,0.7777777777777778,0.8833333333333333,0.7011494252873564,0.7456219438358561,0.0756588190868444,16,0.6627906976744186,0.5930232558139535,0.6627906976744186,0.6511627906976745,0.5287356321839081,0.6206896551724138,0.5747126436781609,0.6436781609195402,0.6091954022988506,0.7011494252873564,0.6247928361400695,0.04772260265686523,8,0.6627906976744186,0.6035502958579881,0.6951219512195121,0.6829268292682927,0.6258503401360546,0.7152317880794703,0.6535947712418301,0.7044025157232704,0.7210884353741497,0.7011494252873564,0.6765707049862344,0.037231837976126884,16,0.929624518350504,0.9222255622660072,0.9297304129205038,0.94261197496789,0.911657780751012,0.9313520782230872,0.9245372904376736,0.937859406569496,0.9388696304405116,0.9047382540358276,0.9273206908962512,0.011378195062462838,15,69.79511547088623,1,86.01498188634636,rbf
"{'C': 42.45558404336308, 'kernel': 'rbf'}",0.6588235294117647,0.6447368421052632,0.7375,0.7402597402597403,0.7666666666666667,0.873015873015873,0.7575757575757576,0.7916666666666666,0.8688524590163934,0.7093023255813954,0.7548399860299522,0.07238559451570817,8,0.6511627906976745,0.5697674418604651,0.686046511627907,0.6627906976744186,0.5287356321839081,0.632183908045977,0.5747126436781609,0.6551724137931034,0.6091954022988506,0.7011494252873564,0.6270916867147822,0.05258549140317275,5,0.6549707602339181,0.6049382716049383,0.7108433734939759,0.6993865030674846,0.6258503401360546,0.7333333333333333,0.6535947712418301,0.7169811320754716,0.7162162162162161,0.7052023121387283,0.682131701354195,0.0416301282646349,8,0.9335323695788812,0.9255458694285792,0.935216434837264,0.9429740660782115,0.9092048625892816,0.9330481731503444,0.9213478210923932,0.9382445755370404,0.9416333867164008,0.9040017028522777,0.9284749261860673,0.012650713267708684,10,67.65525698661804,1,42.45558404336308,rbf
"{'C': 24.796227976797656, 'kernel': 'rbf'}",0.7088607594936709,0.6712328767123288,0.7733333333333333,0.7671232876712328,0.7758620689655172,0.9,0.7313432835820896,0.7887323943661971,0.9298245614035088,0.7261904761904762,0.7772503041718355,0.07696066646736383,5,0.6511627906976745,0.5697674418604651,0.6744186046511628,0.6511627906976745,0.5172413793103449,0.6206896551724138,0.5632183908045977,0.6436781609195402,0.6091954022988506,0.7011494252873564,0.6201684041700081,0.05336031730744382,15,0.6787878787878788,0.6163522012578616,0.7204968944099379,0.7044025157232704,0.6206896551724138,0.7346938775510204,0.6363636363636364,0.7088607594936709,0.7361111111111112,0.7134502923976608,0.6870208822268462,0.04394161654661379,3,0.9398108927937036,0.931790233104692,0.9332010220533982,0.9465881452736862,0.904751768736443,0.9274057856433336,0.927219958509869,0.9327440923864934,0.9422010041422556,0.90519099650645,0.9290903899150325,0.01341793841437781,1,70.13420057296753,1,24.796227976797656,rbf
