params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 500, 'learning_rate': 0.09020079972913063}",0.5833333333333334,0.9090909090909092,0.5625,0.8235294117647058,0.9,0.7142857142857143,0.7333333333333333,0.875,0.9375,0.6666666666666666,0.7705239368474663,0.13084998361357536,11,0.0813953488372093,0.2325581395348837,0.1046511627906976,0.3255813953488372,0.2068965517241379,0.057471264367816,0.1264367816091954,0.160919540229885,0.1724137931034483,0.1379310344827586,0.16062550120288688,0.07509997298326943,10,0.1428571428571428,0.3703703703703703,0.1764705882352941,0.4666666666666667,0.3364485981308411,0.1063829787234042,0.2156862745098039,0.2718446601941747,0.2912621359223301,0.2285714285714286,0.26065608441814564,0.1044507983583582,10,0.8906416527751209,0.8694866504522724,0.9049100920941164,0.860953597682617,0.9096440903592884,0.849513808645354,0.8687317129207295,0.926855061593248,0.9213444424172396,0.8861927061160777,0.8888273815056064,0.025111930141665566,10,327.5546340942383,1,500,0.09020079972913063
"{'n_estimators': 1000, 'learning_rate': 0.1934410995288035}",0.4347826086956521,0.7058823529411765,0.625,0.5283018867924528,0.5428571428571428,0.5,0.6060606060606061,0.7916666666666666,0.8214285714285714,0.6785714285714286,0.6234551264013696,0.12000594933514289,18,0.1162790697674418,0.2790697674418604,0.1744186046511628,0.3255813953488372,0.2183908045977011,0.0919540229885057,0.2298850574712643,0.2183908045977011,0.264367816091954,0.2183908045977011,0.21367281475541294,0.06748465672494751,2,0.18348623853211,0.4,0.2727272727272727,0.4028776978417266,0.3114754098360656,0.1553398058252427,0.3333333333333333,0.3423423423423423,0.4,0.3304347826086956,0.31320168830467887,0.08249166691535183,2,0.8840796053890089,0.8682774027819528,0.8939243844451125,0.8455237340474955,0.9102995533391448,0.8785873083446519,0.852615432436633,0.9209998175515418,0.9278314987127247,0.8641029279598884,0.8846241665008154,0.02685937840365645,19,690.5847914218903,1,1000,0.1934410995288035
"{'n_estimators': 500, 'learning_rate': 0.07624583745734557}",0.5833333333333334,0.95,0.5,0.875,0.9473684210526316,0.7142857142857143,0.7333333333333333,0.875,0.9375,0.75,0.7865820802005012,0.1496025145077739,10,0.0813953488372093,0.2209302325581395,0.0813953488372093,0.3255813953488372,0.2068965517241379,0.057471264367816,0.1264367816091954,0.160919540229885,0.1724137931034483,0.1379310344827586,0.15713712910986366,0.07608220466831758,11,0.1428571428571428,0.3584905660377359,0.14,0.4745762711864406,0.3396226415094339,0.1063829787234042,0.2156862745098039,0.2718446601941747,0.2912621359223301,0.233009708737864,0.25737323796783296,0.10841797425712077,11,0.8897535047686715,0.877165714754188,0.901196950236384,0.8662551580903453,0.907890557954415,0.843979538743268,0.911488846993317,0.9264361058741646,0.9211011778061586,0.8916594025150857,0.8936926957735997,0.024320692796531127,3,334.11066341400146,1,500,0.07624583745734557
"{'n_estimators': 1000, 'learning_rate': 0.2776814737533226}",0.4166666666666667,0.7352941176470589,0.625,0.5283018867924528,0.5428571428571428,0.5294117647058824,0.6060606060606061,0.6785714285714286,0.7931034482758621,0.6785714285714286,0.613383849014853,0.10668203748323946,20,0.1162790697674418,0.2906976744186046,0.1744186046511628,0.3255813953488372,0.2183908045977011,0.1034482758620689,0.2298850574712643,0.2183908045977011,0.264367816091954,0.2183908045977011,0.2159850307404437,0.06669211182421894,1,0.1818181818181818,0.4166666666666667,0.2727272727272727,0.4028776978417266,0.3114754098360656,0.173076923076923,0.3333333333333333,0.3304347826086956,0.396551724137931,0.3304347826086956,0.3149396774655492,0.0807470042879323,1,0.883744841909655,0.8697360150848523,0.8939858716147897,0.8506784084387724,0.9137525593464292,0.8808037192456094,0.8489292978437295,0.9213511997675472,0.92806124862319,0.86198111996324,0.8853024281837815,0.027098581616188697,17,679.4022262096405,1,1000,0.2776814737533226
"{'n_estimators': 500, 'learning_rate': 0.04450618335230391}",0.75,0.9047619047619048,0.875,0.9,0.9473684210526316,1.0,0.7142857142857143,0.6666666666666666,1.0,1.0,0.8758082706766916,0.1176746726089648,2,0.0348837209302325,0.2209302325581395,0.0813953488372093,0.313953488372093,0.2068965517241379,0.057471264367816,0.1149425287356321,0.0459770114942528,0.1379310344827586,0.0919540229885057,0.13063352044907772,0.08572233263682567,19,0.0666666666666666,0.3551401869158878,0.1489361702127659,0.4655172413793103,0.3396226415094339,0.108695652173913,0.198019801980198,0.086021505376344,0.2424242424242424,0.1684210526315789,0.21794651612703406,0.12464165908008998,19,0.8781324296996694,0.875420162326128,0.8991986172218731,0.884472440084169,0.9074411941589464,0.8248528586970476,0.9092048625892816,0.9258786244737712,0.9200436524829884,0.8985113557271922,0.8923156197461066,0.02755806663471727,6,338.7863473892212,1,500,0.04450618335230391
"{'n_estimators': 1000, 'learning_rate': 0.18374037506238458}",0.4347826086956521,0.7058823529411765,0.625,0.5283018867924528,0.5428571428571428,0.5,0.6060606060606061,0.7916666666666666,0.8148148148148148,0.6666666666666666,0.6216032745495178,0.11842063209864538,19,0.1162790697674418,0.2790697674418604,0.1744186046511628,0.3255813953488372,0.2183908045977011,0.0919540229885057,0.2298850574712643,0.2183908045977011,0.2528735632183908,0.2068965517241379,0.21137396418070029,0.06669281492428876,3,0.18348623853211,0.4,0.2727272727272727,0.4028776978417266,0.3114754098360656,0.1553398058252427,0.3333333333333333,0.3423423423423423,0.3859649122807018,0.3157894736842105,0.31033364864030055,0.08089298581068398,4,0.884393873145137,0.8683525537671137,0.8940678545076928,0.8457355231874948,0.9107049943576124,0.8781886246764918,0.8515815578395399,0.9213849865190862,0.9279328589673416,0.8644880969274328,0.8846830923894944,0.027041071192085236,18,668.8914444446564,1,1000,0.18374037506238458
"{'n_estimators': 500, 'learning_rate': 0.05208294233444753}",0.625,0.95,0.875,0.9,0.9473684210526316,1.0,0.7142857142857143,0.7142857142857143,1.0,1.0,0.872593984962406,0.13132496432413213,3,0.0581395348837209,0.2209302325581395,0.0813953488372093,0.313953488372093,0.2068965517241379,0.057471264367816,0.1149425287356321,0.057471264367816,0.1379310344827586,0.1034482758620689,0.13525795241913924,0.08172246230854438,17,0.1063829787234042,0.3584905660377359,0.1489361702127659,0.4655172413793103,0.3396226415094339,0.108695652173913,0.198019801980198,0.1063829787234042,0.2424242424242424,0.1875,0.22619722731644076,0.11776352548364898,17,0.8814322411390157,0.8795056431557948,0.9019621239034789,0.8872427786735169,0.9050220627487552,0.8317994148134634,0.9105461966253792,0.9273078040638704,0.9183475575557312,0.8971429922898633,0.8940308814968867,0.025403440558569412,2,337.1597979068756,1,500,0.05208294233444753
"{'n_estimators': 500, 'learning_rate': 0.10172386338641079}",0.5384615384615384,0.8333333333333334,0.5625,0.8,0.8260869565217391,0.7142857142857143,0.7333333333333333,0.875,0.9411764705882352,0.631578947368421,0.7455756293892316,0.12755115293443461,12,0.0813953488372093,0.2325581395348837,0.1046511627906976,0.3255813953488372,0.2183908045977011,0.057471264367816,0.1264367816091954,0.160919540229885,0.1839080459770115,0.1379310344827586,0.16292435177759954,0.07612236564007352,9,0.1414141414141414,0.3636363636363636,0.1764705882352941,0.462809917355372,0.3454545454545454,0.1063829787234042,0.2156862745098039,0.2718446601941747,0.3076923076923077,0.2264150943396226,0.26178068715550296,0.10454070564723289,9,0.8901019320635095,0.8697155193616265,0.8970499822370398,0.8598195009974585,0.9098434321933684,0.8525647523093245,0.8678363640049465,0.9264293485238568,0.9230506733699582,0.8861217539378459,0.8882533258998935,0.024621937735228007,11,338.5968689918518,1,500,0.10172386338641079
"{'n_estimators': 100, 'learning_rate': 0.21558907062291593}",0.8,0.9047619047619048,0.875,0.9,0.9473684210526316,1.0,0.7142857142857143,0.7142857142857143,1.0,0.6923076923076923,0.8548009446693656,0.11161432862023334,6,0.0465116279069767,0.2209302325581395,0.0813953488372093,0.313953488372093,0.2068965517241379,0.057471264367816,0.1149425287356321,0.057471264367816,0.1379310344827586,0.1034482758620689,0.1340951617214648,0.08288591401854692,18,0.0879120879120879,0.3551401869158878,0.1489361702127659,0.4655172413793103,0.3396226415094339,0.108695652173913,0.198019801980198,0.1063829787234042,0.2424242424242424,0.18,0.22326510032312435,0.11963498612048329,18,0.8831709616593337,0.8780401989451534,0.9012994288525128,0.8883597955893204,0.9088940244751228,0.8245724286592742,0.9093096015190524,0.9244156581321332,0.9200166230817572,0.8878144701899491,0.892589319110361,0.027117923821646964,4,67.07380723953247,1,100,0.21558907062291593
"{'n_estimators': 500, 'learning_rate': 0.23165582653190409}",0.45,0.75,0.6521739130434783,0.56,0.5757575757575758,0.5714285714285714,0.6129032258064516,0.7916666666666666,0.8,0.6923076923076923,0.6456237645010436,0.10739374953881554,15,0.1046511627906976,0.2790697674418604,0.1744186046511628,0.3255813953488372,0.2183908045977011,0.0919540229885057,0.2183908045977011,0.2183908045977011,0.2298850574712643,0.2068965517241379,0.20676289762095693,0.06703762600158232,6,0.169811320754717,0.4067796610169491,0.2752293577981651,0.411764705882353,0.3166666666666667,0.1584158415841584,0.3220338983050848,0.3423423423423423,0.3571428571428571,0.3185840707964602,0.30787707222897537,0.08188304578424807,5,0.883143634028366,0.8658008362255076,0.8996495231328396,0.8513752630284481,0.9136106549899652,0.8723266232844777,0.8464594863062296,0.9204862589281492,0.9275510686749512,0.8838377695338104,0.8864241118132744,0.026893825599902402,15,337.5032410621643,1,500,0.23165582653190409
