params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 29, 'min_samples_leaf': 17}",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,14,0.0116279069767441,0.0232558139534883,0.0,0.0116279069767441,0.0,0.0,0.0459770114942528,0.0,0.0344827586206896,0.0,0.012697139802191887,0.015817781008821155,14,0.0229885057471264,0.0454545454545454,0.0,0.0229885057471264,0.0,0.0,0.0879120879120879,0.0,0.0666666666666666,0.0,0.02460103115275527,0.030403833316161654,14,0.9160529336211845,0.8988980132812285,0.9313324952859836,0.9000389418741289,0.9313689715988568,0.8550615932480556,0.934321933683364,0.9412211883476252,0.9520261914897932,0.936261293221702,0.9196583555651923,0.026978488954696105,14,113.47346353530884,1,500,43,29,17
"{'n_estimators': 500, 'max_depth': 47, 'min_samples_split': 3, 'min_samples_leaf': 7}",0.8571428571428571,1.0,1.0,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.8757142857142857,0.2959626286391922,9,0.0697674418604651,0.127906976744186,0.0581395348837209,0.1046511627906976,0.0,0.0114942528735632,0.1379310344827586,0.0344827586206896,0.0919540229885057,0.0804597701149425,0.07167869553595294,0.044109946510499605,9,0.1290322580645161,0.2268041237113402,0.1098901098901098,0.1875,0.0,0.0227272727272727,0.2424242424242424,0.0666666666666666,0.1684210526315789,0.1489361702127659,0.13024018963284925,0.07744325077213574,9,0.9310831306534038,0.9136002787418358,0.9369175798650016,0.9150383953215095,0.9473433477264896,0.8852399197226783,0.945829701257543,0.9439781872732064,0.9622703345564138,0.9459851203146222,0.9327285995432704,0.021247348593235092,8,117.11834120750429,1,500,47,3,7
"{'n_estimators': 100, 'max_depth': 36, 'min_samples_split': 11, 'min_samples_leaf': 9}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.85,0.32015621187164245,10,0.0232558139534883,0.0465116279069767,0.0232558139534883,0.0116279069767441,0.0,0.0114942528735632,0.0689655172413793,0.0344827586206896,0.057471264367816,0.0689655172413793,0.03460304731355248,0.02354380287601687,10,0.0454545454545454,0.0888888888888888,0.0454545454545454,0.0227272727272727,0.0,0.0227272727272727,0.1290322580645161,0.0666666666666666,0.108695652173913,0.1290322580645161,0.06586793602221368,0.04386172631605792,10,0.9276876725056704,0.9094157352499112,0.931981526521466,0.9107206296286174,0.9443363268395196,0.8771750221303223,0.9418192138498652,0.9408292620297728,0.9598309310952988,0.9444985032469068,0.928829482309735,0.022680486324405825,10,21.44710421562195,1,100,36,11,9
"{'n_estimators': 500, 'max_depth': 15, 'min_samples_split': 16, 'min_samples_leaf': 9}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.75,0.4031128874149275,11,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0689655172413793,0.0,0.0459770114942528,0.0344827586206896,0.023068698209034965,0.020546874413230387,12,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.1290322580645161,0.0,0.0879120879120879,0.0666666666666666,0.04429631547540332,0.03859330028962855,12,0.9181776569289208,0.9016922635476732,0.926393025988577,0.9017059273631568,0.9336799854041232,0.848909025792806,0.936859318723942,0.942390209950874,0.9558643664646218,0.9403359754573036,0.9206007755621999,0.029046273657771116,12,110.445374250412,1,500,15,16,9
"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 26, 'min_samples_leaf': 4}",0.8461538461538461,0.9565217391304348,1.0,0.925925925925926,0.6,0.8,1.0,1.0,1.0,1.0,0.9128601511210206,0.12454414239333551,6,0.127906976744186,0.2558139534883721,0.0930232558139534,0.2906976744186046,0.0344827586206896,0.0459770114942528,0.2298850574712643,0.2298850574712643,0.2413793103448276,0.2068965517241379,0.17559476075915528,0.08757375039142959,7,0.2222222222222222,0.4036697247706422,0.1702127659574468,0.4424778761061947,0.0652173913043478,0.0869565217391304,0.3738317757009345,0.3738317757009345,0.3888888888888889,0.3428571428571428,0.2870166085247885,0.131683867558537,7,0.9346767141256525,0.9158035689886044,0.936548656846938,0.9195884458776268,0.9544588376006,0.892450012501098,0.9488434794948204,0.9435659889044308,0.9652165392906132,0.950262523059458,0.9361414766689842,0.02048326602416989,7,25.077747106552124,1,100,30,26,4
"{'n_estimators': 100, 'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 23}",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45825756949558394,16,0.0116279069767441,0.0,0.0116279069767441,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00348837209302323,0.005328576389483496,16,0.0229885057471264,0.0,0.0229885057471264,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.00689655172413792,0.010534656770013409,16,0.906426775612822,0.8956152816112372,0.927906293553412,0.8959773727215588,0.9209423800739254,0.8484529046470298,0.933264408360194,0.9394845493185212,0.9509112286890063,0.930463486657612,0.9149444681245319,0.02811283465230343,17,20.48794674873352,1,100,26,6,23
"{'n_estimators': 100, 'max_depth': 43, 'min_samples_split': 16, 'min_samples_leaf': 7}",1.0,1.0,1.0,0.9090909090909092,0.0,1.0,1.0,1.0,1.0,1.0,0.890909090909091,0.2982039903064859,8,0.0581395348837209,0.0465116279069767,0.0232558139534883,0.1162790697674418,0.0,0.0344827586206896,0.1379310344827586,0.0919540229885057,0.2183908045977011,0.0689655172413793,0.0795910184442662,0.061137753627580775,8,0.1098901098901098,0.0888888888888888,0.0454545454545454,0.2061855670103092,0.0,0.0666666666666666,0.2424242424242424,0.1684210526315789,0.3584905660377358,0.1290322580645161,0.14154538970685931,0.10047343896819816,8,0.9329209138359796,0.9100340229005548,0.9322821304621104,0.907936627223786,0.944924216316298,0.885915654753458,0.9445829701257544,0.9431402758350396,0.9620067978944096,0.9454918337421532,0.9309235443089543,0.021694623286207745,9,24.6882917881012,1,100,43,16,7
"{'n_estimators': 500, 'max_depth': 24, 'min_samples_split': 23, 'min_samples_leaf': 22}",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,17,0.0116279069767441,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00232558139534882,0.00465116279069764,17,0.0229885057471264,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0045977011494252795,0.009195402298850559,17,0.9101911567786188,0.8969987429289755,0.9267141256524472,0.894795452682207,0.924260239075054,0.8460878320393008,0.9322339124382548,0.9389709906951288,0.9477690607958806,0.9367140356923244,0.9154735548778191,0.028534081208719406,16,105.56039428710938,1,500,24,23,22
"{'n_estimators': 500, 'max_depth': 7, 'min_samples_split': 11, 'min_samples_leaf': 7}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.8921070969857623,0.8763834613177384,0.9090024048315252,0.8803152242232122,0.9170636609972498,0.782406562738619,0.9262435213903925,0.9366228114631692,0.9340043382188976,0.9311392216883916,0.8985288303854958,0.04397978285551648,18,81.57549929618835,1,500,7,11,7
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 23, 'min_samples_leaf': 4}",0.8571428571428571,0.9523809523809524,0.8888888888888888,0.88,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,0.9078412698412699,0.10167496713448666,7,0.1395348837209302,0.2325581395348837,0.1860465116279069,0.2558139534883721,0.0459770114942528,0.057471264367816,0.2298850574712643,0.2413793103448276,0.2413793103448276,0.2528735632183908,0.1882919005613472,0.07603019828960099,6,0.24,0.3738317757009345,0.3076923076923077,0.3963963963963964,0.086021505376344,0.1075268817204301,0.3738317757009345,0.3888888888888889,0.3888888888888889,0.4036697247706423,0.30667481451357675,0.11523486709574253,6,0.9383249528598366,0.9172211898450524,0.9389876479108026,0.9232503484272948,0.9532222424942732,0.8980653706068776,0.9512761256056276,0.9459851203146222,0.966426104995709,0.9524316325082608,0.9385190735568358,0.019314559930505206,6,132.22935724258423,1,500,43,23,4
