params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 14},0.7333333333333333,0.725,0.5909090909090909,0.75,0.7878787878787878,0.8529411764705882,0.8333333333333334,0.7857142857142857,0.8653846153846154,0.7166666666666667,0.76411612896907,0.07674399505749181,3,0.3837209302325581,0.3372093023255814,0.3023255813953488,0.3488372093023256,0.2988505747126437,0.3333333333333333,0.4597701149425287,0.5057471264367817,0.5172413793103449,0.4942528735632184,0.39812884255546643,0.08269843287187775,4,0.5038167938931298,0.4603174603174603,0.3999999999999999,0.4761904761904763,0.4333333333333333,0.4793388429752065,0.5925925925925926,0.6153846153846153,0.6474820143884893,0.5850340136054422,0.5193490142680746,0.08009517796116811,4,0.922406607821168,0.8453392725384636,0.9149598283824776,0.9035915338999264,0.9061741909762344,0.90578902200869,0.9115091190442404,0.8927608506152567,0.9088298296471988,0.9261016170339286,0.9037461871967585,0.02145219432816507,18,13.362094163894652,1,14
{'n_neighbors': 15},0.6862745098039216,0.7317073170731707,0.5918367346938775,0.75,0.7428571428571429,0.8333333333333334,0.7636363636363637,0.7758620689655172,0.8545454545454545,0.7096774193548387,0.7439730344263621,0.07032343859229152,8,0.4069767441860465,0.3488372093023256,0.3372093023255814,0.3488372093023256,0.2988505747126437,0.3448275862068966,0.4827586206896552,0.5172413793103449,0.5402298850574713,0.5057471264367817,0.41315156375300727,0.08497857371123987,3,0.510948905109489,0.4724409448818898,0.4296296296296297,0.4761904761904763,0.4262295081967213,0.4878048780487806,0.5915492957746479,0.6206896551724138,0.6619718309859155,0.5906040268456376,0.5268059150835601,0.07886363436583205,3,0.9212485994589128,0.8540294591861831,0.9148675976279615,0.9013472522067062,0.9052788420604512,0.9048970517680608,0.9101610276578348,0.8958928824829208,0.9123368944569455,0.9290782298445134,0.9049137836750492,0.019276685534542953,17,13.385674238204956,1,15
{'n_neighbors': 7},0.6956521739130435,0.6896551724137931,0.7358490566037735,0.75,0.7555555555555555,0.7924528301886793,0.7903225806451613,0.7761194029850746,0.847457627118644,0.7285714285714285,0.7561635827995153,0.04529232777671458,6,0.5581395348837209,0.4651162790697674,0.4534883720930232,0.4534883720930232,0.3908045977011494,0.4827586206896552,0.5632183908045977,0.5977011494252874,0.5747126436781609,0.5862068965517241,0.5125634856990109,0.06791312064070612,2,0.6193548387096773,0.5555555555555556,0.5611510791366905,0.5652173913043479,0.5151515151515151,0.6,0.6577181208053691,0.6753246753246753,0.684931506849315,0.6496815286624203,0.6084086211499566,0.054998187748344154,2,0.8948022845899489,0.8497458530320007,0.89462807094253,0.8742519061022601,0.8996060464770554,0.8744045085041254,0.9067384297269356,0.8719178035908558,0.9066235547717028,0.9194017042037476,0.8892120161941163,0.01997525901367506,19,13.491135835647585,1,7
{'n_neighbors': 5},0.6351351351351351,0.6567164179104478,0.7321428571428571,0.7704918032786885,0.8260869565217391,0.85,0.7741935483870968,0.782608695652174,0.819672131147541,0.6708860759493671,0.7517933621125046,0.07152166982783226,7,0.5465116279069767,0.5116279069767442,0.4767441860465116,0.5465116279069767,0.4367816091954023,0.5862068965517241,0.5517241379310345,0.6206896551724138,0.5747126436781609,0.6091954022988506,0.5460705693664797,0.0547292598294844,1,0.5874999999999999,0.5751633986928104,0.5774647887323943,0.6394557823129252,0.5714285714285714,0.6938775510204082,0.6442953020134228,0.6923076923076923,0.6756756756756757,0.6385542168674698,0.629572297905137,0.046279405482848,1,0.886904599240292,0.8213182849178804,0.8648375372338972,0.8511737217500615,0.902589416637948,0.8512707197253812,0.8970889334874008,0.8760026218519195,0.9038192543939668,0.9082486975207282,0.8763253786759476,0.027250785515670367,20,13.455982208251951,1,5
{'n_neighbors': 22},0.7333333333333333,0.7027027027027027,0.5813953488372093,0.75,0.8275862068965517,0.8125,0.9473684210526316,0.8260869565217391,0.8936170212765957,0.7551020408163265,0.782969203143709,0.09766981347725588,1,0.3837209302325581,0.3023255813953488,0.2906976744186046,0.3488372093023256,0.2758620689655172,0.2988505747126437,0.4137931034482758,0.4367816091954023,0.4827586206896552,0.425287356321839,0.3658914728682171,0.068854209591102,6,0.5038167938931298,0.4227642276422764,0.3875968992248062,0.4761904761904763,0.4137931034482758,0.4369747899159664,0.576,0.5714285714285714,0.6268656716417911,0.5441176470588235,0.4959548180444117,0.07703295419712633,5,0.9247977755308392,0.8571004017161752,0.914416691716995,0.9073285874347552,0.9050119267232932,0.9043936291701298,0.9348321136316028,0.8949603681404448,0.9169386500165556,0.9406197841702312,0.9100399928251022,0.022200950396932678,15,13.40200901031494,1,22
{'n_neighbors': 99},0.5882352941176471,0.8181818181818182,0.7333333333333333,0.1052631578947368,0.7,0.5,1.0,0.9,0.8461538461538461,0.8636363636363636,0.7054803813317745,0.24476902879091111,16,0.1162790697674418,0.2093023255813953,0.127906976744186,0.0232558139534883,0.0804597701149425,0.057471264367816,0.1954022988505747,0.2068965517241379,0.1264367816091954,0.2183908045977011,0.13618016573108788,0.06574549671248132,20,0.1941747572815534,0.3333333333333333,0.2178217821782178,0.0380952380952381,0.1443298969072164,0.1030927835051546,0.3269230769230769,0.3364485981308411,0.22,0.3486238532110092,0.22628433195656408,0.10350880355401862,20,0.9236636788456808,0.8898525674309294,0.9252657612111606,0.8942249883857569,0.9126308391953348,0.8865981471345457,0.9360078925851596,0.9079682674829546,0.9237804672032002,0.9394440052166744,0.9139436614691396,0.017919101884204976,12,13.564618587493896,1,99
{'n_neighbors': 62},0.6451612903225806,0.5625,0.5428571428571428,0.4,0.8620689655172413,0.6,0.7878787878787878,0.9032258064516128,0.9047619047619048,0.8666666666666667,0.7075120564455937,0.1705983811411967,15,0.2325581395348837,0.2093023255813953,0.2209302325581395,0.1627906976744186,0.2873563218390804,0.1379310344827586,0.2988505747126437,0.3218390804597701,0.2183908045977011,0.2988505747126437,0.23887997861534344,0.05836281698401857,14,0.3418803418803419,0.3050847457627118,0.3140495867768595,0.231404958677686,0.4310344827586206,0.2242990654205607,0.4333333333333333,0.4745762711864406,0.3518518518518519,0.4444444444444445,0.35519590820928515,0.08421682546030085,14,0.9339183723662996,0.8653328505451862,0.929969529691471,0.905941710163146,0.922655368376952,0.8986160946569631,0.9398933690121428,0.9026603688161796,0.9330042503733436,0.939592666923446,0.917158458092513,0.02261021053474551,1,13.113645553588867,1,62
{'n_neighbors': 25},0.723404255319149,0.7027027027027027,0.5813953488372093,0.7142857142857143,0.8,0.8064516129032258,0.9230769230769232,0.8260869565217391,0.8723404255319149,0.7169811320754716,0.766672507125405,0.09346482645270275,2,0.3953488372093023,0.3023255813953488,0.2906976744186046,0.3488372093023256,0.2758620689655172,0.2873563218390804,0.4137931034482758,0.4367816091954023,0.4712643678160919,0.4367816091954023,0.36590483827853515,0.06969591945768468,5,0.5112781954887218,0.4227642276422764,0.3875968992248062,0.46875,0.4102564102564103,0.4237288135593219,0.5714285714285715,0.5714285714285714,0.6119402985074627,0.5428571428571429,0.4922029130393285,0.07585399704428004,6,0.920582488454076,0.8524000491897359,0.9167327084415052,0.9039023857021836,0.908586565036118,0.902754971720489,0.9328082872144174,0.8911390865413855,0.9167089001060904,0.9394744132930596,0.908508985569906,0.023095915337828878,16,12.889025926589966,1,25
{'n_neighbors': 27},0.723404255319149,0.6842105263157895,0.5952380952380952,0.65625,0.8064516129032258,0.8064516129032258,0.945945945945946,0.8125,0.8863636363636364,0.7169811320754716,0.763379681706454,0.10214972306148536,4,0.3953488372093023,0.3023255813953488,0.2906976744186046,0.2441860465116279,0.2873563218390804,0.2873563218390804,0.4022988505747126,0.4482758620689655,0.4482758620689655,0.4367816091954023,0.35429029671210904,0.07502641385724314,7,0.5112781954887218,0.4193548387096774,0.390625,0.3559322033898304,0.4237288135593219,0.4237288135593219,0.5645161290322581,0.5777777777777777,0.5954198473282443,0.5428571428571429,0.4805218761702297,0.08266998889583281,7,0.9240530975869702,0.8498346678326456,0.9145157543792528,0.9167122127182796,0.91618858413239,0.9006973585517648,0.9332508936595784,0.888314514112726,0.919658483515444,0.9447079811064484,0.91079335475955,0.02511999360660572,13,12.92084527015686,1,27
{'n_neighbors': 27},0.723404255319149,0.6842105263157895,0.5952380952380952,0.65625,0.8064516129032258,0.8064516129032258,0.945945945945946,0.8125,0.8863636363636364,0.7169811320754716,0.763379681706454,0.10214972306148536,4,0.3953488372093023,0.3023255813953488,0.2906976744186046,0.2441860465116279,0.2873563218390804,0.2873563218390804,0.4022988505747126,0.4482758620689655,0.4482758620689655,0.4367816091954023,0.35429029671210904,0.07502641385724314,7,0.5112781954887218,0.4193548387096774,0.390625,0.3559322033898304,0.4237288135593219,0.4237288135593219,0.5645161290322581,0.5777777777777777,0.5954198473282443,0.5428571428571429,0.4805218761702297,0.08266998889583281,7,0.9240530975869702,0.8498346678326456,0.9145157543792528,0.9167122127182796,0.91618858413239,0.9006973585517648,0.9332508936595784,0.888314514112726,0.919658483515444,0.9447079811064484,0.91079335475955,0.02511999360660572,13,12.934889793395996,1,27
{'n_neighbors': 40},0.6842105263157895,0.6176470588235294,0.5833333333333334,0.6774193548387096,0.8333333333333334,0.6842105263157895,0.8611111111111112,0.7804878048780488,0.8275862068965517,0.6938775510204082,0.7243216806866604,0.09056199877361105,11,0.3023255813953488,0.2441860465116279,0.2441860465116279,0.2441860465116279,0.2873563218390804,0.1494252873563218,0.3563218390804598,0.367816091954023,0.2758620689655172,0.3908045977011494,0.2862469927826784,0.06847732596590919,9,0.4193548387096774,0.35,0.3442622950819672,0.358974358974359,0.4273504273504274,0.2452830188679245,0.5040650406504066,0.5,0.4137931034482758,0.5,0.4063083083083038,0.07935466572963783,9,0.9220479326647172,0.8546067553903751,0.9230590550105212,0.920056431557948,0.9223276368870238,0.909154182461973,0.9328724820423416,0.9000081088203693,0.9290748511693596,0.9410488759147764,0.9154256311919404,0.023009600670951234,8,12.69641137123108,1,40
{'n_neighbors': 55},0.6363636363636364,0.5882352941176471,0.5833333333333334,0.4615384615384615,0.8333333333333334,0.5714285714285714,0.8,0.8,0.8333333333333334,0.6829268292682927,0.6790492792716608,0.12450071753339507,18,0.2441860465116279,0.2325581395348837,0.2441860465116279,0.2093023255813953,0.2873563218390804,0.1379310344827586,0.3218390804597701,0.367816091954023,0.2873563218390804,0.3218390804597701,0.2654370489174017,0.0626082100030329,12,0.3529411764705882,0.3333333333333333,0.3442622950819672,0.288,0.4273504273504274,0.2222222222222222,0.4590163934426229,0.5039370078740157,0.4273504273504274,0.4375,0.3795913283125604,0.0818154304458359,12,0.9235338725985844,0.8591977973929441,0.9254433908124504,0.9108538518295848,0.9180941569191888,0.898690425510349,0.9416063573151694,0.8996601052795178,0.937592491232338,0.9415016183853988,0.9156174067275525,0.02395975568904802,6,12.814803838729858,1,55
{'n_neighbors': 56},0.6363636363636364,0.5882352941176471,0.5833333333333334,0.4166666666666667,0.8333333333333334,0.5714285714285714,0.7941176470588235,0.8,0.8571428571428571,0.6829268292682927,0.676354816871316,0.13527408122594908,19,0.2441860465116279,0.2325581395348837,0.2441860465116279,0.1744186046511628,0.2873563218390804,0.1379310344827586,0.3103448275862069,0.367816091954023,0.2758620689655172,0.3218390804597701,0.25964982624966587,0.06516130455175391,13,0.3529411764705882,0.3333333333333333,0.3442622950819672,0.2459016393442623,0.4273504273504274,0.2222222222222222,0.4462809917355371,0.5039370078740157,0.417391304347826,0.4375,0.3731120397760179,0.08560892079057568,13,0.9243263738966468,0.8584292077719783,0.929047222146312,0.9097334189599104,0.9171988080034056,0.8981667308614948,0.9407752032273105,0.8996634839546718,0.9371769141884084,0.9411198280930082,0.9155637191103146,0.024230030523636727,7,12.994080543518066,1,56
{'n_neighbors': 80},0.4736842105263157,0.72,0.76,0.4242424242424242,0.6923076923076923,0.6,0.8148148148148148,0.9032258064516128,0.9090909090909092,0.8461538461538461,0.7143519703587614,0.1608799500675989,14,0.1046511627906976,0.2093023255813953,0.2209302325581395,0.1627906976744186,0.1034482758620689,0.1034482758620689,0.2528735632183908,0.3218390804597701,0.2298850574712643,0.2528735632183908,0.1962042234696605,0.07129518782384658,17,0.1714285714285714,0.3243243243243243,0.3423423423423424,0.2352941176470588,0.18,0.1764705882352941,0.3859649122807018,0.4745762711864406,0.3669724770642201,0.3893805309734513,0.30467541354824046,0.10143173242299926,17,0.928049763615992,0.8808105375345012,0.9263691143114804,0.896284808569945,0.916154797380851,0.8901592707467547,0.9402920526803028,0.9080763850878796,0.9311730084399306,0.9365822673613222,0.9153952005728959,0.01962281635033061,9,12.908724546432495,1,80
{'n_neighbors': 71},0.5,0.7307692307692307,0.7037037037037037,0.4242424242424242,0.8518518518518519,0.631578947368421,0.8,0.9032258064516128,0.9090909090909092,0.8666666666666667,0.7321129540144821,0.16038336111323606,9,0.1395348837209302,0.2209302325581395,0.2209302325581395,0.1627906976744186,0.264367816091954,0.1379310344827586,0.2758620689655172,0.3218390804597701,0.2298850574712643,0.2988505747126437,0.22729216786955359,0.061423307881287775,15,0.2181818181818181,0.3392857142857143,0.336283185840708,0.2352941176470588,0.4035087719298245,0.2264150943396226,0.4102564102564103,0.4745762711864406,0.3669724770642201,0.4444444444444445,0.3455218305176262,0.08782379937037643,15,0.9316980023501762,0.8767831279206406,0.928060011477605,0.901367747929932,0.9191820903187442,0.8917776561454721,0.9433531323697352,0.9027515930453353,0.9332272429335008,0.9388358436889728,0.9167036448180113,0.021160815874183937,2,12.875734806060793,1,71
{'n_neighbors': 71},0.5,0.7307692307692307,0.7037037037037037,0.4242424242424242,0.8518518518518519,0.631578947368421,0.8,0.9032258064516128,0.9090909090909092,0.8666666666666667,0.7321129540144821,0.16038336111323606,9,0.1395348837209302,0.2209302325581395,0.2209302325581395,0.1627906976744186,0.264367816091954,0.1379310344827586,0.2758620689655172,0.3218390804597701,0.2298850574712643,0.2988505747126437,0.22729216786955359,0.061423307881287775,15,0.2181818181818181,0.3392857142857143,0.336283185840708,0.2352941176470588,0.4035087719298245,0.2264150943396226,0.4102564102564103,0.4745762711864406,0.3669724770642201,0.4444444444444445,0.3455218305176262,0.08782379937037643,15,0.9316980023501762,0.8767831279206406,0.928060011477605,0.901367747929932,0.9191820903187442,0.8917776561454721,0.9433531323697352,0.9027515930453353,0.9332272429335008,0.9388358436889728,0.9167036448180113,0.021160815874183937,2,12.975387573242188,1,71
{'n_neighbors': 90},0.5263157894736842,0.75,0.782608695652174,0.1,0.7272727272727273,0.5,1.0,0.8260869565217391,0.8571428571428571,0.8636363636363636,0.6933063389699545,0.2443675121444362,17,0.1162790697674418,0.2093023255813953,0.2093023255813953,0.0232558139534883,0.0919540229885057,0.057471264367816,0.2528735632183908,0.2183908045977011,0.1379310344827586,0.2183908045977011,0.15351510291365938,0.07491681960413514,19,0.1904761904761905,0.3272727272727272,0.3302752293577981,0.0377358490566037,0.163265306122449,0.1030927835051546,0.4036697247706423,0.3454545454545454,0.2376237623762376,0.3486238532110092,0.24874899716033577,0.11519944359359241,19,0.9260138551089008,0.8849472576722324,0.9257508266608367,0.8929337578225344,0.9148506287714462,0.8865170589308522,0.9377073661875706,0.906653962848088,0.9269969659497116,0.937261381067256,0.913963306101943,0.01911099589025228,11,13.00073528289795,1,90
