params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_penalty,param_C,param_solver,param_max_iter
"{'penalty': None, 'C': 30.263305252329754, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5588235294117647,0.7142857142857143,0.6,0.5303030303030303,0.6829268292682927,0.6923076923076923,0.6875,0.75,0.8,0.8333333333333334,0.6849480128909826,0.09351524388017332,1,0.2209302325581395,0.2906976744186046,0.2093023255813953,0.4069767441860465,0.3218390804597701,0.1034482758620689,0.2528735632183908,0.3103448275862069,0.367816091954023,0.3448275862068966,0.2829056402031542,0.08434006104395252,1,0.3166666666666667,0.4132231404958678,0.3103448275862069,0.4605263157894737,0.4375,0.18,0.3697478991596639,0.4390243902439025,0.5039370078740157,0.4878048780487806,0.39187751258645775,0.09429632737753213,1,0.8897466728609297,0.8586614926352034,0.9102389801328123,0.8522155876807039,0.916191962807544,0.8634981451073406,0.9112895051592368,0.931024346733159,0.9270172380006352,0.8988120578158892,0.8958695988933453,0.027290031134744683,5,2.725055694580078,1,,30.263305252329754,newton-cholesky,100000
"{'penalty': None, 'C': 45.08512620036592, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5588235294117647,0.7142857142857143,0.6,0.5303030303030303,0.6829268292682927,0.6923076923076923,0.6875,0.75,0.8,0.8333333333333334,0.6849480128909826,0.09351524388017332,1,0.2209302325581395,0.2906976744186046,0.2093023255813953,0.4069767441860465,0.3218390804597701,0.1034482758620689,0.2528735632183908,0.3103448275862069,0.367816091954023,0.3448275862068966,0.2829056402031542,0.08434006104395252,1,0.3166666666666667,0.4132231404958678,0.3103448275862069,0.4605263157894737,0.4375,0.18,0.3697478991596639,0.4390243902439025,0.5039370078740157,0.4878048780487806,0.39187751258645775,0.09429632737753213,1,0.8897466728609297,0.8586614926352034,0.9102389801328123,0.8522155876807039,0.916191962807544,0.8634981451073406,0.9112895051592368,0.931024346733159,0.9270172380006352,0.8988120578158892,0.8958695988933453,0.027290031134744683,5,3.015430212020874,1,,45.08512620036592,newton-cholesky,100000
"{'penalty': 'l2', 'C': 30.717626573555414, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5333333333333333,0.7142857142857143,0.5862068965517241,0.5,0.6410256410256411,0.6923076923076923,0.6875,0.7567567567567568,0.7741935483870968,0.8064516129032258,0.6692061195551184,0.09757020735750556,14,0.1860465116279069,0.2906976744186046,0.1976744186046511,0.313953488372093,0.2873563218390804,0.1034482758620689,0.2528735632183908,0.3218390804597701,0.2758620689655172,0.2873563218390804,0.25171077252071633,0.06530807910490806,13,0.2758620689655172,0.4132231404958678,0.2956521739130434,0.3857142857142857,0.3968253968253968,0.18,0.3697478991596639,0.4516129032258064,0.4067796610169492,0.4237288135593219,0.35991463428758513,0.07950310827335381,13,0.8902727297570574,0.8573839258874648,0.9137779083431256,0.8511703057961906,0.9157797644387682,0.8625318440133255,0.9156952975599209,0.9311121922871604,0.9291795900991302,0.8985417638035774,0.8965445321985721,0.02843636098479671,2,3.635044813156128,1,l2,30.717626573555414,newton-cholesky,100000
"{'penalty': 'l2', 'C': 65.58383832952534, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5625,0.7142857142857143,0.5862068965517241,0.5,0.6410256410256411,0.6923076923076923,0.6875,0.7567567567567568,0.7741935483870968,0.8125,0.6727276249314625,0.09470851930008041,9,0.2093023255813953,0.2906976744186046,0.1976744186046511,0.313953488372093,0.2873563218390804,0.1034482758620689,0.2528735632183908,0.3218390804597701,0.2758620689655172,0.2988505747126437,0.2551857792034215,0.06400697792192131,9,0.3050847457627118,0.4132231404958678,0.2956521739130434,0.3857142857142857,0.3968253968253968,0.18,0.3697478991596639,0.4516129032258064,0.4067796610169492,0.4369747899159664,0.3641614996029691,0.07799652854387214,9,0.8905323422512502,0.8561815101248873,0.9118786379908724,0.8472487907523297,0.9155635292289188,0.8642752403927372,0.9132018352963436,0.9304296999060728,0.9289971416408198,0.8966429483670862,0.8954951675951319,0.028638077043437075,13,4.301912307739258,1,l2,65.58383832952534,newton-cholesky,100000
"{'penalty': None, 'C': 63.34476366643223, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5588235294117647,0.7142857142857143,0.6,0.5303030303030303,0.6829268292682927,0.6923076923076923,0.6875,0.75,0.8,0.8333333333333334,0.6849480128909826,0.09351524388017332,1,0.2209302325581395,0.2906976744186046,0.2093023255813953,0.4069767441860465,0.3218390804597701,0.1034482758620689,0.2528735632183908,0.3103448275862069,0.367816091954023,0.3448275862068966,0.2829056402031542,0.08434006104395252,1,0.3166666666666667,0.4132231404958678,0.3103448275862069,0.4605263157894737,0.4375,0.18,0.3697478991596639,0.4390243902439025,0.5039370078740157,0.4878048780487806,0.39187751258645775,0.09429632737753213,1,0.8897466728609297,0.8586614926352034,0.9102389801328123,0.8522155876807039,0.916191962807544,0.8634981451073406,0.9112895051592368,0.931024346733159,0.9270172380006352,0.8988120578158892,0.8958695988933453,0.027290031134744683,5,4.391547441482544,1,,63.34476366643223,newton-cholesky,100000
"{'penalty': 'l2', 'C': 4.9839443567864405, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5517241379310345,0.7058823529411765,0.6296296296296297,0.5,0.631578947368421,0.6923076923076923,0.6774193548387096,0.7428571428571429,0.7931034482758621,0.8,0.6724502706149668,0.09227021774878241,10,0.1860465116279069,0.2790697674418604,0.1976744186046511,0.313953488372093,0.2758620689655172,0.1034482758620689,0.2413793103448276,0.2988505747126437,0.264367816091954,0.2758620689655172,0.24365143009890403,0.06069785988715432,16,0.2782608695652174,0.4,0.3008849557522123,0.3857142857142857,0.384,0.18,0.3559322033898304,0.4262295081967213,0.396551724137931,0.4102564102564103,0.35178299570126087,0.07280284117295874,16,0.8892957669499632,0.859781925504878,0.9155200448173147,0.8605778427568114,0.917286653557407,0.8563353537810754,0.9206484353355362,0.9340178529195132,0.930727023319616,0.904049004304432,0.8988239903246548,0.02874503213460793,1,4.29259181022644,1,l2,4.9839443567864405,newton-cholesky,100000
"{'penalty': 'l2', 'C': 80.14280828728133, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5625,0.7142857142857143,0.5666666666666667,0.5,0.6410256410256411,0.6923076923076923,0.6875,0.7567567567567568,0.7741935483870968,0.8125,0.6707736019429568,0.09665502814154434,11,0.2093023255813953,0.2906976744186046,0.1976744186046511,0.313953488372093,0.2873563218390804,0.1034482758620689,0.2528735632183908,0.3218390804597701,0.2758620689655172,0.2988505747126437,0.2551857792034215,0.06400697792192131,9,0.3050847457627118,0.4132231404958678,0.293103448275862,0.3857142857142857,0.3968253968253968,0.18,0.3697478991596639,0.4516129032258064,0.4067796610169492,0.4369747899159664,0.363906627039251,0.07822381606686721,10,0.8907372994835079,0.8561336867706938,0.911256934386358,0.8464289618232996,0.9155770439295344,0.8647009534621284,0.9127423354754134,0.930287795549609,0.9288282078831248,0.8961023603424625,0.8952795579106132,0.028632921343178692,14,4.25867772102356,1,l2,80.14280828728133,newton-cholesky,100000
"{'penalty': None, 'C': 16.60940577963018, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5588235294117647,0.7142857142857143,0.6,0.5303030303030303,0.6829268292682927,0.6923076923076923,0.6875,0.75,0.8,0.8333333333333334,0.6849480128909826,0.09351524388017332,1,0.2209302325581395,0.2906976744186046,0.2093023255813953,0.4069767441860465,0.3218390804597701,0.1034482758620689,0.2528735632183908,0.3103448275862069,0.367816091954023,0.3448275862068966,0.2829056402031542,0.08434006104395252,1,0.3166666666666667,0.4132231404958678,0.3103448275862069,0.4605263157894737,0.4375,0.18,0.3697478991596639,0.4390243902439025,0.5039370078740157,0.4878048780487806,0.39187751258645775,0.09429632737753213,1,0.8897466728609297,0.8586614926352034,0.9102389801328123,0.8522155876807039,0.916191962807544,0.8634981451073406,0.9112895051592368,0.931024346733159,0.9270172380006352,0.8988120578158892,0.8958695988933453,0.027290031134744683,5,4.923653602600098,1,,16.60940577963018,newton-cholesky,100000
"{'penalty': 'l2', 'C': 84.3677885452504, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5625,0.7142857142857143,0.5666666666666667,0.5,0.6410256410256411,0.6923076923076923,0.6875,0.7567567567567568,0.7741935483870968,0.8125,0.6707736019429568,0.09665502814154434,11,0.2093023255813953,0.2906976744186046,0.1976744186046511,0.313953488372093,0.2873563218390804,0.1034482758620689,0.2528735632183908,0.3218390804597701,0.2758620689655172,0.2988505747126437,0.2551857792034215,0.06400697792192131,9,0.3050847457627118,0.4132231404958678,0.293103448275862,0.3857142857142857,0.3968253968253968,0.18,0.3697478991596639,0.4516129032258064,0.4067796610169492,0.4369747899159664,0.363906627039251,0.07822381606686721,10,0.8907577952067336,0.8564137949881125,0.910594239335392,0.8463264832071707,0.9155500145283032,0.8649239460222857,0.9126747619723354,0.9302202220465312,0.9288011784818936,0.8960145147884611,0.895227695057722,0.028534096944806218,15,4.550674915313721,1,l2,84.3677885452504,newton-cholesky,100000
"{'penalty': None, 'C': 10.608303942934834, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.5588235294117647,0.7142857142857143,0.6,0.5303030303030303,0.6829268292682927,0.6923076923076923,0.6875,0.75,0.8,0.8333333333333334,0.6849480128909826,0.09351524388017332,1,0.2209302325581395,0.2906976744186046,0.2093023255813953,0.4069767441860465,0.3218390804597701,0.1034482758620689,0.2528735632183908,0.3103448275862069,0.367816091954023,0.3448275862068966,0.2829056402031542,0.08434006104395252,1,0.3166666666666667,0.4132231404958678,0.3103448275862069,0.4605263157894737,0.4375,0.18,0.3697478991596639,0.4390243902439025,0.5039370078740157,0.4878048780487806,0.39187751258645775,0.09429632737753213,1,0.8897466728609297,0.8586614926352034,0.9102389801328123,0.8522155876807039,0.916191962807544,0.8634981451073406,0.9112895051592368,0.931024346733159,0.9270172380006352,0.8988120578158892,0.8958695988933453,0.027290031134744683,5,4.883699178695679,1,,10.608303942934834,newton-cholesky,100000
