params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 500, 'max_depth': 34, 'min_samples_split': 3, 'min_samples_leaf': 14, 'criterion': 'entropy'}",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,11,0.0116279069767441,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00232558139534882,0.00465116279069764,11,0.0229885057471264,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0045977011494252795,0.009195402298850559,11,0.917829229634083,0.9025564998770256,0.9336553439182356,0.9015727051621896,0.934122591849284,0.859244393088582,0.936795123896018,0.9412921405258572,0.9470865684147932,0.939325751586288,0.9213480347952357,0.025593239819199944,10,60.49939680099487,1,500,34,3,14,entropy
"{'n_estimators': 100, 'max_depth': 18, 'min_samples_split': 11, 'min_samples_leaf': 6, 'criterion': 'entropy'}",0.6666666666666666,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.7666666666666666,0.32659863237109044,7,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.1149425287356321,0.0804597701149425,0.2068965517241379,0.0919540229885057,0.05755145682972462,0.06269751446563374,6,0.0449438202247191,0.0454545454545454,0.0227272727272727,0.0227272727272727,0.0,0.0227272727272727,0.2061855670103092,0.1489361702127659,0.3428571428571428,0.1684210526315789,0.10249801165728793,0.10544589500661292,6,0.9303726122482444,0.9109050911376492,0.93694832344984,0.912763370043451,0.9450694993479156,0.8675322832410954,0.9384641894220438,0.9445086392723684,0.9527897720745742,0.9438970990695128,0.9283250879306696,0.024095711918318854,6,12.10994553565979,1,100,18,11,6,entropy
"{'n_estimators': 500, 'max_depth': 22, 'min_samples_split': 13, 'min_samples_leaf': 26, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9027341294783156,0.8931762905473724,0.9213989014292352,0.886726969639002,0.922915526363802,0.8340597484914215,0.9292302702264388,0.9360957381391608,0.9353558082804572,0.9299465493590652,0.9091639931954271,0.03004282810210684,15,56.66159987449646,1,500,22,13,26,entropy
"{'n_estimators': 500, 'max_depth': 12, 'min_samples_split': 24, 'min_samples_leaf': 21, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.8957485038122045,0.8880182002022244,0.9181400814363404,0.8830923947203017,0.9209626521248488,0.8216363599505362,0.928193016954192,0.9354537898599202,0.9347611614533708,0.9308317622493868,0.9056837922763326,0.03353290871061606,18,53.78173351287842,1,500,12,24,21,entropy
"{'n_estimators': 500, 'max_depth': 47, 'min_samples_split': 24, 'min_samples_leaf': 24, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.904182493919602,0.8928517749296313,0.9247670319460006,0.8897671685841554,0.925287356321839,0.8442734834816571,0.9281017927250368,0.9361700689925468,0.9382547115625022,0.932358923418949,0.9116014805881921,0.027918033828922252,12,58.88825988769531,1,500,47,24,24,entropy
"{'n_estimators': 100, 'max_depth': 22, 'min_samples_split': 2, 'min_samples_leaf': 12, 'criterion': 'entropy'}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.65,0.45,9,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0344827586206896,0.0,0.0,0.0459770114942528,0.016172146484897038,0.014736902878370633,9,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.0666666666666666,0.0,0.0,0.0879120879120879,0.03139308966895171,0.028304557068717186,9,0.921743912770202,0.9058802229934686,0.933224933730495,0.9003258819992895,0.9374877523025672,0.865515214174218,0.9341597572759768,0.9411029347172388,0.949424611621291,0.9444680951705218,0.9233333316755268,0.024572361551883515,7,12.78327488899231,1,100,22,2,12,entropy
"{'n_estimators': 500, 'max_depth': 26, 'min_samples_split': 4, 'min_samples_leaf': 28, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9002883065067089,0.8923223020796327,0.9207157106550432,0.8865903314841637,0.9211924020353138,0.8333840134606418,0.9292336489015928,0.9353591869556108,0.9353355362295336,0.9280815206741132,0.9082502958982352,0.030026944633883387,16,58.83063673973084,1,500,26,4,28,entropy
"{'n_estimators': 500, 'max_depth': 9, 'min_samples_split': 11, 'min_samples_leaf': 22, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.8874340720902905,0.8824160358538518,0.9118786379908724,0.878494520809991,0.914087048186665,0.8018947610263063,0.9244764742849034,0.9358322014771568,0.9281389581517296,0.9281761235784224,0.899282883345019,0.03789111459782627,20,48.97387194633484,1,500,9,11,22,entropy
"{'n_estimators': 1000, 'max_depth': 29, 'min_samples_split': 18, 'min_samples_leaf': 24, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.904766622031536,0.8935008061651134,0.9234416418440684,0.8894460689202852,0.9240034597633576,0.843178792731794,0.9303519903775332,0.9365349659091676,0.9381668660085009,0.9311561150641612,0.9114547328815517,0.028110537316975017,13,106.86717176437378,1,1000,29,18,24,entropy
"{'n_estimators': 100, 'max_depth': 14, 'min_samples_split': 14, 'min_samples_leaf': 7, 'criterion': 'entropy'}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.75,0.4031128874149275,8,0.0232558139534883,0.0348837209302325,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.1149425287356321,0.0,0.057471264367816,0.057471264367816,0.032277465918203636,0.0339993683268132,8,0.0454545454545454,0.0674157303370786,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.2061855670103092,0.0,0.108695652173913,0.108695652173913,0.0604890198351431,0.06142091507565666,8,0.9223792801902002,0.9042371491815376,0.9332830049463012,0.9056103626376628,0.938528384249968,0.8565414529654632,0.9347814335042944,0.9424003459763356,0.9511612506503948,0.9388290863386648,0.9227751750640822,0.026413490649674805,8,12.36159324645996,1,100,14,14,7,entropy
