params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 21.205008086018974, 'kernel': 'rbf'}",0.6923076923076923,0.6753246753246753,0.6986301369863014,0.7402597402597403,0.7962962962962963,0.8923076923076924,0.7777777777777778,0.8,0.9,0.6867469879518072,0.7659650999211983,0.07826689761660431,6,0.627906976744186,0.6046511627906976,0.5930232558139535,0.6627906976744186,0.4942528735632184,0.6666666666666666,0.5632183908045977,0.6436781609195402,0.6206896551724138,0.6551724137931034,0.6132050253942796,0.05040602857680485,8,0.6585365853658537,0.6380368098159509,0.6415094339622641,0.6993865030674846,0.6099290780141844,0.7631578947368421,0.6533333333333333,0.713375796178344,0.7346938775510204,0.6705882352941177,0.6782547547319395,0.04558367565907158,1,0.9243639493892276,0.9455462793430436,0.9329140819282375,0.9354350558850054,0.9279159655915722,0.9279362376424956,0.9179623885881868,0.9336732280538156,0.933794860359356,0.9414103941562436,0.9320952440937184,0.007610388708882699,8,61.408467054367065,1,21.205008086018974,rbf
"{'C': 97.54290810662373, 'kernel': 'rbf'}",0.6746987951807228,0.6309523809523809,0.6190476190476191,0.6746987951807228,0.7586206896551724,0.8529411764705882,0.7741935483870968,0.7534246575342466,0.8059701492537313,0.6962025316455697,0.7240750343307851,0.07296262707569567,19,0.6511627906976745,0.6162790697674418,0.6046511627906976,0.6511627906976745,0.5057471264367817,0.6666666666666666,0.5517241379310345,0.632183908045977,0.6206896551724138,0.632183908045977,0.6132451216252338,0.046825045057449714,5,0.6627218934911243,0.6235294117647059,0.611764705882353,0.6627218934911243,0.6068965517241379,0.7483870967741936,0.6442953020134228,0.6875000000000001,0.7012987012987013,0.6626506024096386,0.6611766158849403,0.041237691035862035,17,0.9335870248408166,0.9397938130243488,0.9245313311289044,0.9354213920695216,0.9249359741058336,0.9295850311175982,0.9112928838343908,0.9338827059133572,0.9282673478075778,0.9291390459972836,0.9290436549839634,0.007439952132566335,19,60.80043148994446,1,97.54290810662373,rbf
"{'C': 34.858615920439405, 'kernel': 'rbf'}",0.6746987951807228,0.6666666666666666,0.6538461538461539,0.7142857142857143,0.7818181818181819,0.8405797101449275,0.7868852459016393,0.7857142857142857,0.8709677419354839,0.6746987951807228,0.74501612906745,0.074191628045811,9,0.6511627906976745,0.6046511627906976,0.5930232558139535,0.6395348837209303,0.4942528735632184,0.6666666666666666,0.5517241379310345,0.632183908045977,0.6206896551724138,0.6436781609195402,0.6097567495322107,0.04962671700340769,13,0.6627218934911243,0.6341463414634145,0.6219512195121951,0.6748466257668713,0.6056338028169014,0.7435897435897435,0.6486486486486487,0.7006369426751593,0.7248322147651007,0.6588235294117646,0.6675830962140923,0.0420674006169647,6,0.928893504222119,0.9452525073101412,0.9282888803869592,0.9324563441095292,0.9254022312770716,0.927659186279876,0.9124213613357932,0.9345449262435216,0.932592052004568,0.9378830572955732,0.9305394050465152,0.008155123510359618,13,65.32135391235352,1,34.858615920439405,rbf
"{'C': 73.38416021024639, 'kernel': 'rbf'}",0.6746987951807228,0.6309523809523809,0.6190476190476191,0.691358024691358,0.7586206896551724,0.8529411764705882,0.7741935483870968,0.7638888888888888,0.8059701492537313,0.691358024691358,0.7263029297218916,0.07268801344972442,14,0.6511627906976745,0.6162790697674418,0.6046511627906976,0.6511627906976745,0.5057471264367817,0.6666666666666666,0.5517241379310345,0.632183908045977,0.6206896551724138,0.6436781609195402,0.6143945469125902,0.04741321430889082,2,0.6627218934911243,0.6235294117647059,0.611764705882353,0.6706586826347306,0.6068965517241379,0.7483870967741936,0.6442953020134228,0.6918238993710691,0.7012987012987013,0.6666666666666666,0.6628042911621105,0.04164229041935789,9,0.9296245183505044,0.9423284507966004,0.9259455360314814,0.9339730276282348,0.9193003439491308,0.9266050396318596,0.9191314101914356,0.9352003892233778,0.9299499280342192,0.9309973173319276,0.9293055961168772,0.0067209313466438225,18,63.527405738830566,1,73.38416021024639,rbf
"{'C': 87.2287301385491, 'kernel': 'rbf'}",0.6829268292682927,0.6309523809523809,0.6190476190476191,0.6829268292682927,0.7586206896551724,0.8529411764705882,0.7741935483870968,0.7534246575342466,0.8059701492537313,0.6962025316455697,0.725720641148299,0.0719157095872755,17,0.6511627906976745,0.6162790697674418,0.6046511627906976,0.6511627906976745,0.5057471264367817,0.6666666666666666,0.5517241379310345,0.632183908045977,0.6206896551724138,0.632183908045977,0.6132451216252338,0.046825045057449714,5,0.6666666666666667,0.6235294117647059,0.611764705882353,0.6666666666666667,0.6068965517241379,0.7483870967741936,0.6442953020134228,0.6875000000000001,0.7012987012987013,0.6626506024096386,0.6619655705200487,0.041297400251034073,12,0.9369278277266144,0.94154278140628,0.9276808405979288,0.9346425545869428,0.9269969659497118,0.9268280321920168,0.9113604573374688,0.9346327717975228,0.9321122801327144,0.9247535256475232,0.9297478037374723,0.007921416050479933,15,63.571221351623535,1,87.2287301385491,rbf
"{'C': 15.904280962718538, 'kernel': 'rbf'}",0.72,0.6891891891891891,0.6986301369863014,0.7466666666666667,0.7818181818181819,0.9016393442622952,0.7575757575757576,0.8307692307692308,0.912280701754386,0.717948717948718,0.7756517926970726,0.0765624209193584,5,0.627906976744186,0.5930232558139535,0.5930232558139535,0.6511627906976745,0.4942528735632184,0.632183908045977,0.5747126436781609,0.6206896551724138,0.5977011494252874,0.6436781609195402,0.6028334669874365,0.04314201250879293,15,0.6708074534161491,0.6375000000000001,0.6415094339622641,0.6956521739130435,0.6056338028169014,0.7432432432432433,0.6535947712418301,0.7105263157894737,0.7222222222222223,0.6787878787878788,0.6759477295393006,0.04049243710127146,4,0.92547755035116,0.94603134479272,0.9363983548766158,0.9375051239308064,0.9387817848865104,0.9290849871948212,0.9251386946150676,0.9325717799536446,0.9344435659889044,0.944890429564759,0.935032361615501,0.006864031398999347,3,66.88585901260376,1,15.904280962718538,rbf
"{'C': 24.006231804852934, 'kernel': 'rbf'}",0.6829268292682927,0.6753246753246753,0.6891891891891891,0.7307692307692307,0.7818181818181819,0.8656716417910447,0.7777777777777778,0.8,0.9,0.6867469879518072,0.75902245138902,0.0758246787884156,8,0.6511627906976745,0.6046511627906976,0.5930232558139535,0.6627906976744186,0.4942528735632184,0.6666666666666666,0.5632183908045977,0.6436781609195402,0.6206896551724138,0.6551724137931034,0.6155306067896285,0.05155408660225234,1,0.6666666666666667,0.6380368098159509,0.6375000000000001,0.6951219512195121,0.6056338028169014,0.7532467532467532,0.6533333333333333,0.713375796178344,0.7346938775510204,0.6705882352941177,0.67681972261226,0.04435419197439705,3,0.932890170251141,0.9452525073101412,0.9343146230153307,0.9346630503101684,0.93138924364978,0.9291660753985148,0.9172731388567914,0.93439626453675,0.9306459351159224,0.9392480420577484,0.9329239050502288,0.006824433636056671,6,67.27796411514282,1,24.006231804852934,rbf
"{'C': 10.29098788461176, 'kernel': 'rbf'}",0.7428571428571429,0.7101449275362319,0.7272727272727273,0.7727272727272727,0.7924528301886793,0.9074074074074074,0.7575757575757576,0.8571428571428571,0.912280701754386,0.7125,0.7892361624462463,0.07289398838357015,3,0.6046511627906976,0.5697674418604651,0.5581395348837209,0.5930232558139535,0.4827586206896552,0.5632183908045977,0.5747126436781609,0.6206896551724138,0.5977011494252874,0.6551724137931034,0.5819834268912054,0.0432502777985623,17,0.6666666666666666,0.632258064516129,0.6315789473684211,0.6710526315789475,0.6,0.6950354609929078,0.6535947712418301,0.7200000000000001,0.7222222222222223,0.6826347305389221,0.6675043495126046,0.03746100660358799,8,0.9308337660208236,0.9449997267236904,0.9380311808269342,0.9383181209520948,0.936923513551866,0.9287133329278924,0.9224965706447188,0.93332184583781,0.9361666903173927,0.944924216316298,0.9354728964119522,0.006614672961646361,2,67.99191403388977,1,10.29098788461176,rbf
"{'C': 35.6992462448139, 'kernel': 'rbf'}",0.6746987951807228,0.6666666666666666,0.6538461538461539,0.7142857142857143,0.7818181818181819,0.8405797101449275,0.7868852459016393,0.7857142857142857,0.8709677419354839,0.6746987951807228,0.74501612906745,0.074191628045811,9,0.6511627906976745,0.6046511627906976,0.5930232558139535,0.6395348837209303,0.4942528735632184,0.6666666666666666,0.5517241379310345,0.632183908045977,0.6206896551724138,0.6436781609195402,0.6097567495322107,0.04962671700340769,13,0.6627218934911243,0.6341463414634145,0.6219512195121951,0.6748466257668713,0.6056338028169014,0.7435897435897435,0.6486486486486487,0.7006369426751593,0.7248322147651007,0.6588235294117646,0.6675830962140923,0.0420674006169647,6,0.929808979859536,0.9426358866449868,0.9314110622250156,0.9361865657366164,0.9234088129362716,0.927159142357099,0.9148134633447532,0.9329028901187266,0.9312473392933164,0.937761424990033,0.9307335567506355,0.007395628546775015,12,68.30664396286011,1,35.6992462448139,rbf
"{'C': 87.77060466093918, 'kernel': 'rbf'}",0.6829268292682927,0.6309523809523809,0.6190476190476191,0.6829268292682927,0.7586206896551724,0.8529411764705882,0.7741935483870968,0.7534246575342466,0.8059701492537313,0.6962025316455697,0.725720641148299,0.0719157095872755,17,0.6511627906976745,0.6162790697674418,0.6046511627906976,0.6511627906976745,0.5057471264367817,0.6666666666666666,0.5517241379310345,0.632183908045977,0.6206896551724138,0.632183908045977,0.6132451216252338,0.046825045057449714,5,0.6666666666666667,0.6235294117647059,0.611764705882353,0.6666666666666667,0.6068965517241379,0.7483870967741936,0.6442953020134228,0.6875000000000001,0.7012987012987013,0.6626506024096386,0.6619655705200487,0.041297400251034073,12,0.930307709124696,0.9416794195611182,0.9291087093159894,0.9356536769327468,0.9277335171332616,0.9296053031685216,0.9192327704460528,0.9365045578327824,0.9315446627068594,0.9265644955300129,0.930793482175204,0.005836863518982866,11,65.72712278366089,1,87.77060466093918,rbf
