params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 100, 'learning_rate': 0.06839135923441693, 'max_depth': 29, 'min_child_weight': 26, 'reg_alpha': 0.06017565419124494, 'reg_lambda': 0.08897552034990251, 'gamma': 32.18204637347652, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,4.396217346191406,1,100,0.06839135923441693,29,26,0.06017565419124494,0.08897552034990251,32.18204637347652,gpu_hist,0,0.04843400447427293
"{'n_estimators': 1000, 'learning_rate': 0.11337778691956163, 'max_depth': 48, 'min_child_weight': 12, 'reg_alpha': 0.09335208282108881, 'reg_lambda': 0.08037034255749646, 'gamma': 14.302838507976286, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,10,26.64851999282837,1,1000,0.11337778691956163,48,12,0.09335208282108881,0.08037034255749646,14.302838507976286,gpu_hist,0,0.04843400447427293
"{'n_estimators': 100, 'learning_rate': 0.287084710422842, 'max_depth': 34, 'min_child_weight': 24, 'reg_alpha': 0.08545489020191809, 'reg_lambda': 0.09321013275289047, 'gamma': 14.490999047939793, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.5,0.5,0.5,0.5,0.6126470636039495,0.10976025702104257,14,3.9157614707946777,1,100,0.287084710422842,34,24,0.08545489020191809,0.09321013275289047,14.490999047939793,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.07314858494301511, 'max_depth': 6, 'min_child_weight': 19, 'reg_alpha': 0.04641417446525837, 'reg_lambda': 0.08109072378726187, 'gamma': 4.717658162058558, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.681393982455661,0.7826428551908835,0.822274752001749,0.8161465307572486,0.7944920837641144,0.6854858872738823,0.8793306168785096,0.8591869556109657,0.8469595302290066,0.8467365376688492,0.801464973183087,0.06514125767725613,7,15.019248485565186,1,500,0.07314858494301511,6,19,0.04641417446525837,0.08109072378726187,4.717658162058558,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.18303247423942076, 'max_depth': 47, 'min_child_weight': 16, 'reg_alpha': 0.02652243406167892, 'reg_lambda': 0.0812194169797683, 'gamma': 20.89266699730868, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,10,14.698521137237549,1,500,0.18303247423942076,47,16,0.02652243406167892,0.0812194169797683,20.89266699730868,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.24862387830152047, 'max_depth': 45, 'min_child_weight': 29, 'reg_alpha': 0.005294980624407418, 'reg_lambda': 0.018300780782595432, 'gamma': 60.19209842257966, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,14.33008885383606,1,500,0.24862387830152047,45,29,0.005294980624407418,0.018300780782595432,60.19209842257966,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.20817637091969, 'max_depth': 47, 'min_child_weight': 19, 'reg_alpha': 0.029616555042578117, 'reg_lambda': 0.06366018780990568, 'gamma': 71.29015914866095, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,14.530882835388184,1,500,0.20817637091969,47,19,0.029616555042578117,0.06366018780990568,71.29015914866095,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.07112546437971462, 'max_depth': 27, 'min_child_weight': 27, 'reg_alpha': 0.01934815929245331, 'reg_lambda': 0.03301991349930305, 'gamma': 8.402267888614338, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5902153417320253,0.7012680020768999,0.7779629983876698,0.7398477850955101,0.7411360457337469,0.5760404630136431,0.8578422428997141,0.8346206085669686,0.8149972632731253,0.8265219242230737,0.7460452675002377,0.09372613208474159,10,14.975494146347046,1,500,0.07112546437971462,27,27,0.01934815929245331,0.03301991349930305,8.402267888614338,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.15318857234562344, 'max_depth': 48, 'min_child_weight': 19, 'reg_alpha': 0.005416487945411104, 'reg_lambda': 0.05360204883157659, 'gamma': 33.26375038383593, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,15.454618692398071,1,500,0.15318857234562344,48,19,0.005416487945411104,0.05360204883157659,33.26375038383593,gpu_hist,0,0.04843400447427293
"{'n_estimators': 500, 'learning_rate': 0.23742677441927978, 'max_depth': 38, 'min_child_weight': 21, 'reg_alpha': 0.056669703747805195, 'reg_lambda': 0.077066099833323, 'gamma': 94.45075990331921, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.04843400447427293}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,15,15.465054750442505,1,500,0.23742677441927978,38,21,0.056669703747805195,0.077066099833323,94.45075990331921,gpu_hist,0,0.04843400447427293
