params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 500, 'learning_rate': 0.2971472133509891}",0.35,0.6363636363636364,0.6071428571428571,0.6938775510204082,0.6896551724137931,0.5294117647058824,0.5925925925925926,0.8076923076923077,0.7916666666666666,0.6666666666666666,0.6365069215264811,0.12520025745461896,14,0.0813953488372093,0.2441860465116279,0.1976744186046511,0.3953488372093023,0.2298850574712643,0.1034482758620689,0.1839080459770115,0.2413793103448276,0.2183908045977011,0.2068965517241379,0.21025126971398017,0.08106016020619145,3,0.1320754716981132,0.3529411764705882,0.2982456140350877,0.5037037037037037,0.3448275862068966,0.173076923076923,0.2807017543859649,0.3716814159292035,0.3423423423423423,0.3157894736842105,0.31153854615330334,0.09840737813767617,3,0.8737463449293581,0.8683593856748558,0.897535047686716,0.8670818189271172,0.901518376614162,0.875685026387453,0.8513687013048443,0.9242298309986688,0.920388277348686,0.8833782697128801,0.8863291079584743,0.022690764036699087,12,133.490140914917,1,500,0.2971472133509891
"{'n_estimators': 100, 'learning_rate': 0.033222707066953815}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.777033858934769,0.8616675320416474,0.8597750935971361,0.8778796491132184,0.8347422408725091,0.6991695216471717,0.8769081067931642,0.8830268874968747,0.8847770412265942,0.8747018319176684,0.8429681763640753,0.05696984107241267,20,25.65556240081787,1,100,0.033222707066953815
"{'n_estimators': 100, 'learning_rate': 0.035688119007136726}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.784849561391523,0.8621525974913234,0.861780258519389,0.8779821277293471,0.848784014812112,0.7021495131329103,0.8797664659733625,0.8845540486664369,0.8847500118253631,0.8750228060572888,0.8461791405599056,0.05562645375946649,19,26.44545793533325,1,100,0.035688119007136726
"{'n_estimators': 500, 'learning_rate': 0.28490674416921025}",0.3636363636363636,0.6176470588235294,0.6538461538461539,0.6938775510204082,0.6896551724137931,0.5,0.5769230769230769,0.8,0.8181818181818182,0.6923076923076923,0.6406074887152836,0.12887843842772825,13,0.0930232558139534,0.2441860465116279,0.1976744186046511,0.3953488372093023,0.2298850574712643,0.0919540229885057,0.1724137931034483,0.2298850574712643,0.2068965517241379,0.2068965517241379,0.20681635926222933,0.08087933581929711,4,0.1481481481481481,0.35,0.3035714285714285,0.5037037037037037,0.3448275862068966,0.1553398058252427,0.2654867256637168,0.3571428571428571,0.3302752293577981,0.3185840707964602,0.30770795554162517,0.09753323885777507,4,0.8726088322903287,0.8682227475200174,0.8977468368267154,0.8676283715464705,0.9021028874157866,0.873819997702501,0.8501591355997485,0.9238818274578172,0.920395034698994,0.8841013061958145,0.8860666977254192,0.022988461892150418,15,134.6746916770935,1,500,0.28490674416921025
"{'n_estimators': 100, 'learning_rate': 0.22590082755052543}",0.6,0.875,0.8571428571428571,0.896551724137931,1.0,1.0,0.6,0.75,0.875,0.3333333333333333,0.7787027914614122,0.19989487447627888,3,0.0348837209302325,0.1627906976744186,0.0697674418604651,0.3023255813953488,0.2068965517241379,0.0459770114942528,0.0689655172413793,0.0344827586206896,0.0804597701149425,0.0229885057471264,0.10295375568029937,0.08709695641837548,14,0.0659340659340659,0.2745098039215686,0.1290322580645161,0.4521739130434781,0.3428571428571428,0.0879120879120879,0.1237113402061855,0.0659340659340659,0.1473684210526315,0.043010752688172,0.17324438516139146,0.1300676991355779,14,0.8603148143087476,0.871594293990654,0.9041380865192796,0.900865602710901,0.901119692946002,0.8099697946441242,0.91158682857278,0.9306493137910762,0.9188003000263536,0.899085730503355,0.8908124458013272,0.03330191194893171,2,26.9048068523407,1,100,0.22590082755052543
"{'n_estimators': 500, 'learning_rate': 0.2711530224514927}",0.3333333333333333,0.6363636363636364,0.7083333333333334,0.7083333333333334,0.7142857142857143,0.5,0.5652173913043478,0.8,0.8181818181818182,0.6666666666666666,0.6450715226802184,0.13853159581944655,12,0.0813953488372093,0.2441860465116279,0.1976744186046511,0.3953488372093023,0.2298850574712643,0.0919540229885057,0.1494252873563218,0.2298850574712643,0.2068965517241379,0.2068965517241379,0.20335471798984223,0.08377744210857845,6,0.1308411214953271,0.3529411764705882,0.3090909090909091,0.5074626865671642,0.3478260869565217,0.1553398058252427,0.2363636363636363,0.3571428571428571,0.3302752293577981,0.3157894736842105,0.30430729829542547,0.10298061631501673,7,0.8733808378651655,0.8675600524690513,0.9049818271254064,0.868181756073566,0.9021231594667098,0.8737389094988073,0.8495002939447385,0.9245710771892126,0.9197125423179064,0.8840067032915053,0.8867757159242069,0.023541055698605005,11,135.87562680244446,1,500,0.2711530224514927
"{'n_estimators': 500, 'learning_rate': 0.24378129804786966}",0.3333333333333333,0.65625,0.6956521739130435,0.723404255319149,0.7037037037037037,0.5333333333333333,0.5833333333333334,0.8076923076923077,0.8181818181818182,0.6923076923076923,0.6547191951117715,0.13544298061635177,11,0.0813953488372093,0.2441860465116279,0.1860465116279069,0.3953488372093023,0.2183908045977011,0.0919540229885057,0.160919540229885,0.2413793103448276,0.2068965517241379,0.2068965517241379,0.20334135257952415,0.08343290777857885,7,0.1308411214953271,0.3559322033898304,0.2935779816513761,0.5112781954887218,0.3333333333333333,0.1568627450980392,0.2522522522522522,0.3716814159292035,0.3302752293577981,0.3185840707964602,0.30546185487923416,0.10315229131291057,6,0.8728035416609734,0.8668905255103435,0.9041039269805702,0.8678538245019539,0.9023123652753282,0.8700629109313657,0.8571192064167799,0.9323825741450262,0.919155060917513,0.884121578246738,0.8876805514586593,0.024034196215259734,6,136.6528837680817,1,500,0.24378129804786966
"{'n_estimators': 500, 'learning_rate': 0.13576005337422276}",0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.76,0.7777777777777778,0.65,0.8888888888888888,0.9375,0.6956521739130435,0.7543152173913044,0.09138793812617163,4,0.0697674418604651,0.2441860465116279,0.1395348837209302,0.3023255813953488,0.2183908045977011,0.0804597701149425,0.1494252873563218,0.1839080459770115,0.1724137931034483,0.1839080459770115,0.17443197006148087,0.06705746031894715,12,0.1263157894736842,0.3716814159292035,0.2307692307692307,0.4262295081967213,0.3392857142857143,0.1458333333333333,0.2429906542056074,0.3047619047619047,0.2912621359223301,0.2909090909090909,0.277003877778682,0.08915462228685189,12,0.8831812095209466,0.863686360779384,0.9003088022299348,0.8771657147541879,0.9022380344219424,0.8567205227486198,0.8703872637461398,0.9332981951117328,0.920584240507612,0.8868718198220114,0.8894442163642513,0.02338519260965676,4,135.92195844650269,1,500,0.13576005337422276
"{'n_estimators': 1000, 'learning_rate': 0.2719024230651851}",0.3870967741935484,0.65,0.5625,0.7058823529411765,0.6176470588235294,0.55,0.6,0.75,0.7037037037037037,0.6875,0.6214329889661958,0.09978652359406494,16,0.1395348837209302,0.3023255813953488,0.2093023255813953,0.4186046511627907,0.2413793103448276,0.1264367816091954,0.2068965517241379,0.2413793103448276,0.2183908045977011,0.2528735632183908,0.23571237636995454,0.07827182313064929,1,0.2051282051282051,0.4126984126984127,0.3050847457627118,0.5255474452554746,0.3471074380165289,0.205607476635514,0.3076923076923077,0.3652173913043478,0.3333333333333333,0.3697478991596639,0.33771646549865,0.08932591793463042,1,0.8752664444019348,0.8718026671767825,0.8930191566693083,0.8704465334900118,0.8978592714224898,0.8829728286944123,0.8506084993952171,0.9262773081419312,0.9199355348780636,0.8651739679836742,0.8853362212253826,0.022833125982415638,16,266.54355692863464,1,1000,0.2719024230651851
"{'n_estimators': 1000, 'learning_rate': 0.1915381434704921}",0.3478260869565217,0.6176470588235294,0.6,0.6862745098039216,0.6666666666666666,0.5263157894736842,0.6296296296296297,0.7777777777777778,0.7037037037037037,0.6666666666666666,0.6222507889502101,0.11133327409757371,15,0.0930232558139534,0.2441860465116279,0.2093023255813953,0.4069767441860465,0.2298850574712643,0.1149425287356321,0.1954022988505747,0.2413793103448276,0.2183908045977011,0.2298850574712643,0.21833734295642876,0.08003272427155673,2,0.146788990825688,0.35,0.3103448275862069,0.510948905109489,0.3418803418803418,0.1886792452830188,0.2982456140350877,0.368421052631579,0.3333333333333333,0.3418803418803418,0.3190522652565087,0.09415202980821667,2,0.8766054983193508,0.8743099773180663,0.8963599595551062,0.8692031262809828,0.8987647563637347,0.8802090724185232,0.8562914310040748,0.9278720428145716,0.9221789751802524,0.8811415867609993,0.8882936426015661,0.02174081960238687,5,267.1860806941986,1,1000,0.1915381434704921
