params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 49, 'min_samples_split': 15, 'min_samples_leaf': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.914413275763124,0.9013370043450932,0.9338671330582352,0.9089921569699124,0.9306121483643832,0.8496016541993554,0.9420354490597148,0.9557798995857744,0.9600201369039172,0.9416739308182476,0.9238332789067757,0.03074365993030295,13,52.30037808418274,1,500,49,15,25
"{'n_estimators': 500, 'max_depth': 39, 'min_samples_split': 17, 'min_samples_leaf': 26}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9139350422211898,0.8999774547044517,0.9317492416582408,0.909190282294428,0.9291694540736688,0.8468851993756209,0.9426841546892633,0.9556515099299264,0.959932291349916,0.9409508943353132,0.9230125524632019,0.031385996629801995,14,52.86777806282044,1,500,39,17,26
"{'n_estimators': 500, 'max_depth': 49, 'min_samples_split': 12, 'min_samples_leaf': 22}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9178633891727924,0.9058597272702428,0.9353906484846828,0.91350804798732,0.930524302810382,0.8562644016028435,0.9430422942555764,0.9569421638387156,0.9605472102279254,0.944863400163528,0.926480558581401,0.02897322332160817,12,55.98496556282044,1,500,49,12,22
"{'n_estimators': 100, 'max_depth': 34, 'min_samples_split': 30, 'min_samples_leaf': 13}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.4000000000000001,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229885057471264,0.0229885057471264,0.0,0.0045977011494252795,0.009195402298850559,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.0449438202247191,0.0,0.00898876404494382,0.01797752808988764,5,0.9238686360779385,0.913586614926352,0.9375085398846772,0.9188198562566612,0.9418428645759426,0.8792258779487387,0.9486779244122796,0.9564015758140918,0.9715752059302506,0.9479650239548068,0.9339472119781738,0.02479510960962626,6,12.513283967971802,1,100,34,30,13
"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 4, 'min_samples_leaf': 15}",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.30000000000000004,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.00344827586206896,0.01034482758620688,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.006666666666666659,0.019999999999999976,6,0.9225022545295548,0.9083875331347526,0.9365794004317768,0.9158650561582816,0.9362680505720098,0.8759012615973025,0.9474075425544136,0.9547392676383736,0.9648854291255312,0.945525620493692,0.9308061416235688,0.024696063103678834,9,12.25120210647583,1,100,30,4,15
"{'n_estimators': 500, 'max_depth': 50, 'min_samples_split': 4, 'min_samples_leaf': 14}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9251666985489028,0.9135592872953844,0.939455633591124,0.9193424971989178,0.9380182043017292,0.8797867380242859,0.9477724394710346,0.957124612297026,0.9697507213471454,0.9489853838512844,0.9338962215926834,0.024336548452492533,7,63.3401460647583,1,500,50,4,14
"{'n_estimators': 500, 'max_depth': 32, 'min_samples_split': 19, 'min_samples_leaf': 27}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9136481020960292,0.8995128849780013,0.9329379936053344,0.9084182767195912,0.9296019244933678,0.8474798462027071,0.941521890436322,0.9557731422354668,0.9587429976957436,0.9411063133923928,0.9228743371854955,0.03117651970410602,16,53.74943065643311,1,500,32,19,27
"{'n_estimators': 1000, 'max_depth': 26, 'min_samples_split': 3, 'min_samples_leaf': 6}",1.0,0.75,1.0,0.9,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.9316666666666666,0.11701139545645402,1,0.0232558139534883,0.0348837209302325,0.0232558139534883,0.1046511627906976,0.0229885057471264,0.0459770114942528,0.1034482758620689,0.0689655172413793,0.0689655172413793,0.0344827586206896,0.05308740978348029,0.03018795022781125,4,0.0454545454545454,0.0666666666666666,0.0454545454545454,0.1875,0.0444444444444444,0.0879120879120879,0.1875,0.1290322580645161,0.1290322580645161,0.0666666666666666,0.09896634727279885,0.053284831288218475,4,0.9367946055256472,0.9284323504495396,0.9481184926078758,0.9284289344956684,0.9479717813051146,0.90005203159737,0.9532458932203504,0.9621115368241804,0.973994337340442,0.9545872272564482,0.9433737190622636,0.019804621028261245,4,133.7394347190857,1,1000,26,3,6
"{'n_estimators': 500, 'max_depth': 32, 'min_samples_split': 28, 'min_samples_leaf': 19}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9207122947011724,0.9088930943076544,0.9370849616046784,0.912524253272484,0.9346192570969072,0.8693939332508938,0.9433125882678884,0.9576854723725732,0.965426017150155,0.9473365903761816,0.9296988462400588,0.026608565750859427,10,57.99505066871643,1,500,32,28,19
"{'n_estimators': 500, 'max_depth': 14, 'min_samples_split': 24, 'min_samples_leaf': 16}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9095557893586204,0.9021021780121882,0.931557948241467,0.9049203399557292,0.9308689276760796,0.8453918249575976,0.9410488759147764,0.9567664727307128,0.961993283193794,0.9453093852838426,0.9229515025324808,0.032537094359514324,15,48.49608421325684,1,500,14,24,16
