params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 48},0.4761904761904761,0.5675675675675675,0.6944444444444444,0.5,0.5625,0.875,0.7441860465116279,0.9117647058823528,0.8947368421052632,0.3061224489795918,0.6532512531681323,0.19369960589443092,8,0.2325581395348837,0.2441860465116279,0.2906976744186046,0.2325581395348837,0.1034482758620689,0.160919540229885,0.367816091954023,0.3563218390804598,0.3908045977011494,0.3448275862068966,0.2724137931034483,0.08982798312742488,8,0.3125,0.3414634146341463,0.4098360655737705,0.3174603174603174,0.174757281553398,0.2718446601941747,0.4923076923076923,0.512396694214876,0.5439999999999999,0.3243243243243243,0.37008904502626994,0.1112745636181727,8,0.9237354138769708,0.9111305440931324,0.9453447380646572,0.9226423086382642,0.9405522106671532,0.9175941129964118,0.9379776601998824,0.9302404940974544,0.9501341334036096,0.9069985877137856,0.9286350203751322,0.01389125875239091,4,22.752814292907715,1,48
{'n_neighbors': 4},0.6727272727272727,0.7796610169491526,0.7592592592592593,0.8,0.8225806451612904,0.8936170212765957,0.8103448275862069,0.8095238095238095,0.8421052631578947,0.65625,0.7846069115641481,0.06914551603609433,1,0.4302325581395348,0.5348837209302325,0.4767441860465116,0.5116279069767442,0.5862068965517241,0.4827586206896552,0.5402298850574713,0.5862068965517241,0.5517241379310345,0.4827586206896552,0.5183373429564286,0.04811387326917847,1,0.524822695035461,0.6344827586206897,0.5857142857142859,0.624113475177305,0.6845637583892618,0.6268656716417911,0.6482758620689655,0.68,0.6666666666666666,0.5562913907284769,0.6231796564042904,0.05021105834820942,1,0.8987647910802613,0.8675293088842128,0.8829113491651409,0.8887628781460936,0.8955077135153764,0.856815125652929,0.8873988931460196,0.900119605100448,0.914053261435126,0.9083433004250372,0.8900206226550644,0.016701220686241955,20,23.604058027267456,1,4
{'n_neighbors': 54},0.5128205128205128,0.5405405405405406,0.6944444444444444,0.5128205128205128,0.5625,0.8666666666666667,0.7560975609756098,0.8611111111111112,0.8571428571428571,0.2989690721649484,0.6463113278687203,0.1811113486167818,11,0.2325581395348837,0.2325581395348837,0.2906976744186046,0.2325581395348837,0.1034482758620689,0.1494252873563218,0.3563218390804598,0.3563218390804598,0.3448275862068966,0.3333333333333333,0.2632050253942796,0.08423971295548954,12,0.32,0.3252032520325203,0.4098360655737705,0.32,0.174757281553398,0.2549019607843137,0.484375,0.5040650406504066,0.4918032786885247,0.3152173913043478,0.36001592705872815,0.10385392145989412,12,0.9201110868198836,0.9096992594212008,0.946448091164977,0.926317875003416,0.9380722631041916,0.9189117963064324,0.9437619520633568,0.9287336049788156,0.949333387392136,0.9054376397926844,0.9286826956047094,0.014604279138048546,2,23.80184435844421,1,54
{'n_neighbors': 54},0.5128205128205128,0.5405405405405406,0.6944444444444444,0.5128205128205128,0.5625,0.8666666666666667,0.7560975609756098,0.8611111111111112,0.8571428571428571,0.2989690721649484,0.6463113278687203,0.1811113486167818,11,0.2325581395348837,0.2325581395348837,0.2906976744186046,0.2325581395348837,0.1034482758620689,0.1494252873563218,0.3563218390804598,0.3563218390804598,0.3448275862068966,0.3333333333333333,0.2632050253942796,0.08423971295548954,12,0.32,0.3252032520325203,0.4098360655737705,0.32,0.174757281553398,0.2549019607843137,0.484375,0.5040650406504066,0.4918032786885247,0.3152173913043478,0.36001592705872815,0.10385392145989412,12,0.9201110868198836,0.9096992594212008,0.946448091164977,0.926317875003416,0.9380722631041916,0.9189117963064324,0.9437619520633568,0.9287336049788156,0.949333387392136,0.9054376397926844,0.9286826956047094,0.014604279138048546,2,24.173073053359985,1,54
{'n_neighbors': 28},0.631578947368421,0.6153846153846154,0.8235294117647058,0.6774193548387096,0.7741935483870968,0.8571428571428571,0.7169811320754716,0.8780487804878049,0.8936170212765957,0.3235294117647059,0.7191425080490983,0.16289634455900392,3,0.4186046511627907,0.2790697674418604,0.3255813953488372,0.2441860465116279,0.2758620689655172,0.2758620689655172,0.4367816091954023,0.4137931034482758,0.4827586206896552,0.3793103448275862,0.35318096765570706,0.07906123738292221,4,0.5034965034965034,0.384,0.4666666666666667,0.358974358974359,0.4067796610169492,0.417391304347826,0.5428571428571429,0.5625,0.6268656716417911,0.3492063492063492,0.4618737658207587,0.08945518844636566,4,0.9240257699560024,0.9055591233295984,0.9384171836143524,0.9233289153663268,0.9340854264225912,0.9081743666673424,0.9194794137322873,0.9262300066897768,0.9556244805286952,0.9092149986147432,0.9244139684921716,0.014638775893193266,13,24.416765451431274,1,28
{'n_neighbors': 50},0.5,0.5405405405405406,0.7142857142857143,0.5128205128205128,0.5625,0.875,0.7380952380952381,0.8888888888888888,0.8947368421052632,0.2989690721649484,0.6525836808901107,0.19068147271033117,9,0.2441860465116279,0.2325581395348837,0.2906976744186046,0.2325581395348837,0.1034482758620689,0.160919540229885,0.3563218390804598,0.367816091954023,0.3908045977011494,0.3333333333333333,0.271264367816092,0.08896341196957809,9,0.328125,0.3252032520325203,0.4132231404958678,0.32,0.174757281553398,0.2718446601941747,0.4806201550387597,0.5203252032520325,0.5439999999999999,0.3152173913043478,0.3693316083871101,0.11135072794651446,9,0.922406607821168,0.9108231082447462,0.9452798349411088,0.9230453911950371,0.9390047774466675,0.9168035030103996,0.9412347030482408,0.9294465054362884,0.9495462439268314,0.9070492678410942,0.928463994291158,0.014050657646557678,5,23.73950839042664,1,50
{'n_neighbors': 75},0.3823529411764705,0.4615384615384615,0.65,0.1363636363636363,0.5,0.8181818181818182,0.68,0.7272727272727273,0.782608695652174,0.2795698924731182,0.5417888172658406,0.21594863787728827,19,0.1511627906976744,0.1395348837209302,0.1511627906976744,0.0348837209302325,0.0804597701149425,0.1034482758620689,0.1954022988505747,0.1839080459770115,0.2068965517241379,0.2988505747126437,0.15457097032878908,0.06983035510328446,15,0.2166666666666666,0.2142857142857142,0.2452830188679245,0.0555555555555555,0.1386138613861386,0.183673469387755,0.3035714285714286,0.2935779816513761,0.3272727272727273,0.2888888888888888,0.22673893125341754,0.07991569248320496,15,0.914334708824092,0.9138633071898996,0.936049927581778,0.9160563495750552,0.9367444437687094,0.9201483914127592,0.9368897268003272,0.9302404940974544,0.947988674680884,0.9077621682985668,0.9260078192229525,0.012592170590015682,11,25.165348529815677,1,75
{'n_neighbors': 39},0.5636363636363636,0.5555555555555556,0.7222222222222222,0.6451612903225806,0.5555555555555556,0.75,0.6938775510204082,0.8717948717948718,0.9111111111111112,0.3168316831683168,0.6585746204386986,0.16434742149494128,7,0.3604651162790697,0.2325581395348837,0.3023255813953488,0.2325581395348837,0.1149425287356321,0.2068965517241379,0.3908045977011494,0.3908045977011494,0.4712643678160919,0.367816091954023,0.307043571237637,0.10276093831509099,6,0.4397163120567375,0.3278688524590164,0.4262295081967213,0.3418803418803419,0.1904761904761905,0.3243243243243243,0.5,0.5396825396825398,0.6212121212121212,0.3404255319148936,0.4051815722202886,0.11924757821427988,6,0.9294229770721176,0.9131698685540952,0.9414539666056349,0.9220137731260076,0.9444680951705218,0.9150972720576808,0.9259461979768492,0.9342881469318252,0.948096792285809,0.9009642738889228,0.9274921363669464,0.014326449404450407,10,24.04285502433777,1,39
{'n_neighbors': 14},0.6307692307692307,0.64,0.825,0.7446808510638298,0.8,0.7666666666666667,0.7,0.875,0.9,0.3693693693693693,0.7251486117869097,0.14631329723153608,2,0.4767441860465116,0.3720930232558139,0.3837209302325581,0.4069767441860465,0.4597701149425287,0.264367816091954,0.4827586206896552,0.4827586206896552,0.5172413793103449,0.4712643678160919,0.43176958032611595,0.07167968740552269,2,0.543046357615894,0.4705882352941177,0.5238095238095237,0.5263157894736843,0.583941605839416,0.3931623931623932,0.5714285714285714,0.6222222222222222,0.6569343065693432,0.4141414141414141,0.5305590419556581,0.0807092050173219,2,0.92896865520728,0.8895246358593174,0.927059136993414,0.9259796955701908,0.9170906903984808,0.8866792353382391,0.918584064816504,0.9279767817443424,0.9328420739659566,0.9218242142890928,0.9176529184182817,0.01546707092952031,19,23.74595642089844,1,14
{'n_neighbors': 22},0.609375,0.6304347826086957,0.8205128205128205,0.7441860465116279,0.7352941176470589,0.7931034482758621,0.7037037037037037,0.8604651162790697,0.9333333333333332,0.3203883495145631,0.7150796718386736,0.16170347525517326,4,0.4534883720930232,0.3372093023255814,0.3720930232558139,0.3720930232558139,0.2873563218390804,0.264367816091954,0.4367816091954023,0.425287356321839,0.4827586206896552,0.3793103448275862,0.381074578989575,0.06718157232234899,3,0.52,0.4393939393939394,0.512,0.4961240310077519,0.4132231404958677,0.396551724137931,0.5390070921985816,0.5692307692307692,0.6363636363636364,0.3473684210526316,0.48692627538811084,0.08304249331163371,3,0.9257166671221272,0.9019211324570272,0.9338773809198482,0.9213374142595578,0.920050409833296,0.8908620351787657,0.9218951664673248,0.9310682695101596,0.9522491840499504,0.9161074959286966,0.9215085155726754,0.016004446760771302,15,23.922393560409542,1,22
