params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_penalty,param_C,param_solver,param_max_iter
"{'penalty': 'l2', 'C': 47.859785385691815, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3939393939393939,0.6086956521739131,0.5609756097560976,0.6862745098039216,0.7105263157894737,0.6086956521739131,0.625,0.8611111111111112,0.8064516129032258,0.7142857142857143,0.6575955571936765,0.12454295880645011,9,0.1511627906976744,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.160919540229885,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.3448275862068966,0.28982892274792826,0.07695989070152855,14,0.2184873949579832,0.4242424242424242,0.3622047244094488,0.510948905109489,0.432,0.2545454545454545,0.3937007874015747,0.5040650406504066,0.4237288135593219,0.4651162790697675,0.398903982394587,0.09225728953826873,16,0.8736199546361326,0.8657291011942174,0.9089716612466864,0.8653294345913153,0.9016704169960876,0.854514247873124,0.8947677836566725,0.9386838033070471,0.936126146215546,0.9032448796178044,0.8942657429334634,0.02781242063963326,16,8.907256126403809,1,l2,47.859785385691815,newton-cholesky,100000
"{'penalty': None, 'C': 49.132237454043945, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6086956521739131,0.5476190476190477,0.6862745098039216,0.7105263157894737,0.5909090909090909,0.6410256410256411,0.8611111111111112,0.7575757575757576,0.7111111111111111,0.6503737126007957,0.12198036180833435,11,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.1494252873563218,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.367816091954023,0.29214113873295905,0.07889099840973639,1,0.2295081967213115,0.4242424242424242,0.359375,0.510948905109489,0.432,0.2385321100917431,0.3968253968253968,0.5040650406504066,0.4166666666666667,0.4848484848484848,0.39970122251559226,0.09435403596544478,4,0.8738659033148416,0.8672321208974394,0.9120255240073238,0.8689366818790479,0.9022988505747126,0.8562576442525357,0.8930716887294154,0.93852162689966,0.9341327278747455,0.904447687972592,0.8950790456402314,0.026943516157859653,5,4.109092473983765,1,,49.132237454043945,newton-cholesky,100000
"{'penalty': 'l2', 'C': 6.6627095070886355, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3939393939393939,0.6136363636363636,0.6052631578947368,0.6862745098039216,0.7027027027027027,0.5714285714285714,0.6486486486486487,0.8484848484848485,0.8333333333333334,0.7297297297297297,0.6633441259602251,0.1251970297390053,1,0.1511627906976744,0.313953488372093,0.2674418604651162,0.4069767441860465,0.2988505747126437,0.1379310344827586,0.2758620689655172,0.3218390804597701,0.2873563218390804,0.3103448275862069,0.27717187917669067,0.07565327086222852,19,0.2184873949579832,0.4153846153846154,0.3709677419354839,0.510948905109489,0.4193548387096775,0.2222222222222222,0.3870967741935484,0.4666666666666667,0.4273504273504274,0.4354838709677419,0.38739634574978554,0.09129357011161682,19,0.875081982892903,0.8690015850025962,0.9140341048834476,0.8741084360396796,0.9039544014001232,0.8459594423834527,0.9074243007831768,0.94232601512295,0.9385385202754296,0.915786521789076,0.8986215310572835,0.02991186971470706,1,8.984242677688599,1,l2,6.6627095070886355,newton-cholesky,100000
"{'penalty': 'l2', 'C': 75.39964998284248, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3939393939393939,0.6086956521739131,0.5609756097560976,0.6862745098039216,0.7105263157894737,0.6086956521739131,0.625,0.8611111111111112,0.8064516129032258,0.7209302325581395,0.6582600090209191,0.12486095390983765,5,0.1511627906976744,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.160919540229885,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.3563218390804598,0.2909783480352846,0.0778533820223195,10,0.2184873949579832,0.4242424242424242,0.3622047244094488,0.510948905109489,0.432,0.2545454545454545,0.3937007874015747,0.5040650406504066,0.4237288135593219,0.476923076923077,0.400084662179918,0.0931681520488455,1,0.8728547809690377,0.8646359959555106,0.9072431885879813,0.8646667395403492,0.9017717772507045,0.8566090264685411,0.8908282484272267,0.9378999506713428,0.9344030218870576,0.9009406231628454,0.8931853352920598,0.027230273550672066,17,10.732871770858765,1,l2,75.39964998284248,newton-cholesky,100000
"{'penalty': 'l2', 'C': 86.56275027786161, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3939393939393939,0.6086956521739131,0.5609756097560976,0.6862745098039216,0.7105263157894737,0.6086956521739131,0.625,0.8611111111111112,0.8064516129032258,0.7209302325581395,0.6582600090209191,0.12486095390983765,5,0.1511627906976744,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.160919540229885,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.3563218390804598,0.2909783480352846,0.0778533820223195,10,0.2184873949579832,0.4242424242424242,0.3622047244094488,0.510948905109489,0.432,0.2545454545454545,0.3937007874015747,0.5040650406504066,0.4237288135593219,0.476923076923077,0.400084662179918,0.0931681520488455,1,0.8726429918290383,0.8644515344464787,0.9060612685486296,0.8641611783674472,0.9016704169960876,0.8569671660348543,0.8898754620338274,0.9377512889645712,0.934193544027516,0.9001027117246785,0.8927877562973127,0.027137768887332447,19,10.779958724975586,1,l2,86.56275027786161,newton-cholesky,100000
"{'penalty': None, 'C': 17.400644764321868, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6086956521739131,0.5476190476190477,0.6862745098039216,0.7105263157894737,0.5909090909090909,0.6410256410256411,0.8611111111111112,0.7575757575757576,0.7111111111111111,0.6503737126007957,0.12198036180833435,11,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.1494252873563218,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.367816091954023,0.29214113873295905,0.07889099840973639,1,0.2295081967213115,0.4242424242424242,0.359375,0.510948905109489,0.432,0.2385321100917431,0.3968253968253968,0.5040650406504066,0.4166666666666667,0.4848484848484848,0.39970122251559226,0.09435403596544478,4,0.8738659033148416,0.8672321208974394,0.9120255240073238,0.8689366818790479,0.9022988505747126,0.8562576442525357,0.8930716887294154,0.93852162689966,0.9341327278747455,0.904447687972592,0.8950790456402314,0.026943516157859653,5,5.090536832809448,1,,17.400644764321868,newton-cholesky,100000
"{'penalty': 'l2', 'C': 36.29580140300269, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3939393939393939,0.6086956521739131,0.5609756097560976,0.6862745098039216,0.7105263157894737,0.6086956521739131,0.6410256410256411,0.8611111111111112,0.8064516129032258,0.7142857142857143,0.6591981212962406,0.12421589895769079,3,0.1511627906976744,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.160919540229885,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.3448275862068966,0.28982892274792826,0.07695989070152855,14,0.2184873949579832,0.4242424242424242,0.3622047244094488,0.510948905109489,0.432,0.2545454545454545,0.3968253968253968,0.5040650406504066,0.4237288135593219,0.4651162790697675,0.3992164433369692,0.09224442839050362,13,0.8737702566064548,0.8663713005219578,0.9099896155002324,0.8671398901429234,0.9019069242568604,0.853811483441113,0.8964706359342375,0.9389676120199748,0.9364842857818592,0.9063127166575444,0.8951224720863158,0.027927523053683824,4,9.43839693069458,1,l2,36.29580140300269,newton-cholesky,100000
"{'penalty': 'l2', 'C': 38.7563964189346, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3939393939393939,0.6086956521739131,0.5609756097560976,0.6862745098039216,0.7105263157894737,0.6086956521739131,0.6410256410256411,0.8611111111111112,0.8064516129032258,0.7142857142857143,0.6591981212962406,0.12421589895769079,3,0.1511627906976744,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.160919540229885,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.3448275862068966,0.28982892274792826,0.07695989070152855,14,0.2184873949579832,0.4242424242424242,0.3622047244094488,0.510948905109489,0.432,0.2545454545454545,0.3968253968253968,0.5040650406504066,0.4237288135593219,0.4651162790697675,0.3992164433369692,0.09224442839050362,13,0.873756592790971,0.8662551580903451,0.9097026753750715,0.8667982947558276,0.9018258360531668,0.8539196010460378,0.8959705920114605,0.939021670822437,0.936396440227858,0.9061302681992336,0.894977712937241,0.027927830316031608,14,9.744410753250122,1,l2,38.7563964189346,newton-cholesky,100000
"{'penalty': None, 'C': 26.148099352415414, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3888888888888889,0.6086956521739131,0.5476190476190477,0.6862745098039216,0.7105263157894737,0.5909090909090909,0.6410256410256411,0.8611111111111112,0.7575757575757576,0.7111111111111111,0.6503737126007957,0.12198036180833435,11,0.1627906976744186,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.1494252873563218,0.2873563218390804,0.3563218390804598,0.2873563218390804,0.367816091954023,0.29214113873295905,0.07889099840973639,1,0.2295081967213115,0.4242424242424242,0.359375,0.510948905109489,0.432,0.2385321100917431,0.3968253968253968,0.5040650406504066,0.4166666666666667,0.4848484848484848,0.39970122251559226,0.09435403596544478,4,0.8738659033148416,0.8672321208974394,0.9120255240073238,0.8689366818790479,0.9022988505747126,0.8562576442525357,0.8930716887294154,0.93852162689966,0.9341327278747455,0.904447687972592,0.8950790456402314,0.026943516157859653,5,5.571010589599609,1,,26.148099352415414,newton-cholesky,100000
"{'penalty': 'l2', 'C': 21.426577535424613, 'solver': 'newton-cholesky', 'max_iter': 100000}",0.3939393939393939,0.6086956521739131,0.575,0.6862745098039216,0.7105263157894737,0.5909090909090909,0.65,0.8611111111111112,0.8064516129032258,0.7142857142857143,0.6597193400915844,0.1239363140426847,2,0.1511627906976744,0.3255813953488372,0.2674418604651162,0.4069767441860465,0.3103448275862069,0.1494252873563218,0.2988505747126437,0.3563218390804598,0.2873563218390804,0.3448275862068966,0.2898289227479284,0.0789930858663125,13,0.2184873949579832,0.4242424242424242,0.365079365079365,0.510948905109489,0.432,0.2385321100917431,0.4094488188976378,0.5040650406504066,0.4237288135593219,0.4651162790697675,0.39916491516581376,0.0948021815530221,15,0.8739000628535512,0.867088650834859,0.9125310851802256,0.8693602601590467,0.9030421591085704,0.8518518518518519,0.8997276787825959,0.9397109205538324,0.9366802489407852,0.9088332083223528,0.896272612658767,0.028371196161173968,3,10.263407945632936,1,l2,21.426577535424613,newton-cholesky,100000
