params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 500, 'max_depth': 16, 'min_samples_split': 22, 'min_samples_leaf': 27, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8986042412483262,0.8931660426857596,0.9253819036427732,0.8956016177957533,0.920520045679688,0.8127267935697053,0.9351091649942224,0.951394379236014,0.9499719569962226,0.9398359315345266,0.9122312077382991,0.03900260495461936,18,33.339905738830566,1,500,16,22,27,entropy
"{'n_estimators': 1000, 'max_depth': 21, 'min_samples_split': 8, 'min_samples_leaf': 11, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.9232469324734238,0.9079161315005602,0.9385196622304812,0.9140409367911896,0.9376735794360316,0.8653935818686778,0.9446910877306792,0.9566110536736334,0.9657706420158528,0.9473095609749504,0.9301173168695481,0.0275616562134575,7,83.83419442176819,1,1000,21,8,11,entropy
"{'n_estimators': 100, 'max_depth': 17, 'min_samples_split': 6, 'min_samples_leaf': 28, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8963018883392999,0.8916527751209247,0.9262358921105128,0.8970192386522013,0.9181651090974208,0.8132335948427902,0.9324400116226426,0.9470831897396392,0.9491070161568248,0.9367816091954022,0.9108020324877657,0.038086306306609266,19,6.404362678527832,1,100,17,6,28,entropy
"{'n_estimators': 100, 'max_depth': 47, 'min_samples_split': 17, 'min_samples_leaf': 13, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.9202682206979478,0.8991029705134862,0.9356024376246824,0.9175115459240838,0.9332103495577314,0.8656165744288349,0.9413597140289348,0.9556717819808496,0.964655679215066,0.944194422483056,0.9277193696454672,0.02744227224705709,8,8.305861949920654,1,100,47,17,13,entropy
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 6, 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.9114618916186156,0.8993967425463886,0.9301779028775996,0.9021739130434784,0.9292674356531316,0.8446552737740477,0.942055721110638,0.9533134667234284,0.9562495354321664,0.9435051727516608,0.9212257055531154,0.03182641364055202,9,38.91788649559021,1,500,43,6,20,entropy
"{'n_estimators': 100, 'max_depth': 19, 'min_samples_split': 11, 'min_samples_leaf': 8, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,0.4000000000000001,4,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0229885057471264,0.0,0.0,0.00344827586206896,0.00735991291658947,4,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0449438202247191,0.0,0.0,0.0067671092951991805,0.014417136400409035,4,0.9238686360779385,0.9087906156915256,0.939626431284672,0.9125310851802256,0.9378627852446498,0.872353652685709,0.9472723955482576,0.9572867887044132,0.9660747227797036,0.9447823119598342,0.9310449425156928,0.026119102834335203,6,8.92316460609436,1,100,19,11,8,entropy
"{'n_estimators': 500, 'max_depth': 25, 'min_samples_split': 28, 'min_samples_leaf': 25, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.9061193397644358,0.8953112617167218,0.9294673844724402,0.9005479190009018,0.9248413712015244,0.8294106914796571,0.9353727016562264,0.951630886496787,0.9525735368647246,0.939761600681141,0.9165036693334561,0.034736477749894176,15,36.90750575065613,1,500,25,28,25,entropy
"{'n_estimators': 500, 'max_depth': 43, 'min_samples_split': 17, 'min_samples_leaf': 8, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.9293136665482468,0.9180615144973082,0.9439578607930478,0.9220547645724592,0.941491482359937,0.8885037199213444,0.9499820930216843,0.9580436119388864,0.9703723975754628,0.9512153094528574,0.9372996420681234,0.022333479063656347,4,47.02120423316956,1,500,43,17,8,entropy
"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.9112227748476484,0.8992737682070341,0.9302325581395348,0.9019757877189626,0.9293958253089798,0.8445066120672762,0.942190868116794,0.9530026286092697,0.9562968368843208,0.9431402758350396,0.921123793573486,0.031852219281249816,10,39.22391724586487,1,500,30,7,20,entropy
"{'n_estimators': 500, 'max_depth': 22, 'min_samples_split': 30, 'min_samples_leaf': 28, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.9019996993960592,0.8931797065012433,0.9285109173885716,0.8972754351925232,0.9227161845297224,0.8239845391824958,0.9356429956685384,0.9511038131727788,0.950796353733774,0.9380857778048072,0.9143295422570512,0.03608967616840188,17,35.73084783554077,1,500,22,30,28,entropy
