params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 14.916125254421965, 'kernel': 'rbf'}",0.7088607594936709,0.7777777777777778,0.7804878048780488,0.7215189873417721,0.8405797101449275,0.8955223880597015,0.7222222222222222,0.8571428571428571,0.9375,0.7073170731707317,0.794892958023171,0.07915912323262798,2,0.6511627906976745,0.6511627906976745,0.7441860465116279,0.6627906976744186,0.6666666666666666,0.6896551724137931,0.5977011494252874,0.6896551724137931,0.6896551724137931,0.6666666666666666,0.6709302325581397,0.03558777113562847,8,0.6787878787878788,0.7088607594936709,0.761904761904762,0.6909090909090908,0.7435897435897435,0.7792207792207794,0.6540880503144655,0.7643312101910829,0.7947019867549668,0.6863905325443787,0.7262784793710819,0.04594977668503949,1,0.9473840625256196,0.95632702975979,0.9570341322110786,0.9295357035498591,0.9486880604377412,0.9236081547703514,0.9413664713792428,0.9535499739842012,0.9648719144249156,0.95519538878415,0.9477560891826948,0.012240695393270346,3,82.39139723777771,1,14.916125254421965,rbf
"{'C': 26.247012746162955, 'kernel': 'rbf'}",0.717948717948718,0.7368421052631579,0.7111111111111111,0.6867469879518072,0.8235294117647058,0.8356164383561644,0.7361111111111112,0.8472222222222222,0.8611111111111112,0.6823529411764706,0.7638592158016579,0.06640522545728003,6,0.6511627906976745,0.6511627906976745,0.7441860465116279,0.6627906976744186,0.6436781609195402,0.7011494252873564,0.6091954022988506,0.7011494252873564,0.7126436781609196,0.6666666666666666,0.6743785084202085,0.03772759890270325,2,0.6829268292682927,0.6913580246913581,0.7272727272727273,0.6745562130177515,0.7225806451612904,0.7625000000000001,0.6666666666666666,0.7672955974842768,0.779874213836478,0.6744186046511628,0.7149449522050004,0.040760386152032826,4,0.9466325526740088,0.960405678681715,0.9560708332194682,0.9328628426201732,0.9453837161372284,0.9237162723752762,0.9393122368856724,0.956455634616554,0.9655679215066189,0.953357389500429,0.9479765078217144,0.012372913888574382,2,84.94959163665771,1,26.247012746162955,rbf
"{'C': 77.6644665285288, 'kernel': 'rbf'}",0.7125,0.717948717948718,0.6494845360824743,0.6746987951807228,0.7746478873239436,0.8108108108108109,0.7361111111111112,0.8611111111111112,0.8378378378378378,0.6704545454545454,0.7445605352861275,0.06985578376481884,15,0.6627906976744186,0.6511627906976745,0.7325581395348837,0.6511627906976745,0.632183908045977,0.6896551724137931,0.6091954022988506,0.7126436781609196,0.7126436781609196,0.6781609195402298,0.6732157177225341,0.03713343003654875,5,0.6867469879518072,0.6829268292682927,0.6885245901639344,0.6627218934911243,0.6962025316455697,0.7453416149068324,0.6666666666666666,0.779874213836478,0.7701863354037266,0.6742857142857143,0.7053477377620148,0.04105012164882437,14,0.947363566802394,0.9572766649359168,0.9525182411936708,0.9311616975924356,0.9423699378999508,0.9271625210322528,0.9329670849466508,0.955360943866691,0.962729834377344,0.9517018386750188,0.9460612331322326,0.011530646600589592,15,82.49341082572937,1,77.6644665285288,rbf
"{'C': 57.05119719436447, 'kernel': 'rbf'}",0.7088607594936709,0.7272727272727273,0.6631578947368421,0.6829268292682927,0.7857142857142857,0.8108108108108109,0.7361111111111112,0.8591549295774648,0.8378378378378378,0.6704545454545454,0.748230173127759,0.06733656847365393,10,0.6511627906976745,0.6511627906976745,0.7325581395348837,0.6511627906976745,0.632183908045977,0.6896551724137931,0.6091954022988506,0.7011494252873564,0.7126436781609196,0.6781609195402298,0.6709035017375033,0.03652236484200412,12,0.6787878787878788,0.6871165644171779,0.6961325966850829,0.6666666666666667,0.7006369426751593,0.7453416149068324,0.6666666666666666,0.7721518987341772,0.7701863354037266,0.6742857142857143,0.7057972879229083,0.03920017978686339,10,0.9469468204301368,0.9592715819965568,0.9543560243762468,0.9330746317601728,0.9442822680370572,0.9270273740260968,0.9299668214099888,0.9566313257245568,0.962831194631961,0.9499854716968382,0.9464373514089612,0.012017399975738622,11,83.29054355621338,1,57.05119719436447,rbf
"{'C': 25.59369746324443, 'kernel': 'rbf'}",0.717948717948718,0.7368421052631579,0.7111111111111111,0.6867469879518072,0.8235294117647058,0.8356164383561644,0.7361111111111112,0.8472222222222222,0.8611111111111112,0.6823529411764706,0.7638592158016579,0.06640522545728003,6,0.6511627906976745,0.6511627906976745,0.7441860465116279,0.6627906976744186,0.6436781609195402,0.7011494252873564,0.6091954022988506,0.7011494252873564,0.7126436781609196,0.6666666666666666,0.6743785084202085,0.03772759890270325,2,0.6829268292682927,0.6913580246913581,0.7272727272727273,0.6745562130177515,0.7225806451612904,0.7625000000000001,0.6666666666666666,0.7672955974842768,0.779874213836478,0.6744186046511628,0.7149449522050004,0.040760386152032826,4,0.9450885415243352,0.960330527696554,0.9563236138059192,0.9332249337304948,0.9458432159581586,0.9229864785420342,0.939156817828593,0.9563002155594748,0.9658517302195464,0.9518437430314824,0.9476949817896593,0.012482208648345068,4,83.99309396743774,1,25.59369746324443,rbf
"{'C': 57.524910692819354, 'kernel': 'rbf'}",0.7088607594936709,0.7272727272727273,0.6631578947368421,0.6829268292682927,0.7857142857142857,0.8108108108108109,0.7361111111111112,0.8591549295774648,0.8378378378378378,0.6704545454545454,0.748230173127759,0.06733656847365393,10,0.6511627906976745,0.6511627906976745,0.7325581395348837,0.6511627906976745,0.632183908045977,0.6896551724137931,0.6091954022988506,0.7011494252873564,0.7126436781609196,0.6781609195402298,0.6709035017375033,0.03652236484200412,12,0.6787878787878788,0.6871165644171779,0.6961325966850829,0.6666666666666667,0.7006369426751593,0.7453416149068324,0.6666666666666666,0.7721518987341772,0.7701863354037266,0.6742857142857143,0.7057972879229083,0.03920017978686339,10,0.9476778345585222,0.9599206132320388,0.9542877052988276,0.9336553439182358,0.9447485252082952,0.927858528113956,0.9311290856629298,0.9553609438666908,0.9631420327461196,0.9504314568171528,0.9468212069422769,0.011678480367205923,9,85.63434219360352,1,57.524910692819354,rbf
"{'C': 31.273847979396884, 'kernel': 'rbf'}",0.7,0.7432432432432432,0.7126436781609196,0.6867469879518072,0.8235294117647058,0.8356164383561644,0.7681159420289855,0.8472222222222222,0.8472222222222222,0.6823529411764706,0.764669308712674,0.06506580339724614,5,0.6511627906976745,0.6395348837209303,0.7209302325581395,0.6627906976744186,0.6436781609195402,0.7011494252873564,0.6091954022988506,0.7011494252873564,0.7011494252873564,0.6666666666666666,0.6697407110398289,0.03352635321278045,17,0.674698795180723,0.6875,0.7167630057803469,0.6745562130177515,0.7225806451612904,0.7625000000000001,0.6794871794871794,0.7672955974842768,0.7672955974842768,0.6744186046511628,0.7127095638247007,0.03828598896302927,7,0.9473908944333616,0.9600435875713936,0.9553193233678572,0.932951657420818,0.9432348787393486,0.9243649780048248,0.938359450492273,0.9567867447816364,0.9641083338401346,0.9520059194388696,0.9474565768090517,0.012039454165973781,6,85.75589370727539,1,31.273847979396884,rbf
"{'C': 77.41611790548448, 'kernel': 'rbf'}",0.7125,0.717948717948718,0.6494845360824743,0.6746987951807228,0.7746478873239436,0.8108108108108109,0.7361111111111112,0.8611111111111112,0.8378378378378378,0.6704545454545454,0.7445605352861275,0.06985578376481884,15,0.6627906976744186,0.6511627906976745,0.7325581395348837,0.6511627906976745,0.632183908045977,0.6896551724137931,0.6091954022988506,0.7126436781609196,0.7126436781609196,0.6781609195402298,0.6732157177225341,0.03713343003654875,5,0.6867469879518072,0.6829268292682927,0.6885245901639344,0.6627218934911243,0.6962025316455697,0.7453416149068324,0.6666666666666666,0.779874213836478,0.7701863354037266,0.6742857142857143,0.7053477377620148,0.04105012164882437,14,0.9465437378733637,0.9589436504249446,0.9532970786762496,0.9320976689530784,0.9419712542317906,0.92652733010332,0.9314061370255496,0.955867745139776,0.9617027171305588,0.952789772074574,0.9461147091633204,0.011885577592863227,14,85.06828761100769,1,77.41611790548448,rbf
"{'C': 24.350465310601624, 'kernel': 'rbf'}",0.717948717948718,0.7368421052631579,0.7222222222222222,0.6951219512195121,0.8235294117647058,0.8356164383561644,0.7361111111111112,0.8450704225352113,0.8611111111111112,0.6904761904761905,0.7664049682008105,0.06336338732579593,4,0.6511627906976745,0.6511627906976745,0.7558139534883721,0.6627906976744186,0.6436781609195402,0.7011494252873564,0.6091954022988506,0.6896551724137931,0.7126436781609196,0.6666666666666666,0.6743918738305266,0.03938153020798035,1,0.6829268292682927,0.6913580246913581,0.7386363636363636,0.6785714285714285,0.7225806451612904,0.7625000000000001,0.6666666666666666,0.759493670886076,0.779874213836478,0.6783625730994152,0.7160970415817369,0.03954970731765757,3,0.9423216188888583,0.9602827043423606,0.9571776022736588,0.9327330363730768,0.9460391791170846,0.9234257063120408,0.940224479177225,0.955928561292546,0.9651827525390744,0.9516410225222488,0.9474956662838174,0.012399352570881665,5,85.07161331176758,1,24.350465310601624,rbf
"{'C': 62.18854252172087, 'kernel': 'rbf'}",0.7088607594936709,0.7272727272727273,0.65625,0.6746987951807228,0.7857142857142857,0.8108108108108109,0.7361111111111112,0.8591549295774648,0.8378378378378378,0.6704545454545454,0.7467165802453177,0.06905405232532418,14,0.6511627906976745,0.6511627906976745,0.7325581395348837,0.6511627906976745,0.632183908045977,0.6896551724137931,0.6091954022988506,0.7011494252873564,0.7126436781609196,0.6781609195402298,0.6709035017375033,0.03652236484200412,12,0.6787878787878788,0.6871165644171779,0.6923076923076923,0.6627218934911243,0.7006369426751593,0.7453416149068324,0.6666666666666666,0.7721518987341772,0.7701863354037266,0.6742857142857143,0.705020320167615,0.03971567849475868,16,0.9456487579591724,0.9585678954991392,0.9533858934768944,0.9322752985543684,0.943559231554123,0.9278044693114936,0.930919607803388,0.9566853845270192,0.9627838931798064,0.9510734050963936,0.9462703836961797,0.011774260127585983,13,84.29946160316467,1,62.18854252172087,rbf
