params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 100, 'learning_rate': 0.29658724535493675, 'max_depth': 33, 'min_child_weight': 13, 'reg_alpha': 0.060412840040905205, 'reg_lambda': 0.04065775034442159, 'gamma': 40.5934085970873, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.7142857142857143,0.5,1.0,1.0,0.4285714285714285,0.6666666666666666,1.0,1.0,0.6309523809523809,0.375141696585446,8,0.0,0.0,0.0581395348837209,0.0116279069767441,0.0459770114942528,0.0344827586206896,0.0344827586206896,0.0229885057471264,0.0344827586206896,0.0114942528735632,0.025367548783747623,0.018498500431183666,11,0.0,0.0,0.1075268817204301,0.0227272727272727,0.0879120879120879,0.0666666666666666,0.0638297872340425,0.0444444444444444,0.0666666666666666,0.0227272727272727,0.048250108009888354,0.03461406272654236,10,0.8025476183969611,0.8563318120952094,0.8826380728554641,0.8606256661110048,0.8463919128031516,0.7432308243291641,0.9088061789211214,0.9337813456587404,0.9305614682370748,0.9250711211119896,0.8689986020519882,0.058203504414080516,10,4.613430023193359,1,100,0.29658724535493675,33,13,0.060412840040905205,0.04065775034442159,40.5934085970873,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.2758134076709054, 'max_depth': 29, 'min_child_weight': 22, 'reg_alpha': 0.0711552558595087, 'reg_lambda': 0.08428264724899209, 'gamma': 66.94588518990788, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.3415650255319866,15,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0229885057471264,0.0,0.0,0.00344827586206896,0.00735991291658947,14,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0444444444444444,0.0,0.0,0.00671717171717171,0.014285074759396334,14,0.8017756128221244,0.8080063126827536,0.8514743256907059,0.8741665072554861,0.8271267070756215,0.7435788278700157,0.9025961739882556,0.926993587274558,0.9007243879529958,0.907187793522404,0.854363023613492,0.05556197073478613,18,20.13818621635437,1,1000,0.2758134076709054,29,22,0.0711552558595087,0.08428264724899209,66.94588518990788,gpu_hist,0,0.9515659955257271
"{'n_estimators': 100, 'learning_rate': 0.04022755286045764, 'max_depth': 25, 'min_child_weight': 28, 'reg_alpha': 0.050372527087355394, 'reg_lambda': 0.052057960737730946, 'gamma': 29.733208331766807, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.2993325909419153,16,0.0,0.0,0.0,0.0116279069767441,0.0,0.0114942528735632,0.0,0.0,0.0,0.0,0.00231221598503073,0.004624528539936949,15,0.0,0.0,0.0,0.0219780219780219,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.00447052947052946,0.008942628462692179,16,0.8269409449894789,0.8360444620555844,0.8784466974557976,0.8559218976306944,0.8535817335306478,0.7820213937710745,0.9075662051396406,0.9290140350165892,0.9216316298053208,0.9211957807104678,0.8712364780105295,0.04631610469944843,9,5.485098838806152,1,100,0.04022755286045764,25,28,0.050372527087355394,0.052057960737730946,29.733208331766807,gpu_hist,0,0.9515659955257271
"{'n_estimators': 100, 'learning_rate': 0.028552137132563944, 'max_depth': 13, 'min_child_weight': 9, 'reg_alpha': 0.04027251513430459, 'reg_lambda': 0.0399460833204871, 'gamma': 45.63198628606429, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.5666666666666667,0.47258156262526085,10,0.0,0.1162790697674418,0.0465116279069767,0.0,0.0459770114942528,0.0344827586206896,0.0,0.0229885057471264,0.0114942528735632,0.0,0.02777332264100505,0.034545787825677805,9,0.0,0.2083333333333333,0.0888888888888888,0.0,0.0879120879120879,0.0666666666666666,0.0,0.0444444444444444,0.0227272727272727,0.0,0.051897269397269366,0.06247844736375392,9,0.7962349356434291,0.8084025633317848,0.8749726723690324,0.8476450414013609,0.8418239439950805,0.7464101576489827,0.910721887733382,0.9315649347577828,0.902656990141026,0.9270983262043286,0.8587531453226189,0.058599175441099896,15,5.534750461578369,1,100,0.028552137132563944,13,9,0.04027251513430459,0.0399460833204871,45.63198628606429,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.19534161649426734, 'max_depth': 40, 'min_child_weight': 10, 'reg_alpha': 0.002088116537875734, 'reg_lambda': 0.08487590598893731, 'gamma': 57.533250383732195, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.26666666666666666,0.4163331998932266,13,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0229885057471264,0.0114942528735632,0.0,0.00689655172413792,0.011721883939293739,13,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0444444444444444,0.0227272727272727,0.0,0.01338383838383837,0.022682616059865143,13,0.7832474790260433,0.8075861503566256,0.8731109775093598,0.8673824228677616,0.863751545743883,0.7487583368809423,0.9105124098738402,0.9341766506517464,0.929953306709373,0.9252366761945304,0.8643715955814105,0.06185887190395027,12,23.510745763778687,1,1000,0.19534161649426734,40,10,0.002088116537875734,0.08487590598893731,57.533250383732195,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.17356905079111112, 'max_depth': 17, 'min_child_weight': 27, 'reg_alpha': 0.03780191256608733, 'reg_lambda': 0.06139433292781584, 'gamma': 45.487666304660806, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,17,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0,0.0,0.0,0.0011494252873563199,0.0034482758620689594,17,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.00227272727272727,0.006818181818181809,17,0.806800480966305,0.8042350996092149,0.8792016232612795,0.8591021506845571,0.8566360558697723,0.7458594335988972,0.9091947265638196,0.9278686641394176,0.9209356227236176,0.9234425996878104,0.8633276457104693,0.058311632145417354,13,24.1828088760376,1,1000,0.17356905079111112,17,27,0.03780191256608733,0.06139433292781584,45.487666304660806,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.0523011655661981, 'max_depth': 7, 'min_child_weight': 18, 'reg_alpha': 0.010221641485188875, 'reg_lambda': 0.02805396857893194, 'gamma': 82.98814938557385, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7997943595769683,0.8057586150356626,0.8670374115267947,0.8416637061733119,0.8423543959942428,0.7502145458722725,0.9038260117442748,0.9291120165960524,0.9004236858642989,0.922020177448019,0.8562204925831898,0.05599261135403193,17,23.37009596824646,1,1000,0.0523011655661981,7,18,0.010221641485188875,0.02805396857893194,82.98814938557385,gpu_hist,0,0.9515659955257271
"{'n_estimators': 500, 'learning_rate': 0.2601782885381697, 'max_depth': 21, 'min_child_weight': 11, 'reg_alpha': 0.004148759404998886, 'reg_lambda': 0.03497873037580754, 'gamma': 48.66579308490714, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,1.0,1.0,0.0,0.0,1.0,0.4,0.6666666666666666,1.0,0.0,0.5066666666666666,0.4513682901282869,11,0.0,0.1162790697674418,0.0465116279069767,0.0,0.0,0.0344827586206896,0.0229885057471264,0.0229885057471264,0.0114942528735632,0.0,0.025474472066292407,0.03401880011135169,10,0.0,0.2083333333333333,0.0888888888888888,0.0,0.0,0.0666666666666666,0.0434782608695652,0.0444444444444444,0.0227272727272727,0.0,0.047453886693017096,0.06132857401181237,11,0.7977447872543928,0.815125160549832,0.8836628590167517,0.8674985652993742,0.8485339928507234,0.7649725989445019,0.908255454871036,0.9316189935602452,0.9291829687742842,0.9216958246332448,0.8668291205754386,0.05590300225393847,11,13.113849878311155,1,500,0.2601782885381697,21,11,0.004148759404998886,0.03497873037580754,48.66579308490714,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.06141165573222926, 'max_depth': 32, 'min_child_weight': 15, 'reg_alpha': 0.029038115508160305, 'reg_lambda': 0.08749340017306408, 'gamma': 91.11260540298538, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.7794626021370208,0.8062846719317902,0.8496536222774848,0.8404817861339601,0.8269949387446194,0.749734774000419,0.9045693202781324,0.9157763857636144,0.9000114874955232,0.9217262327096298,0.8494695821472193,0.05701486710956644,19,21.89590311050415,1,1000,0.06141165573222926,32,15,0.029038115508160305,0.08749340017306408,91.11260540298538,gpu_hist,0,0.9515659955257271
"{'n_estimators': 100, 'learning_rate': 0.044510654197845625, 'max_depth': 37, 'min_child_weight': 11, 'reg_alpha': 0.05708685735298759, 'reg_lambda': 0.09488561217832947, 'gamma': 42.51756912728919, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.4666666666666666,0.47609522856952335,12,0.0,0.0,0.0465116279069767,0.0,0.0459770114942528,0.0344827586206896,0.0,0.0229885057471264,0.0114942528735632,0.0,0.016145415664260872,0.018761989591943407,12,0.0,0.0,0.0888888888888888,0.0,0.0879120879120879,0.0666666666666666,0.0,0.0444444444444444,0.0227272727272727,0.0,0.031063936063936037,0.035939352447088416,12,0.7998660946082585,0.8486288361161971,0.880646571748695,0.8626000874484192,0.8714110023177711,0.7524782582253846,0.91152601242001,0.9341428639002074,0.9280207045213432,0.9280916566995748,0.8717412088005861,0.056485742972458675,8,5.42287015914917,1,100,0.044510654197845625,37,11,0.05708685735298759,0.09488561217832947,42.51756912728919,gpu_hist,0,0.9515659955257271
