params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate
"{'n_estimators': 500, 'learning_rate': 0.19772056420898124}",0.5263157894736842,0.7096774193548387,0.5909090909090909,0.54,0.59375,0.6666666666666666,0.7083333333333334,0.7916666666666666,0.8260869565217391,0.7083333333333334,0.6661739256259352,0.09651860529705925,8,0.1162790697674418,0.2558139534883721,0.1511627906976744,0.313953488372093,0.2183908045977011,0.0919540229885057,0.1954022988505747,0.2183908045977011,0.2183908045977011,0.1954022988505747,0.19751403368083395,0.061776967992573366,12,0.1904761904761905,0.376068376068376,0.2407407407407407,0.3970588235294118,0.3193277310924369,0.1616161616161616,0.3063063063063063,0.3423423423423423,0.3454545454545454,0.3063063063063063,0.29856975239328176,0.07359052806713047,12,0.8821666712212717,0.8714542398819447,0.9014975541770284,0.8544974448665046,0.9161480400305432,0.8781413232243372,0.8570381182130862,0.9284802043422732,0.9166818707048592,0.8793069661524324,0.8885412432814281,0.024483616779746947,8,107.6003189086914,1,500,0.19772056420898124
"{'n_estimators': 500, 'learning_rate': 0.13705961254628296}",0.5333333333333333,0.8148148148148148,0.6,0.75,0.76,0.75,0.7894736842105263,0.8421052631578947,0.8823529411764706,0.8333333333333334,0.7555413370026373,0.10389496486124787,7,0.0930232558139534,0.2558139534883721,0.1395348837209302,0.313953488372093,0.2183908045977011,0.0689655172413793,0.1724137931034483,0.1839080459770115,0.1724137931034483,0.1724137931034483,0.17908313285217856,0.06846583123670463,13,0.1584158415841584,0.3893805309734513,0.2264150943396226,0.442622950819672,0.3392857142857143,0.1263157894736842,0.2830188679245283,0.3018867924528302,0.2884615384615384,0.2857142857142857,0.2841517406029485,0.09144289655656901,13,0.8887594621922226,0.8712390347880741,0.8987647910802613,0.8544530374661821,0.9146985883895208,0.8691236392385817,0.8589267976241156,0.9299634427348348,0.9156750255089974,0.8808712927486875,0.8882475111771477,0.02452389097637538,9,107.53042721748352,1,500,0.13705961254628296
"{'n_estimators': 1000, 'learning_rate': 0.15048232066414743}",0.4761904761904761,0.7058823529411765,0.625,0.5,0.5757575757575758,0.6153846153846154,0.6129032258064516,0.7916666666666666,0.8076923076923077,0.72,0.6430477220439269,0.10672248482121788,13,0.1162790697674418,0.2790697674418604,0.1744186046511628,0.313953488372093,0.2183908045977011,0.0919540229885057,0.2183908045977011,0.2183908045977011,0.2413793103448276,0.2068965517241379,0.20791232290831324,0.06381487837827549,7,0.1869158878504672,0.4,0.2727272727272727,0.3857142857142857,0.3166666666666667,0.16,0.3220338983050848,0.3423423423423423,0.3716814159292035,0.3214285714285714,0.30795103409638946,0.07615781042509624,8,0.8860266990954553,0.8775927089880577,0.9017537507173504,0.8513206077665127,0.9108029759370756,0.8870069668281675,0.8603086757620602,0.9244122794569792,0.9187394838735836,0.8782899849311088,0.889625413335635,0.02296335130634687,5,215.26104760169983,1,1000,0.15048232066414743
"{'n_estimators': 500, 'learning_rate': 0.24017904195118067}",0.45,0.7058823529411765,0.625,0.5094339622641509,0.59375,0.6153846153846154,0.6,0.7916666666666666,0.8,0.7666666666666667,0.6457784263923276,0.1124149787196417,10,0.1046511627906976,0.2790697674418604,0.1744186046511628,0.313953488372093,0.2183908045977011,0.0919540229885057,0.2068965517241379,0.2183908045977011,0.2298850574712643,0.264367816091954,0.21019780807270777,0.06736286265875466,6,0.169811320754717,0.4,0.2727272727272727,0.3884892086330935,0.3193277310924369,0.16,0.3076923076923077,0.3423423423423423,0.3571428571428571,0.3931623931623932,0.311069543354742,0.08250335166782855,5,0.8843528816986855,0.8694934823600141,0.9029766622031536,0.8530490804252179,0.9172934109077148,0.8831958212545696,0.8505578192679086,0.9202835384189152,0.918655016994736,0.8788339516308865,0.8878691665161801,0.024800328625700065,13,107.32131052017212,1,500,0.24017904195118067
"{'n_estimators': 1000, 'learning_rate': 0.03214344390008797}",0.625,0.95,0.7,0.9,0.9473684210526316,1.0,0.7333333333333333,0.7142857142857143,1.0,1.0,0.8569987468671678,0.13933601949934754,2,0.0581395348837209,0.2209302325581395,0.0813953488372093,0.313953488372093,0.2068965517241379,0.057471264367816,0.1264367816091954,0.057471264367816,0.1494252873563218,0.1149425287356321,0.13870622828120818,0.08119496778544934,16,0.1063829787234042,0.3584905660377359,0.1458333333333333,0.4655172413793103,0.3396226415094339,0.108695652173913,0.2156862745098039,0.1063829787234042,0.26,0.2061855670103092,0.2312797233400648,0.11747853488819512,16,0.888568168775449,0.8802503210996638,0.9059929494712105,0.8875365507064192,0.9090798516085872,0.8404995033347523,0.9116915675025508,0.9297404501746775,0.920790339692,0.89172359734301,0.8965873299708319,0.02395872164274422,1,218.37089896202087,1,1000,0.03214344390008797
"{'n_estimators': 100, 'learning_rate': 0.02277897454383052}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.767452108326729,0.8057142076353401,0.8524922799442516,0.869090399803241,0.8339921749883437,0.7248136660652624,0.8768945920925486,0.8848750228060573,0.8598998560684384,0.8765432098765431,0.8351767517606756,0.05061497591749564,20,21.78536033630371,1,100,0.02277897454383052
"{'n_estimators': 100, 'learning_rate': 0.19802009121332453}",0.8,0.9047619047619048,0.875,0.9310344827586208,0.8,1.0,0.7142857142857143,0.6666666666666666,1.0,0.6,0.8291748768472906,0.1305308678144384,3,0.0465116279069767,0.2209302325581395,0.0813953488372093,0.313953488372093,0.0459770114942528,0.057471264367816,0.1149425287356321,0.0459770114942528,0.1379310344827586,0.0689655172413793,0.11340550654905099,0.08490060121079021,17,0.0879120879120879,0.3551401869158878,0.1489361702127659,0.4695652173913043,0.0869565217391304,0.108695652173913,0.198019801980198,0.086021505376344,0.2424242424242424,0.1237113402061855,0.19073827263320592,0.1236031589898329,17,0.8768924384445111,0.8763356379635449,0.9006230699860629,0.8895178039515754,0.9017346118240116,0.8187678647448762,0.9051639671052188,0.9247737976984464,0.91838134430727,0.8999878367694459,0.8912178372794963,0.028307088357485424,3,21.61704468727112,1,100,0.19802009121332453
"{'n_estimators': 500, 'learning_rate': 0.2636067563952057}",0.4761904761904761,0.6857142857142857,0.625,0.5094339622641509,0.59375,0.6153846153846154,0.6129032258064516,0.7916666666666666,0.8076923076923077,0.72,0.6437735539718954,0.1034679427609007,11,0.1162790697674418,0.2790697674418604,0.1744186046511628,0.313953488372093,0.2183908045977011,0.0919540229885057,0.2183908045977011,0.2183908045977011,0.2413793103448276,0.2068965517241379,0.20791232290831324,0.06381487837827549,7,0.1869158878504672,0.396694214876033,0.2727272727272727,0.3884892086330935,0.3193277310924369,0.16,0.3220338983050848,0.3423423423423423,0.3716814159292035,0.3214285714285714,0.30816405431845056,0.07608859859480888,7,0.8841001011122347,0.8697838384390457,0.9034890552837976,0.8541353537561829,0.9168237750613232,0.8846824383222849,0.8495915181738936,0.920594376533074,0.9182461973011142,0.8789353118855034,0.8880381965868456,0.0247187588001277,10,107.76440978050232,1,500,0.2636067563952057
"{'n_estimators': 100, 'learning_rate': 0.1497881892658921}",0.6666666666666666,0.875,0.875,0.9230769230769232,0.8,1.0,0.5,0.6,1.0,1.0,0.823974358974359,0.16983168370170107,4,0.0232558139534883,0.1627906976744186,0.0813953488372093,0.2790697674418604,0.0459770114942528,0.0344827586206896,0.0459770114942528,0.0344827586206896,0.057471264367816,0.0459770114942528,0.08108794439989303,0.07603746382172125,19,0.0449438202247191,0.2745098039215686,0.1489361702127659,0.4285714285714285,0.0869565217391304,0.0666666666666666,0.0842105263157894,0.0652173913043478,0.108695652173913,0.0879120879120879,0.13966200690424174,0.11448587331044832,19,0.8640552837974476,0.8733091028338754,0.8976409422567158,0.8845885825157817,0.9039712947758924,0.8074256522532384,0.9022278983964808,0.9192496638218222,0.9177495320534912,0.8997445721583652,0.8869962524863111,0.031357509986731674,15,21.86636233329773,1,100,0.1497881892658921
"{'n_estimators': 500, 'learning_rate': 0.26507799684543476}",0.4761904761904761,0.6857142857142857,0.6086956521739131,0.5094339622641509,0.59375,0.6153846153846154,0.6129032258064516,0.7916666666666666,0.8076923076923077,0.72,0.6421431191892867,0.10387857405728096,14,0.1162790697674418,0.2790697674418604,0.1627906976744186,0.313953488372093,0.2183908045977011,0.0919540229885057,0.2183908045977011,0.2183908045977011,0.2413793103448276,0.2068965517241379,0.20674953221063883,0.06451666304400251,9,0.1869158878504672,0.396694214876033,0.2568807339449541,0.3884892086330935,0.3193277310924369,0.16,0.3220338983050848,0.3423423423423423,0.3716814159292035,0.3214285714285714,0.30657940044021864,0.07697002698523067,10,0.8840181182193316,0.8699682999480775,0.9033660809444428,0.85337701199683,0.9170062235196336,0.8844053869596654,0.8498820842371289,0.9202902957692228,0.9179792819639564,0.8784690547142655,0.8878761838272556,0.024728989547804406,12,108.72409296035768,1,500,0.26507799684543476
