params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 500, 'max_depth': 37, 'min_samples_split': 4, 'min_samples_leaf': 11}",1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.85,0.32015621187164245,7,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0344827586206896,0.0229885057471264,0.0459770114942528,0.0459770114942528,0.023068698209034958,0.01451845341483711,7,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.0666666666666666,0.0449438202247191,0.0879120879120879,0.0879120879120879,0.04467868048263242,0.027664738529315735,7,0.9267004618369634,0.9141980706692536,0.9369414915420982,0.912254392916678,0.9433362389939656,0.8812632190665396,0.9396298323501387,0.9431537905356552,0.9550196976761474,0.9408360193800808,0.9293333214967522,0.020448774404839585,7,53.99500131607056,1,500,37,4,11
"{'n_estimators': 100, 'max_depth': 14, 'min_samples_split': 25, 'min_samples_leaf': 10}",1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.55,0.4716990566028302,9,0.0116279069767441,0.0232558139534883,0.0,0.0116279069767441,0.0,0.0114942528735632,0.057471264367816,0.0,0.0,0.0459770114942528,0.016145415664260847,0.01937383420322565,10,0.0229885057471264,0.0454545454545454,0.0,0.0227272727272727,0.0,0.0227272727272727,0.108695652173913,0.0,0.0,0.0879120879120879,0.031050533674221815,0.0367825618170347,10,0.917081135736343,0.9024813488918646,0.9282513048943788,0.8970055748367174,0.9372140796151014,0.8520106495840851,0.9298755971808336,0.9413766074047044,0.9466743700460176,0.936186962368316,0.9188157630558361,0.027101898814917074,12,7.782746076583862,1,100,14,25,10
"{'n_estimators': 500, 'max_depth': 11, 'min_samples_split': 20, 'min_samples_leaf': 4}",1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.55,0.4716990566028302,9,0.0116279069767441,0.0,0.0,0.0116279069767441,0.0,0.0114942528735632,0.057471264367816,0.0,0.0459770114942528,0.0459770114942528,0.018417535418337298,0.021310081138993017,9,0.0229885057471264,0.0,0.0,0.0227272727272727,0.0,0.0227272727272727,0.108695652173913,0.0,0.0879120879120879,0.0879120879120879,0.03529628791997606,0.04046611550676006,9,0.9150998824911868,0.9092176099253956,0.9310216434837264,0.9005171754160632,0.9378965719961888,0.8487873934872658,0.9303182036259944,0.946316230479704,0.9502827951103814,0.9408157473291574,0.9210273253345063,0.028586096511402294,9,34.645819902420044,1,500,11,20,4
"{'n_estimators': 1000, 'max_depth': 8, 'min_samples_split': 21, 'min_samples_leaf': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.903861394255732,0.8985051785860685,0.9301744869237284,0.8898320717077036,0.93292316216965,0.8293127099001939,0.92605093690662,0.9443025400879808,0.943059187631346,0.9345854703453682,0.9132607138514391,0.033233730341887056,16,54.43004870414734,1,1000,8,21,3
"{'n_estimators': 1000, 'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 14}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,11,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00116279069767441,0.0034883720930232297,11,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126397,0.006896551724137919,11,0.9121484983466784,0.9017161752247698,0.9252999207498702,0.8943616265405951,0.9342138160784392,0.8477264894889416,0.9301729205943766,0.9404913945143832,0.9471879286694102,0.9335110516464284,0.9166829821853894,0.02800347128837879,13,77.3354218006134,1,1000,13,16,14
"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 12, 'min_samples_leaf': 21}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.892472604049955,0.8804552783319214,0.903779411362829,0.8720964392096849,0.918023204740957,0.8130984478366343,0.9192361491212064,0.9351125436693764,0.9258414590470784,0.922658747052106,0.8982774284421747,0.034442290311938246,20,5.370257616043091,1,100,8,12,21
"{'n_estimators': 100, 'max_depth': 21, 'min_samples_split': 17, 'min_samples_leaf': 29}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.9085549148744296,0.8929679173612439,0.92166534583117,0.8928005356215669,0.9263381242947016,0.8398643124058194,0.928622108698737,0.9349773966632204,0.9391669538540548,0.9270746754782514,0.9112032285083196,0.02829922681967871,17,8.515778303146362,1,100,21,17,29
"{'n_estimators': 100, 'max_depth': 19, 'min_samples_split': 15, 'min_samples_leaf': 28}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,11,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00116279069767441,0.0034883720930232297,11,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126397,0.006896551724137919,11,0.9062867215041128,0.8952771021780122,0.917327084415052,0.8887355505151259,0.925723205416692,0.8441653658767325,0.9252501908951462,0.9362275064701628,0.9379641454992668,0.9277774399102624,0.9104734312680565,0.027081494094117125,18,8.329225063323975,1,100,19,15,28
"{'n_estimators': 500, 'max_depth': 40, 'min_samples_split': 18, 'min_samples_leaf': 25}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,11,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00116279069767441,0.0034883720930232297,11,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126397,0.006896551724137919,11,0.9114106523105512,0.9010056568196104,0.9270762167627687,0.8952292788238188,0.9292674356531316,0.8507740544777582,0.9310784055356214,0.9399778358909904,0.9414306662071668,0.9317642765918628,0.9159014479073282,0.02632085807155268,14,46.1657874584198,1,500,40,18,25
"{'n_estimators': 500, 'max_depth': 36, 'min_samples_split': 23, 'min_samples_leaf': 11}",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.30000000000000004,5,0.0232558139534883,0.0232558139534883,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0344827586206896,0.0229885057471264,0.0459770114942528,0.0344827586206896,0.02191927292167864,0.013038915093607386,8,0.0454545454545454,0.0454545454545454,0.0229885057471264,0.0229885057471264,0.0,0.0227272727272727,0.0666666666666666,0.0449438202247191,0.0879120879120879,0.0666666666666666,0.042580261660075655,0.024924460594941984,8,0.9255322056130952,0.9136856775886096,0.9362446369524228,0.911912797529582,0.943126761134424,0.8812024029137695,0.9397379499550635,0.9436470771081245,0.955627859203849,0.9416266293660932,0.9292343997365032,0.020671121519276085,8,55.734657764434814,1,500,36,23,11
