params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_samples_split,param_min_samples_leaf
"{'n_estimators': 1000, 'learning_rate': 0.14459153066462876, 'max_depth': 16, 'min_samples_split': 15, 'min_samples_leaf': 30}",0.675,0.6309523809523809,0.6986301369863014,0.7368421052631579,0.7966101694915254,0.8243243243243243,0.8135593220338984,0.7837837837837838,0.8888888888888888,0.7435897435897436,0.7592180855314005,0.07346329492114177,11,0.627906976744186,0.6162790697674418,0.5930232558139535,0.6511627906976745,0.5402298850574713,0.7011494252873564,0.5517241379310345,0.6666666666666666,0.6436781609195402,0.6666666666666666,0.6258487035551992,0.04894840261435423,2,0.6506024096385542,0.6235294117647059,0.6415094339622641,0.6913580246913581,0.6438356164383562,0.7577639751552796,0.6575342465753424,0.7204968944099379,0.7466666666666666,0.7030303030303031,0.6836326982332768,0.04472846453344629,5,0.9455770229278824,0.9256210204137404,0.9310318913453391,0.9429740660782115,0.9400859534959152,0.9266455837337064,0.9490090345773616,0.9205707258069966,0.9407346591254636,0.9346564225236,0.9356906380028217,0.008986239692491788,14,1104.1920111179352,1,1000,0.14459153066462876,16,15,30
"{'n_estimators': 500, 'learning_rate': 0.03980635222210423, 'max_depth': 7, 'min_samples_split': 11, 'min_samples_leaf': 29}",0.7419354838709677,0.7454545454545455,0.8260869565217391,0.7857142857142857,0.875,0.7884615384615384,0.7868852459016393,0.8793103448275862,0.8727272727272727,0.875,0.8176575673479576,0.05219954846199847,1,0.5348837209302325,0.4767441860465116,0.4418604651162791,0.5116279069767442,0.4827586206896552,0.4712643678160919,0.5517241379310345,0.5862068965517241,0.5517241379310345,0.5632183908045977,0.5172012830793905,0.044962481877573734,18,0.6216216216216216,0.5815602836879433,0.5757575757575758,0.619718309859155,0.6222222222222222,0.5899280575539568,0.6486486486486487,0.7034482758620689,0.6760563380281689,0.6853146853146854,0.6324276018556046,0.0424207507935873,18,0.9440876670401444,0.9357049162408112,0.9441013308556282,0.9365042494466156,0.9595538797326792,0.9296323325697528,0.9478704210504976,0.949424611621291,0.9560130281713934,0.9523471656294134,0.9455239602358226,0.008991861479946371,4,256.7479538917541,1,500,0.03980635222210423,7,11,29
"{'n_estimators': 500, 'learning_rate': 0.1896495583005944, 'max_depth': 9, 'min_samples_split': 25, 'min_samples_leaf': 17}",0.6842105263157895,0.6712328767123288,0.7368421052631579,0.7333333333333333,0.8,0.8823529411764706,0.7692307692307693,0.8055555555555556,0.8387096774193549,0.7283950617283951,0.7649862846735155,0.06367672946148335,10,0.6046511627906976,0.5697674418604651,0.6511627906976745,0.6395348837209303,0.5517241379310345,0.6896551724137931,0.5747126436781609,0.6666666666666666,0.5977011494252874,0.6781609195402298,0.6223736968724939,0.046558966529472036,4,0.6419753086419753,0.6163522012578616,0.6913580246913581,0.6832298136645963,0.6530612244897959,0.7741935483870969,0.6578947368421053,0.7295597484276728,0.6979865771812082,0.7023809523809522,0.6847992135964622,0.043328268881591796,3,0.9413822315743448,0.9400431776569288,0.931301751701145,0.9396093515153172,0.9524992060113388,0.934821977606141,0.9445593193996772,0.9303621264029948,0.940363004858535,0.9456438741240786,0.9400586020850501,0.006374898990883292,9,327.2577810287476,1,500,0.1896495583005944,9,25,17
"{'n_estimators': 500, 'learning_rate': 0.05509260690538441, 'max_depth': 17, 'min_samples_split': 10, 'min_samples_leaf': 5}",0.7105263157894737,0.6578947368421053,0.7397260273972602,0.7432432432432432,0.8,0.90625,0.8064516129032258,0.7887323943661971,0.913793103448276,0.6987951807228916,0.7765412614712672,0.08012461147719888,8,0.627906976744186,0.5813953488372093,0.627906976744186,0.6395348837209303,0.5057471264367817,0.6666666666666666,0.5747126436781609,0.6436781609195402,0.6091954022988506,0.6666666666666666,0.6143410852713179,0.04670583703182838,10,0.6666666666666666,0.6172839506172839,0.6792452830188678,0.6875,0.619718309859155,0.7682119205298014,0.6711409395973154,0.7088607594936709,0.7310344827586207,0.6823529411764706,0.6832015253717852,0.04359140835164135,6,0.936442762276938,0.9285792364659908,0.9179863635121472,0.9473908944333616,0.9460999952698548,0.9150702426564494,0.9504720009189996,0.937457344226182,0.9532695439464276,0.944687709055525,0.9377456092761877,0.012666398755660904,11,602.0373833179474,1,500,0.05509260690538441,17,10,5
"{'n_estimators': 500, 'learning_rate': 0.288796639280566, 'max_depth': 44, 'min_samples_split': 30, 'min_samples_leaf': 30}",0.7012987012987013,0.627906976744186,0.5975609756097561,0.717948717948718,0.7758620689655172,0.8055555555555556,0.7903225806451613,0.7971014492753623,0.8333333333333334,0.7333333333333333,0.7380223692709624,0.07411529727560776,19,0.627906976744186,0.627906976744186,0.5697674418604651,0.6511627906976745,0.5172413793103449,0.6666666666666666,0.5632183908045977,0.632183908045977,0.632183908045977,0.632183908045977,0.6120422346966052,0.04403727465453776,12,0.6625766871165645,0.627906976744186,0.5833333333333334,0.6829268292682927,0.6206896551724138,0.7295597484276728,0.6577181208053691,0.7051282051282052,0.718954248366013,0.6790123456790123,0.6667806150041062,0.043866784369369846,17,0.944278960456918,0.9244595960976144,0.9450031426775614,0.9296655097969556,0.9291728327488228,0.9194963071080569,0.9538844628244372,0.9343084189827484,0.9500125010980692,0.9355010913120746,0.9365782823103258,0.0107603763590501,12,832.8195910453796,1,500,0.288796639280566,44,30,30
"{'n_estimators': 500, 'learning_rate': 0.16353608359889635, 'max_depth': 38, 'min_samples_split': 9, 'min_samples_leaf': 29}",0.6666666666666666,0.611764705882353,0.6493506493506493,0.7432432432432432,0.8148148148148148,0.8378378378378378,0.8064516129032258,0.7887323943661971,0.8382352941176471,0.7631578947368421,0.7520255113919477,0.07794253385565961,16,0.6046511627906976,0.6046511627906976,0.5813953488372093,0.6395348837209303,0.5057471264367817,0.7126436781609196,0.5747126436781609,0.6436781609195402,0.6551724137931034,0.6666666666666666,0.6188853247794708,0.05476652810784564,6,0.6341463414634145,0.6081871345029239,0.6134969325153374,0.6875,0.6241134751773051,0.7701863354037266,0.6711409395973154,0.7088607594936709,0.735483870967742,0.7116564417177914,0.6764772230839228,0.052785745656222474,13,0.9400773371956386,0.93146230153308,0.948589894242068,0.9348372639575876,0.9416874455188632,0.9232804232804231,0.9589558542304392,0.9362680505720098,0.95178968422902,0.946393940008244,0.9413342194767373,0.009955198058376689,7,891.2771909236908,1,500,0.16353608359889635,38,9,29
"{'n_estimators': 100, 'learning_rate': 0.19771825422202216, 'max_depth': 46, 'min_samples_split': 29, 'min_samples_leaf': 3}",0.72,0.68,0.7638888888888888,0.8142857142857143,0.8333333333333334,0.8888888888888888,0.8360655737704918,0.7638888888888888,0.9298245614035088,0.7567567567567568,0.7986932606216471,0.07254825757121708,3,0.627906976744186,0.5930232558139535,0.6395348837209303,0.6627906976744186,0.5172413793103449,0.6436781609195402,0.5862068965517241,0.632183908045977,0.6091954022988506,0.6436781609195402,0.6155439721999466,0.03986497733919316,8,0.6708074534161491,0.6335403726708074,0.6962025316455697,0.7307692307692307,0.6382978723404256,0.7466666666666666,0.6891891891891891,0.6918238993710691,0.7361111111111112,0.6956521739130436,0.6929060501093262,0.03635736575034529,1,0.9441696499330472,0.92964501407373,0.9432985816959528,0.9418536332085372,0.9415117544108604,0.9300715603397596,0.9407076297242324,0.9434375992485826,0.9555535283504633,0.9375046456783368,0.9407753596663502,0.007030168323003518,8,252.5405559539795,1,100,0.19771825422202216,46,29,3
"{'n_estimators': 500, 'learning_rate': 0.12410866123936147, 'max_depth': 39, 'min_samples_split': 2, 'min_samples_leaf': 24}",0.6708860759493671,0.6385542168674698,0.6835443037974683,0.717948717948718,0.7966101694915254,0.8676470588235294,0.8275862068965517,0.8194444444444444,0.8387096774193549,0.7105263157894737,0.7571457187427904,0.07739203716128795,12,0.6162790697674418,0.6162790697674418,0.627906976744186,0.6511627906976745,0.5402298850574713,0.6781609195402298,0.5517241379310345,0.6781609195402298,0.5977011494252874,0.6206896551724138,0.617829457364341,0.0439342485533828,7,0.6424242424242425,0.6272189349112426,0.6545454545454547,0.6829268292682927,0.6438356164383562,0.7612903225806451,0.6620689655172414,0.7421383647798742,0.6979865771812082,0.6625766871165644,0.6777011994763121,0.041865499058304785,12,0.94610307982401,0.9368116852950016,0.9515344464788348,0.9395239526685432,0.9458499733084664,0.9228817396122632,0.9600336516045328,0.9284633109665038,0.9500733172508397,0.9476102630636476,0.9428885420072645,0.010575128852961732,6,928.72713637352,1,500,0.12410866123936147,39,2,24
"{'n_estimators': 500, 'learning_rate': 0.021178158587952762, 'max_depth': 23, 'min_samples_split': 18, 'min_samples_leaf': 15}",0.7105263157894737,0.6712328767123288,0.7571428571428571,0.7794117647058824,0.7884615384615384,0.8412698412698413,0.819672131147541,0.8484848484848485,0.9166666666666666,0.7671232876712328,0.7899992128052211,0.06716625892626081,6,0.627906976744186,0.5697674418604651,0.6162790697674418,0.6162790697674418,0.4712643678160919,0.6091954022988506,0.5747126436781609,0.6436781609195402,0.632183908045977,0.6436781609195402,0.6004945201817696,0.04936457623869555,17,0.6666666666666666,0.6163522012578616,0.6794871794871794,0.6883116883116882,0.5899280575539568,0.7066666666666668,0.6756756756756757,0.7320261437908496,0.7482993197278912,0.7,0.6803413599138437,0.04572885780890881,9,0.9519648566665756,0.933382067608559,0.9465129942885252,0.9554901210614052,0.9656152229587732,0.9379371160980357,0.9602431294640744,0.9482353179671188,0.9627703784791908,0.950860548561698,0.9513011753153956,0.009831549598520756,1,742.0012397766113,1,500,0.021178158587952762,23,18,15
"{'n_estimators': 1000, 'learning_rate': 0.05759123143250153, 'max_depth': 33, 'min_samples_split': 18, 'min_samples_leaf': 16}",0.6883116883116883,0.6533333333333333,0.6790123456790124,0.717948717948718,0.75,0.8591549295774648,0.8032786885245902,0.7808219178082192,0.875,0.7333333333333333,0.7540194954516359,0.07117657356938754,14,0.6162790697674418,0.5697674418604651,0.6395348837209303,0.6511627906976745,0.4827586206896552,0.7011494252873564,0.5632183908045977,0.6551724137931034,0.6436781609195402,0.632183908045977,0.6154905105586742,0.058546827112160124,9,0.6503067484662576,0.608695652173913,0.6586826347305389,0.6829268292682927,0.5874125874125874,0.7721518987341772,0.6621621621621622,0.7125,0.7417218543046357,0.6790123456790123,0.6755572712931578,0.05336761175287528,14,0.9445385729511108,0.9287500341595388,0.9373138305140328,0.9325793184488836,0.944532289998446,0.9284768256671194,0.9509855595423924,0.9318081993688636,0.9520802502922554,0.9440491394514384,0.9395114020394081,0.008429094910843097,10,1774.7948162555697,1,1000,0.05759123143250153,33,18,16
