params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_neighbors
{'n_neighbors': 90},0.6086956521739131,0.7692307692307693,0.6875,0.25,0.6363636363636364,0.5454545454545454,1.0,0.9130434782608696,0.9,0.9032258064516128,0.7213513887935347,0.2135061946738368,11,0.1627906976744186,0.2325581395348837,0.127906976744186,0.0232558139534883,0.0804597701149425,0.0689655172413793,0.1264367816091954,0.2413793103448276,0.1034482758620689,0.3218390804597701,0.14890403635391605,0.08690408191933525,17,0.2568807339449541,0.3571428571428571,0.2156862745098039,0.0425531914893617,0.1428571428571428,0.1224489795918367,0.2244897959183673,0.3818181818181818,0.1855670103092783,0.4745762711864406,0.24040204387682246,0.12457090703359433,17,0.9228609296860056,0.8786926461345066,0.9189633263192414,0.9126301478424836,0.9303452330272254,0.8996601052795179,0.938528384249968,0.8968558049017819,0.9104752444471476,0.940923864934082,0.9149935686821958,0.018567302752932467,13,20.08403778076172,1,90
{'n_neighbors': 41},0.6444444444444445,0.6,0.5384615384615384,0.6666666666666666,0.75,0.6363636363636364,0.7837837837837838,0.8484848484848485,0.875,0.74,0.7083204918204918,0.10365421313705372,16,0.3372093023255814,0.2441860465116279,0.2441860465116279,0.2325581395348837,0.1379310344827586,0.160919540229885,0.3333333333333333,0.3218390804597701,0.4022988505747126,0.425287356321839,0.2839748730286019,0.09107965826089841,9,0.4427480916030534,0.3471074380165289,0.336,0.3448275862068966,0.233009708737864,0.2568807339449541,0.467741935483871,0.4666666666666667,0.5511811023622047,0.5401459854014597,0.3986309248423499,0.10566228888295667,9,0.9350593009592,0.8751400541087093,0.925491214166644,0.928463094034378,0.9403663835336888,0.9004338218897607,0.9445593193996772,0.8972747606208653,0.9129416773094932,0.9470291309371768,0.9206758756959592,0.022436626354164088,4,19.89481997489929,1,41
{'n_neighbors': 44},0.6666666666666666,0.6,0.5526315789473685,0.6896551724137931,0.7142857142857143,0.6666666666666666,0.8285714285714286,0.84375,0.8648648648648649,0.723404255319149,0.7150496347735652,0.09844222333271652,14,0.3255813953488372,0.2441860465116279,0.2441860465116279,0.2325581395348837,0.1149425287356321,0.160919540229885,0.3333333333333333,0.3103448275862069,0.367816091954023,0.3908045977011494,0.27246725474472067,0.08456060096001296,10,0.4375,0.3471074380165289,0.3387096774193548,0.3478260869565217,0.198019801980198,0.2592592592592592,0.4754098360655737,0.453781512605042,0.5161290322580645,0.5074626865671642,0.3881205331127707,0.10172930193880057,10,0.9337953980269452,0.8774663186948323,0.924322957942776,0.9306698002350176,0.9390182921472832,0.8991364106306636,0.9442349665849028,0.8966665990931635,0.9114956043436248,0.9474717373823376,0.9204278085081548,0.02210410946957969,5,19.71251893043518,1,44
{'n_neighbors': 69},0.59375,0.7,0.7407407407407407,0.6923076923076923,0.7692307692307693,0.7,0.7777777777777778,0.8620689655172413,0.8888888888888888,0.8857142857142857,0.7610479120177397,0.09111366879271691,3,0.2209302325581395,0.2441860465116279,0.2325581395348837,0.2093023255813953,0.1149425287356321,0.160919540229885,0.2413793103448276,0.2873563218390804,0.1839080459770115,0.3563218390804598,0.22518043303929428,0.06324350035645639,14,0.3220338983050848,0.3620689655172414,0.3539823008849557,0.3214285714285714,0.2,0.2616822429906542,0.368421052631579,0.4310344827586206,0.3047619047619047,0.5081967213114754,0.3433610140590087,0.0809924832030828,14,0.9280087721695408,0.8842367392670729,0.9210436422266552,0.9221367474653622,0.9309635305803888,0.8869731800766282,0.9374336935001047,0.900018244845831,0.9172427307804064,0.9445491833742152,0.9172606464286206,0.019488982866936642,9,19.91175413131714,1,69
{'n_neighbors': 14},0.6981132075471698,0.6538461538461539,0.7333333333333333,0.7333333333333333,0.7857142857142857,0.7272727272727273,0.7068965517241379,0.7692307692307693,0.8518518518518519,0.7796610169491526,0.7439253230802915,0.05234279744174526,8,0.4302325581395348,0.3953488372093023,0.3837209302325581,0.3837209302325581,0.3793103448275862,0.2758620689655172,0.4712643678160919,0.4597701149425287,0.5287356321839081,0.5287356321839081,0.4236701416733493,0.07314232122671167,4,0.5323741007194245,0.4927536231884057,0.5038167938931298,0.5038167938931298,0.5116279069767441,0.4,0.5655172413793104,0.5755395683453237,0.6524822695035462,0.6301369863013698,0.5368065284200384,0.06921195279946148,4,0.9288012734676032,0.8500840324652257,0.8965000136638154,0.9278721340147024,0.9291626967233608,0.9117760343813984,0.9259022751998488,0.8860947245366146,0.9219965267219418,0.943528823477738,0.9121718534652251,0.026192958658279406,17,19.604881048202515,1,14
{'n_neighbors': 94},0.5714285714285714,0.76,0.6875,0.2857142857142857,0.6363636363636364,0.6,1.0,0.9130434782608696,0.8181818181818182,0.88,0.7152231789949182,0.19631762938516725,13,0.1395348837209302,0.2209302325581395,0.127906976744186,0.0232558139534883,0.0804597701149425,0.0689655172413793,0.1264367816091954,0.2413793103448276,0.1034482758620689,0.2528735632183908,0.13851911253675483,0.07309758325084292,20,0.2242990654205607,0.3423423423423424,0.2156862745098039,0.043010752688172,0.1428571428571428,0.1237113402061855,0.2244897959183673,0.3818181818181818,0.183673469387755,0.3928571428571428,0.22747455080056542,0.10881096488803461,20,0.9214535566911704,0.8821700871751428,0.9171050474134396,0.9113867406334544,0.9312946407454707,0.8968963490036288,0.936920134876712,0.9022887145492507,0.9086102157621954,0.940690736348463,0.9148816223198928,0.017529883539667723,14,19.257611989974976,1,94
{'n_neighbors': 59},0.6744186046511628,0.6060606060606061,0.5555555555555556,0.6896551724137931,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.71875,0.8571428571428571,0.717391304347826,0.6969157250354951,0.07862003094617,20,0.3372093023255814,0.2325581395348837,0.2325581395348837,0.2325581395348837,0.1149425287356321,0.160919540229885,0.2298850574712643,0.264367816091954,0.2758620689655172,0.3793103448275862,0.24601710772520713,0.07248199044784571,12,0.4496124031007751,0.3361344537815126,0.3278688524590164,0.3478260869565217,0.198019801980198,0.2592592592592592,0.3539823008849557,0.3865546218487395,0.417391304347826,0.4962406015037593,0.35728896861225634,0.08287941259902064,12,0.932470007925013,0.8845339272538464,0.9206644713469788,0.9260241029705134,0.934159757275977,0.887557690878253,0.939660240426524,0.901552163365701,0.9176650651746436,0.942856467122112,0.9187143893739563,0.019852623738339018,7,18.68237614631653,1,59
{'n_neighbors': 11},0.6875,0.640625,0.7058823529411765,0.7368421052631579,0.7608695652173914,0.7551020408163265,0.7301587301587301,0.7540983606557377,0.8620689655172413,0.726027397260274,0.7359174517830034,0.054492426528627756,10,0.5116279069767442,0.4767441860465116,0.4186046511627907,0.4883720930232558,0.4022988505747126,0.425287356321839,0.5287356321839081,0.5287356321839081,0.5747126436781609,0.6091954022988506,0.4964314354450681,0.06449316820677232,1,0.5866666666666667,0.5466666666666666,0.5255474452554746,0.5874125874125873,0.5263157894736842,0.5441176470588235,0.6133333333333333,0.6216216216216216,0.689655172413793,0.6625,0.590383692990265,0.053796735004832515,1,0.9171357909982784,0.8531686388107015,0.8976580220260705,0.923568032137294,0.9304364572563808,0.9101812997087582,0.9138302688749688,0.8792562860251238,0.9192462851466682,0.9448363707622968,0.908931745174654,0.025064561517748517,19,18.66130518913269,1,11
{'n_neighbors': 35},0.64,0.6285714285714286,0.6388888888888888,0.6451612903225806,0.75,0.6818181818181818,0.7619047619047619,0.825,0.8444444444444444,0.74,0.7155788995950286,0.07600582034322878,12,0.3720930232558139,0.2558139534883721,0.2674418604651162,0.2325581395348837,0.1379310344827586,0.1724137931034483,0.367816091954023,0.3793103448275862,0.4367816091954023,0.425287356321839,0.30474472066292435,0.10018632497832888,7,0.4705882352941177,0.3636363636363636,0.3770491803278688,0.3418803418803419,0.233009708737864,0.2752293577981651,0.4961240310077519,0.5196850393700788,0.5757575757575758,0.5401459854014597,0.4193105819211588,0.11136879869673973,7,0.938628972754352,0.8745217664580658,0.9181708250211787,0.919414232230208,0.940761688526695,0.9010690128186936,0.9472352301215646,0.8971598856656328,0.9189658551088946,0.9514281659875528,0.9207355634692836,0.023356464763537577,3,18.837345838546756,1,35
{'n_neighbors': 10},0.7241379310344828,0.6779661016949152,0.7659574468085106,0.7547169811320755,0.8333333333333334,0.7954545454545454,0.7321428571428571,0.7796610169491526,0.9056603773584906,0.7183098591549296,0.7687340450063294,0.06169976210928998,1,0.4883720930232558,0.4651162790697674,0.4186046511627907,0.4651162790697674,0.4022988505747126,0.4022988505747126,0.4712643678160919,0.5287356321839081,0.5517241379310345,0.5862068965517241,0.4779738037957765,0.059322966532742376,2,0.5833333333333334,0.5517241379310345,0.5413533834586466,0.5755395683453238,0.5426356589147286,0.5343511450381679,0.5734265734265733,0.6301369863013698,0.6857142857142857,0.6455696202531646,0.5863784692716628,0.04840347899230793,2,0.918502172546662,0.8549449348236001,0.894218156478015,0.9190179815811766,0.9210369829782346,0.9114753322927014,0.9029340415036456,0.8830066154459514,0.905319386162298,0.9390013987715136,0.9049457002583796,0.022234724446129332,20,18.658461332321167,1,10
{'n_neighbors': 67},0.59375,0.7,0.6551724137931034,0.7142857142857143,0.7692307692307693,0.7,0.7857142857142857,0.8709677419354839,0.8333333333333334,0.8857142857142857,0.7508168544006976,0.09017566765399102,4,0.2209302325581395,0.2441860465116279,0.2209302325581395,0.2325581395348837,0.1149425287356321,0.160919540229885,0.2528735632183908,0.3103448275862069,0.1724137931034483,0.3563218390804598,0.22864207431168135,0.06679526242034334,13,0.3220338983050848,0.3620689655172414,0.3304347826086957,0.3508771929824562,0.2,0.2616822429906542,0.3826086956521739,0.4576271186440678,0.2857142857142857,0.5081967213114754,0.34612439037261344,0.08559610509233033,13,0.9292487634246986,0.8851692946738448,0.9195098789385948,0.9219693657256852,0.9318081993688636,0.8838039827822715,0.9374505868758742,0.9005318034692236,0.91618858413239,0.9460189070661612,0.9171699366457607,0.020118083908755982,10,18.73780632019043,1,67
